"id","species_code","itteration","Raos_Q","D_q","MD_q","FD_q","ncomps","updated"
"1","IngMu_3","1","0.873467","15.5866","13.6144","212.203","181","2020-11-16 18:52:17"
"2","IngM_1","1","0.915187","29.8506","27.3188","815.483","199","2020-11-16 18:52:17"
"3","IngA_4","1","0.856883","10.6354","9.11327","96.9231","172","2020-11-16 18:52:17"
"4","IngC_1","1","0.923907","21.8509","20.1882","441.13","249","2020-11-16 18:52:17"
"5","IngA_2","1","0.872581","13.0915","11.4234","149.55","127","2020-11-16 18:52:17"
"6","IngC_4","1","0.929888","18.8307","17.5105","329.735","198","2020-11-16 18:52:17"
"7","IngMu_5","1","0.873565","15.2896","13.3565","204.216","170","2020-11-16 18:52:17"
"8","IngO_1","1","0.938401","18.2565","17.1319","312.768","213","2020-11-16 18:52:17"
"9","IngG_3","1","0.890114","27.0402","24.0688","650.826","236","2020-11-16 18:52:18"
"10","IngF_1","1","0.821002","15.3686","12.6177","193.917","258","2020-11-16 18:52:18"
"11","IngG_4","1","0.902975","27.5604","24.8863","685.876","258","2020-11-16 18:52:18"
"12","IngF_5","1","0.843656","13.1452","11.09","145.781","208","2020-11-16 18:52:18"
"13","IngF_4","1","0.830649","13.383","11.1166","148.774","235","2020-11-16 18:52:18"
"14","IngA_3","1","0.878467","11.0647","9.71995","107.548","140","2020-11-16 18:52:18"
"15","IngM_5","1","0.896041","24.0191","21.5221","516.941","220","2020-11-16 18:52:18"
"16","IngM_2","1","0.916655","32.2657","29.5765","954.307","241","2020-11-16 18:52:18"
"17","IngO_2","1","0.879587","16.4425","14.4626","237.801","131","2020-11-16 18:52:18"
"18","IngG_1","1","0.850755","29.6047","25.1864","745.635","232","2020-11-16 18:52:18"
"19","IngA_1","1","0.831967","13.0797","10.8819","142.331","114","2020-11-16 18:52:18"
"20","IngC_2","1","0.884065","16.3596","14.463","236.609","179","2020-11-16 18:52:18"
"21","IngF_6","1","0.835504","14.1012","11.7816","166.135","229","2020-11-16 18:52:18"
"22","IngA_6","1","0.87759","12.5849","11.0443","138.992","141","2020-11-16 18:52:19"
"23","IngMu_1","1","0.882935","15.9775","14.1071","225.397","186","2020-11-16 18:52:19"
"24","IngM_4","1","0.919081","28.4057","26.1072","741.593","216","2020-11-16 18:52:19"
"25","IngMu_2","1","0.861353","14.3677","12.3757","177.81","180","2020-11-16 18:52:19"
"26","IngM_6","1","0.912619","26.7877","24.447","654.878","202","2020-11-16 18:52:19"
