site,species_code,file_name,extraction_number,plant_number,project_name,quality,blank,RTI,notes,mzxml
BCI,IngA,DN1619,1619,10289,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1619.mzXML
BCI,IngA,DN1620,1620,3716,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1620.mzXML
BCI,IngA,DN1677,1677,10103,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN1677.mzXML
BCI,IngA,DN1682,1682,3719,2014_all_Inga.PRO,drop,0,0,,DN1682.mzXML
BCI,IngA,DN1708,1708,10111,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1708.mzXML
BCI,IngA,DN1884,1884,3718,2014_all_Inga.PRO,keep,BN_170,RN16_341,,DN1884.mzXML
BCI,IngA,DN1885,1885,3715,2014_all_Inga.PRO,keep,BN_170,RN16_341,,DN1885.mzXML
BCI,IngC,DN1625,1625,9129,2014_all_Inga.PRO,keep,BN_139,RN16_194,,DN1625.mzXML
BCI,IngC,DN1626,1626,10265,2014_all_Inga.PRO,keep,BN_139,RN16_194,,DN1626.mzXML
BCI,IngC,DN1678,1678,10129,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN1678.mzXML
BCI,IngC,DN1679,1679,3731,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN1679.mzXML
BCI,IngC,DN1681,1681,10256,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN1681.mzXML
BCI,IngF,DN1594,1594,3781,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1594.mzXML
BCI,IngF,DN1595,1595,3765,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1595.mzXML
BCI,IngF,DN1598,1598,10331,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1598.mzXML
BCI,IngF,DN1683,1683,3776,2014_all_Inga.PRO,keep,BN_142,RN16_200,BN_141 bad,DN1683.mzXML
BCI,IngF,DN1886,1886,3778,2014_all_Inga.PRO,keep,BN_170,RN16_341,,DN1886.mzXML
BCI,IngF,DN1887,1887,3738,2014_all_Inga.PRO,keep,BN_170,RN16_341,,DN1887.mzXML
BCI,IngF,DN2223_2,2223,3743,2014_all_Inga.PRO,drop,BN_179,RN18_388,,DN2223_2.mzXML
BCI,IngF,DN2223_3,2223,3743,2014_all_Inga.PRO,drop,0,0,,DN2223_3.mzXML
BCI,IngF,DN2763,2763,3820,2018_tyr_mat_neg.PRO,drop,0,0,mature leaf ,DN2763.mzXML
BCI,IngG,DN1592,1592,10260,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1592.mzXML
BCI,IngG,DN1623,1623,10061,2014_all_Inga.PRO,keep,BN_139,RN16_194,,DN1623.mzXML
BCI,IngG,DN1624,1624,3824,2014_all_Inga.PRO,keep,BN_139,RN16_194,,DN1624.mzXML
BCI,IngG,DN1680,1680,10096,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN1680.mzXML
BCI,IngG,DN1707,1707,4177,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1707.mzXML
BCI,IngM,DN1562,1562,10020,2014_all_Inga.PRO,keep,BN_132,RN16_168,,DN1562.mzXML
BCI,IngM,DN1563,1563,10022,2014_all_Inga.PRO,keep,BN_132,RN16_168,,DN1563.mzXML
BCI,IngM,DN1593,1593,10002,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1593.mzXML
BCI,IngM,DN1606,1606,4173,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1606.mzXML
BCI,IngM,DN1609,1609,4170,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1609.mzXML
BCI,IngM,DN1616,1616,10079,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1616.mzXML
BCI,IngMu,DN1561,1561,4174,2014_all_Inga.PRO,keep,BN_132,RN16_168,,DN1561.mzXML
BCI,IngMu,DN1586,1586,3855,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1586.mzXML
BCI,IngMu,DN1605,1605,10195,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1605.mzXML
BCI,IngMu,DN1607,1607,4172,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1607.mzXML
BCI,IngMu,DN1608,1608,10199,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1608.mzXML
BCI,IngO,DN1568,1568,10062,2014_all_Inga.PRO,drop,BN_132,RN16_170,,DN1568.mzXML
BCI,IngO,DN1584,1584,1911,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1584.mzXML
BCI,IngO,DN1587,1587,10156,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1587.mzXML
BCI,IngO,DN1589,1589,10062,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1589.mzXML
BCI,IngO,DN2212_2,2212,1914,2014_all_Inga.PRO,drop,BN_179,RN18_388,,DN2212_2.mzXML
BCI,IngO,DN2212_3,2212,1914,2014_all_Inga.PRO,drop,0,0,,DN2212_3.mzXML
BCI,IngO,DN2444,2444,1914,2014_all_Inga.PRO,keep,BN_181,RN18_405,,DN2444.mzXML
BCI,IngP,DN1569,1569,10246,2014_all_Inga.PRO,keep,BN_132,RN16_170,,DN1569.mzXML
BCI,IngP,DN1570,1570,8994,2014_all_Inga.PRO,keep,BN_132,RN16_170,,DN1570.mzXML
BCI,IngP,DN1603,1603,3888,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1603.mzXML
BCI,IngP,DN1604,1604,3883,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1604.mzXML
BCI,IngP,DN1610,1610,8969,2014_all_Inga.PRO,keep,BN_138,RN16_191,,DN1610.mzXML
BCI,IngPu,DN1582,1582,10136,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1582.mzXML
BCI,IngPu,DN1583,1583,10131,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1583.mzXML
BCI,IngPu,DN1585,1585,1281,2014_all_Inga.PRO,keep,BN_137,RN16_188,,DN1585.mzXML
BCI,IngPu,DN2906,2906,4019,2019_last_MS.PRO,keep,BN214,RN18_507,,DN2906.mzXML
BCI,IngPu,DN2913,2913,4020,2019_last_MS.PRO,keep,BN214,RN18_507,,DN2913.mzXML
BCI,IngQ,DN1565,1565,10019,2014_all_Inga.PRO,keep,BN_132,RN16_170,,DN1565.mzXML
BCI,IngQ,DN1566,1566,3933,2014_all_Inga.PRO,keep,BN_132,RN16_170,young or mature? assume young,DN1566.mzXML
BCI,IngQ,DN1567,1567,10328,2014_all_Inga.PRO,keep,BN_132,RN16_170,,DN1567.mzXML
BCI,IngQ,DN1571,1571,10077,2014_all_Inga.PRO,keep,BN_132,RN16_170,,DN1571.mzXML
BCI,IngQ,DN1615,1615,10092,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1615.mzXML
BCI,IngR,DN1617,1617,10076,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1617.mzXML
BCI,IngR,DN1618,1618,4179,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1618.mzXML
BCI,IngR,DN1709,1709,4185,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1709.mzXML
BCI,IngR,DN1710,1710,4180,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1710.mzXML
BCI,IngR,DN1711,1711,10001,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1711.mzXML
BCI,IngS,DN1596,1596,4183,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1596.mzXML
BCI,IngS,DN1597,1597,10262,2014_all_Inga.PRO,keep,BN_137,RN16_189,,DN1597.mzXML
BCI,IngS,DN1676,1676,10138,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN1676.mzXML
BCI,IngS,DN1694,1694,4184,2014_all_Inga.PRO,drop,0,0,,DN1694.mzXML
BCI,IngS,DN1938,1938,1912,2014_all_Inga.PRO,drop,BN_171,RN17_346,mature leaf,DN1938.mzXML
BCI,IngS,DN2162,2162,4175,2014_all_Inga.PRO,keep,BN_173,RN17_353,,DN2162.mzXML
BCI,IngSp,DN1935,1935,10118,2014_all_Inga.PRO,drop,BN_171,RN17_345,,DN1935.mzXML
BCI,IngSp,DN1936,1936,10118,2014_all_Inga.PRO,drop,BN_171,RN17_345,,DN1936.mzXML
BCI,IngSp,DN1937,1937,10118,2014_all_Inga.PRO,drop,BN_171,RN17_345,,DN1937.mzXML
BCI,IngSp,DN2158,2158,10118,2014_all_Inga.PRO,keep,BN_173,RN17_353,,DN2158.mzXML
BCI,IngU,DN1401,1401,10091,2014_all_Inga.PRO,drop,#N/A,#N/A,,DN1401.mzXML
BCI,IngU,DN1401_2,1401,10091,2014_all_Inga.PRO,drop,BN_165,RN16_328,,DN1401_2.mzXML
BCI,IngU,DN1402,1402,10159,2014_all_Inga.PRO,drop,#N/A,#N/A,,DN1402.mzXML
BCI,IngU,DN1402_2,1402,10159,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1402_2.mzXML
BCI,IngU,DN1404,1404,10257,2014_all_Inga.PRO,drop,#N/A,#N/A,,DN1404.mzXML
BCI,IngU,DN1404_2,1404,10257,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1404_2.mzXML
BCI,IngU,DN1405,1405,10325,2014_all_Inga.PRO,drop,#N/A,#N/A,,DN1405.mzXML
BCI,IngU,DN1405_2,1405,10325,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1405_2.mzXML
BCI,IngU,DN1406,1406,3975,2014_all_Inga.PRO,drop,#N/A,#N/A,,DN1406.mzXML
BCI,IngU,DN1406_2,1406,3975,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1406_2.mzXML
BCI,IngU,DN1407,1407,3974,2014_all_Inga.PRO,drop,#N/A,#N/A,,DN1407.mzXML
BCI,IngU,DN1407_2,1407,3974,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1407_2.mzXML
BCI,IngU,DN1928,1928,10101,2014_all_Inga.PRO,keep,BN_171,RN17_345,,DN1928.mzXML
BCI,IngU,DN1930,1930,10091,2014_all_Inga.PRO,drop,BN_171,RN17_345,,DN1930.mzXML
BCI,IngU,DN1931,1931,10101,2014_all_Inga.PRO,drop,BN_171,RN17_345,,DN1931.mzXML
BCI,IngU,DN1932,1932,1833,2014_all_Inga.PRO,drop,BN_171,RN17_345,,DN1932.mzXML
BCI,IngU,DN1933,1933,10091,2014_all_Inga.PRO,keep,BN_171,RN17_345,,DN1933.mzXML
BCI,IngU,DN1934,1934,1833,2014_all_Inga.PRO,keep,BN_171,RN17_345,,DN1934.mzXML
BCI,IngU,DN1940,1940,10091,2014_all_Inga.PRO,drop,BN_171,RN17_346,,DN1940.mzXML
BCI,IngU,DN1941,1941,9055,2014_all_Inga.PRO,drop,BN_171,RN17_346,,DN1941.mzXML
BCI,IngU,DN1942,1942,1833,2014_all_Inga.PRO,drop,BN_171,RN17_346,,DN1942.mzXML
BCI,IngU,DN1943,1943,1833,2014_all_Inga.PRO,drop,BN_171,RN17_346,,DN1943.mzXML
BCI,IngV,DN1581,1581,10264,2014_all_Inga.PRO,keep,BN_133,RN16_172,,DN1581.mzXML
BCI,IngV,DN1621,1621,10332,2014_all_Inga.PRO,drop,BN_138,RN16_192,,DN1621.mzXML
BCI,IngV,DN1622,1622,10158,2014_all_Inga.PRO,keep,BN_138,RN16_192,,DN1622.mzXML
BCI,IngV,DN1705,1705,10146,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1705.mzXML
BCI,IngV,DN1706,1706,10075,2014_all_Inga.PRO,keep,BN_142,RN16_204,BN_141 bad,DN1706.mzXML
BCI,IngV,DN1929,1929,10080,2014_all_Inga.PRO,keep,BN_171,RN17_345,,DN1929.mzXML
BCI,IngV,DN1939,1939,10080,2014_all_Inga.PRO,drop,BN_171,RN17_346,,DN1939.mzXML
LA,LA1,DN689_2,689,2918,2014_all_Inga.PRO,drop,BN_152,RN16_287,,DN689_2.mzXML
LA,LA1,DN689_3,689,2918,2014_all_Inga.PRO,keep,BN_140,RN16_200,,DN689_3.mzXML
LA,LA1,DN689_3_rerun,689,2918,2014_all_Inga.PRO,drop,BN_142,RN16_203,BN_141 bad,DN689_3_rerun.mzXML
LA,LA1,EN689_NEG_MS,689,2918,2014_all_Inga.PRO,drop,0,0,,EN689_NEG_MS.mzXML
LA,LA1,DN690_2,690,2458,2014_all_Inga.PRO,drop,BN_152,RN16_287,,DN690_2.mzXML
LA,LA1,EN690_NEG_MS,690,2458,2014_all_Inga.PRO,keep,BLANK_46_NEG_MS,RTI_26_NEG_MS,,EN690_NEG_MS.mzXML
LA,LA1,DN708_2,708,291,2014_all_Inga.PRO,drop,BN_152,RN16_288,,DN708_2.mzXML
LA,LA1,EN708_NEG_MS,708,291,2014_all_Inga.PRO,keep,BLANK_46_NEG_MS,RTI_26_NEG_MS,young or mature? assume young,EN708_NEG_MS.mzXML
LA,LA1,EN1059_NEG_MS,1059,1830,2014_all_Inga.PRO,keep,BLANK_106_NEG_MS,RTI_56_NEG_MS,,EN1059_NEG_MS.mzXML
LA,LA1,EN1060_NEG_MS,1060,2507,2014_all_Inga.PRO,keep,BLANK_106_NEG_MS,RTI_56_NEG_MS,,EN1060_NEG_MS.mzXML
LA,LA1,DN2779,2779,3,2018_tyr_mat_neg.PRO,drop,0,0,mature leaf,DN2779.mzXML
LA,LA10,DN641_2,641,2895,2014_all_Inga.PRO,keep,BN_150,RN16_280,,DN641_2.mzXML
LA,LA10,EN641_NEG_MS,641,2895,2014_all_Inga.PRO,drop,0,0,,EN641_NEG_MS.mzXML
LA,LA10,DN642_2,642,3215,2014_all_Inga.PRO,keep,BN_150,RN16_280,,DN642_2.mzXML
LA,LA10,EN642_NEG_MS,642,3215,2014_all_Inga.PRO,drop,0,0,,EN642_NEG_MS.mzXML
LA,LA10,DN643_2,643,1809,2014_all_Inga.PRO,keep,BN_150,RN16_280,,DN643_2.mzXML
LA,LA10,EN643_NEG_MS,643,1809,2014_all_Inga.PRO,drop,0,0,,EN643_NEG_MS.mzXML
LA,LA10,DN1399,1399,2471,2014_all_Inga.PRO,drop,0,0,,DN1399.mzXML
LA,LA10,DN1399_2,1399,2471,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1399_2.mzXML
LA,LA10,DN1400,1400,2468,2014_all_Inga.PRO,drop,0,0,,DN1400.mzXML
LA,LA10,DN1400_2,1400,2468,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1400_2.mzXML
LA,LA10,DN1408,1408,1995,2014_all_Inga.PRO,drop,0,0,,DN1408.mzXML
LA,LA10,DN1408_2,1408,1995,2014_all_Inga.PRO,keep,BN_165,RN16_328,,DN1408_2.mzXML
LA,LA10,DN2768,2768,2,2018_tyr_mat_neg.PRO,drop,0,0,mature leaf,DN2768.mzXML
LA,LA12,DN631_2,631,1969,2014_all_Inga.PRO,keep,BN_150,RN16_279,,DN631_2.mzXML
LA,LA12,EN631_NEG_MS,631,1969,2014_all_Inga.PRO,drop,0,0,,EN631_NEG_MS.mzXML
LA,LA12,DN632_2,632,1829,2014_all_Inga.PRO,keep,BN_150,RN16_280,,DN632_2.mzXML
LA,LA12,EN632_NEG_MS,632,1829,2014_all_Inga.PRO,drop,0,0,,EN632_NEG_MS.mzXML
LA,LA12,DN634_2,634,878,2014_all_Inga.PRO,keep,BN_150,RN16_280,young or mature? assume young,DN634_2.mzXML
LA,LA12,EN1055_NEG_MS,1055,3021,2014_all_Inga.PRO,keep,BLANK_106_NEG_MS,RTI_55_NEG_MS,,EN1055_NEG_MS.mzXML
LA,LA12,EN1056_NEG_MS,1056,1777,2014_all_Inga.PRO,keep,BLANK_106_NEG_MS,RTI_55_NEG_MS,,EN1056_NEG_MS.mzXML
LA,LA13,DN693,693,2973,2014_all_Inga.PRO,keep,BN_131,RN16_161,,DN693.mzXML
LA,LA13,DN711,711,332,2014_all_Inga.PRO,keep,BN_131,RN16_161,,DN711.mzXML
LA,LA13,DN1394,1394,2805,2014_all_Inga.PRO,keep,BN126,RN16_136,,DN1394.mzXML
LA,LA13,DN1396,1396,2962,2014_all_Inga.PRO,keep,BN126,RN16_136,,DN1396.mzXML
LA,LA13,DN1397,1397,1784,2014_all_Inga.PRO,keep,BN126,RN16_136,,DN1397.mzXML
LA,LA13,DN2168,2168,1944,2014_all_Inga.PRO,keep,BN_173,RN17_353,,DN2168.mzXML
LA,LA17,DN705,705,2751,2014_all_Inga.PRO,keep,BN_131,RN16_161,,DN705.mzXML
LA,LA17,DN712,712,463,2014_all_Inga.PRO,keep,BN_131,RN16_161,,DN712.mzXML
LA,LA17,DN1380,1380,1816,2014_all_Inga.PRO,keep,BN126,RN16_131,,DN1380.mzXML
LA,LA17,DN1382,1382,2491,2014_all_Inga.PRO,keep,BN126,RN16_132,,DN1382.mzXML
LA,LA17,DN1393,1393,2725,2014_all_Inga.PRO,keep,BN126,RN16_136,,DN1393.mzXML
LA,LA18,DN671,671,2181,2014_all_Inga.PRO,keep,BN_131,RN16_161,,DN671.mzXML
LA,LA18,DN672,672,1985,2014_all_Inga.PRO,keep,BN_131,RN16_162,,DN672.mzXML
LA,LA18,DN673,673,1985,2014_all_Inga.PRO,drop,BN_131,RN16_162,,DN673.mzXML
LA,LA18,DN1527,1527,1984,2014_all_Inga.PRO,keep,BN_130,RN16_155,,DN1527.mzXML
LA,LA18,DN1538,1538,2502,2014_all_Inga.PRO,keep,BN_130,RN16_156,,DN1538.mzXML
LA,LA18,DN1635,1635,2029,2014_all_Inga.PRO,keep,BN_139,RN16_195,,DN1635.mzXML
LA,LA19,DN680,680,2244,2014_all_Inga.PRO,keep,BN_131,RN16_162,,DN680.mzXML
LA,LA19,DN681,681,1775,2014_all_Inga.PRO,drop,BN_131,RN16_162,,DN681.mzXML
LA,LA19,DN682,682,1893,2014_all_Inga.PRO,keep,BN_131,RN16_162,,DN682.mzXML
LA,LA19,DN1415,1415,1827,2014_all_Inga.PRO,drop,BN126,RN16_136,,DN1415.mzXML
LA,LA19,DN1880,1880,467,2014_all_Inga.PRO,keep,BN_170,RN16_341,,DN1880.mzXML
LA,LA19,DN1881,1881,407,2014_all_Inga.PRO,drop,BN_170,RN16_341,,DN1881.mzXML
LA,LA19,DN1889,1889,465,2014_all_Inga.PRO,keep,BN_170,RN16_342,,DN1889.mzXML
LA,LA19,DN1890,1890,259,2014_all_Inga.PRO,keep,BN_170,RN16_342,,DN1890.mzXML
LA,LA19,DN1896,1896,440,2014_all_Inga.PRO,keep,BN_170,RN16_342,,DN1896.mzXML
LA,LA2,DN627_2,627,1915,2014_all_Inga.PRO,keep,BN_150,RN16_279,,DN627_2.mzXML
LA,LA2,EN627_NEG_MS,627,1915,2014_all_Inga.PRO,drop,0,0,,EN627_NEG_MS.mzXML
LA,LA2,DN628_2,628,2347,2014_all_Inga.PRO,keep,BN_150,RN16_279,,DN628_2.mzXML
LA,LA2,EN628_NEG_MS,628,2347,2014_all_Inga.PRO,drop,0,0,,EN628_NEG_MS.mzXML
LA,LA2,DN633_2,633,2921,2014_all_Inga.PRO,keep,BN_150,RN16_280,,DN633_2.mzXML
LA,LA2,EN633_NEG_MS,633,2921,2014_all_Inga.PRO,drop,0,0,,EN633_NEG_MS.mzXML
LA,LA2,DN1441,1441,1840,2014_all_Inga.PRO,keep,BN123,RN16_113,,DN1441.mzXML
LA,LA2,DN1442,1442,1933,2014_all_Inga.PRO,keep,BN123,RN16_112,,DN1442.mzXML
