feature_id,cluster_rt,cluster_mz
4323_0,10.100291,563.138995
4340_0,10.05029,564.144898
4356_1,10.200293,565.14601
5851_3,9.900287,662.057533
903_0,20.100491,270.086063
1063_4,20.350496,287.219936
5238_2,20.300495,624.307448
5244_1,20.350496,624.8104
8103_3,20.5505,808.483409
8128_1,20.600501,809.489311
1693_1,19.750484,348.120148
10138_2,19.800485,924.531029
10148_0,19.750484,925.03398
10161_1,19.800485,925.532141
10167_0,19.700483,926.035093
10180_1,19.800485,926.538044
10200_1,19.750484,927.534366
10521_1,19.700483,947.532666
10527_0,19.700483,948.035618
10538_0,19.700483,948.538569
10574_1,19.750484,950.986265
10584_1,19.750484,951.484426
10589_0,19.700483,951.987377
10836_0,19.750484,965.547901
10851_0,19.750484,966.558594
10873_0,19.750484,967.564496
10926_2,19.850486,970.534304
10939_1,19.800485,971.540206
10957_1,19.750484,972.541319
10974_1,19.800485,973.542431
11201_2,19.800485,987.534056
11218_2,19.800485,988.535169
11239_2,19.850486,989.531491
11260_2,19.850486,990.532604
11850_2,20.150492,1029.537671
11996_2,19.800485,1038.518944
12017_0,19.800485,1039.529636
12062_1,19.750484,1042.470704
12078_1,21.150512,1043.462236
13682_0,19.450478,1154.681524
13695_0,19.700483,1155.692217
16596_2,19.750484,1387.298876
16598_1,19.750484,1387.801827
16603_1,19.800485,1388.309568
16610_1,19.750484,1388.80773
16613_0,19.700483,1389.310681
16619_0,19.700483,1389.808842
16854_1,19.750484,1414.271433
16860_0,19.700483,1414.760014
16916_0,19.700483,1421.288801
16919_0,19.700483,1421.801332
16923_0,19.700483,1422.299493
16927_0,19.700483,1422.797654
17602_0,19.700483,1502.881865
20532_1,19.800485,1850.071513
20535_1,19.700483,1850.569674
20545_1,19.800485,1851.072625
20549_1,19.700483,1851.570786
20561_1,19.850486,1852.068948
20565_0,19.700483,1852.571899
20575_0,19.800485,1853.07006
20909_2,19.700483,1885.05776
4745_4,28.050649,593.263381
4766_3,27.950647,594.269283
7354_4,28.300654,763.462086
5278_1,14.750384,627.061705
3255_2,14.800385,483.184115
3410_3,9.150272,495.077715
3537_4,29.200672,504.308068
4282_2,29.10067,559.311776
3114_4,15.850406,473.10593
7952_1,10.700303,799.099775
3475_0,11.800325,499.182755
4060_2,12.000329,543.169435
4074_0,11.55032,544.175338
4088_3,11.750324,545.16687
8055_2,11.500319,806.169833
8063_3,11.55032,806.667994
12075_2,11.300315,1043.208366
12090_2,11.400317,1044.209478
14007_0,11.400317,1177.208951
5121_3,19.000469,616.423089
5142_5,19.000469,617.424201
5159_3,19.05047,618.425314
5173_1,19.300475,619.431216
7593_3,18.950468,778.473984
7613_3,19.000469,779.475096
8209_1,19.05047,814.451764
8229_1,19.05047,815.452876
8243_1,19.05047,816.449199
8260_1,18.700463,817.450311
8383_1,18.900467,824.482049
8406_1,18.900467,825.483161
8428_1,18.950468,826.484274
8445_1,19.000469,827.485386
8720_3,19.05047,841.477011
9339_1,18.700463,878.393633
9364_1,18.650462,879.399536
16690_0,19.05047,1396.90764
742_1,9.700283,249.0627
1916_3,9.700283,371.097835
2130_0,10.250294,391.196725
3534_1,9.600281,504.154788
13196_2,16.750424,1118.569624
13210_2,16.850426,1119.580316
15203_0,16.300415,1264.631459
15214_0,16.400417,1265.627782
15228_0,16.150412,1266.638474
13542_2,17.250434,1144.588969
178_1,3.700164,165.01715
189_2,3.800166,167.033745
251_0,3.750165,179.032725
515_1,3.800166,219.067645
824_0,3.750165,259.059455
836_1,3.750165,261.08563
1223_1,3.750165,303.050925
1248_1,3.750165,305.06752
1260_1,3.750165,306.068633
1473_0,3.750165,327.048885
1939_0,3.750165,373.05216
578_2,16.450418,229.05961
1702_3,16.450418,349.11647
420_2,7.050231,205.05207
709_0,7.00023,245.0822
1085_1,7.050231,289.06888
1099_0,7.050231,290.074783
1303_0,7.00023,311.055035
1777_0,7.00023,357.05831
1938_0,7.00023,373.02342
10601_8,24.700583,952.523859
11367_6,24.700583,998.527134
43_9,16.950428,125.02534
1057_8,16.900427,287.057075
103_8,15.900407,145.02843
578_1,15.900407,229.05961
1251_0,16.500419,305.12979
1714_2,16.400417,350.122373
1916_5,15.950408,371.097835
3855_2,29.400676,527.285756
3866_3,29.450677,528.286868
9895_3,20.650502,910.405284
4372_0,10.650302,566.147123
910_2,9.200273,271.058435
4330_0,9.300275,563.383286
4331_0,9.300275,563.445556
613_3,7.900248,233.13112
948_3,7.850247,275.149105
4740_0,8.00025,593.14842
4750_1,7.950249,593.402291
4754_0,8.00025,593.713642
4755_0,8.00025,593.780702
4763_1,7.850247,594.154323
4768_0,7.950249,594.465674
4777_0,8.550261,595.155435
4785_0,7.950249,595.476366
1501_0,11.750324,329.13733
1515_0,11.800325,330.143233
4507_0,11.700323,577.15457
4516_0,11.650322,577.398861
4518_0,11.700323,577.465921
4522_0,11.700323,577.715002
4524_0,11.700323,577.777272
4530_1,11.650322,578.155683
4538_0,11.650322,578.471824
4546_2,11.750324,579.147215
4556_0,11.700323,579.472936
4569_4,11.850326,580.153118
6065_2,11.450318,676.049158
2723_1,9.450278,445.13226
4489_0,9.500279,575.430166
4517_2,9.650282,577.446761
4568_2,9.650282,580.133958
6351_2,9.500279,695.142145
6364_0,9.500279,696.152838
6604_1,9.55028,713.1478
6619_1,9.500279,714.148913
6975_1,9.500279,739.167145
9053_1,9.400277,863.180555
9089_3,9.400277,865.19715
9096_1,9.500279,865.503711
9097_2,9.800285,865.580351
9100_0,9.500279,865.896492
9101_1,9.500279,865.958762
9104_2,9.400277,866.198263
9113_2,9.500279,866.586254
9126_2,9.400277,867.204166
9134_1,9.500279,867.592156
9146_2,9.450278,868.205278
10029_2,9.450278,918.107623
10042_1,9.55028,919.118315
10058_2,9.500279,920.114638
