"feature_id","TIC","norm_TIC","actual_mz","actual_rt","sample_name"
"102_0",25510.4467773438,119741.342811477,144.065628051758,0.7123,"T35_DN904_2"
"10218_0",86071.609375,404004.295748384,929.067565917969,13.9307833333333,"T35_DN904_2"
"10238_0",18653.5092773438,87556.1399810204,930.073547363281,13.7878,"T35_DN904_2"
"10383_0",5564.43688964844,26118.4428078291,939.104125976562,12.0053833333333,"T35_DN904_2"
"104_0",19445.7198486328,91274.6306222681,145.060821533203,0.723033333333333,"T35_DN904_2"
"10543_0",25430.3140869141,119365.214708394,949.089538574219,11.7665666666667,"T35_DN904_2"
"10576_1",636803.235839844,2989037.20627413,951.109985351562,11.7951666666667,"T35_DN904_2"
"10576_2",10310.6818237305,48396.4431376347,951.105163574219,12.8253666666667,"T35_DN904_2"
"10591_0",244777.332519531,1148939.7556036,952.11669921875,11.7629833333333,"T35_DN904_2"
"10607_1",32162.0856933594,150962.911867184,953.117309570312,11.7808666666667,"T35_DN904_2"
"10608_0",1118.70422363281,5250.99176489654,953.130920410156,11.6493333333333,"T35_DN904_2"
"1074_1",19868.6890869141,93259.970393139,288.085693359375,7.1424,"T35_DN904_2"
"1074_2",80139.5093994141,376160.110071502,288.087921142578,9.64486666666667,"T35_DN904_2"
"1074_3",2854.63397216797,13399.1265635624,288.089080810547,11.2819,"T35_DN904_2"
"1083_2",8185.80885314941,38422.6804269339,289.010040283203,9.296,"T35_DN904_2"
"1083_3",17591.4403381348,82570.983819342,289.010162353516,10.9963,"T35_DN904_2"
"1086_0",2690.88983154297,12630.5416992095,289.092254638672,7.14596666666667,"T35_DN904_2"
"1086_1",10372.5823974609,48686.9930399543,289.091217041016,9.65201666666667,"T35_DN904_2"
"1126_1",1891.16604614258,8876.78541348395,293.176055908203,23.1956666666667,"T35_DN904_2"
"1155_3",8408.57916259766,39468.323265912,296.040100097656,16.5218666666667,"T35_DN904_2"
"1163_2",5472.72482299805,25687.9632435713,297.061309814453,9.46328333333333,"T35_DN904_2"
"1181_3",19339.5987548828,90776.5177363138,298.980987548828,9.2817,"T35_DN904_2"
"1181_5",46436.6153259277,217964.927203269,298.982788085938,10.6474,"T35_DN904_2"
"1181_6",26176.798248291,122869.073995961,298.980987548828,11.95175,"T35_DN904_2"
"1181_7",15936.1930236816,74801.5575193003,298.983673095703,13.1462833333333,"T35_DN904_2"
"1188_3",14412.3329162598,67648.8385915554,299.223480224609,29.2131666666667,"T35_DN904_2"
"1191_4",4444.59698486328,20862.1203645884,299.989288330078,10.7181666666667,"T35_DN904_2"
"120_2",4321.71115112305,20285.3168741206,151.002487182617,7.1281,"T35_DN904_2"
"120_4",17952.9396514893,84267.7950741311,151.003234863281,9.46686666666667,"T35_DN904_2"
"120_5",25965.8302001953,121878.828799953,151.001907348633,11.7880166666667,"T35_DN904_2"
"1201_1",14475.7369995117,67946.4456908972,300.996154785156,7.27466666666667,"T35_DN904_2"
"1201_2",47794.9357910156,224340.633512042,300.997314453125,9.4883,"T35_DN904_2"
"1201_3",117894.48059082,553374.997279303,300.998107910156,10.686,"T35_DN904_2"
"1201_4",71426.9826049805,335265.112553348,300.998291015625,12.8289333333333,"T35_DN904_2"
"1201_5",27924.2310943604,131071.202217685,300.996337890625,14.3082333333333,"T35_DN904_2"
"1215_3",15526.9944152832,72880.8545510665,301.996459960938,10.6824333333333,"T35_DN904_2"
"1222_2",134328.584335327,630513.656098013,303.013793945312,11.7558333333333,"T35_DN904_2"
"1222_3",197574.308532715,927377.44717851,303.010955810547,13.0533666666667,"T35_DN904_2"
"1222_4",233732.93170166,1097099.3705244,303.013122558594,13.09625,"T35_DN904_2"
"1222_5",51442.1776123047,241460.11546589,303.012969970703,13.82355,"T35_DN904_2"
"1248_1",12432.664932251,58356.6413676076,305.045166015625,4.76515,"T35_DN904_2"
"12647_0",6049.50527954102,28395.2645690506,1081.08154296875,14.6864333333333,"T35_DN904_2"
"12973_0",130114.891113281,610735.355505822,1103.12268066406,12.7967666666667,"T35_DN904_2"
"12984_0",43694.0018310547,205091.604146432,1104.12072753906,12.7753166666667,"T35_DN904_2"
"12995_0",17187.5431518555,80675.1647509825,1105.126953125,12.8074833333333,"T35_DN904_2"
"1319_0",152851.183044434,717455.325961526,312.01953125,13.8020833333333,"T35_DN904_2"
"1354_6",4435.39086914062,20818.90855147,315.072875976562,8.77911666666667,"T35_DN904_2"
"1379_2",20688.2935028076,97107.0427000211,316.990600585938,10.6188,"T35_DN904_2"
"138_3",11128.0212554932,52232.8840258027,155.029846191406,9.49901666666667,"T35_DN904_2"
"1380_5",30506.8565673828,143193.570940505,317.033233642578,12.3049333333333,"T35_DN904_2"
"1394_2",14931.5305786133,70085.8568773348,319.010894775391,7.29611666666667,"T35_DN904_2"
"1420_1",7428.43449401855,34867.7045550941,321.025115966797,6.92503333333333,"T35_DN904_2"
"1420_2",54825.9209442139,257342.783998846,321.0244140625,9.18521666666667,"T35_DN904_2"
"1420_3",467173.620117188,2192827.00484148,321.025451660156,9.87721666666667,"T35_DN904_2"
"1420_4",446772.720947266,2097068.93825452,321.023956298828,11.7629833333333,"T35_DN904_2"
"1420_5",87753.0220336914,411896.537359407,321.02294921875,12.06615,"T35_DN904_2"
"1420_6",69252.4495697021,325058.254637266,321.019592285156,14.23675,"T35_DN904_2"
"1430_1",63746.4464111328,299214.089010309,322.028472900391,9.87363333333333,"T35_DN904_2"
"1430_2",66429.2379150391,311806.618649824,322.029846191406,11.74155,"T35_DN904_2"
"1436_2",175081.478820801,821800.243578671,323.036712646484,10.6895833333333,"T35_DN904_2"
"1436_3",1073620.23828125,5039375.83388575,323.040344238281,11.8809833333333,"T35_DN904_2"
"1443_0",6784.39208984375,31844.6880247873,323.539398193359,9.48115,"T35_DN904_2"
"1443_1",30884.166229248,144964.593061827,323.539184570312,10.6366833333333,"T35_DN904_2"
"1443_2",327544.279785156,1537432.5755253,323.542205810547,11.87025,"T35_DN904_2"
"14483_0",2343.26171875,10998.8393073165,1210.54956054688,23.2313333333333,"T35_DN904_2"
"1453_3",8782.95062255859,41225.5540081751,325.053619384766,7.04658333333333,"T35_DN904_2"
"1453_5",18847.5293884277,88466.8346794081,325.055816650391,9.12516666666667,"T35_DN904_2"
"1453_6",55984.4575805664,262780.7417792,325.056976318359,10.7289333333333,"T35_DN904_2"
"1453_8",52465.9875488281,246265.690909277,325.050354003906,12.1976833333333,"T35_DN904_2"
"1453_9",28747.0639038086,134933.428009832,325.056335449219,12.8897,"T35_DN904_2"
"1463_3",1524.31527709961,7154.85541045317,326.059112548828,7.03586666666667,"T35_DN904_2"
"147_0",3428.97569274902,16094.9809112059,158.043594360352,0.758766666666667,"T35_DN904_2"
"14753_0",2018.06890869141,9472.44409797678,1231.06799316406,23.7375,"T35_DN904_2"
"1479_1",7347.28686523438,34486.8125181419,327.215087890625,18.5718333333333,"T35_DN904_2"
"1522_0",18086.5685577393,84895.0245700494,331.063079833984,1.53586666666667,"T35_DN904_2"
"1522_4",3317.1929473877,15570.2932744293,331.067413330078,8.51891666666667,"T35_DN904_2"
"1526_3",2689.60400390625,12624.5062608971,331.249389648438,23.4988333333333,"T35_DN904_2"
"1547_0",2136.14837646484,10026.6873910505,333.059539794922,0.730166666666667,"T35_DN904_2"
"155_1",57936.456741333,271943.066638388,160.008270263672,9.49545,"T35_DN904_2"
"155_2",52956.3397827148,248567.314061889,160.008193969727,10.6366833333333,"T35_DN904_2"
"1555_0",328655.518096924,1542648.52367376,334.030303955078,11.8917,"T35_DN904_2"
"1555_1",33844.8102416992,158861.311246806,334.028594970703,12.89685,"T35_DN904_2"
"15592_1",1813.30133056641,8511.30276701752,1295.17700195312,9.47043333333333,"T35_DN904_2"
"156_0",31555.1931152344,148114.269784148,160.061294555664,0.698,"T35_DN904_2"
"1560_0",33308.5863647461,156344.375042813,334.531188964844,10.6188,"T35_DN904_2"
"1564_3",1826.81011962891,8574.71053702715,335.21875,30.1861666666667,"T35_DN904_2"
"1609_0",16762.0505065918,78677.9805720865,341.049194335938,2.78001666666667,"T35_DN904_2"
"1609_1",24952.754119873,117123.636102359,341.049987792969,2.86508333333333,"T35_DN904_2"
"1609_2",8268.77966308594,38812.1301407186,341.051177978516,7.05731666666667,"T35_DN904_2"
"1612_0",1688.564453125,7925.81081804038,341.107879638672,0.698,"T35_DN904_2"
"1635_0",2235.35888671875,10492.3632697405,343.007690429688,6.90001666666667,"T35_DN904_2"
"1635_2",18214.8848266602,85497.3175239616,343.008209228516,9.87721666666667,"T35_DN904_2"
"1635_3",16990.0701751709,79748.2629368523,342.996124267578,11.7379666666667,"T35_DN904_2"
"1637_1",144010.471679688,675958.653658494,343.064910888672,2.88296666666667,"T35_DN904_2"
"1637_3",690865.095703125,3242793.62815947,343.065795898438,7.28896666666667,"T35_DN904_2"
"1637_4",121378.999023438,569730.68559063,343.064788818359,9.4883,"T35_DN904_2"
"1637_6",186335.64012146,874625.205764543,343.063873291016,11.0964,"T35_DN904_2"
"1637_7",20101.5918731689,94353.1732136972,343.067932128906,14.16955,"T35_DN904_2"
"1656_1",1409.11193847656,6614.11213835415,344.069671630859,2.74785,"T35_DN904_2"
"1656_2",18271.9130249023,85764.9973923402,344.066467285156,2.8794,"T35_DN904_2"
"1656_3",100697.684326172,472656.400119603,344.069458007812,7.28538333333333,"T35_DN904_2"
"1656_4",15604.5288696289,73244.7870120908,344.070373535156,9.45971666666667,"T35_DN904_2"
"1668_0",3078.56498718262,14450.2175408794,345.067291259766,2.89726666666667,"T35_DN904_2"
"1668_1",19340.0788879395,90778.7713925289,345.073364257812,7.28538333333333,"T35_DN904_2"
"1668_3",2752.96914672852,12921.9305810277,345.066864013672,9.46686666666667,"T35_DN904_2"
"1801_1",8416.00482177734,39503.1779436524,359.064086914062,2.86508333333333,"T35_DN904_2"
"1856_1",19439.1837158203,91243.9512176072,365.047119140625,2.8794,"T35_DN904_2"
"1856_3",25629.2346191406,120298.911081864,365.050018310547,7.28896666666667,"T35_DN904_2"
"1856_5",18568.8592529297,87158.8083434826,365.045623779297,9.49186666666666,"T35_DN904_2"
"188_1",33195.4767456055,155813.459304684,166.998641967773,2.76573333333333,"T35_DN904_2"
"188_2",12854.0341491699,60334.4709326353,166.993499755859,7.26751666666667,"T35_DN904_2"
"188_3",22908.6318435669,107528.902291067,166.997543334961,9.49901666666667,"T35_DN904_2"
"1921_1",2863.43206787109,13440.4232057918,371.237365722656,28.2865,"T35_DN904_2"
"1943_1",2855.35052490234,13402.4899302396,373.151672363281,8.51891666666667,"T35_DN904_2"
"1979_2",8905.30844116211,41799.879092755,377.068054199219,2.88296666666667,"T35_DN904_2"
"199_0",127437.429946899,598167.845489773,169.01335144043,1.69598333333333,"T35_DN904_2"
"199_1",89043.8713378906,417955.546454823,169.012588500977,2.8794,"T35_DN904_2"
"199_3",34275.2187805176,160881.569725439,169.008316040039,6.36171666666667,"T35_DN904_2"
"199_4",203767.576293945,956447.50638184,169.013397216797,6.93218333333333,"T35_DN904_2"
"199_5",312207.498046875,1465444.54427767,169.014236450195,9.86291666666667,"T35_DN904_2"
"199_7",244290.315765381,1146653.78857909,169.014755249023,13.1920333333333,"T35_DN904_2"
"199_8",50496.645980835,237021.963981868,169.013229370117,14.0873333333333,"T35_DN904_2"
"2035_0",10851.8067626953,50936.3840248313,383.117126464844,0.769483333333333,"T35_DN904_2"
"2051_0",1055.54418945312,4954.53018699069,384.118835449219,0.765916666666667,"T35_DN904_2"
"206_0",2240.18115234375,10514.9980972043,170.016418457031,1.69598333333333,"T35_DN904_2"
"206_4",11466.2011108398,53820.2380358848,170.016418457031,6.9143,"T35_DN904_2"
"206_5",23519.4314880371,110395.88342456,170.017700195312,9.86291666666667,"T35_DN904_2"
"2091_0",66690.4944152832,313032.908586276,388.022705078125,14.7893666666667,"T35_DN904_2"
"211_0",47768.0165405273,224214.279503855,171.030197143555,9.48115,"T35_DN904_2"
"2133_0",4687.87892150879,22004.0410071379,391.946990966797,1.69241666666667,"T35_DN904_2"
"2146_4",10873.9213562012,51040.1858572819,393.045196533203,13.1498666666667,"T35_DN904_2"
"220_0",4893.47119140625,22969.0532895196,173.044677734375,0.773066666666667,"T35_DN904_2"
"220_1",50734.5872802734,238138.816656137,173.039749145508,2.87225,"T35_DN904_2"
"220_3",21862.6271057129,102619.148534459,173.042724609375,7.27823333333333,"T35_DN904_2"
"220_4",98621.8105163574,462912.630452852,173.044296264648,9.474,"T35_DN904_2"
"220_5",144307.976913452,677355.0884797,173.043533325195,11.08925,"T35_DN904_2"
"220_6",57313.0068511963,269016.707579599,173.041229248047,11.7701333333333,"T35_DN904_2"
"2226_1",146431.736816406,687323.626655784,399.044525146484,11.8344833333333,"T35_DN904_2"
"2226_3",1033125.35253906,4849300.29196802,399.045104980469,12.8289333333333,"T35_DN904_2"
"2235_0",18184.7745666504,85355.9855042819,399.545562744141,10.67885,"T35_DN904_2"
"2235_1",451413.762084961,2118853.1313234,399.54443359375,12.88255,"T35_DN904_2"
"2282_0",21497.8427734375,100906.918005355,405.099060058594,0.769483333333333,"T35_DN904_2"
