"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngF",1,"1479_1",57,4591.25,327.216535541339,18.6004609325803,"C18",0,0,0,"no_spec"
"IngF",2,"2030_1",129,4424.32666666667,382.986644966612,22.5505396996352,"C18",0,0,0,"no_spec"
"IngF",3,"888_6",456,2340.5,269.046630116575,16.8004250387326,"C18",0,0,0,"no_spec"
"IngF",4,"670_4",648,3974.9,241.0346400866,10.900307386676,"C18",0,0,0,"no_spec"
"IngF",5,"1248_2",835,2715.65,305.0675201688,6.65022263731321,"C18",0,0,0,"no_spec"
"IngF",6,"2342_6",934,7696.33333333333,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngF",7,"408_1",2316,4226.33,203.083375208438,5.25019471987606,"C18",0,0,0,"no_spec"
"IngF",8,"328_3",2708,2224.17,191.055655139138,8.65026251936628,"C18",0,0,0,"no_spec"
"IngF",9,"1380_5",3034,5005.52,317.02818007045,11.0003093807787,"C18",0,0,0,"no_spec"
"IngF",10,"1397_0",3157,4310.92,319.083095207738,7.30023559898046,"C18",0,0,0,"no_spec"
"IngF",11,"1521_2",3613,5488.39,331.043755109388,12.5503402893698,"C18",0,0,0,"no_spec"
"IngF",12,"9954_1",3776,2759.81,913.178700446751,2.3501368908991,"C18",0,0,0,"no_spec"
"IngF",13,"2381_4",4024,1904.045,413.144560361401,13.8503662127043,"C18",0,0,0,"no_spec"
"IngF",14,"366_1",4308,6343.73,196.061217653044,5.55020070218402,"C18",0,0,0,"no_spec"
"IngF",15,"1692_1",6423,6185.37,348.072247680619,8.300255540007,"C18",0,0,0,"no_spec"
"IngF",16,"199_5",6442,3261.69333333333,169.01202003005,8.85026650757159,"C18",0,0,0,"no_spec"
"IngF",17,"2869_1",6971,4545.76,455.061955154888,8.85026650757159,"C18",0,0,0,"no_spec"
"IngF",18,"3409_3",12,2688.09,495.077715194288,9.15027248987955,"C18",1,1,1,"no_spec"
"IngF",19,"1637_3",22,3493.71333333333,343.066685166713,6.95022861962117,"C18",1,1,1,"matched"
"IngF",20,"199_0",96,20767.07,169.01202003005,1.70012392923185,"C18",1,1,4,"matched"
"IngF",21,"43_0",96,13441.1416666667,125.02534006335,1.70012392923185,"C18",1,1,4,"no_spec"
"IngF",22,"2133_0",96,5403.89,391.943967359918,1.75012492628317,"C18",1,1,4,"matched"
"IngF",23,"38_0",96,2407.616,123.008745021863,1.75012492628317,"C18",0,0,4,"no_spec"
"IngF",24,"547_0",96,2121.07,223.939087347718,1.8001259233345,"C18",0,0,4,"no_spec"
"IngF",25,"1637_1",141,5021.16,343.066685166713,2.85014686141236,"C18",1,1,1,"matched"
"IngF",26,"1534_3",162,656860.666666667,332.073607684019,9.10027149282823,"C18",1,1,7,"matched"
"IngF",27,"3269_4",162,319596.25,484.079847699619,9.10027149282823,"C18",1,1,7,"matched"
"IngF",28,"1548_2",162,114841.166666667,333.079510198775,9.0502704957769,"C18",1,1,7,"matched"
"IngF",29,"3282_2",162,77005.0233333333,485.085750214376,9.10027149282823,"C18",0,0,7,"no_spec"
"IngF",30,"10901_0",162,63611.225,969.183520458801,9.0502704957769,"C18",1,1,7,"matched"
"IngF",31,"1534_2",164,336277.05,332.073607684019,6.60022164026188,"C18",1,1,5,"matched"
"IngF",32,"262_3",164,68505.0166666667,180.067367668419,6.50021964615923,"C18",0,0,5,"no_spec"
"IngF",33,"1548_1",164,58448.1333333333,333.079510198775,6.60022164026188,"C18",0,0,5,"no_spec"
"IngF",34,"5896_0",164,40737.175,665.161460403651,6.55022064321056,"C18",1,1,5,"matched"
"IngF",35,"1750_0",164,20443.13,354.059762649407,6.60022164026188,"C18",0,0,5,"no_spec"
"IngF",36,"2741_2",211,2843.36,447.091375228438,12.4503382952671,"C18",1,1,1,"matched"
"IngF",37,"3269_5",220,142314.55,484.079847699619,10.750304395522,"C18",1,1,10,"matched"
"IngF",38,"5420_2",220,59288.5,636.090877727194,10.0502904368034,"C18",1,1,10,"matched"
"IngF",39,"1534_4",220,39691.8333333333,332.073607684019,10.8003053925733,"C18",1,1,10,"no_spec"
"IngF",40,"3282_3",220,34234.0266666667,485.085750214376,10.8003053925733,"C18",1,1,10,"matched"
"IngF",41,"5435_2",220,18403.156,637.091990229976,10.7003033984707,"C18",1,1,10,"matched"
"IngF",42,"5401_2",285,5052.914,635.089765224413,9.45027847218752,"C18",1,1,1,"matched"
"IngF",43,"5420_1",285,1808.78666666667,636.090877727194,9.35027647808486,"C18",0,0,1,"no_spec"
"IngF",44,"3250_2",310,48077.105,483.078735196838,7.20023360487781,"C18",1,1,2,"matched"
"IngF",45,"3269_3",310,11574.292,484.079847699619,7.20023360487781,"C18",1,1,2,"no_spec"
"IngF",46,"3216_3",310,5412.618,481.06214015535,7.15023260782648,"C18",0,0,2,"no_spec"
"IngF",47,"262_0",328,56089.8333333333,180.067367668419,1.30011595282123,"C18",1,1,6,"matched"
"IngF",48,"168_0",328,10997.9716666667,163.038875097188,1.30011595282123,"C18",0,0,6,"no_spec"
"IngF",49,"2035_0",328,10600.9566666667,383.120765301913,1.2501149557699,"C18",1,1,6,"matched"
"IngF",50,"273_0",328,5221.70166666667,181.0684801712,1.30011595282123,"C18",1,1,6,"no_spec"
"IngF",51,"994_0",328,4750.354,280.997709994275,1.30011595282123,"C18",0,0,6,"no_spec"
"IngF",52,"2966_2",340,21519.1366666667,463.085225213063,11.05031037783,"C18",1,1,2,"matched"
"IngF",53,"2992_0",340,6469.1,464.091127727819,11.0003093807787,"C18",1,1,2,"matched"
"IngF",54,"1368_0",340,2609.18,316.022277555694,10.9503083837273,"C18",0,0,2,"no_spec"
"IngF",55,"3439_4",340,2387.29666666667,497.07994019985,10.9503083837273,"C18",0,0,2,"no_spec"
"IngF",56,"5090_4",387,92761.6154545454,615.096255240638,13.4503582362937,"C18",1,1,4,"matched"
"IngF",57,"5110_2",387,44060.4983333333,616.102157755394,13.4503582362937,"C18",1,1,4,"matched"
"IngF",58,"1380_6",387,12250.496,317.02818007045,13.4503582362937,"C18",0,0,4,"no_spec"
"IngF",59,"5134_4",387,11558.81,617.112850282126,13.4503582362937,"C18",1,1,4,"matched"
"IngF",60,"5434_2",387,8049.5575,637.07762019405,13.4003572392423,"C18",1,1,4,"matched"
"IngF",61,"6052_1",426,2229.88428571429,675.35939589849,27.1506314283572,"C18",1,1,1,"matched"
"IngF",62,"3162_2",533,3863.88,477.100800252001,10.5503004073167,"C18",1,1,1,"matched"
"IngF",63,"1248_1",572,22593.326,305.0675201688,3.75016480833625,"C18",1,1,3,"matched"
"IngF",64,"1223_1",572,8067.435,303.050925127313,3.75016480833625,"C18",1,1,3,"matched"
"IngF",65,"1260_1",572,4447.56,306.068632671582,3.75016480833625,"C18",1,1,3,"no_spec"
"IngF",66,"251_0",572,2650.875,179.032725081813,3.75016480833625,"C18",0,0,3,"no_spec"
"IngF",67,"178_1",572,2368.68333333333,165.017150042875,3.70016381128492,"C18",0,0,3,"no_spec"
"IngF",68,"4835_4",606,4365.4,599.102405256013,14.8503861537308,"C18",1,1,1,"matched"
"IngF",69,"1127_6",698,2018.57333333333,293.212240530601,29.7506832750262,"C18",1,1,1,"no_spec"
"IngF",70,"2899_1",790,16681.210625,457.078550196375,8.80026551052027,"C18",1,1,6,"matched"
"IngF",71,"1248_3",790,15177.2115789474,305.0675201688,8.75026451346894,"C18",1,1,6,"matched"
"IngF",72,"1260_3",790,7436.29,306.068632671582,8.70026351641761,"C18",1,1,6,"no_spec"
"IngF",73,"7306_3",790,7000.60666666667,761.134140335351,8.20025354590434,"C18",1,1,6,"no_spec"
"IngF",74,"2911_1",790,5098.23636363636,458.079662699157,8.80026551052027,"C18",1,1,6,"matched"
"IngF",75,"2780_3",801,2627.745,449.069650174125,10.6503024014194,"C18",1,1,1,"no_spec"
"IngF",76,"7306_2",884,5340.12,761.134140335351,6.95022861962117,"C18",1,1,1,"matched"
"IngF",77,"7325_2",884,4571.87,762.140042850107,6.95022861962117,"C18",0,0,1,"no_spec"
"IngF",78,"3208_0",974,21998.105,480.310108275271,30.2506932455395,"C18",1,1,2,"no_spec"
"IngF",79,"4025_0",974,12586.5716666667,540.328958322396,30.3006942425908,"C18",1,1,2,"matched"
"IngF",80,"3226_2",974,5016.01666666667,481.311220778052,30.3006942425908,"C18",0,0,2,"no_spec"
"IngF",81,"4040_1",974,2901.81,541.334860837152,30.3506952396422,"C18",0,0,2,"no_spec"
"IngF",82,"3536_4",975,10078.3618181818,504.308068270171,29.2006723074616,"C18",1,1,2,"matched"
"IngF",83,"4343_0",975,6973.9375,564.331708329271,29.250673304513,"C18",1,1,2,"matched"
"IngF",84,"3555_1",975,3714.44166666667,505.313970784927,29.250673304513,"C18",0,0,2,"no_spec"
"IngF",85,"4362_1",975,2406.194,565.332820832052,29.250673304513,"C18",0,0,2,"no_spec"
"IngF",86,"3250_3",1020,9624.62142857143,483.078735196838,9.15027248987955,"C18",1,1,1,"matched"
"IngF",87,"5420_1",1020,5299.72,636.090877727194,9.35027647808486,"C18",0,0,1,"no_spec"
"IngF",88,"670_3",1020,3529.78666666667,241.0346400866,9.30027548103354,"C18",0,0,1,"no_spec"
"IngF",89,"3188_0",1046,2221.62333333333,479.083865209663,9.95028844270078,"C18",1,1,1,"matched"
"IngF",90,"1522_0",1128,7282.10764705882,331.067705169263,1.50011994102654,"C18",1,1,1,"matched"
"IngF",91,"199_4",1186,12524.691,169.01202003005,7.0002296166725,"C18",1,1,1,"matched"
"IngF",92,"2837_1",1189,10551.9516666667,452.278958197395,30.2006922484882,"C18",1,1,1,"matched"
"IngF",93,"2851_3",1189,2231.57,453.280070700177,30.3006942425908,"C18",0,0,1,"no_spec"
"IngF",94,"792_0",1189,1647.342,255.232235580589,30.3006942425908,"C18",0,0,1,"no_spec"
"IngF",95,"5420_3",1227,4679.392,636.090877727194,12.0503303188565,"C18",1,1,2,"matched"
"IngF",96,"7754_2",1227,4299.35,788.101907754769,12.0503303188565,"C18",1,1,2,"matched"
"IngF",97,"7306_1",1253,4546.07,761.134140335351,5.700203693338,"C18",1,1,1,"matched"
"IngF",98,"1127_5",1383,2488.117,293.212240530601,27.6506413988705,"C18",1,1,1,"matched"
"IngF",99,"3357_1",1446,1874.28,491.140325350813,7.40023759308311,"C18",1,1,1,"matched"
"IngF",100,"2353_0",1528,3321.92333333333,411.022585056463,3.00014985256635,"C18",1,1,1,"matched"
"IngF",101,"3514_0",1586,5365.52333333333,502.291473228683,27.8006443900245,"C18",1,1,2,"no_spec"
"IngF",102,"4315_0",1586,3180.78,562.315113287783,27.8006443900245,"C18",1,1,2,"matched"
"IngF",103,"3527_1",1586,1844.635,503.297375743439,27.9006463841271,"C18",0,0,2,"no_spec"
"IngF",104,"4993_1",1689,4776.85666666667,609.123110307776,2.65014287320706,"C18",1,1,1,"no_spec"
"IngF",105,"2682_0",1689,2355.24,441.079910199775,2.65014287320706,"C18",0,0,1,"no_spec"
"IngF",106,"1420_3",1716,14932.458,321.023050057625,9.85028644859813,"C18",1,1,1,"matched"
"IngF",107,"199_5",1716,9115.082,169.01202003005,8.85026650757159,"C18",0,0,1,"no_spec"
"IngF",108,"1148_3",1755,4681.625,295.228835572089,28.950667322205,"C18",1,1,1,"matched"
"IngF",109,"3157_1",1966,6493.035,476.276918192295,29.1506713104103,"C18",1,1,1,"matched"
"IngF",110,"3169_0",1966,2404.8,477.282820707052,29.2006723074616,"C18",0,0,1,"no_spec"
"IngF",111,"5401_2",2132,10575.8866666667,635.089765224413,9.45027847218752,"C18",1,1,2,"matched"
"IngF",112,"199_5",2132,5103.6825,169.01202003005,8.85026650757159,"C18",0,0,2,"no_spec"
"IngF",113,"5420_2",2132,4448.9,636.090877727194,10.0502904368034,"C18",1,1,2,"matched"
"IngF",114,"670_3",2132,2012.14,241.0346400866,9.30027548103354,"C18",0,0,2,"no_spec"
"IngF",115,"328_0",2251,8069.102,191.055655139138,2.05013090859113,"C18",1,1,4,"no_spec"
"IngF",116,"1609_0",2251,3692.7475,341.050090125225,2.00012991153981,"C18",1,1,4,"matched"
"IngF",117,"1637_0",2251,2926.74333333333,343.066685166713,2.05013090859113,"C18",1,1,4,"matched"
"IngF",118,"1856_0",2251,2088.87666666667,365.048050120125,2.00012991153981,"C18",1,1,4,"no_spec"
"IngF",119,"17246_0",2306,5988.81,1455.27872569681,9.00026949872557,"C18",0,0,1,"no_spec"
"IngF",120,"17234_0",2306,5766.84,1454.27761319403,9.00026949872557,"C18",1,1,1,"matched"
"IngF",121,"10947_0",2306,4403.87,972.186857967145,9.00026949872557,"C18",0,0,1,"no_spec"
"IngF",122,"19145_0",2306,3850.37,1697.31803079508,8.95026850167425,"C18",0,0,1,"no_spec"
"IngF",123,"19149_0",2306,3730.65,1697.82098205246,8.95026850167425,"C18",0,0,1,"no_spec"
"IngF",124,"9953_0",2368,1838.436,913.145170362926,8.40025753410965,"C18",1,1,1,"matched"
"IngF",125,"3409_2",2459,13550.3,495.077715194288,6.95022861962117,"C18",1,1,3,"matched"
"IngF",126,"1637_3",2459,4671.03,343.066685166713,6.95022861962117,"C18",1,1,3,"matched"
"IngF",127,"3426_1",2459,2720.71,496.078827697069,7.05023061372382,"C18",1,1,3,"matched"
"IngF",128,"2899_2",2489,12593.2371428571,457.078550196375,10.900307386676,"C18",1,1,2,"matched"
"IngF",129,"2911_2",2489,4316.47333333333,458.079662699157,10.8003053925733,"C18",0,0,2,"no_spec"
"IngF",130,"4992_2",2489,2989.59,609.084790211975,10.9503083837273,"C18",1,1,2,"matched"
"IngF",131,"7419_4",2549,3331.42,767.107285268213,14.7503841596282,"C18",1,1,1,"matched"
"IngF",132,"12420_1",2585,2018.34,1064.16945792364,8.5002595282123,"C18",1,1,1,"no_spec"
"IngF",133,"8620_0",2829,3070.27333333333,836.634309085773,8.40025753410965,"C18",1,1,2,"matched"
"IngF",134,"8606_0",2829,2446.85666666667,836.131357828394,8.45025853116098,"C18",1,1,2,"no_spec"
"IngF",135,"925_2",3116,7056.482,273.00318000795,6.65022263731321,"C18",0,0,1,"no_spec"
"IngF",136,"3455_0",3116,6323.66,498.066682666707,6.55022064321056,"C18",0,0,1,"no_spec"
"IngF",137,"1420_1",3116,4360.334,321.023050057625,6.80022562846719,"C18",1,1,1,"matched"
"IngF",138,"5306_4",3269,4597.76333333333,629.111830279576,15.0003891448848,"C18",1,1,2,"matched"
"IngF",139,"4835_4",3269,1898.62,599.102405256013,14.8503861537308,"C18",1,1,2,"matched"
"IngF",140,"3162_4",3291,7107.875,477.100800252001,12.7003432805238,"C18",1,1,1,"matched"
"IngF",141,"5090_5",3730,3227.03,615.096255240638,14.5503801714229,"C18",1,1,2,"matched"
"IngF",142,"7419_4",3730,3128.325,767.107285268213,14.7503841596282,"C18",1,1,2,"matched"
"IngF",143,"3282_1",3818,7183.22,485.085750214376,7.20023360487781,"C18",0,0,1,"no_spec"
"IngF",144,"1181_2",3818,4563.56,298.984204960512,6.65022263731321,"C18",0,0,1,"no_spec"
"IngF",145,"3546_1",3818,4033.1,505.055310138275,7.20023360487781,"C18",1,1,1,"matched"
"IngF",146,"1522_3",3818,3289.69,331.067705169263,7.25023460192913,"C18",0,0,1,"no_spec"
"IngF",147,"909_3",3818,3154.45,271.044065110163,7.25023460192913,"C18",0,0,1,"no_spec"
"IngF",148,"3130_0",4673,2477.41,474.260323150808,27.6006404018192,"C18",1,1,1,"matched"
"IngF",149,"5420_2",5486,7055.185,636.090877727194,10.0502904368034,"C18",1,1,1,"matched"
"IngF",150,"1396_2",5739,2182.025,319.044775111938,8.35025653705832,"C18",0,0,1,"no_spec"
"IngF",151,"2917_0",5739,1639.86666666667,459.080775201938,8.85026650757159,"C18",1,1,1,"matched"
"IngF",152,"3254_2",6525,2229.44,483.184115460289,14.8003851566795,"C18",1,1,1,"matched"
"IngF",153,"2282_1",6675,2191.0375,405.102130255326,4.30017577590085,"C18",1,1,1,"no_spec"
"IngF",154,"693_1",8110,2582.73,243.051235128088,3.95016879654156,"C18",1,1,1,"no_spec"
