"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngG",1,"2342_6",934,4805.86,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngG",2,"3208_0",974,10372.2366666667,480.310108275271,30.2506932455395,"C18",0,0,0,"no_spec"
"IngG",3,"2837_1",1189,4048.71666666667,452.278958197395,30.2006922484882,"C18",0,0,0,"no_spec"
"IngG",4,"4315_0",1586,3002.01,562.315113287783,27.8006443900245,"C18",0,0,0,"no_spec"
"IngG",5,"697_0",1905,6334.725,243.161405403513,22.1005307261732,"C18",0,0,0,"no_spec"
"IngG",6,"1480_0",1972,6073.86,327.254855637139,31.4507171747714,"C18",0,0,0,"no_spec"
"IngG",7,"1041_6",2044,9889.915,285.208130520326,27.3006344195112,"C18",0,0,0,"no_spec"
"IngG",8,"807_0",2458,7581.45,257.176980442451,24.1005706082263,"C18",0,0,0,"no_spec"
"IngG",9,"912_0",2577,9502.12,271.192555481389,25.8006045079714,"C18",0,0,0,"no_spec"
"IngG",10,"489_0",2903,3267.305,215.130255325638,17.6504419886051,"C18",0,0,0,"no_spec"
"IngG",11,"1335_4",3092,7636.14,313.239280598202,30.1006902543855,"C18",0,0,0,"no_spec"
"IngG",12,"353_1",3732,7543.4,194.082942707357,24.6505815757909,"C18",0,0,0,"no_spec"
"IngG",13,"462_2",4319,5804.29,211.135385338463,19.9504878529662,"C18",0,0,0,"no_spec"
"IngG",14,"1014_4",5020,3927.42,283.191535478839,25.6506015168174,"C18",0,0,0,"no_spec"
"IngG",15,"698_3",5116,2714.635,243.194935487339,24.8005845669449,"C18",0,0,0,"no_spec"
"IngG",16,"893_1",5230,3620.565,269.175960439901,23.8505656229697,"C18",0,0,0,"no_spec"
"IngG",17,"808_1",6111,3880.18,257.210510526276,26.50061846669,"C18",0,0,0,"no_spec"
"IngG",18,"1042_1",6131,3709.07,285.241660604151,29.5506792868209,"C18",0,0,0,"no_spec"
"IngG",19,"1169_0",6169,4284.37,297.207110517776,27.2506334224599,"C18",0,0,0,"no_spec"
"IngG",20,"913_1",6353,3879.805,271.226085565214,28.1006503723325,"C18",0,0,0,"no_spec"
"IngG",21,"2682_6",88,4093.29,441.079910199775,11.1003113748813,"C18",1,1,2,"matched"
"IngG",22,"1085_4",88,3084.798,289.0688801722,11.1503123719326,"C18",1,1,2,"matched"
"IngG",23,"1085_1",123,526300,289.0688801722,7.05023061372382,"C18",1,1,9,"matched"
"IngG",24,"1099_0",123,86721.44,290.074782686957,7.05023061372382,"C18",1,1,9,"matched"
"IngG",25,"709_0",123,51837.52,245.0822002055,7.0002296166725,"C18",0,0,9,"no_spec"
"IngG",26,"4545_0",123,39676.76,579.147215368038,7.0002296166725,"C18",1,1,9,"matched"
"IngG",27,"1057_3",123,33058.62,287.057075142688,6.95022861962117,"C18",0,0,9,"no_spec"
"IngG",28,"6838_1",147,5958.508,729.146440366101,9.8002854515468,"C18",1,1,1,"matched"
"IngG",29,"6848_1",147,2739.6,730.147552868882,9.75028445449548,"C18",0,0,1,"no_spec"
"IngG",30,"4505_2",150,18784.886,577.135410338526,8.25025454295567,"C18",1,1,5,"matched"
"IngG",31,"2489_2",150,5878.11066666667,425.08606021515,8.20025354590434,"C18",0,0,5,"no_spec"
"IngG",32,"4528_1",150,5548.702,578.136522841307,8.20025354590434,"C18",1,1,5,"no_spec"
"IngG",33,"6707_0",150,4618.314,720.15558788897,8.45025853116098,"C18",1,1,5,"matched"
"IngG",34,"1085_2",150,4553.72,289.0688801722,8.60026152231496,"C18",1,1,5,"matched"
"IngG",35,"710_1",197,30649.35,245.091780229451,10.750304395522,"C18",1,1,2,"matched"
"IngG",36,"408_4",197,14620.05,203.083375208438,10.8003053925733,"C18",1,1,2,"no_spec"
"IngG",37,"874_1",197,6630.59,267.073145182863,10.8003053925733,"C18",0,0,2,"no_spec"
"IngG",38,"720_3",197,4309.355,246.097682744207,10.8003053925733,"C18",0,0,2,"no_spec"
"IngG",39,"2741_2",211,90984.92,447.091375228438,12.4503382952671,"C18",1,1,3,"matched"
"IngG",40,"2763_3",211,20106.18,448.097277743194,12.5003392923185,"C18",1,1,3,"no_spec"
"IngG",41,"1202_5",211,7190.548,301.034330085825,12.3503363011645,"C18",0,0,3,"no_spec"
"IngG",42,"2781_5",211,3993.176,449.107970269926,12.5503402893698,"C18",1,1,3,"no_spec"
"IngG",43,"1192_3",211,3934.06,300.023637559094,12.3503363011645,"C18",0,0,3,"no_spec"
"IngG",44,"4505_1",251,236883.6,577.135410338526,6.75022463141586,"C18",1,1,10,"matched"
"IngG",45,"2489_1",251,81106.34,425.08606021515,6.70022363436454,"C18",1,1,10,"matched"
"IngG",46,"4528_0",251,74361.96,578.136522841307,6.70022363436454,"C18",1,1,10,"matched"
"IngG",47,"2302_1",251,23492.72,407.075615189038,6.70022363436454,"C18",0,0,10,"no_spec"
"IngG",48,"4836_0",251,21976.26,599.116775291938,6.70022363436454,"C18",0,0,10,"no_spec"
"IngG",49,"9088_3",261,26288.1313333333,865.197150492876,9.40027747513619,"C18",1,1,2,"matched"
"IngG",50,"9103_2",261,10096.1745,866.198262995657,9.40027747513619,"C18",1,1,2,"matched"
"IngG",51,"9125_2",261,6024.458,867.204165510414,9.40027747513619,"C18",0,0,2,"no_spec"
"IngG",52,"13650_0",261,3134.684,1152.75114937787,9.40027747513619,"C18",0,0,2,"no_spec"
