"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngM",1,"448_3",743,3698.965,209.02778006945,6.00020967564596,"C18",0,0,0,"no_spec"
"IngM",2,"1252_1",784,2118.07,305.158530396326,7.45023859013444,"C18",0,0,0,"no_spec"
"IngM",3,"2342_6",934,4815.09,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngM",4,"970_1",1190,3071.735,277.218390545976,29.250673304513,"C18",0,0,0,"no_spec"
"IngM",5,"408_1",2316,2759.90333333333,203.083375208438,5.25019471987606,"C18",0,0,0,"no_spec"
"IngM",6,"17781_0",4505,2818.666,1524.71952929882,18.2504539532211,"C18",0,0,0,"no_spec"
"IngM",7,"8325_1",4844,9146.525,821.397280993202,22.0005287320706,"C18",0,0,0,"no_spec"
"IngM",8,"18083_0",6897,2068.8975,1567.73862684657,18.550459935529,"C18",0,0,0,"no_spec"
"IngM",9,"8741_0",8465,2053.76,842.890064725162,14.5003791743715,"C18",0,0,0,"no_spec"
"IngM",10,"9769_0",8503,3953.81,903.39749599374,16.2004130741166,"C18",0,0,0,"no_spec"
"IngM",11,"3551_0",10218,2534.75,505.155900389751,9.35027647808486,"C18",0,0,0,"no_spec"
"IngM",12,"10889_3",29,109004.066666667,968.517708794272,25.5505995227148,"C18",1,1,6,"matched"
"IngM",13,"10099_4",29,99387.1666666667,922.514433786084,25.5005985256635,"C18",1,1,6,"matched"
"IngM",14,"10907_4",29,57611.0833333333,969.523611309028,25.5505995227148,"C18",1,1,6,"matched"
"IngM",15,"10120_3",29,52498.1166666667,923.515546288866,25.5005985256635,"C18",0,0,6,"no_spec"
"IngM",16,"10925_6",29,17565.4666666667,970.534303835759,25.5505995227148,"C18",0,0,6,"no_spec"
"IngM",17,"2899_1",66,16275.3166666667,457.078550196375,8.80026551052027,"C18",1,1,5,"matched"
"IngM",18,"199_5",66,15818.9233333333,169.01202003005,8.85026650757159,"C18",1,1,5,"matched"
"IngM",19,"3187_2",66,4555.812,479.059915149788,8.85026650757159,"C18",1,1,5,"no_spec"
"IngM",20,"1248_3",66,4398.23333333333,305.0675201688,8.75026451346894,"C18",1,1,5,"matched"
"IngM",21,"2911_1",66,4169.684,458.079662699157,8.80026551052027,"C18",0,0,5,"no_spec"
"IngM",22,"12079_5",71,162882.333333333,1043.53887634719,24.6005805787396,"C18",1,1,10,"matched"
"IngM",23,"12096_4",71,98872.0166666667,1044.53998884997,24.5505795816882,"C18",1,1,10,"matched"
"IngM",24,"12086_0",71,62820.2333333333,1044.04182760457,24.5505795816882,"C18",1,1,10,"matched"
"IngM",25,"12780_3",71,46767.1833333333,1089.55173137933,24.4505775875856,"C18",1,1,10,"matched"
"IngM",26,"12119_2",71,26817.6333333333,1045.5506813767,24.5005785846369,"C18",1,1,10,"no_spec"
"IngM",27,"199_0",96,2176.1325,169.01202003005,1.70012392923185,"C18",1,1,1,"no_spec"
"IngM",28,"43_0",96,1654.425,125.02534006335,1.70012392923185,"C18",0,0,1,"no_spec"
"IngM",29,"10373_4",134,57186.7833333333,938.508283770709,21.300514773352,"C18",1,1,2,"matched"
"IngM",30,"10391_3",134,30303.6833333333,939.509396273491,21.300514773352,"C18",1,1,2,"matched"
"IngM",31,"10411_5",134,8491.37833333333,940.524878812197,21.2505137763007,"C18",0,0,2,"no_spec"
"IngM",32,"10381_0",134,7215.56833333333,939.011235028088,21.300514773352,"C18",0,0,2,"no_spec"
"IngM",33,"10400_0",134,1781.988,940.012347530869,21.300514773352,"C18",0,0,2,"no_spec"
"IngM",34,"5787_5",155,3942.19333333333,658.431493578734,27.0006284372033,"C18",1,1,1,"matched"
"IngM",35,"5810_5",155,1530.154,659.432606081515,27.0006284372033,"C18",0,0,1,"no_spec"
"IngM",36,"710_1",197,3555.53666666667,245.091780229451,10.750304395522,"C18",1,1,1,"matched"
"IngM",37,"408_4",197,3123.07,203.083375208438,10.8003053925733,"C18",0,0,1,"no_spec"
"IngM",38,"1063_4",305,3672.72142857143,287.219935549839,20.3504958293768,"C18",1,1,1,"no_spec"
"IngM",39,"7221_0",320,2329.6375,755.160995402488,11.2503143660353,"C18",1,1,1,"matched"
"IngM",40,"2966_2",340,2548.24,463.085225213063,11.05031037783,"C18",1,1,1,"matched"
"IngM",41,"10692_5",349,45179.05,957.505471263678,24.8005845669449,"C18",1,1,7,"matched"
"IngM",42,"9916_5",349,43958.8833333333,911.497406243516,24.8005845669449,"C18",1,1,7,"matched"
"IngM",43,"9940_7",349,23577.9,912.498518746297,24.8505855639962,"C18",1,1,7,"no_spec"
"IngM",44,"10711_7",349,23192.0666666667,958.506583766459,24.9005865610475,"C18",1,1,7,"matched"
"IngM",45,"9926_4",349,11229.8633333333,912.000357500894,24.8505855639962,"C18",0,0,7,"no_spec"
"IngM",46,"8617_6",355,92523.9333333333,836.481028702572,25.9006065020741,"C18",1,1,5,"matched"
"IngM",47,"7790_5",355,63317.8333333333,790.472963682409,25.9006065020741,"C18",1,1,5,"matched"
"IngM",48,"8643_7",355,43606.8333333333,837.482141205353,25.9506074991254,"C18",1,1,5,"matched"
"IngM",49,"7814_4",355,29481.25,791.478866197165,25.9006065020741,"C18",0,0,5,"no_spec"
"IngM",50,"8665_6",355,12074.2833333333,838.483253708134,25.9506074991254,"C18",0,0,5,"no_spec"
