"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngMu",1,"448_3",743,4930.975,209.02778006945,6.00020967564596,"C18",0,0,0,"no_spec"
"IngMu",2,"2342_6",934,4742.722,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngMu",3,"2781_4",49,19345.25,449.107970269926,11.5503203483432,"C18",1,1,2,"matched"
"IngMu",4,"1223_5",49,4345.165,303.050925127313,11.4503183542406,"C18",0,0,2,"no_spec"
"IngMu",5,"2806_4",49,4179.38,450.109082772707,11.5503203483432,"C18",1,1,2,"no_spec"
"IngMu",6,"1035_4",49,3154.08,285.0404801012,11.5003193512919,"C18",0,0,2,"no_spec"
"IngMu",7,"120_5",49,2545.38,151.001575003937,11.5503203483432,"C18",0,0,2,"no_spec"
"IngMu",8,"199_5",66,31431.7,169.01202003005,8.85026650757159,"C18",1,1,6,"matched"
"IngMu",9,"2899_1",66,30451.6,457.078550196375,8.80026551052027,"C18",1,1,6,"matched"
"IngMu",10,"1248_3",66,15574.48,305.0675201688,8.75026451346894,"C18",1,1,6,"matched"
"IngMu",11,"2911_1",66,6990.744,458.079662699157,8.80026551052027,"C18",0,0,6,"no_spec"
"IngMu",12,"2869_1",66,6069.484,455.061955154888,8.85026650757159,"C18",0,0,6,"no_spec"
"IngMu",13,"1248_5",77,2816.80333333333,305.0675201688,13.0503502598831,"C18",1,1,1,"no_spec"
"IngMu",14,"199_0",96,2091.325,169.01202003005,1.70012392923185,"C18",1,1,1,"no_spec"
"IngMu",15,"3012_2",282,3779.715,465.101820254551,9.8002854515468,"C18",1,1,1,"no_spec"
"IngMu",16,"1063_4",305,2775.6,287.219935549839,20.3504958293768,"C18",1,1,1,"no_spec"
"IngMu",17,"1834_2",306,18596,363.074565186413,9.20027348693088,"C18",1,1,1,"no_spec"
"IngMu",18,"1845_2",306,2486.82,364.075677689194,9.15027248987955,"C18",0,0,1,"no_spec"
"IngMu",19,"7221_0",320,3405.906,755.160995402488,11.2503143660353,"C18",1,1,1,"matched"
"IngMu",20,"2966_2",340,12810.9166666667,463.085225213063,11.05031037783,"C18",1,1,1,"matched"
"IngMu",21,"2992_0",340,3773.4225,464.091127727819,11.0003093807787,"C18",0,0,1,"no_spec"
"IngMu",22,"6052_1",426,3670.402,675.35939589849,27.1506314283572,"C18",1,1,1,"matched"
"IngMu",23,"9832_3",568,2882.434,907.172025430064,14.0003692038583,"C18",1,1,1,"matched"
"IngMu",24,"4809_2",586,3486.995,597.181610454026,11.8003253335999,"C18",1,1,1,"matched"
"IngMu",25,"1501_0",586,2523.44666666667,329.137330343326,11.7503243365486,"C18",0,0,1,"no_spec"
"IngMu",26,"2356_2",621,5638.668,411.132755331888,11.9003273277025,"C18",1,1,1,"matched"
"IngMu",27,"2081_0",623,2529.705,387.163535408839,8.95026850167425,"C18",1,1,1,"matched"
"IngMu",28,"9953_1",647,3423.322,913.145170362926,10.750304395522,"C18",1,1,2,"matched"
"IngMu",29,"199_6",647,2159.11,169.01202003005,10.9503083837273,"C18",0,0,2,"no_spec"
"IngMu",30,"9968_1",647,1439.32,914.146282865707,10.750304395522,"C18",1,1,2,"matched"
"IngMu",31,"1248_2",835,3600.71,305.0675201688,6.65022263731321,"C18",1,1,1,"matched"
"IngMu",32,"168_4",855,3619.582,163.038875097188,7.65024257833975,"C18",1,1,1,"matched"
"IngMu",33,"7306_2",884,46395.2,761.134140335351,6.95022861962117,"C18",1,1,4,"matched"
"IngMu",34,"7325_2",884,17529.42,762.140042850107,6.95022861962117,"C18",1,1,4,"matched"
"IngMu",35,"7278_1",884,5575.778,759.117545293863,7.0002296166725,"C18",1,1,4,"matched"
"IngMu",36,"7344_1",884,4577.308,763.141155352888,6.95022861962117,"C18",0,0,4,"no_spec"
"IngMu",37,"7665_0",884,3733.11,783.115505288763,6.95022861962117,"C18",1,1,4,"matched"
"IngMu",38,"2146_1",889,2863.69,393.05046012615,8.65026251936628,"C18",1,1,1,"no_spec"
"IngMu",39,"3208_0",974,10230.065,480.310108275271,30.2506932455395,"C18",1,1,2,"no_spec"
"IngMu",40,"4025_0",974,7102.0875,540.328958322396,30.3006942425908,"C18",1,1,2,"matched"
"IngMu",41,"3226_2",974,2745.85333333333,481.311220778052,30.3006942425908,"C18",0,0,2,"no_spec"
"IngMu",42,"3536_4",975,4462.055,504.308068270171,29.2006723074616,"C18",1,1,2,"no_spec"
"IngMu",43,"4343_0",975,4125.9125,564.331708329271,29.250673304513,"C18",1,1,2,"matched"
"IngMu",44,"1036_0",1042,1786.7,285.0596401491,5.85020668449198,"C18",1,1,1,"matched"
"IngMu",45,"1267_2",1113,3499.72,307.084115210288,9.20027348693088,"C18",1,1,1,"matched"
"IngMu",46,"2837_1",1189,4607.0025,452.278958197395,30.2006922484882,"C18",1,1,1,"matched"
"IngMu",47,"3162_5",1273,2702.1725,477.100800252001,13.7003632215503,"C18",1,1,1,"matched"
"IngMu",48,"438_0",1311,5122.664,207.078245195613,3.35015683192563,"C18",1,1,1,"no_spec"
"IngMu",49,"1127_5",1383,3043.05,293.212240530601,27.6506413988705,"C18",1,1,1,"matched"
"IngMu",50,"3586_1",1433,2961.31,507.220395550989,13.7503642186016,"C18",1,1,1,"matched"
"IngMu",51,"3357_1",1446,3228.442,491.140325350813,7.40023759308311,"C18",1,1,1,"matched"
"IngMu",52,"12443_2",1553,7023.506,1065.18973047433,8.5002595282123,"C18",1,1,6,"matched"
"IngMu",53,"199_5",1553,6984.428,169.01202003005,8.85026650757159,"C18",1,1,6,"matched"
"IngMu",54,"12456_2",1553,3465.656,1066.19084297711,8.5002595282123,"C18",0,0,6,"no_spec"
"IngMu",55,"12420_1",1553,2907.702,1064.16945792364,8.5002595282123,"C18",1,1,6,"matched"
"IngMu",56,"4983_4",1553,2396.756,608.098047745119,8.75026451346894,"C18",1,1,6,"matched"
"IngMu",57,"3514_0",1586,3001.61,502.291473228683,27.8006443900245,"C18",1,1,2,"no_spec"
"IngMu",58,"4315_0",1586,2415.11,562.315113287783,27.8006443900245,"C18",1,1,2,"matched"
"IngMu",59,"2081_0",1681,2964.072,387.163535408839,8.95026850167425,"C18",1,1,3,"matched"
"IngMu",60,"9929_0",1681,2800.762,912.134477836194,9.10027149282823,"C18",1,1,3,"matched"
"IngMu",61,"6184_1",1681,1818.538,684.101167752919,9.0502704957769,"C18",1,1,3,"matched"
"IngMu",62,"1148_3",1755,4609.61333333333,295.228835572089,28.950667322205,"C18",1,1,1,"matched"
"IngMu",63,"8607_1",1808,2365.08,836.150517876295,8.00024955769904,"C18",1,1,1,"matched"
"IngMu",64,"1700_3",1942,3451.364,349.058990147475,7.0002296166725,"C18",1,1,1,"matched"
"IngMu",65,"1834_1",1956,3836.71666666667,363.074565186413,7.85024656654505,"C18",1,1,1,"no_spec"
"IngMu",66,"524_1",1956,3233.86,221.012390030975,7.90024756359638,"C18",0,0,1,"no_spec"
"IngMu",67,"3157_1",1966,2568.47,476.276918192295,29.1506713104103,"C18",1,1,1,"matched"
"IngMu",68,"6185_1",2141,2234.706,684.120327800819,7.95024856064771,"C18",1,1,1,"matched"
"IngMu",69,"6193_1",2141,1820.056,684.623279058198,7.95024856064771,"C18",0,0,1,"no_spec"
"IngMu",70,"2684_0",2210,2458.03666666667,441.123020307551,9.95028844270078,"C18",1,1,1,"no_spec"
"IngMu",71,"9953_0",2368,11350.438,913.145170362926,8.40025753410965,"C18",1,1,2,"matched"
"IngMu",72,"9968_0",2368,4845.198,914.146282865707,8.35025653705832,"C18",1,1,2,"matched"
"IngMu",73,"7306_4",2743,2860.112,761.134140335351,9.90028744564946,"C18",1,1,1,"matched"
"IngMu",74,"3356_5",2760,4564.606,491.116375290938,14.2503741891149,"C18",1,1,1,"matched"
"IngMu",75,"8606_0",2829,4532.804,836.131357828394,8.45025853116098,"C18",1,1,2,"matched"
"IngMu",76,"8620_0",2829,4090.28,836.634309085773,8.40025753410965,"C18",1,1,2,"matched"
"IngMu",77,"7290_1",3790,3377.056,760.12344780862,8.20025354590434,"C18",1,1,2,"matched"
"IngMu",78,"7299_1",3790,2875.579,760.626399065998,8.05025055475036,"C18",1,1,2,"matched"
"IngMu",79,"3553_2",4205,5714.89,505.208590521476,12.2503343070618,"C18",1,1,1,"matched"
"IngMu",80,"2966_3",4579,1779.43666666667,463.085225213063,13.350356242191,"C18",1,1,1,"matched"
"IngMu",81,"9945_1",4827,2962.354,912.637429093573,9.0502704957769,"C18",1,1,1,"matched"
"IngMu",82,"1613_3",5842,9912.065,341.141100352751,14.9503881478335,"C18",1,1,1,"matched"
"IngMu",83,"1629_1",5842,1767.475,342.142212855532,14.5003791743715,"C18",0,0,1,"no_spec"
"IngMu",84,"1473_2",6017,1547.3875,327.048885122213,8.65026251936628,"C18",1,1,1,"no_spec"
"IngMu",85,"9930_4",6124,3075.848,912.153637884095,8.25025454295567,"C18",1,1,1,"matched"
