"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngO",1,"2682_0",1702,3963.52,441.079910199775,2.65014287320706,"C18",0,0,0,"no_spec"
"IngO",2,"3359_1",2825,3567.46666666667,491.188225470564,12.0003293218052,"C18",0,0,0,"no_spec"
"IngO",3,"960_2",7312,2792.9,276.15500788752,30.9507072042581,"C18",0,0,0,"no_spec"
"IngO",4,"7248_0",7532,2552.52,757.100950252376,7.0002296166725,"C18",0,0,0,"no_spec"
"IngO",5,"943_1",10102,2251.88,274.976664941662,24.0005686141236,"C18",0,0,0,"no_spec"
"IngO",6,"2781_4",49,11888.8133333333,449.107970269926,11.5503203483432,"C18",1,1,2,"matched"
"IngO",7,"1223_5",49,3469.66,303.050925127313,11.4503183542406,"C18",1,1,2,"matched"
"IngO",8,"2806_4",49,3423.35,450.109082772707,11.5503203483432,"C18",0,0,2,"no_spec"
"IngO",9,"1035_4",49,2661.145,285.0404801012,11.5003193512919,"C18",0,0,2,"no_spec"
"IngO",10,"2899_1",66,31206.325,457.078550196375,8.80026551052027,"C18",1,1,6,"matched"
"IngO",11,"199_5",66,28832.75,169.01202003005,8.85026650757159,"C18",1,1,6,"no_spec"
"IngO",12,"2869_1",66,7081.88,455.061955154888,8.85026650757159,"C18",0,0,6,"no_spec"
"IngO",13,"2911_1",66,6756.1275,458.079662699157,8.80026551052027,"C18",0,0,6,"no_spec"
"IngO",14,"1248_3",66,5649.65666666667,305.0675201688,8.75026451346894,"C18",1,1,6,"matched"
"IngO",15,"1248_5",77,5851.2,305.0675201688,13.0503502598831,"C18",1,1,3,"matched"
"IngO",16,"1057_6",77,3422.09333333333,287.057075142688,12.8503462716777,"C18",1,1,3,"no_spec"
"IngO",17,"2820_5",77,2313.71,451.100615251538,12.9503482657804,"C18",1,1,3,"matched"
"IngO",18,"43_6",77,2225.08,125.02534006335,13.0003492628317,"C18",0,0,3,"no_spec"
"IngO",19,"2682_6",88,2617.7475,441.079910199775,11.1003113748813,"C18",1,1,1,"matched"
"IngO",20,"199_0",96,1851.1,169.01202003005,1.70012392923185,"C18",1,1,1,"no_spec"
