"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngP",1,"20305_0",101,2201.385,1829.3307608269,22.3505357114299,"C18",0,0,0,"no_spec"
"IngP",2,"288_2",877,3484.015,183.137765344413,18.8004649207856,"C18",0,0,0,"no_spec"
"IngP",3,"2342_6",934,5968.06666666667,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngP",4,"19531_4",3585,3058.72,1747.79038697597,22.4005367084812,"C18",0,0,0,"no_spec"
"IngP",5,"21242_1",4681,4368.6975,1922.86053465134,20.5504998175821,"C18",0,0,0,"no_spec"
"IngP",6,"8325_1",4844,6763.83333333333,821.397280993202,22.0005287320706,"C18",0,0,0,"no_spec"
"IngP",7,"9032_2",5005,4531.78,861.896832242081,21.9005267379679,"C18",0,0,0,"no_spec"
"IngP",8,"20329_4",5187,4026.892,1831.83114707787,22.1005307261732,"C18",0,0,0,"no_spec"
"IngP",9,"10360_4",6721,2777.21,937.919112297781,22.5505396996352,"C18",0,0,0,"no_spec"
"IngP",10,"18206_2",47,6575.325,1582.73136432841,19.8004848618122,"C18",1,1,1,"matched"
"IngP",11,"18211_3",47,5583.6525,1583.74205685514,19.7004828677095,"C18",0,0,1,"no_spec"
"IngP",12,"18219_2",47,2627.3475,1584.73837934595,19.9504878529662,"C18",0,0,1,"no_spec"
"IngP",13,"21086_2",52,14332.812,1905.84162210406,21.7505237468139,"C18",1,1,11,"matched"
"IngP",14,"21081_2",52,13202.196,1904.84050960127,21.7505237468139,"C18",1,1,11,"matched"
"IngP",15,"20638_1",52,9227.33866666667,1858.83244458111,22.3005347143785,"C18",1,1,11,"matched"
"IngP",16,"20651_2",52,8942.912,1859.83834709587,21.8005247438653,"C18",1,1,11,"matched"
"IngP",17,"21098_2",52,8030.458,1906.83794459486,22.3505357114299,"C18",1,1,11,"matched"
"IngP",18,"199_5",66,11175.174,169.01202003005,8.85026650757159,"C18",1,1,3,"matched"
"IngP",19,"2899_1",66,11006.484,457.078550196375,8.80026551052027,"C18",1,1,3,"matched"
"IngP",20,"2911_1",66,2948.8375,458.079662699157,8.80026551052027,"C18",0,0,3,"no_spec"
"IngP",21,"3187_2",66,2560.928,479.059915149788,8.85026650757159,"C18",1,1,3,"matched"
"IngP",22,"2869_1",66,2461.04,455.061955154888,8.85026650757159,"C18",0,0,3,"no_spec"
"IngP",23,"199_0",96,3059.29666666667,169.01202003005,1.70012392923185,"C18",1,1,1,"matched"
"IngP",24,"43_0",96,2521.555,125.02534006335,1.70012392923185,"C18",0,0,1,"no_spec"
"IngP",25,"17869_2",104,2676.916,1540.72774931937,19.1504719001449,"C18",1,1,1,"matched"
"IngP",26,"17878_1",104,2267.102,1541.72886182215,19.2504738942476,"C18",0,0,1,"no_spec"
"IngP",27,"710_1",197,16468.064,245.091780229451,10.750304395522,"C18",1,1,3,"matched"
"IngP",28,"408_4",197,9197.21,203.083375208438,10.8003053925733,"C18",1,1,3,"matched"
"IngP",29,"874_1",197,4599.252,267.073145182863,10.8003053925733,"C18",0,0,3,"no_spec"
"IngP",30,"720_3",197,2241.725,246.097682744207,10.8003053925733,"C18",0,0,3,"no_spec"
"IngP",31,"9953_1",197,1619.25333333333,913.145170362926,10.750304395522,"C18",1,1,3,"no_spec"
"IngP",32,"2741_2",211,3044.115,447.091375228438,12.4503382952671,"C18",1,1,1,"matched"
"IngP",33,"20689_1",235,6303.9275,1863.82842707107,20.9505077939927,"C18",1,1,3,"matched"
"IngP",34,"20681_2",235,5463.676,1862.82252455631,21.000508791044,"C18",1,1,3,"matched"
"IngP",35,"20695_1",235,3598.0875,1864.8391195978,21.2505137763007,"C18",0,0,3,"no_spec"
"IngP",36,"20190_0",235,2444.675,1817.82994207486,20.9505077939927,"C18",1,1,3,"matched"
"IngP",37,"18671_0",304,4813.23666666667,1640.77193942985,18.550459935529,"C18",1,1,4,"no_spec"
"IngP",38,"8296_0",304,4706.74666666667,819.883637209093,18.6504619296317,"C18",0,0,4,"no_spec"
"IngP",39,"18678_0",304,3975.65666666667,1641.7778419446,18.6004609325803,"C18",0,0,4,"no_spec"
"IngP",40,"8305_0",304,3767.01,820.386588466471,18.6504619296317,"C18",0,0,4,"no_spec"
"IngP",41,"19067_1",304,3208.2,1686.78000445001,18.700462926683,"C18",1,1,4,"matched"
"IngP",42,"1063_4",305,4346.892,287.219935549839,20.3504958293768,"C18",1,1,1,"matched"
"IngP",43,"110_0",334,11294.656,147.030655076638,1.45011894397521,"C18",1,1,2,"matched"
"IngP",44,"22_0",334,6919.992,115.004635011588,1.45011894397521,"C18",0,0,2,"no_spec"
"IngP",45,"1689_0",334,6768.906,347.976447441119,1.45011894397521,"C18",1,1,2,"no_spec"
"IngP",46,"704_0",334,2673.722,244.97681994205,1.45011894397521,"C18",0,0,2,"no_spec"
"IngP",47,"2966_2",340,53548.36,463.085225213063,11.05031037783,"C18",1,1,3,"matched"
"IngP",48,"2992_0",340,11886.64,464.091127727819,11.0003093807787,"C18",1,1,3,"matched"
"IngP",49,"3439_4",340,6312.7,497.07994019985,10.9503083837273,"C18",0,0,3,"no_spec"
"IngP",50,"2941_1",340,2681.08,461.068630171575,11.0003093807787,"C18",0,0,3,"no_spec"
"IngP",51,"3012_3",340,2640.54,465.101820254551,11.0003093807787,"C18",0,0,3,"no_spec"
"IngP",52,"168_5",369,13431.878,163.038875097188,9.85028644859813,"C18",1,1,2,"matched"
"IngP",53,"28_5",369,2297.424,119.047405118513,10.2002934279574,"C18",1,1,2,"no_spec"
"IngP",54,"1394_3",369,1772.1425,319.011245028113,10.2502944250087,"C18",0,0,2,"no_spec"
"IngP",55,"5090_4",387,12596.754,615.096255240638,13.4503582362937,"C18",1,1,2,"matched"
"IngP",56,"5110_2",387,3558.29,616.102157755394,13.4503582362937,"C18",1,1,2,"matched"
"IngP",57,"6052_1",426,5789.685,675.35939589849,27.1506314283572,"C18",1,1,2,"matched"
"IngP",58,"6071_0",426,2350.22,676.360508401271,27.1506314283572,"C18",1,1,2,"matched"
"IngP",59,"19151_0",428,7702.76,1698.29998324996,19.6504818706582,"C18",0,0,10,"no_spec"
"IngP",60,"19648_1",428,5945.15,1759.80852702132,19.4504778824529,"C18",1,1,10,"matched"
"IngP",61,"19637_3",428,5739.70142857143,1758.79783449459,19.4004768854016,"C18",1,1,10,"matched"
"IngP",62,"19248_1",428,5292.37666666667,1712.78976947442,19.4004768854016,"C18",0,0,10,"no_spec"
"IngP",63,"19255_1",428,5177.58,1713.80046200115,19.3504758883502,"C18",1,1,10,"matched"
"IngP",64,"8451_0",472,2803.395,827.887747219368,17.1004310210405,"C18",1,1,2,"matched"
"IngP",65,"8464_0",472,2529.415,828.385908464771,17.0504300239892,"C18",1,1,2,"matched"
"IngP",66,"21081_2",525,4064.478,1904.84050960127,21.7505237468139,"C18",1,1,1,"matched"
