"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngPu",1,"1368_0",170,652596.222857143,316.022277555694,10.9503083837273,"C18",0,0,0,"no_spec"
"IngPu",2,"4744_3",181,20639.9457142857,593.263380658452,23.0505496701484,"C18",0,0,0,"no_spec"
"IngPu",3,"1127_4",293,22996.1,293.212240530601,26.350615475536,"C18",0,0,0,"no_spec"
"IngPu",4,"5090_2",295,63135.1,615.096255240638,10.8003053925733,"C18",0,0,0,"no_spec"
"IngPu",5,"168_5",369,10345.94,163.038875097188,9.85028644859813,"C18",0,0,0,"no_spec"
"IngPu",6,"3162_2",533,176522.5,477.100800252001,10.5503004073167,"C18",0,0,0,"no_spec"
"IngPu",7,"1291_1",564,22864.45,309.206090515226,20.8505057998901,"C18",0,0,0,"no_spec"
"IngPu",8,"2710_5",570,28256.8,443.192305480764,11.6503223424459,"C18",0,0,0,"no_spec"
"IngPu",9,"3854_1",690,30113.1,527.285755714389,24.200572602329,"C18",0,0,0,"no_spec"
"IngPu",10,"1202_5",849,321311,301.034330085825,12.3503363011645,"C18",0,0,0,"no_spec"
"IngPu",11,"1164_2",912,11439.15,297.07778019445,25.2505935404068,"C18",0,0,0,"no_spec"
"IngPu",12,"2342_6",934,443781,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngPu",13,"5030_3",940,22409.3,611.283405708514,24.200572602329,"C18",0,0,0,"no_spec"
"IngPu",14,"1111_5",1018,12790.65,291.195645489114,26.7506234519466,"C18",0,0,0,"no_spec"
"IngPu",15,"639_0",1085,189159,236.297318243296,15.6004011095007,"C18",0,0,0,"no_spec"
"IngPu",16,"1522_0",1128,40920.175,331.067705169263,1.50011994102654,"C18",0,0,0,"no_spec"
"IngPu",17,"3162_3",1148,9453.35,477.100800252001,11.4003173571893,"C18",0,0,0,"no_spec"
"IngPu",18,"628_3",1151,17526.0225,235.133345333363,22.2005327202759,"C18",0,0,0,"no_spec"
"IngPu",19,"3581_1",1200,11464.265,507.110225275563,10.3002954220601,"C18",0,0,0,"no_spec"
"IngPu",20,"2280_1",1244,681919.5,405.0494401236,7.40023759308311,"C18",0,0,0,"no_spec"
"IngPu",21,"6090_1",1274,170463.35,677.366410916027,29.0506693163077,"C18",0,0,0,"no_spec"
"IngPu",22,"4429_6",1275,454608,571.286805717014,31.1507111924634,"C18",0,0,0,"no_spec"
