"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngQ",1,"709_1",14,44830.58,245.0822002055,8.70026351641761,"C18",0,0,0,"no_spec"
"IngQ",2,"82_2",4819,8127.58076923077,137.009950024875,5.10019172872208,"C18",0,0,0,"no_spec"
"IngQ",3,"8325_1",4844,8896.91,821.397280993202,22.0005287320706,"C18",0,0,0,"no_spec"
"IngQ",4,"82_1",5063,8189.13933333333,137.009950024875,3.15015284372033,"C18",0,0,0,"no_spec"
"IngQ",5,"82_0",5226,5469.71666666667,137.009950024875,1.45011894397521,"C18",0,0,0,"no_spec"
"IngQ",6,"159_0",5227,2192.775,161.046230115575,1.65012293218052,"C18",0,0,0,"no_spec"
"IngQ",7,"8568_1",6195,3564.804,834.210563026407,10.9503083837273,"C18",0,0,0,"no_spec"
"IngQ",8,"394_3",6267,2963.184,201.057200143,8.60026152231496,"C18",0,0,0,"no_spec"
"IngQ",9,"82_3",6371,6123.1375,137.009950024875,6.70022363436454,"C18",0,0,0,"no_spec"
"IngQ",10,"4482_0",7110,3433.87666666667,575.118815297038,3.25015483782298,"C18",0,0,0,"no_spec"
"IngQ",11,"1085_1",123,3461.54,289.0688801722,7.05023061372382,"C18",1,1,1,"no_spec"
"IngQ",12,"4505_2",150,124857.8,577.135410338526,8.25025454295567,"C18",1,1,7,"matched"
"IngQ",13,"2489_2",150,41739.12,425.08606021515,8.20025354590434,"C18",0,0,7,"no_spec"
"IngQ",14,"4528_1",150,39277.94,578.136522841307,8.20025354590434,"C18",1,1,7,"matched"
"IngQ",15,"4836_1",150,15323.964,599.116775291938,8.15025254885302,"C18",0,0,7,"no_spec"
"IngQ",16,"1085_2",150,10030.212,289.0688801722,8.60026152231496,"C18",1,1,7,"matched"
"IngQ",17,"2741_2",211,13347.955,447.091375228438,12.4503382952671,"C18",1,1,2,"matched"
"IngQ",18,"2763_3",211,4182.448,448.097277743194,12.5003392923185,"C18",1,1,2,"matched"
"IngQ",19,"4994_2",231,3748.42,609.147060367651,11.05031037783,"C18",1,1,1,"matched"
"IngQ",20,"9088_3",261,51512.094,865.197150492876,9.40027747513619,"C18",1,1,7,"matched"
"IngQ",21,"9103_2",261,24331.095,866.198262995657,9.40027747513619,"C18",1,1,7,"matched"
"IngQ",22,"9125_2",261,13179.84,867.204165510414,9.40027747513619,"C18",0,0,7,"no_spec"
"IngQ",23,"9497_2",261,8809.762,887.178515446289,9.45027847218752,"C18",0,0,7,"no_spec"
