"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngR",1,"462_2",505,5701.09333333333,211.135385338463,19.9504878529662,"C18",0,0,0,"no_spec"
"IngR",2,"2342_6",934,4045.886,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngR",3,"251_2",1614,3177.218,179.032725081813,7.50023958718577,"C18",0,0,0,"no_spec"
"IngR",4,"697_0",1905,6548.93,243.161405403513,22.1005307261732,"C18",0,0,0,"no_spec"
"IngR",5,"1480_0",1972,5555.89,327.254855637139,31.4507171747714,"C18",0,0,0,"no_spec"
"IngR",6,"1041_6",2044,9647.72333333333,285.208130520326,27.3006344195112,"C18",0,0,0,"no_spec"
"IngR",7,"807_0",2458,7685.86666666667,257.176980442451,24.1005706082263,"C18",0,0,0,"no_spec"
"IngR",8,"912_0",2577,10311.6166666667,271.192555481389,25.8006045079714,"C18",0,0,0,"no_spec"
"IngR",9,"353_1",3732,9719.376,194.082942707357,24.6505815757909,"C18",0,0,0,"no_spec"
"IngR",10,"2842_2",4087,6492.704,453.0453601134,8.85026650757159,"C18",0,0,0,"no_spec"
"IngR",11,"1014_4",5020,4326.81,283.191535478839,25.6506015168174,"C18",0,0,0,"no_spec"
"IngR",12,"698_3",5116,3144.16333333333,243.194935487339,24.8005845669449,"C18",0,0,0,"no_spec"
"IngR",13,"893_1",5230,3602.6,269.175960439901,23.8505656229697,"C18",0,0,0,"no_spec"
"IngR",14,"808_1",6111,3367.78333333333,257.210510526276,26.50061846669,"C18",0,0,0,"no_spec"
"IngR",15,"1042_1",6131,2981.52666666667,285.241660604151,29.5506792868209,"C18",0,0,0,"no_spec"
"IngR",16,"1169_0",6169,4995.07,297.207110517776,27.2506334224599,"C18",0,0,0,"no_spec"
"IngR",17,"913_1",6353,4300.60333333333,271.226085565214,28.1006503723325,"C18",0,0,0,"no_spec"
"IngR",18,"2899_1",66,111546.5,457.078550196375,8.80026551052027,"C18",1,1,8,"matched"
"IngR",19,"199_5",66,108166.34,169.01202003005,8.85026650757159,"C18",1,1,8,"matched"
"IngR",20,"2911_1",66,25037.3,458.079662699157,8.80026551052027,"C18",1,1,8,"matched"
"IngR",21,"3187_2",66,22227.42,479.059915149788,8.85026650757159,"C18",0,0,8,"no_spec"
"IngR",22,"2869_1",66,19391.18,455.061955154888,8.85026650757159,"C18",0,0,8,"no_spec"
"IngR",23,"2682_6",88,3654.146,441.079910199775,11.1003113748813,"C18",1,1,1,"matched"
"IngR",24,"199_6",88,2088.67,169.01202003005,10.9503083837273,"C18",0,0,1,"no_spec"
"IngR",25,"3409_1",95,11020.84,495.077715194288,5.45019870808136,"C18",1,1,1,"matched"
"IngR",26,"199_0",96,3680.282,169.01202003005,1.70012392923185,"C18",1,1,1,"matched"
"IngR",27,"43_0",96,2627.23,125.02534006335,1.70012392923185,"C18",0,0,1,"no_spec"
"IngR",28,"1085_1",123,4069.964,289.0688801722,7.05023061372382,"C18",1,1,1,"no_spec"
"IngR",29,"6052_1",426,1977.89666666667,675.35939589849,27.1506314283572,"C18",1,1,1,"matched"
"IngR",30,"9832_3",568,3818.74,907.172025430064,14.0003692038583,"C18",1,1,2,"matched"
"IngR",31,"9851_2",568,1954.09,908.173137932845,14.0503702009096,"C18",1,1,2,"no_spec"
"IngR",32,"1248_1",572,35702.2,305.0675201688,3.75016480833625,"C18",1,1,3,"matched"
"IngR",33,"1223_1",572,9343.408,303.050925127313,3.75016480833625,"C18",1,1,3,"matched"
"IngR",34,"1260_1",572,5137.41,306.068632671582,3.75016480833625,"C18",1,1,3,"matched"
"IngR",35,"2081_0",623,4021.31,387.163535408839,8.95026850167425,"C18",1,1,1,"no_spec"
"IngR",36,"9945_1",807,3460.87,912.637429093573,9.0502704957769,"C18",1,1,2,"matched"
"IngR",37,"9929_0",807,2475.9675,912.134477836194,9.10027149282823,"C18",1,1,2,"matched"
"IngR",38,"3208_0",974,12157.112,480.310108275271,30.2506932455395,"C18",1,1,2,"matched"
"IngR",39,"4025_0",974,6271.374,540.328958322396,30.3006942425908,"C18",1,1,2,"matched"
"IngR",40,"3226_2",974,2521.988,481.311220778052,30.3006942425908,"C18",0,0,2,"no_spec"
"IngR",41,"3536_4",975,7927.748,504.308068270171,29.2006723074616,"C18",1,1,3,"matched"
"IngR",42,"4343_0",975,4888.748,564.331708329271,29.250673304513,"C18",1,1,3,"matched"
"IngR",43,"970_1",975,4654.62,277.218390545976,29.250673304513,"C18",1,1,3,"no_spec"
"IngR",44,"7306_3",1006,29476.205,761.134140335351,8.20025354590434,"C18",1,1,4,"matched"
"IngR",45,"7325_3",1006,20634.14,762.140042850107,8.25025454295567,"C18",1,1,4,"matched"
"IngR",46,"7278_2",1006,6245.254,759.117545293863,8.20025354590434,"C18",0,0,4,"no_spec"
"IngR",47,"7344_2",1006,5026.898,763.141155352888,8.25025454295567,"C18",0,0,4,"no_spec"
"IngR",48,"7665_1",1006,3315.522,783.115505288763,8.25025454295567,"C18",0,0,4,"no_spec"
"IngR",49,"2837_1",1189,5781.518,452.278958197395,30.2006922484882,"C18",1,1,1,"matched"
"IngR",50,"438_0",1311,3601.0525,207.078245195613,3.35015683192563,"C18",1,1,1,"no_spec"
"IngR",51,"1127_5",1383,2249.7825,293.212240530601,27.6506413988705,"C18",1,1,1,"no_spec"
"IngR",52,"657_0",1394,7261.678,239.056365140913,7.60024158128842,"C18",1,1,1,"matched"
"IngR",53,"242_3",1394,2395.488,177.054450136125,7.60024158128842,"C18",0,0,1,"no_spec"
"IngR",54,"12443_1",1395,14932.204,1065.18973047433,7.35023659603179,"C18",0,0,3,"no_spec"
"IngR",55,"199_4",1395,10126.244,169.01202003005,7.0002296166725,"C18",0,0,3,"no_spec"
"IngR",56,"12456_1",1395,7861.054,1066.19084297711,7.35023659603179,"C18",1,1,3,"matched"
"IngR",57,"3906_0",1395,2673.44,532.090137725344,7.30023559898046,"C18",1,1,3,"matched"
"IngR",58,"12469_1",1395,2424.752,1067.20153550384,7.40023759308311,"C18",1,1,3,"matched"
"IngR",59,"3514_0",1586,3683.72,502.291473228683,27.8006443900245,"C18",1,1,1,"no_spec"
"IngR",60,"4993_1",1689,15020.628,609.123110307776,2.65014287320706,"C18",1,1,2,"matched"
"IngR",61,"2682_0",1689,5676.294,441.079910199775,2.65014287320706,"C18",0,0,2,"no_spec"
"IngR",62,"5011_0",1689,3755.19,610.129012822532,2.65014287320706,"C18",1,1,2,"matched"
"IngR",63,"1148_3",1755,3417.668,295.228835572089,28.950667322205,"C18",1,1,1,"matched"
"IngR",64,"8607_1",1808,13636.822,836.150517876295,8.00024955769904,"C18",1,1,3,"matched"
"IngR",65,"8621_0",1808,11671.36,836.648679121698,7.95024856064771,"C18",1,1,3,"matched"
"IngR",66,"8634_1",1808,5826.342,837.151630379076,7.85024656654505,"C18",1,1,3,"matched"
"IngR",67,"8799_1",1808,2412.55,847.138805347013,7.7502445724424,"C18",0,0,3,"no_spec"
"IngR",68,"8645_0",1808,2198.916,837.649791624479,7.85024656654505,"C18",0,0,3,"no_spec"
"IngR",69,"3157_1",1966,3314.622,476.276918192295,29.1506713104103,"C18",1,1,1,"matched"
"IngR",70,"6185_1",2141,8043.284,684.120327800819,7.95024856064771,"C18",1,1,4,"matched"
"IngR",71,"6193_1",2141,5616.522,684.623279058198,7.95024856064771,"C18",1,1,4,"matched"
"IngR",72,"4712_1",2141,2606.82,591.098295245738,7.35023659603179,"C18",0,0,4,"no_spec"
"IngR",73,"4857_1",2141,2511.984,600.108307770769,8.05025055475036,"C18",1,1,4,"no_spec"
"IngR",74,"6197_2",2141,2432.306,685.121440303601,7.65024257833975,"C18",1,1,4,"matched"
"IngR",75,"9953_0",2368,5657.758,913.145170362926,8.40025753410965,"C18",1,1,1,"matched"
"IngR",76,"7306_4",2743,6426.348,761.134140335351,9.90028744564946,"C18",1,1,1,"matched"
"IngR",77,"7325_4",2743,2395.016,762.140042850107,9.95028844270078,"C18",0,0,1,"no_spec"
"IngR",78,"1188_2",2961,9500.3,299.223705559264,28.7006623369484,"C18",1,1,1,"matched"
"IngR",79,"1335_4",3092,7356.53333333333,313.239280598202,30.1006902543855,"C18",0,0,1,"no_spec"
"IngR",80,"1460_0",3092,4663.36666666667,325.238260595651,30.1006902543855,"C18",1,1,1,"matched"
"IngR",81,"787_0",3118,17471.32,255.050215125538,3.8501668024389,"C18",1,1,1,"matched"
"IngR",82,"251_0",3118,5337.522,179.032725081813,3.75016480833625,"C18",0,0,1,"no_spec"
"IngR",83,"179_1",3118,5044.976,165.055470138675,3.8501668024389,"C18",0,0,1,"no_spec"
"IngR",84,"11208_0",3352,4473.042,988.16154790387,7.65024257833975,"C18",1,1,1,"matched"
"IngR",85,"11220_0",3352,4167.968,988.659709149273,7.65024257833975,"C18",0,0,1,"no_spec"
"IngR",86,"11229_0",3352,2447.79,989.181820454551,7.65024257833975,"C18",0,0,1,"no_spec"
"IngR",87,"1248_6",3571,4345.69,305.0675201688,14.9503881478335,"C18",1,1,3,"no_spec"
"IngR",88,"1057_7",3571,3647.34,287.057075142688,15.1503921360388,"C18",1,1,3,"matched"
"IngR",89,"2820_6",3571,1827.3275,451.100615251538,14.8503861537308,"C18",1,1,3,"matched"
"IngR",90,"9954_1",3776,9208.428,913.178700446751,2.3501368908991,"C18",1,1,2,"matched"
"IngR",91,"9969_1",3776,4154.602,914.184602961507,2.3501368908991,"C18",1,1,2,"matched"
"IngR",92,"1309_5",6061,4954.02,311.222685556714,28.7006623369484,"C18",1,1,1,"matched"
"IngR",93,"9968_0",6248,2344.438,914.146282865707,8.35025653705832,"C18",1,1,1,"matched"
"IngR",94,"3042_5",6898,2901.44,467.099255248138,13.1503522539857,"C18",1,1,1,"matched"
