"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngU",1,"2030_1",129,2815.51375,382.986644966612,22.5505396996352,"C18",0,0,0,"no_spec"
"IngU",2,"448_3",743,3373.77,209.02778006945,6.00020967564596,"C18",0,0,0,"no_spec"
"IngU",3,"2342_6",934,5831.62125,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngU",4,"853_0",3389,2920.485,264.017117542794,1.35011694987256,"C18",0,0,0,"no_spec"
"IngU",5,"888_5",4758,32605.125,269.046630116575,15.5504001124494,"C18",0,0,0,"no_spec"
"IngU",6,"8022_1",5040,1797.19285714286,804.20592801482,15.2003931330901,"C18",0,0,0,"no_spec"
"IngU",7,"11843_1",5851,6359.62,1029.25985064963,13.0503502598831,"C18",0,0,0,"no_spec"
"IngU",8,"16072_0",6288,4561.59,1334.33092332731,16.8004250387326,"C18",0,0,0,"no_spec"
"IngU",9,"6167_7",6350,2566.614,683.095265238163,15.6504021065521,"C18",0,0,0,"no_spec"
"IngU",10,"5437_4",6359,2089.78,637.154260385651,15.0003891448848,"C18",0,0,0,"no_spec"
"IngU",11,"7696_0",6392,3342.33,785.223110557776,13.1503522539857,"C18",0,0,0,"no_spec"
"IngU",12,"6975_5",6426,4120.055,739.186305465764,14.2503741891149,"C18",0,0,0,"no_spec"
"IngU",13,"7911_2",6811,3525.73,796.163497908745,21.2005127792493,"C18",0,0,0,"no_spec"
"IngU",14,"6632_2",8109,3047.23,715.178765446914,18.0504499650157,"C18",0,0,0,"no_spec"
"IngU",15,"2708_3",8312,3035.785,443.134825337063,17.4504380003998,"C18",0,0,0,"no_spec"
"IngU",16,"15060_0",8349,1899.835,1254.82151455379,17.1004310210405,"C18",0,0,0,"no_spec"
"IngU",17,"8895_3",8569,2162.815,853.236490591226,14.8003851566795,"C18",0,0,0,"no_spec"
"IngU",18,"4838_2",9243,2560.86,599.164675411688,12.2503343070618,"C18",0,0,0,"no_spec"
"IngU",19,"4582_2",31,825192.625,581.163810409526,15.5003991153981,"C18",1,1,17,"matched"
"IngU",20,"4598_2",31,275562.1125,582.169712924282,15.5003991153981,"C18",1,1,17,"matched"
"IngU",21,"13804_0",31,165549.375,1163.33228583071,15.6504021065521,"C18",1,1,17,"matched"
"IngU",22,"13818_0",31,108800.665,1164.32860832152,15.6504021065521,"C18",0,0,17,"no_spec"
"IngU",23,"910_6",31,63835.075,271.058435146088,15.5504001124494,"C18",1,1,17,"no_spec"
"IngU",24,"7002_1",128,27438.125,740.695159237898,13.1503522539857,"C18",1,1,9,"matched"
"IngU",25,"6994_5",128,26346.86,740.19220798052,14.1503721950122,"C18",1,1,9,"matched"
"IngU",26,"7015_5",128,13180.91625,741.193320483301,14.2003731920636,"C18",1,1,9,"matched"
"IngU",27,"4582_2",128,11313.34625,581.163810409526,15.5003991153981,"C18",1,1,9,"matched"
"IngU",28,"17438_2",128,9146.4775,1481.3890809727,14.2003731920636,"C18",1,1,9,"matched"
"IngU",29,"13772_2",214,253861.061666667,1161.3204808012,18.850465917837,"C18",1,1,10,"matched"
"IngU",30,"13789_2",214,141283.927058824,1162.33117332793,18.9004669148883,"C18",1,1,10,"matched"
"IngU",31,"13804_3",214,78854.119375,1163.33228583071,18.8004649207856,"C18",1,1,10,"no_spec"
"IngU",32,"13818_2",214,32093.4985714286,1164.32860832152,18.7504639237343,"C18",1,1,10,"matched"
"IngU",33,"13739_5",214,19111.2871428571,1159.29909574774,18.8004649207856,"C18",1,1,10,"matched"
"IngU",34,"4994_2",231,3359.30142857143,609.147060367651,11.05031037783,"C18",1,1,1,"matched"
"IngU",35,"8047_2",255,33763.7771428571,805.714781786954,18.0504499650157,"C18",1,1,20,"matched"
"IngU",36,"8037_1",255,26171.9814285714,805.216620541551,17.3004350092458,"C18",1,1,20,"matched"
"IngU",37,"8047_1",255,24562.2406666667,805.714781786954,17.3004350092458,"C18",1,1,20,"matched"
"IngU",38,"4582_4",255,18450.3,581.163810409526,18.4504579414264,"C18",1,1,20,"no_spec"
"IngU",39,"4582_3",255,13731.532,581.163810409526,17.1004310210405,"C18",1,1,20,"matched"
"IngU",40,"4775_7",274,37078.2375,595.145855364638,17.9504479709131,"C18",1,1,2,"matched"
"IngU",41,"4795_3",274,11802.9825,596.14696786742,17.7504439827078,"C18",1,1,2,"matched"
"IngU",42,"1035_7",274,3381.73125,285.0404801012,17.6504419886051,"C18",0,0,2,"no_spec"
"IngU",43,"4808_5",274,3115.735,597.157660394151,17.4504380003998,"C18",0,0,2,"no_spec"
"IngU",44,"120_8",274,2328.0025,151.001575003937,17.3004350092458,"C18",0,0,2,"no_spec"
"IngU",45,"3012_2",282,2276.5975,465.101820254551,9.8002854515468,"C18",1,1,1,"matched"
"IngU",46,"6994_4",288,9953.95954545455,740.19220798052,13.1503522539857,"C18",1,1,8,"matched"
"IngU",47,"7002_1",288,9485.15764705882,740.695159237898,13.1503522539857,"C18",1,1,8,"matched"
"IngU",48,"4582_1",288,7817.00875,581.163810409526,13.0503502598831,"C18",1,1,8,"matched"
"IngU",49,"7015_4",288,6359.125,741.193320483301,13.0503502598831,"C18",1,1,8,"matched"
"IngU",50,"7025_1",288,3079.065,741.701061752654,12.9503482657804,"C18",1,1,8,"no_spec"
"IngU",51,"12868_1",305,3092.3,1095.78832697082,20.4004968264281,"C18",1,1,2,"matched"
"IngU",52,"1063_4",305,2821.676,287.219935549839,20.3504958293768,"C18",1,1,2,"matched"
"IngU",53,"6573_5",311,384247.55,711.207845519614,21.1005107851467,"C18",1,1,10,"matched"
"IngU",54,"6588_4",311,163073.028333333,712.208958022395,21.150511782198,"C18",1,1,10,"matched"
"IngU",55,"16932_0",311,59866.3,1423.42035605089,21.150511782198,"C18",1,1,10,"matched"
"IngU",56,"16940_0",311,50344.85,1424.43104857762,21.150511782198,"C18",0,0,10,"no_spec"
"IngU",57,"6604_2",311,49794.918,713.214860537151,21.150511782198,"C18",1,1,10,"matched"
"IngU",58,"11886_3",323,102111.145833333,1031.28123570309,14.3503761832176,"C18",1,1,12,"matched"
"IngU",59,"11907_2",323,68828.3625,1032.28234820587,14.2003731920636,"C18",1,1,12,"matched"
"IngU",60,"11924_1",323,25128.9373333333,1033.27867069668,14.3003751861662,"C18",0,0,12,"no_spec"
"IngU",61,"4582_2",323,14457.76,581.163810409526,15.5003991153981,"C18",1,1,12,"matched"
"IngU",62,"11843_2",323,9576.98428571428,1029.25985064963,14.3503761832176,"C18",1,1,12,"matched"
"IngU",63,"262_0",328,21014.4125,180.067367668419,1.30011595282123,"C18",1,1,2,"matched"
"IngU",64,"168_0",328,5259.88875,163.038875097188,1.30011595282123,"C18",0,0,2,"no_spec"
"IngU",65,"2035_0",328,2125.0225,383.120765301913,1.2501149557699,"C18",1,1,2,"matched"
"IngU",66,"2966_2",340,1935.4825,463.085225213063,11.05031037783,"C18",1,1,1,"matched"
"IngU",67,"490_0",416,65674.825,215.139835349588,7.25023460192913,"C18",1,1,8,"matched"
"IngU",68,"370_0",416,23333.461875,197.119810299526,7.25023460192913,"C18",1,1,8,"matched"
"IngU",69,"499_0",416,6936.188125,216.14094785237,7.20023360487781,"C18",1,1,8,"matched"
"IngU",70,"2851_0",416,6299.90090909091,453.280070700177,7.25023460192913,"C18",1,1,8,"matched"
"IngU",71,"213_0",416,3840.65571428571,171.148365370913,7.30023559898046,"C18",1,1,8,"matched"
"IngU",72,"6071_0",426,4635.47,676.360508401271,27.1506314283572,"C18",0,0,1,"no_spec"
"IngU",73,"6052_1",426,4334.506,675.35939589849,27.1506314283572,"C18",1,1,1,"no_spec"
"IngU",74,"2207_5",426,3289.58,397.136340340851,27.3006344195112,"C18",0,0,1,"no_spec"
"IngU",75,"6994_3",438,40062.8875,740.19220798052,11.8503263306512,"C18",1,1,9,"matched"
"IngU",76,"7002_0",438,31662.8125,740.695159237898,11.8503263306512,"C18",1,1,9,"matched"
"IngU",77,"7015_3",438,15208.915,741.193320483301,11.8503263306512,"C18",1,1,9,"matched"
"IngU",78,"17446_0",438,10101.0775,1482.39977349943,11.6003213453946,"C18",0,0,9,"no_spec"
"IngU",79,"4582_0",438,9450.1075,581.163810409526,11.4003173571893,"C18",1,1,9,"no_spec"
"IngU",80,"11886_2",515,155522.27,1031.28123570309,12.8503462716777,"C18",1,1,6,"matched"
"IngU",81,"11907_1",515,85991.89125,1032.28234820587,12.9003472687291,"C18",1,1,6,"matched"
"IngU",82,"11924_0",515,38107.7566666667,1033.27867069668,12.8503462716777,"C18",0,0,6,"no_spec"
"IngU",83,"11936_0",515,11237.108,1034.28936322341,12.8003452746264,"C18",1,1,6,"matched"
"IngU",84,"11843_1",515,9242.615,1029.25985064963,13.0503502598831,"C18",0,0,6,"no_spec"
"IngU",85,"13711_3",516,33778.6711111111,1157.2920807302,15.0503901419361,"C18",1,1,10,"matched"
"IngU",86,"13725_2",516,24170.27,1158.28840322101,15.0503901419361,"C18",1,1,10,"matched"
"IngU",87,"4582_2",516,14934.7675,581.163810409526,15.5003991153981,"C18",1,1,10,"matched"
"IngU",88,"13739_3",516,10376.3428571429,1159.29909574774,15.0003891448848,"C18",1,1,10,"matched"
"IngU",89,"6736_2",516,6933.71428571429,722.172182930457,15.0003891448848,"C18",1,1,10,"matched"
"IngU",90,"6811_3",556,19768.47375,727.201695504239,18.700462926683,"C18",1,1,6,"matched"
"IngU",91,"6827_1",556,13833.4325,728.207598018995,18.7504639237343,"C18",1,1,6,"matched"
"IngU",92,"3721_0",556,3415.7525,517.207570518926,19.2004728971963,"C18",1,1,6,"matched"
"IngU",93,"6840_2",556,3347.9725,729.208710521776,18.7504639237343,"C18",1,1,6,"matched"
"IngU",94,"288_2",556,2643.06333333333,183.137765344413,18.8004649207856,"C18",1,1,6,"no_spec"
"IngU",95,"2821_1",576,62914.0625,451.119775299438,6.60022164026188,"C18",1,1,3,"matched"
"IngU",96,"2835_0",576,14309.15375,452.125677814194,6.60022164026188,"C18",1,1,3,"matched"
"IngU",97,"888_0",576,7384.1675,269.046630116575,6.65022263731321,"C18",0,0,3,"no_spec"
"IngU",98,"910_1",576,6660.745,271.058435146088,6.70022363436454,"C18",0,0,3,"no_spec"
"IngU",99,"4151_0",576,4931.03714285714,550.038312595781,6.55022064321056,"C18",0,0,3,"no_spec"
"IngU",100,"2081_0",623,3048.14666666667,387.163535408839,8.95026850167425,"C18",1,1,1,"matched"
"IngU",101,"9162_5",774,59839.34375,869.225550563876,14.0503702009096,"C18",1,1,4,"matched"
"IngU",102,"9182_3",774,29255.355,870.231453078633,14.0003692038583,"C18",1,1,4,"matched"
"IngU",103,"9200_2",774,11628.7733333333,871.232565581414,14.0503702009096,"C18",0,0,4,"no_spec"
"IngU",104,"9125_5",774,5830.754,867.204165510414,13.9003672097556,"C18",0,0,4,"no_spec"
"IngU",105,"6658_1",774,5707.1075,717.180990452476,14.1503721950122,"C18",0,0,4,"no_spec"
"IngU",106,"4775_7",827,12629.1475,595.145855364638,17.9504479709131,"C18",1,1,7,"matched"
"IngU",107,"4582_4",827,10120.665,581.163810409526,18.4504579414264,"C18",1,1,7,"no_spec"
"IngU",108,"17209_1",827,8633.51666666667,1449.3918009795,18.3504559473237,"C18",1,1,7,"matched"
"IngU",109,"17213_1",827,6970.73,1450.38812347031,18.3504559473237,"C18",1,1,7,"no_spec"
"IngU",110,"6765_5",827,6497.179,724.19356798392,18.0504499650157,"C18",1,1,7,"matched"
"IngU",111,"15899_2",927,9273.07571428571,1319.33818584546,15.1503921360388,"C18",1,1,5,"matched"
"IngU",112,"15909_3",927,6536.37285714286,1320.3488783722,15.0503901419361,"C18",0,0,5,"no_spec"
"IngU",113,"9103_5",927,4840.64166666667,866.198262995657,15.0503901419361,"C18",1,1,5,"matched"
"IngU",114,"5799_3",927,4371.01428571429,659.169155422888,15.0503901419361,"C18",1,1,5,"matched"
"IngU",115,"6943_2",927,4299.402,737.169710424276,14.8503861537308,"C18",0,0,5,"no_spec"
"IngU",116,"3208_0",974,10195.1416666667,480.310108275271,30.2506932455395,"C18",0,0,1,"no_spec"
"IngU",117,"4025_0",974,5594.596,540.328958322396,30.3006942425908,"C18",1,1,1,"no_spec"
"IngU",118,"3226_2",974,3392.7225,481.311220778052,30.3006942425908,"C18",0,0,1,"no_spec"
"IngU",119,"4040_1",974,2130.74,541.334860837152,30.3506952396422,"C18",0,0,1,"no_spec"
"IngU",120,"3536_4",975,8807.79833333333,504.308068270171,29.2006723074616,"C18",0,0,1,"no_spec"
"IngU",121,"4343_0",975,5999.98,564.331708329271,29.250673304513,"C18",1,1,1,"matched"
"IngU",122,"3555_1",975,2714.0725,505.313970784927,29.250673304513,"C18",0,0,1,"no_spec"
"IngU",123,"4362_1",975,1965.69666666667,565.332820832052,29.250673304513,"C18",0,0,1,"no_spec"
"IngU",124,"13772_1",1029,57498.6830769231,1161.3204808012,17.9504479709131,"C18",1,1,5,"matched"
"IngU",125,"13789_1",1029,36322.2123076923,1162.33117332793,17.8004449797591,"C18",1,1,5,"matched"
"IngU",126,"13804_2",1029,16480.4445454545,1163.33228583071,17.8504459768104,"C18",1,1,5,"matched"
"IngU",127,"13818_1",1029,10726.5475,1164.32860832152,17.8504459768104,"C18",0,0,5,"no_spec"
"IngU",128,"13739_5",1029,5369.3625,1159.29909574774,18.8004649207856,"C18",1,1,5,"matched"
"IngU",129,"396_0",1044,23382.54875,201.105100262751,3.70016381128492,"C18",1,1,4,"matched"
"IngU",130,"287_0",1044,8893.05,183.104235260588,3.80016580538758,"C18",0,0,4,"no_spec"
"IngU",131,"403_0",1044,2449.56666666667,202.125372813432,3.70016381128492,"C18",1,1,4,"matched"
"IngU",132,"2496_0",1044,2015.6375,425.239340598351,3.70016381128492,"C18",1,1,4,"matched"
"IngU",133,"146_0",1044,1958.868,157.132790331976,3.70016381128492,"C18",1,1,4,"no_spec"
"IngU",134,"10829_1",1047,9086.91,965.246130615326,12.8003452746264,"C18",1,1,9,"matched"
"IngU",135,"10836_1",1047,8760.764375,965.749081872705,12.8003452746264,"C18",1,1,9,"matched"
"IngU",136,"10844_1",1047,5383.34125,966.252033130083,12.8003452746264,"C18",1,1,9,"matched"
"IngU",137,"8008_2",1047,3360.895,803.209605524014,12.4003372982158,"C18",1,1,9,"matched"
"IngU",138,"8014_0",1047,2902.2225,803.702976757442,12.4003372982158,"C18",0,0,9,"no_spec"
"IngU",139,"10829_0",1056,17177.6318181818,965.246130615326,11.5503203483432,"C18",1,1,8,"matched"
"IngU",140,"10836_0",1056,16729.2045454545,965.749081872705,11.5503203483432,"C18",1,1,8,"matched"
"IngU",141,"10844_0",1056,13534.2225,966.252033130083,11.5503203483432,"C18",1,1,8,"matched"
"IngU",142,"10852_0",1056,5958.62875,966.750194375486,11.5503203483432,"C18",1,1,8,"matched"
"IngU",143,"11018_0",1056,4279.69,976.737369343423,11.2503143660353,"C18",1,1,8,"matched"
"IngU",144,"5249_2",1062,2110.57,625.140910352276,9.95028844270078,"C18",1,1,1,"matched"
"IngU",145,"17167_0",1065,6707.86,1445.34903087258,13.200353251037,"C18",1,1,9,"no_spec"
"IngU",146,"6736_1",1065,6252.6225,722.172182930457,13.200353251037,"C18",1,1,9,"matched"
"IngU",147,"4582_1",1065,5796.58,581.163810409526,13.0503502598831,"C18",1,1,9,"matched"
