"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngV",1,"2081_0",623,2621.594,387.163535408839,8.95026850167425,"C18",0,0,0,"no_spec"
"IngV",2,"2342_6",934,3860.974,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngV",3,"1921_1",951,2675.34,371.241535603839,28.3506553575891,"C18",0,0,0,"no_spec"
"IngV",4,"558_1",1905,11142.4866666667,225.150960377401,22.1005307261732,"C18",0,0,0,"no_spec"
"IngV",5,"1480_0",1972,15919.3,327.254855637139,31.4507171747714,"C18",0,0,0,"no_spec"
"IngV",6,"1361_7",2020,16396.5,315.251085627714,27.7506433929732,"C18",0,0,0,"no_spec"
"IngV",7,"1041_6",2044,18246.7,285.208130520326,27.3006344195112,"C18",0,0,0,"no_spec"
"IngV",8,"530_1",2310,3675.15,221.156090390226,28.650661339897,"C18",0,0,0,"no_spec"
"IngV",9,"807_0",2458,12049.34,257.176980442451,24.1005706082263,"C18",0,0,0,"no_spec"
"IngV",10,"71_5",2524,3951.66,134.035352588381,27.8506453870758,"C18",0,0,0,"no_spec"
"IngV",11,"287_3",2570,3475.14,183.104235260588,15.2003931330901,"C18",0,0,0,"no_spec"
"IngV",12,"912_0",2577,16841.6,271.192555481389,25.8006045079714,"C18",0,0,0,"no_spec"
"IngV",13,"370_3",2903,13795.4,197.119810299526,17.6504419886051,"C18",0,0,0,"no_spec"
"IngV",14,"1188_2",2961,19263.4733333333,299.223705559264,28.7006623369484,"C18",0,0,0,"no_spec"
"IngV",15,"1335_4",3092,13676.5666666667,313.239280598202,30.1006902543855,"C18",0,0,0,"no_spec"
"IngV",16,"453_0",3689,4655.16,209.190640476601,25.8006045079714,"C18",0,0,0,"no_spec"
"IngV",17,"353_1",3732,15816.766,194.082942707357,24.6505815757909,"C18",0,0,0,"no_spec"
"IngV",18,"1000_1",4140,5331.86333333333,281.213260533151,28.7006623369484,"C18",0,0,0,"no_spec"
"IngV",19,"1189_0",4315,7749.455,299.257235643089,31.1007101954121,"C18",0,0,0,"no_spec"
"IngV",20,"462_2",4319,10610.53,211.135385338463,19.9504878529662,"C18",0,0,0,"no_spec"
"IngV",21,"7011_0",4813,2477.59666666667,741.107100267751,8.40025753410965,"C18",0,0,0,"no_spec"
"IngV",22,"8325_1",4844,9600.43,821.397280993202,22.0005287320706,"C18",0,0,0,"no_spec"
"IngV",23,"1014_4",5020,7287.98333333333,283.191535478839,25.6506015168174,"C18",0,0,0,"no_spec"
"IngV",24,"581_0",5057,3411.15333333333,229.179360448401,22.8505456819431,"C18",0,0,0,"no_spec"
