"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"LA20b",1,"9088_3",261,7746.56333333333,865.197150492876,9.40027747513619,"C18",0,0,0,"no_spec"
"LA20b",2,"1085_2",316,4222.63,289.0688801722,8.60026152231496,"C18",0,0,0,"no_spec"
"LA20b",3,"6052_1",426,2831.56,675.35939589849,27.1506314283572,"C18",0,0,0,"no_spec"
"LA20b",4,"2342_6",934,6128.36,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"LA20b",5,"3208_0",974,4470.94,480.310108275271,30.2506932455395,"C18",0,0,0,"no_spec"
"LA20b",6,"539_1",1216,2722.87,223.043355108388,8.20025354590434,"C18",0,0,0,"no_spec"
"LA20b",7,"4482_4",1712,4695.685,575.118815297038,11.3003153630866,"C18",0,0,0,"no_spec"
"LA20b",8,"328_4",2288,2336.43,191.055655139138,9.85028644859813,"C18",0,0,0,"no_spec"
"LA20b",9,"328_3",2708,4445.92,191.055655139138,8.65026251936628,"C18",0,0,0,"no_spec"
"LA20b",10,"4025_0",3430,2390.995,540.328958322396,30.3006942425908,"C18",0,0,0,"no_spec"
"LA20b",11,"985_1",4230,3825.44,279.158345395863,31.3007141836174,"C18",0,0,0,"no_spec"
"LA20b",12,"11318_3",4532,3650.74,995.236395590989,16.250414071168,"C18",0,0,0,"no_spec"
"LA20b",13,"11318_2",6286,1949.02,995.236395590989,14.3503761832176,"C18",0,0,0,"no_spec"
"LA20b",14,"9125_1",7344,4946.28,867.204165510414,7.40023759308311,"C18",0,0,0,"no_spec"
"LA20b",15,"6530_1",7396,3310.345,708.180557951395,16.3504160652706,"C18",0,0,0,"no_spec"
"LA20b",16,"1479_1",57,8586.44,327.216535541339,18.6004609325803,"C18",1,1,1,"matched"
"LA20b",17,"1085_1",123,16391.5771428571,289.0688801722,7.05023061372382,"C18",1,1,1,"matched"
"LA20b",18,"709_0",123,9022.815,245.0822002055,7.0002296166725,"C18",0,0,1,"no_spec"
"LA20b",19,"1099_0",123,6975.605,290.074782686957,7.05023061372382,"C18",0,0,1,"no_spec"
"LA20b",20,"113_1",123,4338.38,149.008930022325,6.55022064321056,"C18",0,0,1,"no_spec"
"LA20b",21,"2505_2",123,3908.11,426.087172717932,6.70022363436454,"C18",0,0,1,"no_spec"
"LA20b",22,"710_1",197,2708.04,245.091780229451,10.750304395522,"C18",1,1,1,"no_spec"
"LA20b",23,"2741_2",211,7905.52,447.091375228438,12.4503382952671,"C18",1,1,1,"matched"
"LA20b",24,"4505_1",251,40144.3,577.135410338526,6.75022463141586,"C18",1,1,1,"matched"
"LA20b",25,"2489_1",251,11957.03,425.08606021515,6.70022363436454,"C18",0,0,1,"no_spec"
"LA20b",26,"4528_0",251,11744.7166666667,578.136522841307,6.70022363436454,"C18",0,0,1,"no_spec"
"LA20b",27,"2302_1",251,7498.55,407.075615189038,6.70022363436454,"C18",0,0,1,"no_spec"
