"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M27b",1,"1479_1",57,4766.8,327.216535541339,18.6004609325803,"C18",0,0,0,"no_spec"
"M27b",2,"4994_2",231,6048.45,609.147060367651,11.05031037783,"C18",0,0,0,"no_spec"
"M27b",3,"1127_4",293,1886.345,293.212240530601,26.350615475536,"C18",0,0,0,"no_spec"
"M27b",4,"6052_1",426,2588.05,675.35939589849,27.1506314283572,"C18",0,0,0,"no_spec"
"M27b",5,"888_6",456,3053.52,269.046630116575,16.8004250387326,"C18",0,0,0,"no_spec"
"M27b",6,"1248_1",572,4461.36,305.0675201688,3.75016480833625,"C18",0,0,0,"no_spec"
"M27b",7,"1309_4",656,8746.48,311.222685556714,26.3006144784847,"C18",0,0,0,"no_spec"
"M27b",8,"448_3",743,3392.00222222222,209.02778006945,6.00020967564596,"C18",0,0,0,"no_spec"
"M27b",9,"3208_0",974,2590.45,480.310108275271,30.2506932455395,"C18",0,0,0,"no_spec"
"M27b",10,"448_2",1480,2676.04,209.02778006945,4.65018275526013,"C18",0,0,0,"no_spec"
"M27b",11,"697_0",1905,10011.7,243.161405403513,22.1005307261732,"C18",0,0,0,"no_spec"
"M27b",12,"1041_6",2044,15856.2,285.208130520326,27.3006344195112,"C18",0,0,0,"no_spec"
"M27b",13,"807_0",2458,12067.1,257.176980442451,24.1005706082263,"C18",0,0,0,"no_spec"
"M27b",14,"92_0",2570,3520.95,139.112765281913,15.2503941301414,"C18",0,0,0,"no_spec"
"M27b",15,"912_0",2577,16815,271.192555481389,25.8006045079714,"C18",0,0,0,"no_spec"
"M27b",16,"370_3",2903,6589.44,197.119810299526,17.6504419886051,"C18",0,0,0,"no_spec"
"M27b",17,"1008_6",3928,373070,283.062205155513,20.5004988205308,"C18",0,0,0,"no_spec"
"M27b",18,"462_2",4319,9644.49,211.135385338463,19.9504878529662,"C18",0,0,0,"no_spec"
"M27b",19,"2342_5",4848,7330.795,410.102902757257,23.6505616347644,"C18",0,0,0,"no_spec"
"M27b",20,"790_0",5130,3692.25,255.160385400963,21.7005227497626,"C18",0,0,0,"no_spec"
"M27b",21,"893_1",5230,4556.83,269.175960439901,23.8505656229697,"C18",0,0,0,"no_spec"
"M27b",22,"1188_1",5810,18388.5,299.223705559264,27.6506413988705,"C18",0,0,0,"no_spec"
"M27b",23,"908_2",6138,2209.57,271.024905062263,9.8002854515468,"C18",0,0,0,"no_spec"
"M27b",24,"1169_0",6169,7700.29,297.207110517776,27.2506334224599,"C18",0,0,0,"no_spec"
"M27b",25,"462_1",7725,11462.8,211.135385338463,18.700462926683,"C18",0,0,0,"no_spec"
"M27b",26,"1503_0",7840,3041.65,329.228340570851,18.700462926683,"C18",0,0,0,"no_spec"
"M27b",27,"1063_3",8203,10995.505,287.219935549839,18.8004649207856,"C18",0,0,0,"no_spec"
"M27b",28,"1077_0",9494,2687.17,288.225838064595,18.8004649207856,"C18",0,0,0,"no_spec"
"M27b",29,"2781_4",49,19614.016,449.107970269926,11.5503203483432,"C18",1,1,1,"matched"
"M27b",30,"1223_5",49,4158.605,303.050925127313,11.4503183542406,"C18",0,0,1,"no_spec"
"M27b",31,"2741_2",49,4070.84,447.091375228438,12.4503382952671,"C18",0,0,1,"no_spec"
"M27b",32,"2806_4",49,3619.504,450.109082772707,11.5503203483432,"C18",0,0,1,"no_spec"
"M27b",33,"1035_4",49,3265.8725,285.0404801012,11.5003193512919,"C18",0,0,1,"no_spec"
"M27b",34,"199_5",66,5833.97166666667,169.01202003005,8.85026650757159,"C18",1,1,2,"no_spec"
"M27b",35,"2899_1",66,3737.155,457.078550196375,8.80026551052027,"C18",1,1,2,"matched"
"M27b",36,"5306_2",75,2199.96,629.111830279576,12.2503343070618,"C18",1,1,1,"matched"
"M27b",37,"199_0",96,5750.754,169.01202003005,1.70012392923185,"C18",1,1,2,"matched"
"M27b",38,"43_0",96,2900.065,125.02534006335,1.70012392923185,"C18",1,1,2,"no_spec"
"M27b",39,"2587_4",138,3636.61125,433.114120285301,12.7503442775751,"C18",1,1,1,"matched"
"M27b",40,"4873_4",152,5746.04222222222,601.119000297501,13.9503682068069,"C18",1,1,1,"matched"
"M27b",41,"4899_6",152,4279.38,602.124902812257,13.9503682068069,"C18",0,0,1,"no_spec"
"M27b",42,"1223_6",152,2052.495,303.050925127313,13.8503662127043,"C18",0,0,1,"no_spec"
"M27b",43,"2613_2",157,6844.09727272727,435.092395230988,10.0502904368034,"C18",1,1,2,"matched"
"M27b",44,"1035_3",157,4783.22,285.0404801012,10.1002914338548,"C18",0,0,2,"no_spec"
"M27b",45,"2626_2",157,1885.328,436.093507733769,10.1002914338548,"C18",1,1,2,"matched"
"M27b",46,"670_4",197,10643.01,241.0346400866,10.900307386676,"C18",1,1,3,"matched"
"M27b",47,"710_1",197,5016.14363636364,245.091780229451,10.750304395522,"C18",1,1,3,"matched"
"M27b",48,"408_4",197,2526.32333333333,203.083375208438,10.8003053925733,"C18",1,1,3,"matched"
"M27b",49,"2178_3",213,4564.98,395.138905347263,16.3004150682193,"C18",1,1,1,"no_spec"
"M27b",50,"3012_2",282,49885.97,465.101820254551,9.8002854515468,"C18",1,1,6,"matched"
"M27b",51,"1202_3",282,9747.8,301.034330085825,9.90028744564946,"C18",0,0,6,"no_spec"
"M27b",52,"3030_0",282,8281.129,466.107722769307,9.8002854515468,"C18",0,0,6,"no_spec"
"M27b",53,"926_5",282,6148.99,273.04150010375,9.85028644859813,"C18",0,0,6,"no_spec"
"M27b",54,"250_1",282,4555.3,178.999194997988,9.85028644859813,"C18",0,0,6,"no_spec"
"M27b",55,"5401_2",285,10099.13,635.089765224413,9.45027847218752,"C18",1,1,2,"matched"
"M27b",56,"5420_1",285,4011.12,636.090877727194,9.35027647808486,"C18",1,1,2,"matched"
"M27b",57,"1063_4",305,1956.922,287.219935549839,20.3504958293768,"C18",1,1,1,"matched"
"M27b",58,"3269_3",310,12355.2,484.079847699619,7.20023360487781,"C18",1,1,3,"matched"
"M27b",59,"3250_2",310,12299.2988888889,483.078735196838,7.20023360487781,"C18",1,1,3,"matched"
"M27b",60,"3216_3",310,3368.91,481.06214015535,7.15023260782648,"C18",1,1,3,"matched"
"M27b",61,"3546_1",310,2753.04,505.055310138275,7.20023360487781,"C18",0,0,3,"no_spec"
"M27b",62,"262_0",328,19981.7672727273,180.067367668419,1.30011595282123,"C18",1,1,2,"no_spec"
"M27b",63,"2035_0",328,2524.29875,383.120765301913,1.2501149557699,"C18",1,1,2,"no_spec"
"M27b",64,"168_0",328,2267.53888888889,163.038875097188,1.30011595282123,"C18",0,0,2,"no_spec"
"M27b",65,"2966_2",340,25895.5188888889,463.085225213063,11.05031037783,"C18",1,1,1,"no_spec"
"M27b",66,"2992_0",340,7711.675,464.091127727819,11.0003093807787,"C18",0,0,1,"no_spec"
"M27b",67,"5090_4",387,11573.60875,615.096255240638,13.4503582362937,"C18",1,1,2,"matched"
"M27b",68,"5110_2",387,5694.40666666667,616.102157755394,13.4503582362937,"C18",1,1,2,"matched"
"M27b",69,"3162_2",533,3082.98125,477.100800252001,10.5503004073167,"C18",1,1,1,"matched"
"M27b",70,"5134_3",597,12403.1085714286,617.112850282126,12.3003353041131,"C18",1,1,2,"matched"
"M27b",71,"5152_1",597,5028.11,618.118752796882,12.2503343070618,"C18",1,1,2,"matched"
"M27b",72,"2356_2",621,3519.0525,411.132755331888,11.9003273277025,"C18",1,1,1,"matched"
"M27b",73,"2081_0",623,1861.285,387.163535408839,8.95026850167425,"C18",1,1,1,"no_spec"
"M27b",74,"1396_7",838,2004.5,319.044775111938,13.0503502598831,"C18",1,1,1,"no_spec"
"M27b",75,"168_4",855,2452.51571428571,163.038875097188,7.65024257833975,"C18",1,1,1,"no_spec"
"M27b",76,"2342_6",934,5425.75,410.102902757257,26.050609493228,"C18",1,1,1,"no_spec"
"M27b",77,"1522_0",1128,1962.30857142857,331.067705169263,1.50011994102654,"C18",1,1,1,"matched"
"M27b",78,"2438_2",1384,73968.3181818182,419.098545246363,11.3503163601379,"C18",1,1,2,"no_spec"
"M27b",79,"2447_0",1384,11791.7181818182,420.099657749144,11.3503163601379,"C18",1,1,2,"matched"
"M27b",80,"888_3",1384,7537.85181818182,269.046630116575,11.5503203483432,"C18",0,0,2,"no_spec"
"M27b",81,"2453_4",1384,2150.18,421.115140287851,12.0503303188565,"C18",0,0,2,"no_spec"
"M27b",82,"1148_3",1755,3241.20555555556,295.228835572089,28.950667322205,"C18",1,1,1,"matched"
"M27b",83,"5134_4",1762,7756.64529411765,617.112850282126,13.4503582362937,"C18",1,1,3,"matched"
"M27b",84,"5152_1",1762,4031.67333333333,618.118752796882,12.2503343070618,"C18",1,1,3,"matched"
"M27b",85,"5090_4",1762,3835.42,615.096255240638,13.4503582362937,"C18",1,1,3,"matched"
"M27b",86,"5164_4",1762,2528.07,619.119865299663,13.4003572392423,"C18",0,0,3,"no_spec"
"M27b",87,"5468_2",1762,2491.61,639.094215235538,13.2503542480884,"C18",0,0,3,"no_spec"
"M27b",88,"4422_0",1970,4010.51571428571,571.109575273938,12.7003432805238,"C18",1,1,1,"matched"
"M27b",89,"1057_6",1970,2674.475,287.057075142688,12.8503462716777,"C18",0,0,1,"no_spec"
"M27b",90,"5401_2",2132,105339.345,635.089765224413,9.45027847218752,"C18",1,1,5,"matched"
"M27b",91,"5420_2",2132,22701.09,636.090877727194,10.0502904368034,"C18",1,1,5,"matched"
"M27b",92,"670_3",2132,13798.9,241.0346400866,9.30027548103354,"C18",1,1,5,"matched"
"M27b",93,"1380_5",2132,7029.61,317.02818007045,11.0003093807787,"C18",1,1,5,"matched"
"M27b",94,"3044_1",2132,1768.63,467.156735391838,9.6002814633415,"C18",1,1,5,"matched"
"M27b",95,"408_1",2316,2073.56666666667,203.083375208438,5.25019471987606,"C18",1,1,1,"no_spec"
"M27b",96,"2781_2",2535,2299.09,449.107970269926,9.0502704957769,"C18",1,1,1,"matched"
