"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M40a",1,"199_6",88,3688.31,169.01202003005,10.9503083837273,"C18",0,0,0,"no_spec"
"M40a",2,"4992_2",94,2731.96,609.084790211975,10.9503083837273,"C18",0,0,0,"no_spec"
"M40a",3,"21074_0",188,23280.3116666667,1903.84897712244,23.8005646259183,"C18",0,0,0,"no_spec"
"M40a",4,"20681_2",235,11375.4041666667,1862.82252455631,21.000508791044,"C18",0,0,0,"no_spec"
"M40a",5,"888_6",456,2163.775,269.046630116575,16.8004250387326,"C18",0,0,0,"no_spec"
"M40a",6,"1352_3",720,5347.43,315.011585028963,13.4503582362937,"C18",0,0,0,"no_spec"
"M40a",7,"3208_0",974,2812.935,480.310108275271,30.2506932455395,"C18",0,0,0,"no_spec"
"M40a",8,"11937_2",1100,6703.93333333333,1034.44743361858,23.1005506671998,"C18",0,0,0,"no_spec"
"M40a",9,"111_12",1169,2882.20666666667,147.045025112563,24.2505735993803,"C18",0,0,0,"no_spec"
"M40a",10,"8614_1",1176,1862.94333333333,836.385228463071,16.0004090859113,"C18",0,0,0,"no_spec"
"M40a",11,"9729_1",1392,2353.974,900.901899754749,19.9504878529662,"C18",0,0,0,"no_spec"
"M40a",12,"8957_2",3342,2050.29,857.389430973577,18.4504579414264,"C18",0,0,0,"no_spec"
"M40a",13,"19072_5",3449,3036.44333333333,1687.78111695279,22.3005347143785,"C18",0,0,0,"no_spec"
"M40a",14,"704_0",3550,1701.5475,244.97681994205,1.45011894397521,"C18",0,0,0,"no_spec"
"M40a",15,"2249_0",4025,1845.652,401.145580363951,8.85026650757159,"C18",0,0,0,"no_spec"
"M40a",16,"7831_1",4353,3191.59,792.451238628097,16.1504120770653,"C18",0,0,0,"no_spec"
"M40a",17,"21540_0",4572,2875.11333333333,1963.36008590021,23.750563628867,"C18",0,0,0,"no_spec"
"M40a",18,"20837_1",4865,2316.11333333333,1879.83185707964,21.2005127792493,"C18",0,0,0,"no_spec"
"M40a",19,"10990_1",6395,2593.6325,974.921954804887,22.7505436878405,"C18",0,0,0,"no_spec"
"M40a",20,"11110_0",6794,2328.325,982.432693581734,20.9505077939927,"C18",0,0,0,"no_spec"
"M40a",21,"5693_3",7432,2228.14333333333,653.148110370276,19.8004848618122,"C18",0,0,0,"no_spec"
"M40a",22,"7186_3",7561,2480.47,753.130030325076,12.3503363011645,"C18",0,0,0,"no_spec"
"M40a",23,"11243_2",7806,2105.18,989.924272310681,21.9005267379679,"C18",0,0,0,"no_spec"
"M40a",24,"9090_1",8025,2047.165,865.374380935952,16.2004130741166,"C18",0,0,0,"no_spec"
"M40a",25,"5867_0",8728,2209.115,663.116125290313,12.5503402893698,"C18",0,0,0,"no_spec"
"M40a",26,"8753_0",10138,2752.94,843.881597203993,14.0503702009096,"C18",0,0,0,"no_spec"
"M40a",27,"3409_2",22,29885.9166666667,495.077715194288,6.95022861962117,"C18",1,1,4,"matched"
"M40a",28,"1637_3",22,10524.4283333333,343.066685166713,6.95022861962117,"C18",0,0,4,"no_spec"
"M40a",29,"3426_1",22,6649.55,496.078827697069,7.05023061372382,"C18",1,1,4,"matched"
"M40a",30,"3714_2",22,3636.88666666667,517.0590801477,7.05023061372382,"C18",1,1,4,"matched"
"M40a",31,"3354_2",22,3128.636,491.044525111313,6.95022861962117,"C18",0,0,4,"no_spec"
"M40a",32,"199_5",66,30491.9166666667,169.01202003005,8.85026650757159,"C18",0,0,5,"no_spec"
"M40a",33,"2899_1",66,27482.9333333333,457.078550196375,8.80026551052027,"C18",1,1,5,"matched"
"M40a",34,"1248_3",66,6580.708,305.0675201688,8.75026451346894,"C18",1,1,5,"matched"
"M40a",35,"3187_2",66,5652.255,479.059915149788,8.85026650757159,"C18",0,0,5,"no_spec"
"M40a",36,"2911_1",66,5603.37833333333,458.079662699157,8.80026551052027,"C18",1,1,5,"matched"
"M40a",37,"5306_2",75,4193.68571428571,629.111830279576,12.2503343070618,"C18",1,1,1,"matched"
"M40a",38,"5325_2",75,2643.105,630.117732794332,12.3503363011645,"C18",0,0,1,"no_spec"
"M40a",39,"199_0",96,5489.65666666667,169.01202003005,1.70012392923185,"C18",1,1,1,"matched"
"M40a",40,"43_0",96,4555.962,125.02534006335,1.70012392923185,"C18",0,0,1,"no_spec"
"M40a",41,"20837_0",169,21579.66,1879.83185707964,19.7504838647609,"C18",1,1,8,"matched"
"M40a",42,"20827_0",169,21365.605,1878.83074457686,19.000468908991,"C18",1,1,8,"matched"
"M40a",43,"20353_1",169,19578.4866666667,1833.82858207146,19.0504699060423,"C18",0,0,8,"no_spec"
"M40a",44,"20342_1",169,14278.7933333333,1832.8226795567,19.2504738942476,"C18",0,0,8,"no_spec"
"M40a",45,"10377_1",169,11763.72,938.910644776612,18.700462926683,"C18",1,1,8,"no_spec"
"M40a",46,"21544_2",196,24046.935,1963.86782716957,24.1505716052776,"C18",0,0,3,"no_spec"
"M40a",47,"11448_2",196,19508.1333333333,1004.42842857107,23.8005646259183,"C18",0,0,3,"no_spec"
"M40a",48,"11442_5",196,17494.0833333333,1003.93026732567,23.7005626318157,"C18",0,0,3,"no_spec"
