"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M40d",1,"1127_4",293,5159.11,293.212240530601,26.350615475536,"C18",0,0,0,"no_spec"
"M40d",2,"168_3",1669,4421.4,163.038875097188,6.60022164026188,"C18",0,0,0,"no_spec"
"M40d",3,"1148_3",1755,2411.64,295.228835572089,28.950667322205,"C18",0,0,0,"no_spec"
"M40d",4,"4021_0",1849,351858.5,540.14214785537,11.1003113748813,"C18",0,0,0,"no_spec"
"M40d",5,"3439_1",1982,6002.15,497.07994019985,7.0002296166725,"C18",0,0,0,"no_spec"
"M40d",6,"1201_2",2355,14608.1,300.996009990025,9.10027149282823,"C18",0,0,0,"no_spec"
"M40d",7,"1803_0",2545,2847.54,359.098855247138,6.70022363436454,"C18",0,0,0,"no_spec"
"M40d",8,"3254_1",2576,3003.12,483.184115460289,13.800365215653,"C18",0,0,0,"no_spec"
"M40d",9,"2741_1",3576,24940.4,447.091375228438,10.2002934279574,"C18",0,0,0,"no_spec"
"M40d",10,"2453_4",3909,3027.82,421.115140287851,12.0503303188565,"C18",0,0,0,"no_spec"
"M40d",11,"1008_6",3928,152046.576,283.062205155513,20.5004988205308,"C18",0,0,0,"no_spec"
"M40d",12,"2381_2",4244,11796.6,413.144560361401,11.9003273277025,"C18",0,0,0,"no_spec"
"M40d",13,"2342_5",4848,4197.95,410.102902757257,23.6505616347644,"C18",0,0,0,"no_spec"
"M40d",14,"82_0",5226,5740.14,137.009950024875,1.45011894397521,"C18",0,0,0,"no_spec"
"M40d",15,"4835_2",5299,2121.51,599.102405256013,9.45027847218752,"C18",0,0,0,"no_spec"
"M40d",16,"1941_0",5502,78709.434,373.114430286076,7.7502445724424,"C18",0,0,0,"no_spec"
"M40d",17,"7157_3",5621,13320.88,751.113435283588,12.1003313159078,"C18",0,0,0,"no_spec"
"M40d",18,"5090_1",6361,21552.65,615.096255240638,8.5002595282123,"C18",0,0,0,"no_spec"
"M40d",19,"82_3",6371,7745.81,137.009950024875,6.70022363436454,"C18",0,0,0,"no_spec"
"M40d",20,"4313_3",6650,7263.635,562.142672856682,10.9503083837273,"C18",0,0,0,"no_spec"
"M40d",21,"3991_1",6995,12480.2433333333,538.130342825857,11.3003153630866,"C18",0,0,0,"no_spec"
"M40d",22,"17_0",7058,7394.67666666667,112.983249958125,9.75028445449548,"C18",0,0,0,"no_spec"
"M40d",23,"998_0",7077,32727,281.122250305626,4.90018774051677,"C18",0,0,0,"no_spec"
"M40d",24,"7516_0",7349,8140.3275,773.248080620202,8.80026551052027,"C18",0,0,0,"no_spec"
"M40d",25,"4004_5",7378,1795.56666666667,539.141035352588,14.6003811684742,"C18",0,0,0,"no_spec"
"M40d",26,"3410_2",7752,4139.11,495.111245278113,8.65026251936628,"C18",0,0,0,"no_spec"
"M40d",27,"4805_1",7792,7014.48,597.085810214526,10.0502904368034,"C18",0,0,0,"no_spec"
"M40d",28,"3269_2",7854,4862.55,484.079847699619,5.55020070218402,"C18",0,0,0,"no_spec"
"M40d",29,"3219_6",7878,9252.59,481.133990334976,13.800365215653,"C18",0,0,0,"no_spec"
"M40d",30,"7077_0",7948,8004.745,745.255250638127,8.70026351641761,"C18",0,0,0,"no_spec"
"M40d",31,"14124_0",7984,3739.38,1185.38071095178,8.65026251936628,"C18",0,0,0,"no_spec"
"M40d",32,"3808_0",8027,9088.14,524.15308788272,4.90018774051677,"C18",0,0,0,"no_spec"
"M40d",33,"18510_1",8052,7467.77,1619.44201610504,11.7503243365486,"C18",0,0,0,"no_spec"
"M40d",34,"12625_1",8099,248802,1079.29152572881,11.8003253335999,"C18",0,0,0,"no_spec"
"M40d",35,"2079_0",8123,2510.73,387.130005325013,7.20023360487781,"C18",0,0,0,"no_spec"
"M40d",36,"2083_0",8130,3447.66,387.225805564514,8.90026750462292,"C18",0,0,0,"no_spec"
"M40d",37,"6288_0",8250,8002.37,691.152065380163,12.5003392923185,"C18",0,0,0,"no_spec"
"M40d",38,"4193_3",8267,4384.965,553.108710271776,11.6503223424459,"C18",0,0,0,"no_spec"
"M40d",39,"3808_1",8271,4492.86333333333,524.15308788272,5.95020867859463,"C18",0,0,0,"no_spec"
"M40d",40,"4299_4",8305,7245.91,561.136770341926,14.1503721950122,"C18",0,0,0,"no_spec"
"M40d",41,"3308_1",8363,3475.07,487.087975219938,7.05023061372382,"C18",0,0,0,"no_spec"
"M40d",42,"7050_0",8483,3811.685,743.238655596639,10.8003053925733,"C18",0,0,0,"no_spec"
"M40d",43,"20962_0",8525,2650.78,1890.50879377198,11.05031037783,"C18",0,0,0,"no_spec"
"M40d",44,"2453_3",8527,2561.94,421.115140287851,10.0002894397521,"C18",0,0,0,"no_spec"
"M40d",45,"1916_2",8532,7991.83,371.097835244588,7.40023759308311,"C18",0,0,0,"no_spec"
"M40d",46,"7419_2",8627,5400.1,767.107285268213,10.7003033984707,"C18",0,0,0,"no_spec"
"M40d",47,"2000_0",8633,4665.51,380.045577613944,4.95018873756809,"C18",0,0,0,"no_spec"
"M40d",48,"2249_1",8884,19624.51,401.145580363951,10.6503024014194,"C18",0,0,0,"no_spec"
"M40d",49,"1770_3",8913,1952.17,356.066777666944,13.200353251037,"C18",0,0,0,"no_spec"
"M40d",50,"6976_0",9051,2695.28,739.205465513664,8.85026650757159,"C18",0,0,0,"no_spec"
"M40d",51,"2083_1",9078,19060.7,387.225805564514,9.75028445449548,"C18",0,0,0,"no_spec"
"M40d",52,"2781_1",9105,2360.35,449.107970269926,7.7502445724424,"C18",0,0,0,"no_spec"
"M40d",53,"2901_0",9129,2778.49,457.136030340076,6.95022861962117,"C18",0,0,0,"no_spec"
"M40d",54,"3997_1",9140,5015.47,538.633294083235,11.8003253335999,"C18",0,0,0,"no_spec"
"M40d",55,"4195_2",9182,3649.79,553.151820379551,13.5503602303963,"C18",0,0,0,"no_spec"
"M40d",56,"3296_1",9324,4902.9,486.043752609381,9.65028246039282,"C18",0,0,0,"no_spec"
"M40d",57,"10134_2",9534,4158.9,924.406488516221,21.450517764506,"C18",0,0,0,"no_spec"
"M40d",58,"6052_0",9548,2725.53,675.35939589849,24.3505755934829,"C18",0,0,0,"no_spec"
"M40d",59,"2208_0",9642,2593.09,397.179450448626,5.40019771103004,"C18",0,0,0,"no_spec"
"M40d",60,"627_0",9681,2724.13,235.118975297438,7.45023859013444,"C18",0,0,0,"no_spec"
"M40d",61,"12602_0",9773,5006.42,1077.27014067535,10.2502944250087,"C18",0,0,0,"no_spec"
"M40d",62,"4195_1",10059,2252.41,553.151820379551,12.1503323129592,"C18",0,0,0,"no_spec"
"M40d",63,"6232_0",10160,2967.9,687.238625596564,11.4003173571893,"C18",0,0,0,"no_spec"
"M40d",64,"6228_0",10169,3101.32,687.118875297188,8.5002595282123,"C18",0,0,0,"no_spec"
"M40d",65,"5373_1",10185,7757.775,633.145020362551,13.9003672097556,"C18",0,0,0,"no_spec"
"M40d",66,"4010_0",10203,8660.9,539.255995639989,11.8003253335999,"C18",0,0,0,"no_spec"
"M40d",67,"3254_0",10258,2377.35,483.184115460289,11.3503163601379,"C18",0,0,0,"no_spec"
"M40d",68,"2032_2",10273,3142.56,383.039335098338,10.9503083837273,"C18",0,0,0,"no_spec"
"M40d",69,"10077_0",10299,3212.07,921.225920564801,13.0003492628317,"C18",0,0,0,"no_spec"
"M40d",70,"2741_2",211,34213.3,447.091375228438,12.4503382952671,"C18",1,1,1,"matched"
"M40d",71,"2763_3",211,6010.535,448.097277743194,12.5003392923185,"C18",0,0,1,"no_spec"
"M40d",72,"5401_2",285,9084.62,635.089765224413,9.45027847218752,"C18",1,1,2,"matched"
"M40d",73,"5420_1",285,2388.43,636.090877727194,9.35027647808486,"C18",1,1,2,"no_spec"
"M40d",74,"10152_0",295,11297.2,925.259110647777,10.8503063896247,"C18",0,0,1,"no_spec"
"M40d",75,"5090_2",295,7266.82,615.096255240638,10.8003053925733,"C18",1,1,1,"matched"
"M40d",76,"10172_0",295,6325.46,926.265013162533,10.8503063896247,"C18",0,0,1,"no_spec"
"M40d",77,"7432_0",295,2949.46,768.113187782969,10.750304395522,"C18",0,0,1,"no_spec"
"M40d",78,"5110_1",295,2541.98,616.102157755394,10.750304395522,"C18",0,0,1,"no_spec"
"M40d",79,"3250_2",310,39803.5833333333,483.078735196838,7.20023360487781,"C18",1,1,2,"matched"
"M40d",80,"3269_3",310,9036.95,484.079847699619,7.20023360487781,"C18",1,1,2,"matched"
"M40d",81,"2966_2",340,7412.256,463.085225213063,11.05031037783,"C18",1,1,1,"matched"
"M40d",82,"5401_1",604,11803.3666666667,635.089765224413,7.80024556949373,"C18",1,1,1,"no_spec"
"M40d",83,"1201_3",611,21433.55,300.996009990025,10.7003033984707,"C18",1,1,2,"matched"
"M40d",84,"7516_2",611,9683.72,773.248080620202,10.8503063896247,"C18",1,1,2,"matched"
"M40d",85,"1215_3",611,2214.505,302.001912504781,10.7003033984707,"C18",0,0,2,"no_spec"
"M40d",86,"4835_3",702,26715.7,599.102405256013,12.2003333100105,"C18",1,1,1,"matched"
"M40d",87,"4857_3",702,6316.99666666667,600.108307770769,12.2003333100105,"C18",0,0,1,"no_spec"
"M40d",88,"3630_1",702,5024.58,510.132722831807,11.05031037783,"C18",0,0,1,"no_spec"
"M40d",89,"2079_1",1067,661360.116666667,387.130005325013,8.5002595282123,"C18",1,1,2,"matched"
"M40d",90,"2094_0",1067,160862.35,388.131117827795,8.5002595282123,"C18",0,0,2,"no_spec"
"M40d",91,"7538_0",1067,127401.063333333,775.264675661689,8.5002595282123,"C18",0,0,2,"no_spec"
"M40d",92,"7555_0",1067,45388.0466666667,776.26578816447,8.5002595282123,"C18",0,0,2,"no_spec"
"M40d",93,"2106_0",1067,27979.42,389.146600366501,8.80026551052027,"C18",1,1,2,"no_spec"
"M40d",94,"1522_0",1128,3286.931,331.067705169263,1.50011994102654,"C18",1,1,1,"matched"
"M40d",95,"1127_5",1383,3340.16,293.212240530601,27.6506413988705,"C18",1,1,1,"matched"
"M40d",96,"4004_3",1432,889162.2,539.141035352588,11.6503223424459,"C18",0,0,1,"no_spec"
"M40d",97,"3974_0",1432,74254.4,537.124440311101,11.1503123719326,"C18",0,0,1,"no_spec"
"M40d",98,"4299_2",1432,39398.55,561.136770341926,10.9503083837273,"C18",0,0,1,"no_spec"
"M40d",99,"3947_0",1432,28875.6,535.107845269613,10.2002934279574,"C18",0,0,1,"no_spec"
"M40d",100,"3612_0",1432,15003.4,509.126820317051,10.3002954220601,"C18",1,1,1,"no_spec"
"M40d",101,"19780_2",1632,10701.5,1773.80973202433,21.300514773352,"C18",0,0,1,"no_spec"
"M40d",102,"9876_2",1632,9880.32,909.404171010427,21.5505197586086,"C18",0,0,1,"no_spec"
"M40d",103,"19770_1",1632,9256.83,1772.7990394976,21.3505157704033,"C18",0,0,1,"no_spec"
"M40d",104,"9865_2",1632,9123.9,908.901219753049,21.5005187615573,"C18",0,0,1,"no_spec"
"M40d",105,"20199_2",1632,6520.82,1818.81189452974,21.300514773352,"C18",1,1,1,"matched"
"M40d",106,"2079_3",1919,1959660,387.130005325013,10.5002994102654,"C18",1,1,8,"matched"
"M40d",107,"2094_1",1919,466731,388.131117827795,10.4002974161627,"C18",1,1,8,"matched"
"M40d",108,"7538_1",1919,114904,775.264675661689,9.8002854515468,"C18",0,0,8,"no_spec"
"M40d",109,"2058_1",1919,82567.1,385.113410283526,10.2502944250087,"C18",1,1,8,"matched"
"M40d",110,"2106_0",1919,71983.8,389.146600366501,8.80026551052027,"C18",1,1,8,"matched"
"M40d",111,"3269_3",1947,17236.9,484.079847699619,7.20023360487781,"C18",1,1,2,"matched"
"M40d",112,"3216_3",1947,9038.89,481.06214015535,7.15023260782648,"C18",0,0,2,"no_spec"
"M40d",113,"3546_1",1947,8729.74,505.055310138275,7.20023360487781,"C18",0,0,2,"no_spec"
"M40d",114,"3282_1",1947,3466.94,485.085750214376,7.20023360487781,"C18",1,1,2,"matched"
"M40d",115,"1181_2",1947,3443.81,298.984204960512,6.65022263731321,"C18",0,0,2,"no_spec"
"M40d",116,"5401_2",2132,9683.944,635.089765224413,9.45027847218752,"C18",1,1,1,"matched"
"M40d",117,"3817_1",2143,237239,525.120670301676,10.5002994102654,"C18",1,1,3,"matched"
"M40d",118,"3833_1",2143,56275.55,526.131362828407,9.40027747513619,"C18",1,1,3,"matched"
"M40d",119,"4109_0",2143,17326.55,547.106825267063,9.45027847218752,"C18",0,0,3,"no_spec"
"M40d",120,"3849_0",2143,12548.25,527.132475331188,9.45027847218752,"C18",1,1,3,"no_spec"
"M40d",121,"3791_1",2143,11713.25,523.108865272163,9.30027548103354,"C18",0,0,3,"no_spec"
"M40d",122,"3250_1",2221,49141.72,483.078735196838,5.50019970513269,"C18",1,1,1,"matched"
"M40d",123,"3269_2",2221,20937.32,484.079847699619,5.55020070218402,"C18",0,0,1,"no_spec"
"M40d",124,"3216_2",2221,12969.28,481.06214015535,5.65020269628667,"C18",0,0,1,"no_spec"
"M40d",125,"3546_0",2221,9393.68666666667,505.055310138275,5.90020768154331,"C18",0,0,1,"no_spec"
"M40d",126,"10861_0",2221,8637.85,967.162135405338,5.90020768154331,"C18",0,0,1,"no_spec"
"M40d",127,"2079_3",2347,251154.991333333,387.130005325013,10.5002994102654,"C18",1,1,7,"matched"
"M40d",128,"2094_1",2347,104838.822,388.131117827795,10.4002974161627,"C18",1,1,7,"matched"
"M40d",129,"7538_2",2347,60664.65,775.264675661689,10.5503004073167,"C18",1,1,7,"matched"
"M40d",130,"2106_0",2347,16828.79,389.146600366501,8.80026551052027,"C18",1,1,7,"matched"
"M40d",131,"7555_2",2347,16175.45,776.26578816447,10.5503004073167,"C18",1,1,7,"matched"
"M40d",132,"4021_1",2385,491062,540.14214785537,11.7503243365486,"C18",0,0,3,"no_spec"
"M40d",133,"4004_3",2385,206153.837777778,539.141035352588,11.6503223424459,"C18",0,0,3,"no_spec"
"M40d",134,"12638_1",2385,129860,1080.28784821962,11.7503243365486,"C18",0,0,3,"no_spec"
"M40d",135,"4035_1",2385,112266,541.133680334201,12.3503363011645,"C18",0,0,3,"no_spec"
