"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M71",1,"1085_1",123,14708.9433333333,289.0688801722,7.05023061372382,"C18",0,0,0,"no_spec"
"M71",2,"1085_2",316,1967.13666666667,289.0688801722,8.60026152231496,"C18",0,0,0,"no_spec"
"M71",3,"1111_5",1018,3909.01666666667,291.195645489114,26.7506234519466,"C18",0,0,0,"no_spec"
"M71",4,"6293_0",1320,7175.31,691.353245883115,22.2005327202759,"C18",0,0,0,"no_spec"
"M71",5,"3157_1",1966,4872.93,476.276918192295,29.1506713104103,"C18",0,0,0,"no_spec"
"M71",6,"133_3",2840,1822.34,153.090020225051,15.0503901419361,"C18",0,0,0,"no_spec"
"M71",7,"7451_1",3177,2999.385,769.219680549201,11.200313368984,"C18",0,0,0,"no_spec"
"M71",8,"14_0",3204,5412.56666666667,111.009765024413,1.15011296166725,"C18",0,0,0,"no_spec"
"M71",9,"1085_8",3212,4605.49,289.0688801722,17.0004290269379,"C18",0,0,0,"no_spec"
"M71",10,"2150_1",3292,4329.86333333333,393.175000437501,10.750304395522,"C18",0,0,0,"no_spec"
"M71",11,"8008_0",3331,2891.46,803.209605524014,7.95024856064771,"C18",0,0,0,"no_spec"
"M71",12,"9734_1",3635,3030.67333333333,901.237200593001,7.35023659603179,"C18",0,0,0,"no_spec"
"M71",13,"629_2",4045,17450.9,235.171665429164,27.5506394047679,"C18",0,0,0,"no_spec"
"M71",14,"1207_5",4170,2453.77833333333,301.201980504951,20.0004888500175,"C18",0,0,0,"no_spec"
"M71",15,"848_0",4474,4884.81,263.140545351363,7.30023559898046,"C18",0,0,0,"no_spec"
"M71",16,"2425_1",4800,1576.23,417.249600624002,14.6003811684742,"C18",0,0,0,"no_spec"
"M71",17,"83_1",5363,3056.98,137.0243200608,2.90014785846369,"C18",0,0,0,"no_spec"
"M71",18,"4064_0",6818,2343.17,543.313135782839,18.9004669148883,"C18",0,0,0,"no_spec"
"M71",19,"54_0",7074,3306.46333333333,128.033467583669,1.2501149557699,"C18",0,0,0,"no_spec"
"M71",20,"498_0",7281,1658.38333333333,216.12178780447,6.65022263731321,"C18",0,0,0,"no_spec"
"M71",21,"52_0",7447,4543.96333333333,127.075465188663,9.25027448398221,"C18",0,0,0,"no_spec"
"M71",22,"3335_2",7450,2364.22,489.233900584751,18.1504519591184,"C18",0,0,0,"no_spec"
"M71",23,"4061_0",7644,2230.38333333333,543.246075615189,9.30027548103354,"C18",0,0,0,"no_spec"
"M71",24,"15177_0",7692,4650.04333333333,1262.31788329471,7.25023460192913,"C18",0,0,0,"no_spec"
"M71",25,"565_3",7729,2832.15333333333,227.071755179388,13.350356242191,"C18",0,0,0,"no_spec"
"M71",26,"910_4",7777,2730.00333333333,271.058435146088,12.9003472687291,"C18",0,0,0,"no_spec"
"M71",27,"3757_0",8596,2737.86,520.26838817097,5.45019870808136,"C18",0,0,0,"no_spec"
"M71",28,"9570_0",8609,2391.61,892.22718806797,6.70022363436454,"C18",0,0,0,"no_spec"
"M71",29,"1500_6",10131,4763.98,329.089430223576,22.7505436878405,"C18",0,0,0,"no_spec"
"M71",30,"1479_1",57,18650.11,327.216535541339,18.6004609325803,"C18",1,1,3,"matched"
"M71",31,"1492_0",57,6463.07333333333,328.222438056095,18.6504619296317,"C18",1,1,3,"matched"
"M71",32,"5774_1",57,5258.70333333333,657.387270968177,19.0504699060423,"C18",1,1,3,"matched"
"M71",33,"4744_3",181,2507.745,593.263380658452,23.0505496701484,"C18",1,1,1,"matched"
"M71",34,"2741_2",211,3848.55333333333,447.091375228438,12.4503382952671,"C18",1,1,1,"matched"
"M71",35,"4994_2",231,104219.1,609.147060367651,11.05031037783,"C18",1,1,6,"matched"
"M71",36,"5012_1",231,31298.1166666667,610.148172870432,11.1003113748813,"C18",1,1,6,"matched"
"M71",37,"5027_4",231,7456.02833333333,611.158865397163,11.1503123719326,"C18",0,0,6,"no_spec"
"M71",38,"1321_0",231,5210.05,312.104047760119,11.4003173571893,"C18",1,1,6,"no_spec"
"M71",39,"14610_0",231,4445.32,1219.30836577091,11.0003093807787,"C18",1,1,6,"no_spec"
"M71",40,"3012_2",282,25490.1333333333,465.101820254551,9.8002854515468,"C18",1,1,1,"matched"
"M71",41,"3030_0",282,5466.22666666667,466.107722769307,9.8002854515468,"C18",0,0,1,"no_spec"
"M71",42,"1035_2",282,2450.77333333333,285.0404801012,9.20027348693088,"C18",0,0,1,"no_spec"
"M71",43,"1063_4",305,36801.5666666667,287.219935549839,20.3504958293768,"C18",1,1,4,"matched"
"M71",44,"1077_1",305,6100.72833333333,288.225838064595,20.4504978234794,"C18",1,1,4,"matched"
"M71",45,"362_2",305,4816.82666666667,195.136745341863,20.6005008146334,"C18",1,1,4,"no_spec"
"M71",46,"1765_0",305,1899.702,355.209365523414,20.5504998175821,"C18",1,1,4,"no_spec"
"M71",47,"262_0",328,69067.8,180.067367668419,1.30011595282123,"C18",1,1,3,"matched"
"M71",48,"2035_0",328,14546.1666666667,383.120765301913,1.2501149557699,"C18",1,1,3,"matched"
"M71",49,"168_0",328,8340.17,163.038875097188,1.30011595282123,"C18",0,0,3,"no_spec"
"M71",50,"273_0",328,6694.48666666667,181.0684801712,1.30011595282123,"C18",1,1,3,"matched"
"M71",51,"4568_0",328,2882.85333333333,580.153117882795,1.2501149557699,"C18",0,0,3,"no_spec"
"M71",52,"2966_2",340,10849.38,463.085225213063,11.05031037783,"C18",1,1,2,"matched"
"M71",53,"2992_0",340,2452.005,464.091127727819,11.0003093807787,"C18",1,1,2,"no_spec"
"M71",54,"1479_2",564,16247.38,327.216535541339,21.000508791044,"C18",1,1,3,"matched"
