"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"N14",1,"451_2",65,214585.666666667,209.118790296976,21.150511782198,"C18",0,0,0,"no_spec"
"N14",2,"1380_6",76,12998.5733333333,317.02818007045,13.4503582362937,"C18",0,0,0,"no_spec"
"N14",3,"451_2",82,275650.922222222,209.118790296976,21.150511782198,"C18",0,0,0,"no_spec"
"N14",4,"2030_1",129,563795,382.986644966612,22.5505396996352,"C18",0,0,0,"no_spec"
"N14",5,"10373_4",134,41408.8,938.508283770709,21.300514773352,"C18",0,0,0,"no_spec"
"N14",6,"4994_2",231,51971.2666666667,609.147060367651,11.05031037783,"C18",0,0,0,"no_spec"
"N14",7,"3162_2",273,54579.9,477.100800252001,10.5503004073167,"C18",0,0,0,"no_spec"
"N14",8,"704_0",385,29376.4,244.97681994205,1.45011894397521,"C18",0,0,0,"no_spec"
"N14",9,"5090_4",387,245927.936666667,615.096255240638,13.4503582362937,"C18",0,0,0,"no_spec"
"N14",10,"8060_4",424,95725.75,806.466813667034,21.7505237468139,"C18",0,0,0,"no_spec"
"N14",11,"6052_1",426,65144.75,675.35939589849,27.1506314283572,"C18",0,0,0,"no_spec"
"N14",12,"5919_3",439,8571.61333333333,667.168475421189,18.2004529561697,"C18",0,0,0,"no_spec"
"N14",13,"888_6",456,114415.983333333,269.046630116575,16.8004250387326,"C18",0,0,0,"no_spec"
"N14",14,"580_2",505,101014.733333333,229.145830364576,19.9504878529662,"C18",0,0,0,"no_spec"
"N14",15,"16221_0",536,57125.35,1348.64826912067,18.9004669148883,"C18",0,0,0,"no_spec"
"N14",16,"1127_3",562,231072.383333333,293.212240530601,24.8505855639962,"C18",0,0,0,"no_spec"
"N14",17,"1272_1",627,79310.2333333333,307.189495473739,22.3005347143785,"C18",0,0,0,"no_spec"
"N14",18,"5309_1",745,4303.04333333333,629.207630519076,17.1504320180919,"C18",0,0,0,"no_spec"
"N14",19,"7138_5",763,8931.14,749.446511116278,26.350615475536,"C18",0,0,0,"no_spec"
"N14",20,"1248_3",790,98087.06,305.0675201688,8.75026451346894,"C18",0,0,0,"no_spec"
"N14",21,"2780_3",801,493922.425,449.069650174125,10.6503024014194,"C18",0,0,0,"no_spec"
"N14",22,"17357_3",821,416537.4175,1470.69777424444,18.6504619296317,"C18",0,0,0,"no_spec"
"N14",23,"1223_5",836,23458.9355555556,303.050925127313,11.4503183542406,"C18",0,0,0,"no_spec"
"N14",24,"1202_5",849,46388.3666666667,301.034330085825,12.3503363011645,"C18",0,0,0,"no_spec"
"N14",25,"4739_1",880,203395.272,593.148420371051,9.30027548103354,"C18",0,0,0,"no_spec"
"N14",26,"4762_1",894,98967.1,594.154322885807,7.85024656654505,"C18",0,0,0,"no_spec"
"N14",27,"370_6",912,17090.8,197.119810299526,25.1005905492528,"C18",0,0,0,"no_spec"
"N14",28,"1921_1",951,86587.8333333333,371.241535603839,28.3506553575891,"C18",0,0,0,"no_spec"
"N14",29,"6037_6",971,124254.2,674.425343563359,23.1505516642511,"C18",0,0,0,"no_spec"
"N14",30,"3208_0",974,56286,480.310108275271,30.2506932455395,"C18",0,0,0,"no_spec"
"N14",31,"3536_4",975,116451,504.308068270171,29.2006723074616,"C18",0,0,0,"no_spec"
"N14",32,"9405_5",1036,12420.2375,881.487981219953,25.9006065020741,"C18",0,0,0,"no_spec"
"N14",33,"5249_2",1062,125451.066666667,625.140910352276,9.95028844270078,"C18",0,0,0,"no_spec"
"N14",34,"1267_2",1113,70633.02,307.084115210288,9.20027348693088,"C18",0,0,0,"no_spec"
"N14",35,"3162_3",1148,82867.7333333333,477.100800252001,11.4003173571893,"C18",0,0,0,"no_spec"
"N14",36,"301_2",1151,15526.8566666667,185.116040290101,22.1505317232245,"C18",0,0,0,"no_spec"
"N14",37,"1335_1",1166,94418.2333333333,313.239280598202,21.9005267379679,"C18",0,0,0,"no_spec"
"N14",38,"3329_3",1175,35571.6666666667,489.104570261426,13.0003492628317,"C18",0,0,0,"no_spec"
"N14",39,"4429_5",1189,25595.065,571.286805717014,30.3506952396422,"C18",0,0,0,"no_spec"
"N14",40,"970_1",1190,154989.733333333,277.218390545976,29.250673304513,"C18",0,0,0,"no_spec"
"N14",41,"3581_1",1200,4514.51333333333,507.110225275563,10.3002954220601,"C18",0,0,0,"no_spec"
"N14",42,"4693_0",1203,45424.3,589.096070240176,5.95020867859463,"C18",0,0,0,"no_spec"
"N14",43,"4429_6",1275,282213.016666667,571.286805717014,31.1507111924634,"C18",0,0,0,"no_spec"
"N14",44,"1183_4",1322,15487.6066666667,299.056055140138,12.1003313159078,"C18",0,0,0,"no_spec"
"N14",45,"4511_1",1328,204814.783333333,577.269530673827,28.6006603428457,"C18",0,0,0,"no_spec"
"N14",46,"3478_0",1403,50420.4,499.32645581614,25.7506035109201,"C18",0,0,0,"no_spec"
"N14",47,"6518_2",1421,6156.74,707.174655436639,16.5004190564246,"C18",0,0,0,"no_spec"
"N14",48,"4738_1",1530,32626.06,593.129260323151,6.70022363436454,"C18",0,0,0,"no_spec"
"N14",49,"2972_0",1582,4972.87666666667,463.219345548364,11.4503183542406,"C18",0,0,0,"no_spec"
"N14",50,"3514_0",1586,38217.4,502.291473228683,27.8006443900245,"C18",0,0,0,"no_spec"
"N14",51,"773_6",1693,11018.8766666667,253.091100227751,24.050569611175,"C18",0,0,0,"no_spec"
"N14",52,"301_6",1786,55567.6333333333,185.116040290101,29.8006842720776,"C18",0,0,0,"no_spec"
"N14",53,"8642_2",1878,33376.3933333333,837.410291025727,26.7506234519466,"C18",0,0,0,"no_spec"
"N14",54,"5380_4",1882,9872.655,633.398890997227,23.6505616347644,"C18",0,0,0,"no_spec"
"N14",55,"212_3",1924,77144.4,171.100465251163,24.7505835698935,"C18",0,0,0,"no_spec"
"N14",56,"4779_9",1961,104579.496666667,595.289555723889,29.8006842720776,"C18",0,0,0,"no_spec"
"N14",57,"557_0",2008,43487.3,225.112640281601,8.60026152231496,"C18",0,0,0,"no_spec"
"N14",58,"1361_7",2020,26431.4,315.251085627714,27.7506433929732,"C18",0,0,0,"no_spec"
"N14",59,"4998_4",2022,10825.8583333333,609.266810667027,22.6005406966865,"C18",0,0,0,"no_spec"
"N14",60,"7393_4",2038,204072,765.440361100903,22.1505317232245,"C18",0,0,0,"no_spec"
"N14",61,"2663_0",2116,35059.5266666667,439.087265218163,6.4502186491079,"C18",0,0,0,"no_spec"
"N14",62,"11672_2",2158,230549.518,1019.21040552601,12.3503363011645,"C18",0,0,0,"no_spec"
"N14",63,"6975_0",2164,24059.2666666667,739.186305465764,6.50021964615923,"C18",0,0,0,"no_spec"
"N14",64,"1111_6",2165,108330.766666667,291.195645489114,28.2006523664351,"C18",0,0,0,"no_spec"
"N14",65,"746_0",2202,23449.8,249.148920372301,23.4005566495077,"C18",0,0,0,"no_spec"
"N14",66,"4872_1",2211,69582,601.0806802017,11.4503183542406,"C18",0,0,0,"no_spec"
"N14",67,"1127_6",2226,479679.333333333,293.212240530601,29.7506832750262,"C18",0,0,0,"no_spec"
"N14",68,"370_6",2259,56351.6,197.119810299526,25.1005905492528,"C18",0,0,0,"no_spec"
