"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"T67a",1,"199_0",96,4729.28857142857,169.01202003005,1.70012392923185,"C18",0,0,0,"no_spec"
"T67a",2,"1248_1",572,2465.78,305.0675201688,3.75016480833625,"C18",0,0,0,"no_spec"
"T67a",3,"1248_2",835,3489.72,305.0675201688,6.65022263731321,"C18",0,0,0,"no_spec"
"T67a",4,"2342_6",934,2123.915,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"T67a",5,"1522_0",1128,4343.555,331.067705169263,1.50011994102654,"C18",0,0,0,"no_spec"
"T67a",6,"4993_1",1689,2214.688,609.123110307776,2.65014287320706,"C18",0,0,0,"no_spec"
"T67a",7,"408_1",2316,4020.95,203.083375208438,5.25019471987606,"C18",0,0,0,"no_spec"
"T67a",8,"1189_1",4062,2995.13,299.257235643089,31.6007201659253,"C18",0,0,0,"no_spec"
"T67a",9,"4736_0",4757,3590.50833333333,593.090940227351,7.0002296166725,"C18",0,0,0,"no_spec"
"T67a",10,"3012_4",4953,2527.02,465.101820254551,12.5503402893698,"C18",0,0,0,"no_spec"
"T67a",11,"1042_1",6131,4553.052,285.241660604151,29.5506792868209,"C18",0,0,0,"no_spec"
"T67a",12,"1604_0",6243,2997.402,340.25494813737,31.4507171747714,"C18",0,0,0,"no_spec"
"T67a",13,"2899_1",66,25400.1625,457.078550196375,8.80026551052027,"C18",1,1,4,"matched"
"T67a",14,"199_5",66,21082.8,169.01202003005,8.85026650757159,"C18",1,1,4,"no_spec"
"T67a",15,"3187_2",66,5705.12285714286,479.059915149788,8.85026650757159,"C18",0,0,4,"no_spec"
"T67a",16,"2911_1",66,5317.9475,458.079662699157,8.80026551052027,"C18",0,0,4,"no_spec"
"T67a",17,"9984_0",66,3192.105,915.156975392438,8.70026351641761,"C18",1,1,4,"matched"
"T67a",18,"1063_4",305,2734.438,287.219935549839,20.3504958293768,"C18",1,1,1,"matched"
"T67a",19,"110_0",334,6102.915,147.030655076638,1.45011894397521,"C18",1,1,2,"no_spec"
"T67a",20,"22_0",334,4120.735,115.004635011588,1.45011894397521,"C18",0,0,2,"no_spec"
"T67a",21,"1689_0",334,2805.10875,347.976447441119,1.45011894397521,"C18",1,1,2,"no_spec"
"T67a",22,"2966_2",340,26629.7642857143,463.085225213063,11.05031037783,"C18",1,1,1,"matched"
"T67a",23,"2992_0",340,5527.42,464.091127727819,11.0003093807787,"C18",0,0,1,"no_spec"
"T67a",24,"1368_0",340,1622.335,316.022277555694,10.9503083837273,"C18",0,0,1,"no_spec"
"T67a",25,"5090_4",387,4460.175,615.096255240638,13.4503582362937,"C18",1,1,1,"matched"
"T67a",26,"5110_2",387,3058.08,616.102157755394,13.4503582362937,"C18",0,0,1,"no_spec"
"T67a",27,"4809_2",586,2891.12,597.181610454026,11.8003253335999,"C18",1,1,1,"no_spec"
"T67a",28,"2081_0",623,3794.24166666667,387.163535408839,8.95026850167425,"C18",0,0,2,"no_spec"
"T67a",29,"9929_0",623,2498.54571428571,912.134477836194,9.10027149282823,"C18",1,1,2,"matched"
"T67a",30,"9945_1",623,2354.45666666667,912.637429093573,9.0502704957769,"C18",1,1,2,"matched"
"T67a",31,"9953_1",647,3544.47,913.145170362926,10.750304395522,"C18",1,1,1,"matched"
"T67a",32,"2001_0",647,2157.44,380.064737661844,10.750304395522,"C18",0,0,1,"no_spec"
"T67a",33,"199_6",647,2138.646,169.01202003005,10.9503083837273,"C18",0,0,1,"no_spec"
"T67a",34,"448_3",743,5933.285,209.02778006945,6.00020967564596,"C18",1,1,1,"matched"
"T67a",35,"2780_3",801,4111.62666666667,449.069650174125,10.6503024014194,"C18",1,1,1,"matched"
"T67a",36,"168_4",855,6448.81,163.038875097188,7.65024257833975,"C18",1,1,1,"no_spec"
"T67a",37,"4739_1",880,4603.516,593.148420371051,9.30027548103354,"C18",1,1,1,"matched"
"T67a",38,"4762_2",880,2300.915,594.154322885807,9.30027548103354,"C18",0,0,1,"no_spec"
"T67a",39,"7306_2",884,30631.45,761.134140335351,6.95022861962117,"C18",1,1,3,"matched"
"T67a",40,"7325_2",884,11070.0475,762.140042850107,6.95022861962117,"C18",1,1,3,"no_spec"
"T67a",41,"7665_0",884,3439.015,783.115505288763,6.95022861962117,"C18",0,0,3,"no_spec"
"T67a",42,"7344_1",884,3363.63875,763.141155352888,6.95022861962117,"C18",0,0,3,"no_spec"
"T67a",43,"7278_1",884,2895.44,759.117545293863,7.0002296166725,"C18",1,1,3,"matched"
"T67a",44,"1035_6",945,5705.08,285.0404801012,15.2003931330901,"C18",1,1,1,"matched"
"T67a",45,"1036_0",1042,2500.0975,285.0596401491,5.85020668449198,"C18",1,1,1,"matched"
"T67a",46,"3188_0",1046,4408.92307692308,479.083865209663,9.95028844270078,"C18",1,1,1,"matched"
"T67a",47,"5249_2",1062,2606.65,625.140910352276,9.95028844270078,"C18",1,1,1,"matched"
"T67a",48,"3162_3",1148,2020.926,477.100800252001,11.4003173571893,"C18",1,1,1,"matched"
"T67a",49,"17659_2",1222,8189.474,1510.69916424791,18.3004549502724,"C18",1,1,3,"matched"
"T67a",50,"17665_1",1222,5976.634,1511.70027675069,18.400456944375,"C18",0,0,3,"no_spec"
"T67a",51,"17677_4",1222,3840.52333333333,1512.71096927742,18.5004589384777,"C18",0,0,3,"no_spec"
"T67a",52,"17973_2",1222,2943.96,1556.73117932795,18.2004529561697,"C18",1,1,3,"matched"
"T67a",53,"17980_1",1222,2447.29,1557.6987617469,18.400456944375,"C18",1,1,3,"matched"
"T67a",54,"1127_5",1383,4048.015,293.212240530601,27.6506413988705,"C18",1,1,1,"no_spec"
"T67a",55,"12443_1",1395,2908.27571428571,1065.18973047433,7.35023659603179,"C18",1,1,1,"matched"
"T67a",56,"3586_1",1433,2919.99,507.220395550989,13.7503642186016,"C18",1,1,1,"matched"
"T67a",57,"326_2",1480,3470.37,191.017335043338,4.60018175820881,"C18",1,1,1,"no_spec"
"T67a",58,"448_2",1480,2386.25,209.02778006945,4.65018275526013,"C18",0,0,1,"no_spec"
"T67a",59,"3906_1",1553,3383.09333333333,532.090137725344,8.5002595282123,"C18",1,1,2,"no_spec"
"T67a",60,"12443_2",1553,3118.14133333333,1065.18973047433,8.5002595282123,"C18",1,1,2,"matched"
