"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"T67b",1,"1248_1",572,8410.23,305.0675201688,3.75016480833625,"C18",0,0,0,"no_spec"
"T67b",2,"1248_2",835,6215.75,305.0675201688,6.65022263731321,"C18",0,0,0,"no_spec"
"T67b",3,"168_4",855,3694.3,163.038875097188,7.65024257833975,"C18",0,0,0,"no_spec"
"T67b",4,"4738_1",1530,7005.245,593.129260323151,6.70022363436454,"C18",0,0,0,"no_spec"
"T67b",5,"7073_3",1545,2979.52,745.140290350726,8.65026251936628,"C18",0,0,0,"no_spec"
"T67b",6,"985_1",4230,6704.82333333333,279.158345395863,31.3007141836174,"C18",0,0,0,"no_spec"
"T67b",7,"743_1",5067,3217.85,249.086650216626,7.15023260782648,"C18",0,0,0,"no_spec"
"T67b",8,"1759_1",6311,4822.3,355.065665164163,4.60018175820881,"C18",0,0,0,"no_spec"
"T67b",9,"4623_1",6648,4312.755,584.104877762194,11.4503183542406,"C18",0,0,0,"no_spec"
"T67b",10,"2899_1",66,7170.83,457.078550196375,8.80026551052027,"C18",1,1,1,"no_spec"
"T67b",11,"2682_6",88,18828.24,441.079910199775,11.1003113748813,"C18",1,1,2,"matched"
"T67b",12,"9436_0",88,8326.02,883.159695399238,11.0003093807787,"C18",1,1,2,"matched"
"T67b",13,"2696_7",88,5965.3075,442.085812714532,11.1003113748813,"C18",0,0,2,"no_spec"
"T67b",14,"3531_1",88,4173.63,504.078147695369,11.1003113748813,"C18",0,0,2,"no_spec"
"T67b",15,"9450_1",88,3533.72,884.17038792597,11.1003113748813,"C18",0,0,2,"no_spec"
"T67b",16,"199_0",96,5037,169.01202003005,1.70012392923185,"C18",1,1,1,"matched"
"T67b",17,"1085_1",123,32120.0028571429,289.0688801722,7.05023061372382,"C18",1,1,2,"matched"
"T67b",18,"709_0",123,8217.02666666667,245.0822002055,7.0002296166725,"C18",0,0,2,"no_spec"
"T67b",19,"1099_0",123,5102.02,290.074782686957,7.05023061372382,"C18",1,1,2,"matched"
"T67b",20,"1303_0",123,2954,311.055035137588,7.0002296166725,"C18",0,0,2,"no_spec"
"T67b",21,"6838_1",147,11640.3633333333,729.146440366101,9.8002854515468,"C18",1,1,2,"matched"
"T67b",22,"6848_1",147,6791.27166666667,730.147552868882,9.75028445449548,"C18",1,1,2,"matched"
"T67b",23,"6859_0",147,2199.935,731.148665371663,9.8002854515468,"C18",0,0,2,"no_spec"
"T67b",24,"7158_0",147,1635.84,751.127805319513,9.75028445449548,"C18",0,0,2,"no_spec"
"T67b",25,"4505_2",150,22690.1458333333,577.135410338526,8.25025454295567,"C18",1,1,5,"matched"
"T67b",26,"2489_2",150,12896.945,425.08606021515,8.20025354590434,"C18",1,1,5,"matched"
"T67b",27,"4528_1",150,6534.70333333333,578.136522841307,8.20025354590434,"C18",0,0,5,"no_spec"
"T67b",28,"4836_1",150,6446.01333333333,599.116775291938,8.15025254885302,"C18",0,0,5,"no_spec"
"T67b",29,"1085_2",150,5293.32166666667,289.0688801722,8.60026152231496,"C18",1,1,5,"matched"
"T67b",30,"2741_2",211,8752.66111111111,447.091375228438,12.4503382952671,"C18",1,1,2,"matched"
"T67b",31,"2763_3",211,2559.318,448.097277743194,12.5003392923185,"C18",1,1,2,"matched"
"T67b",32,"4505_1",251,15052.1728571429,577.135410338526,6.75022463141586,"C18",1,1,4,"matched"
"T67b",33,"2489_1",251,11538.8433333333,425.08606021515,6.70022363436454,"C18",0,0,4,"no_spec"
"T67b",34,"6975_0",251,8038.83,739.186305465764,6.50021964615923,"C18",1,1,4,"matched"
"T67b",35,"4836_0",251,5282.12,599.116775291938,6.70022363436454,"C18",0,0,4,"no_spec"
"T67b",36,"4528_0",251,4191.45285714286,578.136522841307,6.70022363436454,"C18",1,1,4,"matched"
"T67b",37,"9103_2",261,7365.9925,866.198262995657,9.40027747513619,"C18",1,1,3,"matched"
"T67b",38,"9088_3",261,6725.91333333333,865.197150492876,9.40027747513619,"C18",1,1,3,"matched"
"T67b",39,"9497_2",261,2499.8,887.178515446289,9.45027847218752,"C18",0,0,3,"no_spec"
"T67b",40,"9125_2",261,2493.67333333333,867.204165510414,9.40027747513619,"C18",1,1,3,"no_spec"
"T67b",41,"1085_2",316,39818.1071428571,289.0688801722,8.60026152231496,"C18",1,1,1,"matched"
"T67b",42,"709_1",316,10572.7666666667,245.0822002055,8.70026351641761,"C18",0,0,1,"no_spec"
"T67b",43,"1099_1",316,7888.758,290.074782686957,8.70026351641761,"C18",0,0,1,"no_spec"
"T67b",44,"1303_1",316,4078.235,311.055035137588,8.70026351641761,"C18",0,0,1,"no_spec"
"T67b",45,"420_3",316,3001.56,205.052070130175,8.65026251936628,"C18",0,0,1,"no_spec"
"T67b",46,"110_0",334,7767.89333333333,147.030655076638,1.45011894397521,"C18",1,1,1,"no_spec"
"T67b",47,"22_0",334,3728.61,115.004635011588,1.45011894397521,"C18",0,0,1,"no_spec"
"T67b",48,"2966_2",340,12019.41,463.085225213063,11.05031037783,"C18",1,1,1,"matched"
"T67b",49,"2992_0",340,4892.706,464.091127727819,11.0003093807787,"C18",0,0,1,"no_spec"
"T67b",50,"4505_4",340,4012.23666666667,577.135410338526,11.3003153630866,"C18",0,0,1,"no_spec"
"T67b",51,"12338_2",531,2774.08833333333,1059.47045617614,21.300514773352,"C18",1,1,2,"matched"
"T67b",52,"12327_1",531,2431.93666666667,1058.97229493074,21.4005167674546,"C18",0,0,2,"no_spec"
"T67b",53,"12346_0",531,1850.584,1059.96861742154,21.150511782198,"C18",1,1,2,"matched"
"T67b",54,"2081_0",623,3428.88666666667,387.163535408839,8.95026850167425,"C18",1,1,1,"matched"
"T67b",55,"448_3",743,8572.45,209.02778006945,6.00020967564596,"C18",1,1,1,"matched"
"T67b",56,"2585_4",767,5716.166,433.0758001895,11.9503283247539,"C18",1,1,2,"matched"
"T67b",57,"7911_1",767,2250.62,796.163497908745,11.6003213453946,"C18",1,1,2,"matched"
"T67b",58,"7920_0",767,1942.495,796.666449166123,11.6003213453946,"C18",0,0,2,"no_spec"
"T67b",59,"11647_3",778,3421.10833333333,1017.20818052045,11.4003173571893,"C18",1,1,2,"matched"
"T67b",60,"11658_2",778,2879.06,1018.20929302323,11.3503163601379,"C18",0,0,2,"no_spec"
"T67b",61,"3598_1",778,2151.31,508.116127790319,11.8503263306512,"C18",1,1,2,"matched"
"T67b",62,"12093_2",798,2766.63166666667,1044.4585586464,21.6505217527113,"C18",1,1,3,"no_spec"
"T67b",63,"12083_2",798,2556.72571428571,1043.96039740099,21.8505257409166,"C18",1,1,3,"no_spec"
"T67b",64,"12101_1",798,1957.0175,1044.97108992772,21.7005227497626,"C18",1,1,3,"matched"
"T67b",65,"2780_3",801,4392.12857142857,449.069650174125,10.6503024014194,"C18",1,1,1,"matched"
"T67b",66,"4739_1",880,2747.466,593.148420371051,9.30027548103354,"C18",1,1,1,"matched"
"T67b",67,"6707_1",899,3636.25,720.15558788897,9.95028844270078,"C18",1,1,3,"matched"
"T67b",68,"6715_1",899,3253.474,720.658539146348,9.95028844270078,"C18",1,1,3,"matched"
"T67b",69,"1085_3",899,2560.34333333333,289.0688801722,9.70028345744415,"C18",0,0,3,"no_spec"
"T67b",70,"6722_2",899,1811.23,721.161490403726,9.95028844270078,"C18",1,1,3,"matched"
"T67b",71,"9088_2",909,9693.475,865.197150492876,7.60024158128842,"C18",1,1,3,"matched"
"T67b",72,"9103_1",909,4624.88222222222,866.198262995657,7.50023958718577,"C18",1,1,3,"matched"
"T67b",73,"9125_1",909,2254.15666666667,867.204165510414,7.40023759308311,"C18",1,1,3,"matched"
"T67b",74,"1035_6",945,4325.118,285.0404801012,15.2003931330901,"C18",1,1,1,"matched"
"T67b",75,"13655_1",1021,5861.74333333333,1153.25889064723,9.65028246039282,"C18",1,1,4,"matched"
"T67b",76,"13673_1",1021,3431.74333333333,1154.26000315001,9.75028445449548,"C18",1,1,4,"matched"
"T67b",77,"4505_3",1021,2941.448,577.135410338526,9.75028445449548,"C18",1,1,4,"matched"
"T67b",78,"1085_3",1021,2553.58666666667,289.0688801722,9.70028345744415,"C18",0,0,4,"no_spec"
"T67b",79,"4495_2",1021,2017.4425,576.124717811794,9.75028445449548,"C18",1,1,4,"matched"
"T67b",80,"3188_0",1046,3612.994,479.083865209663,9.95028844270078,"C18",1,1,1,"matched"
"T67b",81,"1671_1",1088,2935.054,345.155130387826,10.8503063896247,"C18",1,1,1,"matched"
"T67b",82,"10808_0",1256,2306.94,963.938457346143,18.1504519591184,"C18",1,1,1,"matched"
"T67b",83,"10817_0",1256,2066.98,964.441408603521,18.2004529561697,"C18",0,0,1,"no_spec"
"T67b",84,"1127_5",1383,5478.114,293.212240530601,27.6506413988705,"C18",1,1,1,"no_spec"
"T67b",85,"6751_0",1749,4637.26,723.192455481139,7.60024158128842,"C18",1,1,2,"matched"
"T67b",86,"6765_0",1749,2876.2,724.19356798392,7.65024257833975,"C18",1,1,2,"matched"
"T67b",87,"1148_3",1755,4760.41,295.228835572089,28.950667322205,"C18",1,1,1,"matched"
"T67b",88,"1085_4",1873,3450.53666666667,289.0688801722,11.1503123719326,"C18",1,1,1,"no_spec"
"T67b",89,"199_6",1873,2719.85,169.01202003005,10.9503083837273,"C18",0,0,1,"no_spec"
"T67b",90,"7189_0",1906,2062.81,753.182720456801,13.9003672097556,"C18",1,1,1,"matched"
"T67b",91,"11523_1",2002,2717.43,1008.7202793007,10.5002994102654,"C18",1,1,2,"matched"
"T67b",92,"11511_1",2002,2484.15666666667,1008.21732804332,10.5002994102654,"C18",1,1,2,"no_spec"
"T67b",93,"5680_1",2085,4253.9125,652.132627831569,11.5503203483432,"C18",1,1,2,"matched"
"T67b",94,"5687_0",2085,2947.65,652.630789076973,11.5503203483432,"C18",1,1,2,"no_spec"
"T67b",95,"6975_0",2164,3300.26,739.186305465764,6.50021964615923,"C18",1,1,1,"matched"
"T67b",96,"2674_4",2502,7302.58,440.069217673044,13.7003632215503,"C18",1,1,1,"matched"
"T67b",97,"2679_1",2502,3113.27,440.576958942397,13.650362224499,"C18",0,0,1,"no_spec"
"T67b",98,"9398_1",2527,4366.03,881.152680381701,10.8503063896247,"C18",1,1,1,"matched"
"T67b",99,"743_0",3223,4979.6,249.086650216626,6.05021067269729,"C18",1,1,1,"matched"
"T67b",100,"1845_0",3720,3753.28333333333,364.075677689194,6.05021067269729,"C18",1,1,1,"matched"
"T67b",101,"1116_0",3720,2490.015,292.091377728444,6.00020967564596,"C18",0,0,1,"no_spec"
"T67b",102,"1290_0",3785,9322.69666666667,309.172560431401,31.4507171747714,"C18",1,1,1,"matched"
"T67b",103,"9072_2",4180,4336.5875,864.186457966145,10.2002934279574,"C18",1,1,2,"matched"
"T67b",104,"9081_1",4180,4039.65666666667,864.689409223523,10.2002934279574,"C18",1,1,2,"matched"
"T67b",105,"6825_2",4266,4339.34,728.13574783937,11.2503143660353,"C18",1,1,1,"matched"
"T67b",106,"6832_1",4266,3177.01,728.638699096748,11.3003153630866,"C18",0,0,1,"no_spec"
"T67b",107,"1759_2",5356,6169.53666666667,355.065665164163,6.00020967564596,"C18",0,0,1,"no_spec"
"T67b",108,"448_3",5356,2006.84,209.02778006945,6.00020967564596,"C18",1,1,1,"matched"
