"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"T74",1,"2030_1",129,3460.805,382.986644966612,22.5505396996352,"C18",0,0,0,"no_spec"
"T74",2,"1223_6",654,4263.53,303.050925127313,13.8503662127043,"C18",0,0,0,"no_spec"
"T74",3,"2780_3",801,2246.39,449.069650174125,10.6503024014194,"C18",0,0,0,"no_spec"
"T74",4,"2342_6",934,7515.005,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"T74",5,"3208_0",974,3691.615,480.310108275271,30.2506932455395,"C18",0,0,0,"no_spec"
"T74",6,"408_1",2316,2215.75,203.083375208438,5.25019471987606,"C18",0,0,0,"no_spec"
"T74",7,"5134_1",4187,2710.08,617.112850282126,9.8002854515468,"C18",0,0,0,"no_spec"
"T74",8,"5010_2",4889,3392.585,610.090692726732,10.9503083837273,"C18",0,0,0,"no_spec"
"T74",9,"4982_2",7178,3580.63,608.074097685244,11.05031037783,"C18",0,0,0,"no_spec"
"T74",10,"2941_1",8186,1583.655,461.068630171575,11.0003093807787,"C18",0,0,0,"no_spec"
"T74",11,"4856_2",8935,2366.02,600.084357710894,13.800365215653,"C18",0,0,0,"no_spec"
"T74",12,"3804_0",9375,2730.55,524.076447691119,13.1003512569344,"C18",0,0,0,"no_spec"
"T74",13,"4944_0",10114,2520.56,605.113870284676,8.25025454295567,"C18",0,0,0,"no_spec"
"T74",14,"2899_1",66,10254.035,457.078550196375,8.80026551052027,"C18",1,1,1,"matched"
"T74",15,"199_5",66,6210.1,169.01202003005,8.85026650757159,"C18",0,0,1,"no_spec"
"T74",16,"2911_1",66,2750.83,458.079662699157,8.80026551052027,"C18",0,0,1,"no_spec"
"T74",17,"2682_6",88,73590.5833333333,441.079910199775,11.1003113748813,"C18",1,1,4,"matched"
"T74",18,"1085_4",88,43131.65,289.0688801722,11.1503123719326,"C18",0,0,4,"no_spec"
"T74",19,"199_6",88,40579.7,169.01202003005,10.9503083837273,"C18",0,0,4,"no_spec"
"T74",20,"2696_7",88,15616.6733333333,442.085812714532,11.1003113748813,"C18",0,0,4,"no_spec"
"T74",21,"2662_5",88,10413.58,439.063315158288,11.1503123719326,"C18",0,0,4,"no_spec"
"T74",22,"4992_2",94,10219.435,609.084790211975,10.9503083837273,"C18",1,1,1,"matched"
"T74",23,"2780_3",94,2921.895,449.069650174125,10.6503024014194,"C18",0,0,1,"no_spec"
"T74",24,"199_0",96,5043.31666666667,169.01202003005,1.70012392923185,"C18",1,1,1,"matched"
"T74",25,"43_0",96,2338.545,125.02534006335,1.70012392923185,"C18",0,0,1,"no_spec"
"T74",26,"6838_1",147,2455.865,729.146440366101,9.8002854515468,"C18",1,1,1,"matched"
"T74",27,"2613_2",157,58210.0583333333,435.092395230988,10.0502904368034,"C18",1,1,4,"matched"
"T74",28,"1035_3",157,19388.08,285.0404801012,10.1002914338548,"C18",0,0,4,"no_spec"
"T74",29,"2585_3",157,11561.2425,433.0758001895,10.0002894397521,"C18",0,0,4,"no_spec"
"T74",30,"2626_2",157,11014.8666666667,436.093507733769,10.1002914338548,"C18",1,1,4,"matched"
"T74",31,"120_4",157,10388.7575,151.001575003937,9.95028844270078,"C18",0,0,4,"no_spec"
"T74",32,"710_1",197,25187.79,245.091780229451,10.750304395522,"C18",1,1,1,"matched"
"T74",33,"408_4",197,11471.36,203.083375208438,10.8003053925733,"C18",0,0,1,"no_spec"
"T74",34,"874_1",197,5000.315,267.073145182863,10.8003053925733,"C18",0,0,1,"no_spec"
"T74",35,"720_3",197,2927.61,246.097682744207,10.8003053925733,"C18",0,0,1,"no_spec"
"T74",36,"2741_2",211,5084.45,447.091375228438,12.4503382952671,"C18",1,1,1,"matched"
"T74",37,"4661_3",287,21372.785,587.103425258563,11.3003153630866,"C18",1,1,3,"matched"
"T74",38,"1223_5",287,11666.775,303.050925127313,11.4503183542406,"C18",1,1,3,"no_spec"
"T74",39,"4682_1",287,5486.96833333333,588.109327773319,11.200313368984,"C18",0,0,3,"no_spec"
"T74",40,"4992_2",287,3265.6,609.084790211975,10.9503083837273,"C18",1,1,3,"matched"
"T74",41,"4693_3",287,2973.755,589.096070240176,11.200313368984,"C18",0,0,3,"no_spec"
"T74",42,"5090_2",295,5333.34666666667,615.096255240638,10.8003053925733,"C18",1,1,2,"matched"
"T74",43,"5110_1",295,3340.14,616.102157755394,10.750304395522,"C18",1,1,2,"matched"
"T74",44,"1085_2",316,3441.8975,289.0688801722,8.60026152231496,"C18",1,1,1,"matched"
"T74",45,"262_0",328,15734.1666666667,180.067367668419,1.30011595282123,"C18",1,1,1,"matched"
"T74",46,"168_0",328,3944.565,163.038875097188,1.30011595282123,"C18",0,0,1,"no_spec"
"T74",47,"2035_0",328,2033.03,383.120765301913,1.2501149557699,"C18",0,0,1,"no_spec"
"T74",48,"2966_2",340,13479.9833333333,463.085225213063,11.05031037783,"C18",1,1,2,"matched"
"T74",49,"1202_4",340,5671.235,301.034330085825,11.200313368984,"C18",1,1,2,"no_spec"
"T74",50,"2992_0",340,4479.64,464.091127727819,11.0003093807787,"C18",0,0,2,"no_spec"
"T74",51,"5090_4",387,3592.245,615.096255240638,13.4503582362937,"C18",1,1,1,"matched"
"T74",52,"490_0",416,8431.9625,215.139835349588,7.25023460192913,"C18",1,1,1,"matched"
"T74",53,"370_0",416,4603.025,197.119810299526,7.25023460192913,"C18",0,0,1,"no_spec"
"T74",54,"4835_4",606,2851.575,599.102405256013,14.8503861537308,"C18",1,1,1,"no_spec"
"T74",55,"4736_3",756,9771.746,593.090940227351,12.6503422834724,"C18",1,1,1,"matched"
"T74",56,"2682_7",756,5470.905,441.079910199775,12.6503422834724,"C18",0,0,1,"no_spec"
"T74",57,"4759_3",756,3889.03,594.096842742107,12.6503422834724,"C18",0,0,1,"no_spec"
"T74",58,"2585_4",767,13534.0272222222,433.0758001895,11.9503283247539,"C18",1,1,4,"matched"
"T74",59,"1202_5",767,6880.47,301.034330085825,12.3503363011645,"C18",0,0,4,"no_spec"
"T74",60,"4661_4",767,4881.07,587.103425258563,11.9003273277025,"C18",1,1,4,"matched"
"T74",61,"9390_0",767,3500.72333333333,880.649729124323,11.8503263306512,"C18",1,1,4,"matched"
"T74",62,"2600_1",767,3362.22384615385,434.081702704257,11.9503283247539,"C18",1,1,4,"matched"
"T74",63,"4736_4",987,14701.1666666667,593.090940227351,13.8503662127043,"C18",1,1,2,"matched"
"T74",64,"2682_8",987,7174.25,441.079910199775,13.7503642186016,"C18",0,0,2,"no_spec"
"T74",65,"4759_4",987,4114.90333333333,594.096842742107,13.800365215653,"C18",1,1,2,"matched"
"T74",66,"11922_3",1043,2578.36,1033.1589203973,13.1003512569344,"C18",1,1,1,"matched"
"T74",67,"2613_3",1206,15110.2216666667,435.092395230988,11.3503163601379,"C18",1,1,5,"matched"
"T74",68,"1223_5",1206,14351.7,303.050925127313,11.4503183542406,"C18",1,1,5,"no_spec"
"T74",69,"1035_4",1206,5875.395,285.0404801012,11.5003193512919,"C18",0,0,5,"no_spec"
"T74",70,"5818_0",1206,4043.46,660.112787781969,11.4503183542406,"C18",1,1,5,"matched"
"T74",71,"2626_3",1206,3154.626,436.093507733769,11.4503183542406,"C18",1,1,5,"matched"
"T74",72,"2966_2",1365,8619.745,463.085225213063,11.05031037783,"C18",1,1,2,"matched"
"T74",73,"11922_1",1365,4297.04,1033.1589203973,11.4003173571893,"C18",0,0,2,"no_spec"
"T74",74,"11934_0",1365,2381.43,1034.16961292403,11.4003173571893,"C18",1,1,2,"matched"
"T74",75,"5836_0",1365,1889.24,661.113900284751,11.200313368984,"C18",0,0,2,"no_spec"
"T74",76,"2438_2",1384,3561.62714285714,419.098545246363,11.3503163601379,"C18",1,1,1,"matched"
"T74",77,"4633_1",1384,2855.86,585.086830217075,11.2503143660353,"C18",0,0,1,"no_spec"
"T74",78,"2447_0",1384,2378.02,420.099657749144,11.3503163601379,"C18",0,0,1,"no_spec"
"T74",79,"6838_1",1397,5521.915,729.146440366101,9.8002854515468,"C18",1,1,3,"matched"
"T74",80,"7089_3",1397,2495.1025,746.141402853507,8.70026351641761,"C18",1,1,3,"matched"
"T74",81,"7097_2",1397,1916.34,746.65872414681,8.95026850167425,"C18",1,1,3,"matched"
"T74",82,"12074_0",1510,4820.735,1043.20836552091,8.80026551052027,"C18",1,1,2,"matched"
"T74",83,"12089_0",1510,4039.45,1044.20947802369,8.75026451346894,"C18",1,1,2,"no_spec"
"T74",84,"3012_1",1510,3095.205,465.101820254551,8.35025653705832,"C18",0,0,2,"no_spec"
"T74",85,"3765_0",1695,3717.085,521.101850254626,8.75026451346894,"C18",1,1,2,"no_spec"
"T74",86,"3774_0",1695,2257.026,521.600011500029,8.60026152231496,"C18",1,1,2,"matched"
"T74",87,"4661_5",1700,37402.32625,587.103425258563,13.4503582362937,"C18",1,1,5,"matched"
"T74",88,"4682_3",1700,12378.4066666667,588.109327773319,13.500359233345,"C18",1,1,5,"matched"
"T74",89,"4633_2",1700,8619.375,585.086830217075,13.3003552451397,"C18",1,1,5,"matched"
"T74",90,"4992_3",1700,7504.975,609.084790211975,12.1003313159078,"C18",1,1,5,"matched"
"T74",91,"4693_4",1700,6680.915,589.096070240176,13.500359233345,"C18",0,0,5,"no_spec"
"T74",92,"4382_4",1872,1528.80333333333,567.133865334663,14.5003791743715,"C18",1,1,1,"matched"
"T74",93,"6936_0",2275,2732.51,736.618859047148,12.7003432805238,"C18",1,1,2,"no_spec"
"T74",94,"6928_0",2275,2123.12,736.115907789769,12.0003293218052,"C18",1,1,2,"matched"
"T74",95,"9398_4",2502,7013.76333333333,881.152680381701,13.7003632215503,"C18",1,1,2,"matched"
"T74",96,"2674_4",2502,4423.66333333333,440.069217673044,13.7003632215503,"C18",1,1,2,"matched"
"T74",97,"9419_3",2502,4079.175,882.158582896457,13.7003632215503,"C18",0,0,2,"no_spec"
"T74",98,"1845_6",2502,3798.99,364.075677689194,13.7003632215503,"C18",0,0,2,"no_spec"
"T74",99,"199_7",2502,2558.97,169.01202003005,13.350356242191,"C18",0,0,2,"no_spec"
"T74",100,"9398_1",2527,16617.5,881.152680381701,10.8503063896247,"C18",1,1,2,"matched"
"T74",101,"9419_0",2527,10033.87,882.158582896457,10.8003053925733,"C18",0,0,2,"no_spec"
"T74",102,"9436_0",2527,3923.775,883.159695399238,11.0003093807787,"C18",1,1,2,"matched"
"T74",103,"1202_6",2766,2679.11,301.034330085825,14.9503881478335,"C18",1,1,1,"no_spec"
"T74",104,"2899_0",2926,4432.45,457.078550196375,7.15023260782648,"C18",1,1,1,"matched"
"T74",105,"1223_2",2926,3718.405,303.050925127313,7.20023360487781,"C18",0,0,1,"no_spec"
"T74",106,"4633_2",3084,6777.843,585.086830217075,13.3003552451397,"C18",1,1,2,"matched"
"T74",107,"1202_5",3084,4780.86,301.034330085825,12.3503363011645,"C18",0,0,2,"no_spec"
"T74",108,"4646_2",3084,3120.9775,586.092732731832,13.350356242191,"C18",0,0,2,"no_spec"
"T74",109,"5818_2",3084,1985.70666666667,660.112787781969,13.2503542480884,"C18",1,1,2,"no_spec"
"T74",110,"4633_3",3327,8254.3525,585.086830217075,14.3003751861662,"C18",1,1,2,"matched"
"T74",111,"4646_3",3327,3344.535,586.092732731832,14.2003731920636,"C18",1,1,2,"matched"
"T74",112,"3217_1",3648,2701.66,481.095670239176,10.5002994102654,"C18",1,1,1,"matched"
"T74",113,"7089_3",4154,3083.506,746.141402853507,8.70026351641761,"C18",1,1,1,"matched"
"T74",114,"7097_1",4154,2633.37,746.65872414681,8.300255540007,"C18",0,0,1,"no_spec"
"T74",115,"7104_1",4154,1766.5,747.152095380238,8.70026351641761,"C18",0,0,1,"no_spec"
"T74",116,"4835_2",4175,3137.1075,599.102405256013,9.45027847218752,"C18",1,1,2,"matched"
"T74",117,"6956_0",4175,2536.65333333333,738.156452891132,8.90026750462292,"C18",0,0,2,"no_spec"
"T74",118,"6963_0",4175,1570.19666666667,738.65940414851,8.85026650757159,"C18",1,1,2,"no_spec"
"T74",119,"9554_1",4750,15281.8,891.197335493339,8.40025753410965,"C18",1,1,3,"matched"
"T74",120,"9569_1",4750,6899.66,892.203238008095,8.00024955769904,"C18",1,1,3,"no_spec"
"T74",121,"5967_1",4750,2437.92333333333,670.152652881632,8.05025055475036,"C18",1,1,3,"matched"
"T74",122,"2721_1",4750,2100.77666666667,445.093940234851,8.10025155180169,"C18",0,0,3,"no_spec"
"T74",123,"5134_0",5002,2183.7125,617.112850282126,8.70026351641761,"C18",1,1,1,"matched"
"T74",124,"8342_0",5244,5441.53,822.163682909207,8.80026551052027,"C18",1,1,1,"matched"
"T74",125,"8349_0",5244,4852.59,822.66184415461,8.70026351641761,"C18",0,0,1,"no_spec"
"T74",126,"8360_0",5244,3938.15,823.164795411989,8.70026351641761,"C18",0,0,1,"no_spec"
"T74",127,"8212_0",5358,3416.785,814.667314168285,9.15027248987955,"C18",1,1,1,"matched"
"T74",128,"8202_0",5358,3131.62666666667,814.164362910907,9.15027248987955,"C18",0,0,1,"no_spec"
"T74",129,"4422_1",5624,3211.005,571.109575273938,14.2503741891149,"C18",1,1,1,"matched"
"T74",130,"2438_3",5893,5503.04,419.098545246363,12.6503422834724,"C18",1,1,1,"matched"
"T74",131,"9276_2",6028,11304.3,875.203485508714,8.95026850167425,"C18",1,1,1,"matched"
"T74",132,"9292_1",6028,5682.81,876.204598011495,8.90026750462292,"C18",0,0,1,"no_spec"
"T74",133,"9554_2",6100,4617.575,891.197335493339,9.85028644859813,"C18",1,1,1,"matched"
"T74",134,"9569_2",6100,3469.74,892.203238008095,10.0002894397521,"C18",0,0,1,"no_spec"
"T74",135,"4856_1",6732,3357.67,600.084357710894,12.6503422834724,"C18",1,1,1,"no_spec"
"T74",136,"4806_0",6841,2259.48,597.104970262426,9.15027248987955,"C18",1,1,1,"matched"
"T74",137,"1861_3",7947,16563,365.182170455426,31.6507211629767,"C18",1,1,1,"matched"
"T74",138,"571_3",7947,5426.14,228.029757574394,31.6507211629767,"C18",0,0,1,"no_spec"
