number pathway,Major_Group,Group,Source,Compound_Name,,cluster.index,column,Cluster_MZ,Cluster_RT,,
1,Precursors,Quinic_Acid,Known_mass_RT_match,quinic_acid,,10314,polar,191.055655,5.7,,
2,Precursors,Gallic_Acid,Known_mass_RT_match,Gallic acid,,96,C18,169.01202,1.7,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"3,4-di-O-galloylquinic acid",,95,C18,495.077715,5.5,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"3,4-di-O-galloylquinic acid",,10335,polar,495.077715,4.8,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"[3,4,5-trihydroxy-6-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate",,310,C18,483.078735,7.2,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"[3,4,5-trihydroxy-6-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate",,547,C18,483.078735,7.2,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"[3,4,5-trihydroxy-6-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate",,2317,C18,483.078735,7.2,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"1,3,6-tri-O-galloylglucose",,185,C18,635.089765,9.5,,
3,Quinic_acid_galates,Quinic_acid_galates,GNPS_Exact_Mass,"1,3,6-tri-O-galloylglucose",,285,C18,635.089765,9.5,,
3,Quinic_acid_galates,Quinic_acid_galates,KNown_mass_RT_match,"3,4-di-O-galloylquinic acid",,3832,C18,495.077715,7,,
12,Phenyl_Propanoids,Cinamic_Acid_Derivatives,GNPS_Exact_Mass,"6-O-p-Coumaroyl-1,2-digalloylglucose",,75,C18,629.11183,12.3,,
12,Phenyl_Propanoids,Cinamic_Acid_Derivatives,GNPS_Exact_Mass,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxymethyl]oxan-2-yl] (E)-3-phenylprop-2-enoate",,2405,C18,455.133805,19.8,,
