compound,mz,rt,Ion.Type
raffinose[M-H],503.1618,0.74,M-H
raffinose[M+1-H],504.165155,0.74,M+1-H
raffinose[M+2-H],505.16851,0.74,M+2-H
Tryptophan[M-H],203.0826,5.15,M-H
Tryptophan[M+1-H],204.085955,5.15,M+1-H
Tryptophan[M+2-H],205.08931,5.15,M+2-H
Tryptophan[insource],116.0506,5.15,M-Fragment
catechin[M-H],289.0718,7.04,M-H
catechin[M+1-H],290.075155,7.04,M+1-H
catechin[M+2-H],291.07851,7.04,M+2-H
camphorsulfonic acid[M-H],231.0697,8.39,M-H
camphorsulfonic acid[M+1-H],232.073055,8.39,M+1-H
camphorsulfonic acid[M+2-H],233.07641,8.39,M+2-H
epicatichan[M-H],289.0718,8.71,M-H
epicatichan[M+1-H],290.075155,8.71,M+1-H
epicatichan[M+2-H],291.07851,8.71,M+2-H
epicatechin[M-H-C02],245.0814,8.71,M-Fragment
epicatechin[insource-1],205.0483,8.71,M-Fragment
epicatechin[insource-2],137.0254,8.71,M-Fragment
epicatechin[insource-3],179.034,8.71,M-Fragment
rutin[M-H],609.1461,11.07,M-H
rutin[M+1-H],610.149455,11.07,M+1-H
rutin[M+2-H],611.15281,11.07,M+2-H
Morin[M-H],301.0354,13.83,M-H
Morin[M+1-H],302.038755,13.83,M+1-H
Morin[M+2-H],303.04211,13.83,M+2-H
Morin[insource-1],125.0244,13.83,M-Fragment
Morin[insource-2],151.0036822,13.83,M-Fragment
Morin[insource-3],271.0248812,13.83,M-Fragment
Morin[insource-4],273.04066,13.83,M-Fragment
digoxin-formate[M-H],825.4267,18.27,M-H
digoxin-formate[M+1-H],826.430055,18.27,M+1-H
digoxin-formate[M+2-H],827.43341,18.27,M+2-H
digoxin-formate[M+3-H],828.436765,18.27,M+3-H
aduct[M-H],837.3916,20.79,M-H
aduct[M+1-H],838.394955,20.79,M+1-H
aduct[M+2-H],839.39831,20.79,M+2-H
aduct[M+3-H],840.401665,20.79,M+3-H
glycyrrhizic acid-1[M-H],821.3965,21.97,M-H
glycyrrhizic acid-1[M+1-H],822.399855,21.97,M+1-H
glycyrrhizic acid-1[M+2-H],823.40321,21.97,M+2-H
glycyrrhizic acid-2[M-H],821.3965,23.74,M-H
glycyrrhizic acid-2[M+1-H],822.399855,23.74,M+1-H
glycyrrhizic acid-2[M+2-H],823.40321,23.74,M+2-H
glycyrrhizic acid-1[M+3-H],824.406565,23.74,M+3-H
glycyrrhizic acid-2[M+3-H],824.406565,23.74,M+3-H
