"","acreana","acrocephala","acuminata","alata","alba","aria","auristellae","bourgonii","brachyrhachis.aff","brachystachys","brachystachys.aff","brevialata","brevipes","capitata12","capitata33","capitata35","cayennensis","chartacea","cinnamomea","cocleensis","cordatoalata","coruscans","cylindrica","edulis","fastuosa","flagelliformis","fosteriana","glomeriflora","goldmanii","gracilifolia","grandiflora","heterophylla","huberi","ingoides","jenmanii","kursarii","LA17","LA41","LA48","lateriflora","laurina","leiocalycina","leiocalycina.aff","lomatophylla","longiflora","longipedunculata","loubryana","M18","M25","M27b","M30","M71","marginata","melinonis","microcoma","multinervis","nobilis","nouragensis","obidensis","oerstediana","paraensis","pezizifera","pezizifera.aff","pitmanii","poeppigiana","punctata","retinocarpa","rubiginosa","ruiziana","sapindoides","sertulifera","setosa","spectabilis","splendens","stipularis","striata","suaveolens","subcapitata","T18","T21","T29","T50","T51","T82","T85","tenuistipula","thibaudiana","tomentosa","ulei","umbellifera","umbellifera.aff","umbratica","velutina","venusta","vera","virgultosa","vismiifolia","Zygia mediana"
"acreana",1,0.24175021500621,0.105996318343693,0.271473745118061,0.166008472774446,0.12376578555861,0.220128992755559,0.173139725307938,0.175174424837775,0.171286953180256,0.18226080580635,0.129711635879939,0.105500499758777,0.190646054488057,0.187525750840754,0.172038037485043,0.162651739832734,0.15414154307616,0.154746177927193,0.158062922718651,0.203068789603247,0.12072664374621,0.220707167867008,0.185527832104475,0.14743378161284,0.1544125017892,0.159002864603499,0.133014909128311,0.198158439349601,0.156061532347628,0.19368698385158,0.147516188908222,0.215982113952224,0.0955904302213814,0.154469403505522,0.142077320191325,0.159040073273961,0.0896499023884736,0.0815862508670554,0.198182853853767,0.259972742876412,0.202725426571393,0.0970654308007781,0.146695885914852,0.169314098832214,0.175339284551587,0.14216595048947,0.182800084354064,0.135631982087254,0.124657850697575,0.165907166566892,0.18333335431625,0.239674852740164,0.145568592480689,0.153780531756069,0.119347496474013,0.293763531689976,0.188975513880363,0.27116320073082,0.144455558451998,0.17850247691292,0.201559836048386,0.149597549200153,0.152633188792214,0.17904224144414,0.173078905729893,0.18039566354734,0.201207852520135,0.170457612160206,0.232638631703995,0.15796291995309,0.19598849694812,0.136427326900077,0.169288688189227,0.189262646884427,0.201770529288973,0.155910297340722,0.116227259597151,0.185938190667605,0.191409798502642,0.154952077282695,0.171017793996861,0.131795455524618,0.144648119736401,0.133110555747243,0.174156348382451,0.180587961236655,0.171226451388568,0.132177105601844,0.188282629205097,0.162520886108646,0.133931404730683,0.140738906372016,0.153200625636742,0.155075159470718,0.10912030245337,0.139219989994984,0.203221232869885
"acrocephala",0.24175021500621,1,0.0937284473283242,0.320711088992514,0.144009053718581,0.173848733474594,0.29813701454011,0.214591607868062,0.198042959707139,0.128758899954489,0.165002536801122,0.172919174851476,0.139724946955171,0.305543044361659,0.174462027248588,0.166471614820816,0.218410888482429,0.118511642423237,0.253423063040902,0.2832042664978,0.227244569189134,0.233745287769782,0.334834065333272,0.258029960579516,0.366980360389725,0.13581745059892,0.197828782949212,0.141080447447403,0.216240213697568,0.195609639470224,0.198365939437332,0.125001826702402,0.235074672689276,0.0920948220489478,0.156934580137577,0.161633019845234,0.243147767031573,0.10190249077182,0.0666985654397056,0.174303346862377,0.221075326029947,0.20881383897875,0.0947230319108749,0.143121273154113,0.272953503139598,0.164335046648032,0.125714573519161,0.265566404521388,0.118482896726821,0.109950726010461,0.220476015238272,0.162181313712157,0.20468020050406,0.156480114490512,0.26476814750406,0.110914062165463,0.272298430393659,0.193796175115126,0.24372072390521,0.214485331105467,0.279800015536574,0.310878840193107,0.14740650438627,0.199362971252894,0.314900306307372,0.237406597075771,0.195910114906709,0.226188101517401,0.192322819427739,0.363036342443817,0.129697403142425,0.152527402779829,0.155724600836574,0.243937507326212,0.249847613660839,0.275200792700988,0.216055910708422,0.133531279695572,0.216898872398819,0.272374972410042,0.252648333807165,0.237052431861275,0.210579785055907,0.135959993843664,0.161886224623787,0.198430721387684,0.250851060442461,0.160271229456403,0.201547988995779,0.278503443033513,0.198636038125964,0.312940734983925,0.18644401219651,0.155621276244938,0.280673974327173,0.117012548479918,0.203752638760012,0.217888104527001
"acuminata",0.105996318343693,0.0937284473283242,1,0.222759378297388,0.272364875873536,0.104865582985482,0.107661716261571,0.118416746895664,0.122188979795423,0.119132088235844,0.108276745654749,0.0749615659457431,0.103118017309638,0.0996578918235554,0.169311009856094,0.13531629379412,0.158080130365007,0.20959387040179,0.0986080445185586,0.0815950258311961,0.144804049505853,0.0836712258119709,0.13265476486344,0.109666164887023,0.088339559171342,0.113935017391676,0.117615099008776,0.222762667025079,0.113975699775232,0.0881263523038957,0.0898578075199653,0.1193048479275,0.128682782150405,0.200202272907704,0.0807796865155304,0.11637060120742,0.0912136653785597,0.0753639839136782,0.186710536962831,0.170286273787487,0.10555965837475,0.159030499882254,0.262284161339622,0.366563997640292,0.096222791865296,0.153299898141014,0.102359803100183,0.0992743238381841,0.110980452262443,0.119709122207431,0.107471373276824,0.144893268548357,0.146013761642686,0.0869694714949033,0.0644913187709736,0.169647091356657,0.108445554367424,0.173709302025144,0.117695905232237,0.149507548519946,0.114350087479755,0.146603740320778,0.137062590707732,0.0965288457216972,0.0955747265977325,0.109929928837884,0.101337093160619,0.253971282033335,0.0824454331378242,0.158941930263768,0.121343082789788,0.130535125343591,0.21084606718183,0.0829882195677373,0.0990878851482227,0.101743023476111,0.096792037024077,0.124285897472772,0.120797835644135,0.106736250714311,0.133869709490126,0.107023667064563,0.0828714998421028,0.217654330298568,0.0722392016642785,0.104782790134563,0.130463052154332,0.223007210511323,0.079160668972913,0.101436859838248,0.0881141367559025,0.0742120559258233,0.0960664015664767,0.172089219802615,0.124939012846295,0.0882547134540264,0.0776965290629247,0.138493123788753
"alata",0.271473745118061,0.320711088992514,0.222759378297388,1,0.274076060310643,0.219011941602676,0.28769194896864,0.232579619132009,0.224541725642208,0.182767845377222,0.223823827881763,0.181266287942196,0.141529632811917,0.267049947929753,0.223690615855258,0.213711518411046,0.262105745586895,0.176350045439847,0.225215087834296,0.248910100989447,0.231811151884044,0.1664143864954,0.311655498019842,0.279864599153559,0.233509894757658,0.183245982545505,0.198434495510671,0.205379183190018,0.236422203063264,0.187304229827349,0.200389306034969,0.182705611568776,0.321130444746103,0.158408811060229,0.188830755968675,0.179200589668605,0.209981719228108,0.122384995592889,0.137344395465659,0.242345381455679,0.241337774974572,0.30270137496684,0.211157670056098,0.297125016328413,0.233097465498842,0.228104275876975,0.173296930961619,0.252737941516179,0.164499838610982,0.151879375339336,0.261445296497925,0.202850667098266,0.276316213379725,0.186806341401399,0.228602453909956,0.168804698859812,0.31088541761071,0.244638956570256,0.230798553931725,0.203781204137277,0.264862031982375,0.305738730568674,0.200485203565959,0.196623165095013,0.269256635265911,0.226319809555228,0.277639380659477,0.363602834947499,0.185464486250134,0.356518853854465,0.177447689272309,0.212524596734621,0.23083456103111,0.223938331567351,0.218595606863757,0.262723512554847,0.206983221494814,0.144770734984216,0.219551054621795,0.243702737386472,0.250864405522159,0.235150203698391,0.201131132517095,0.233125793121124,0.148518998240437,0.197230777459293,0.24600376345259,0.261171574783507,0.163550025662929,0.269422698222025,0.202176807861213,0.217995652629522,0.167977833003571,0.224347087087662,0.235366650828239,0.142373753571036,0.197429104979371,0.28718903572833
"alba",0.166008472774446,0.144009053718581,0.272364875873536,0.274076060310643,1,0.136262616285096,0.16277281022174,0.144355642660289,0.146950312560324,0.271727806810345,0.254274430919324,0.224536188084672,0.194908895004289,0.177275983275203,0.255168883403741,0.156737491552016,0.245515789333411,0.342609147679287,0.143062545867606,0.143391402128839,0.174149347713071,0.104417325506615,0.173248148010442,0.169860486186926,0.118231458674639,0.237482018932124,0.128692380232836,0.241628476179527,0.158439802580577,0.12073831597025,0.132479587625135,0.24835389818017,0.17214127255647,0.206256917467472,0.232805844175435,0.145700842162728,0.147025802316214,0.0996265356172226,0.196893205902903,0.312534540867825,0.252708617814952,0.208465658074441,0.312941808180591,0.378369193094882,0.151639510557935,0.174966059367347,0.252958404692146,0.148163353400664,0.245257156025136,0.26252062866837,0.163046632320942,0.135581608972842,0.228242484872095,0.1074406432403,0.114387342933092,0.195136423892905,0.151571226506931,0.201973657740586,0.249485891995263,0.138011573938135,0.140096580794127,0.29021538873207,0.193349546763811,0.124926835800915,0.153470592553556,0.184338162874418,0.154444033577772,0.310929221381452,0.116799581629241,0.240071545787023,0.238841679613898,0.191103471900178,0.320918544989647,0.132296929330078,0.132868697139225,0.156631047366878,0.104641942569978,0.105770135205081,0.156546057090063,0.175068441935414,0.149723407886219,0.171333679655294,0.12956459582181,0.312686862851085,0.0940647557727073,0.142084676858764,0.161727063959298,0.308783775608934,0.104263220236742,0.251064120374928,0.130038369942907,0.218321101368092,0.115574877442721,0.388083952317746,0.125401521301206,0.209690968330734,0.113343478804427,0.220763906477745
"aria",0.12376578555861,0.173848733474594,0.104865582985482,0.219011941602676,0.136262616285096,1,0.203797593058192,0.205357829353891,0.21030438935721,0.137910676486899,0.156982838775628,0.15552264556402,0.0987572299300391,0.211121454711094,0.190073086560911,0.16155424092698,0.21281374260729,0.126608253526634,0.214847358944837,0.223208070600822,0.214350050981715,0.131054012637116,0.229087836104645,0.218929313857418,0.173756523062655,0.141071151264893,0.178803553520081,0.132010091818834,0.225551849232816,0.177129573681606,0.204742067706377,0.11572036277213,0.205988673375102,0.0962079993709646,0.169910027371667,0.204687642735641,0.154572236909436,0.117953272693269,0.0839912794102468,0.156920278183209,0.150112111640182,0.230912220387162,0.0840953656395522,0.16448621829369,0.213246709363214,0.170801268402644,0.114909673737104,0.193767908449217,0.142495183330739,0.1179004533724,0.185657221128012,0.137125989147067,0.166202459809063,0.123313371369472,0.207067727864547,0.116185654752889,0.182147159095659,0.188209166511428,0.147178931132095,0.219450809005392,0.213530084523565,0.200633551895358,0.176428370999346,0.173970215278006,0.191951757614156,0.199579430051627,0.183126517285925,0.214008331025931,0.165097460728287,0.207665378072279,0.114410070908716,0.147044540462171,0.144768105328741,0.219493585525166,0.18431075315748,0.196313293162407,0.154493610646528,0.137829642077685,0.205602739587086,0.217140345625385,0.168504543995376,0.207001969310011,0.196387209996634,0.142889333288748,0.143273712977604,0.151361425555873,0.208200711862419,0.184848766067308,0.130195646276681,0.169024812109564,0.202357048301751,0.133791826280466,0.143505056958239,0.142848753495945,0.210296361089074,0.0912401640820355,0.180492923115397,0.176717052516955
"auristellae",0.220128992755559,0.29813701454011,0.107661716261571,0.28769194896864,0.16277281022174,0.203797593058192,1,0.330039193287348,0.237707936581876,0.158047257854039,0.186851595344295,0.242080637318155,0.116164603344444,0.433544167469305,0.213985701208408,0.200752768478895,0.284291351795215,0.137798580152284,0.324967293955654,0.26218439899294,0.261399170709532,0.159864592203166,0.377495710774316,0.272362742325631,0.25132654671444,0.154158073445244,0.230486024862386,0.209169895700505,0.30462040573308,0.31387031487787,0.265438098626867,0.164663046503753,0.287397249600414,0.0979774709696496,0.22844671791388,0.205079585893257,0.215851806018005,0.136856929704933,0.0988761665191699,0.276580397341266,0.191910469725496,0.251789512737169,0.113300942263573,0.200988184580577,0.391965688660578,0.197751857889278,0.161354117168849,0.364919480904434,0.164185941394084,0.169794680292026,0.257584850929975,0.187949281864831,0.228415115066033,0.196152622770727,0.378348697109299,0.141457580968506,0.233329281081591,0.224997633005003,0.268817178360798,0.200424663013092,0.326236521258399,0.322421701757174,0.185243592988935,0.225594153025947,0.438361155547442,0.276720156890895,0.233361743657673,0.257390185192008,0.283695156965115,0.302569382485299,0.137795194340438,0.241627087653293,0.187167952805437,0.34003557873315,0.361155860521534,0.311589705186081,0.248898286479896,0.160795719559474,0.260163597715127,0.393526282495629,0.199931103356441,0.379453273986351,0.218151456002344,0.167193976960899,0.176912081714451,0.215502691564123,0.280429729004702,0.258532174906922,0.176648473667999,0.357508200239979,0.283019296425943,0.225151827232727,0.189185103842998,0.240661404314052,0.386523792725062,0.148164676726298,0.228496622566201,0.258310285086767
"bourgonii",0.173139725307938,0.214591607868062,0.118416746895664,0.232579619132009,0.144355642660289,0.205357829353891,0.330039193287348,1,0.232815636064977,0.147792482772109,0.142906801578634,0.176565128961891,0.139642228947111,0.274895489897825,0.200008153838763,0.164624074827738,0.325061359126332,0.144385538212697,0.194349061850078,0.172580210156237,0.260101400141295,0.159476332208278,0.27591995443169,0.219915362610381,0.204909043101659,0.133953804840167,0.170556411455894,0.188896749567368,0.235577288622777,0.285783364148078,0.212710206684733,0.137826847142819,0.235152987227846,0.0933057618509159,0.192751264228779,0.178734698517267,0.188912587230076,0.200142726728322,0.0828806175281228,0.253355371849301,0.151981027390854,0.222725122564195,0.0919285892265827,0.166143943904939,0.26879208823075,0.181954396813891,0.119944811803693,0.252728605125796,0.146079055199127,0.125504095163257,0.231233904345594,0.155559460341388,0.195395722195513,0.185047146774551,0.236961898150086,0.125941856653513,0.176045371998595,0.179475554942446,0.145056113953538,0.229110954492024,0.24125013091733,0.221859939041562,0.183526086078487,0.197952339968002,0.273660451333932,0.21545738897436,0.210789774798785,0.208656357902352,0.207605492490267,0.269435318424398,0.142733347122694,0.178593513406477,0.141764381626244,0.203843848583613,0.332332848610863,0.209048074528041,0.198641745005336,0.140826638841173,0.213325732969192,0.249328569724936,0.165412367921728,0.34916640610482,0.205121895194097,0.16297764076764,0.148708524490557,0.18990264369585,0.274530232210263,0.222783941716784,0.151427575265882,0.283704009896634,0.199577892789483,0.225691795755923,0.175782424932013,0.172306641411643,0.256926080025194,0.106149587627403,0.217820049844612,0.248272695784196
"brachyrhachis.aff",0.175174424837775,0.198042959707139,0.122188979795423,0.224541725642208,0.146950312560324,0.21030438935721,0.237707936581876,0.232815636064977,1,0.143987568882971,0.162323294882314,0.168208989146913,0.134226151792253,0.203721658999711,0.21341924229385,0.201977492803408,0.203704210214325,0.139746516287994,0.180239490757068,0.19209347278887,0.217621392693206,0.142058124846571,0.243165632132918,0.258010536814001,0.213276255657371,0.166028882727399,0.161726756486865,0.130548651672969,0.214172964707187,0.191614655178815,0.22357738234416,0.126139823714845,0.259374168241675,0.103807723045325,0.162368881717702,0.217272400383889,0.145533877277513,0.116129675943183,0.0999391598469831,0.165247902139387,0.141103248168255,0.22419089005474,0.0956999497994901,0.164402781469547,0.176766385931801,0.162144470316267,0.12300686657337,0.23346349282461,0.137896365165388,0.153426742071172,0.191993770430831,0.156678277851512,0.249407322665653,0.211329279014546,0.174445355530757,0.123347032537464,0.194507860115301,0.216549261107112,0.142852220508596,0.225626154178266,0.203469781864117,0.214386153823102,0.172282470593546,0.192093217726797,0.214326416761486,0.212540300756004,0.201836433000479,0.232656646886105,0.187715456369253,0.240465564769667,0.135467948725293,0.174136431433792,0.13791043873897,0.21047035474663,0.214478319911012,0.212277024434155,0.159684602257779,0.144286812403182,0.205570158969696,0.204586951070255,0.19231102781841,0.2257565357756,0.195991110301478,0.135968967447584,0.118086944975402,0.173889740066206,0.239960517140177,0.168210962726982,0.144197413669986,0.233037160717923,0.168432282198319,0.180199808487591,0.165335212196866,0.147814560239396,0.180256470604838,0.100347684273661,0.144031437912595,0.218163506887881
"brachystachys",0.171286953180256,0.128758899954489,0.119132088235844,0.182767845377222,0.271727806810345,0.137910676486899,0.158047257854039,0.147792482772109,0.143987568882971,1,0.341346459526509,0.260256425318218,0.180239662227623,0.137011175206871,0.156414120175396,0.14719515426402,0.173099187794169,0.138765971284177,0.118569151585751,0.119008588444049,0.183478329645658,0.08372521093543,0.167077202786435,0.159810703714092,0.0972491216478173,0.279534918231648,0.120323938802688,0.164070658310424,0.16929171430305,0.116134280455123,0.130424416367622,0.394638403893325,0.155939061534801,0.11296177959719,0.302060812940182,0.153788306864444,0.115772346782418,0.0868457567044981,0.113496696102033,0.17887782604953,0.351400926739672,0.208109725503658,0.138026409910803,0.161204357178079,0.134574877529863,0.149505427637804,0.343282433501628,0.144919672083829,0.276634672345938,0.262465218122447,0.131780578681212,0.156410950253965,0.16152308579216,0.103487507732025,0.0960655751901672,0.159934214125142,0.127651331711077,0.158722275563051,0.257661991340332,0.116732236769065,0.131889603915503,0.142554479110037,0.119121585311971,0.113972487847837,0.139519923747749,0.153828020975322,0.153099285329203,0.191593287542002,0.116545931814897,0.170370517293892,0.315121054941893,0.174720047039395,0.19339971454891,0.132387399122036,0.116881722802127,0.132230196032488,0.113701726610483,0.107661309742882,0.156038460384164,0.161059132339906,0.124156444225115,0.168535266139073,0.127651082395323,0.143804088448198,0.108703984675459,0.146630627817015,0.154244138926965,0.168507788017559,0.0916133150779339,0.252178635325241,0.160695358249997,0.263171105134984,0.100427397299625,0.150969405918893,0.123385423838341,0.346006738125241,0.103372353585918,0.165589273088397
