"","acreana","acrocephala","acuminata","alata","alba","aria","auristellae","bourgonii","brachyrhachis.aff","brachystachys","brachystachys.aff","brevialata","brevipes","capitata12","capitata33","capitata35","cayennensis","chartacea","cinnamomea","cocleensis","cordatoalata","coruscans","cylindrica","edulis","fastuosa","flagelliformis","fosteriana","glomeriflora","goldmanii","gracilifolia","grandiflora","heterophylla","huberi","ingoides","jenmanii","kursarii","LA17","LA41","LA48","lateriflora","laurina","leiocalycina","leiocalycina.aff","lomatophylla","longiflora","longipedunculata","loubryana","M18","M25","M27","M30","M71","marginata","melinonis","microcoma","multinervis","nobilis","nouragensis","obidensis","oerstediana","paraensis","pezizifera","pezizifera.aff","pitmanii","poeppigiana","punctata","retinocarpa","rubiginosa","ruiziana","sapindoides","sertulifera","setosa","spectabilis","splendens","stipularis","striata","suaveolens","subcapitata","T18","T21","T29","T50","T51","T82","T85","tenuistipula","thibaudiana","tomentosa","ulei","umbellifera","umbellifera.aff","umbratica","velutina","venusta","vera","virgultosa","vismiifolia","Zygia.mediana"
"acreana",1,0.199640335454197,0.150307859048547,0.188611438348772,0.33761490002828,0.231724945131014,0.330843183255189,0.230144800808302,0.226814664558583,0.149659837586239,0.17418077625532,0.14273387921025,0.153047427869597,0.163668004561468,0.207732583319972,0.209779834099315,0.273441264498761,0.218197764895731,0.161960055920193,0.126510114019293,0.237075680685333,0.175915627423182,0.207681726729865,0.206012657748145,0.193159107555635,0.143910472161797,0.0772742618283827,0.147917663309395,0.148259352187438,0.154574804911418,0.178814058801682,0.144653078307068,0.193100240234197,0.158439636209669,0.155693105191546,0.163473441682492,0.152241874897423,0.143090613817336,0.150330845074884,0.150871224787751,0.177332825049108,0.17181626382763,0.145101603572444,0.176526978509637,0.188171828610679,0.181986187719031,0.213001529452233,0.198670370697411,0.148499738987792,0.331960798784343,0.159272152470901,0.145306035852255,0.239538784354074,0.139974841312853,0.152511014831469,0.183671824940964,0.148221491355407,0.172706715452342,0.151898389027878,0.194619360873711,0.186238289025676,0.174481206074373,0.180219282016246,0.163797673449164,0.17464283164806,0.228456892714193,0.160622944418068,0.2116076469321,0.164874909511459,0.274967489821171,0.174530362076083,0.13655388107943,0.257033307815507,0.167941953858854,0.177260143585422,0.230137214618269,0.141946941992589,0.150963685315668,0.158567637910906,0.1922439603065,0.213662077148195,0.210982520276015,0.130149224447963,0.150852452163168,0.0747523571690299,0.13466473371876,0.198093217412589,0.114349230186197,0.137704335254893,0.203343950345565,0.160443467188751,0.16408239937189,0.115620246141743,0.180334378717202,0.167438849526531,0.117207022016886,0.132942521918667,0.204603055176123
"acrocephala",0.199640335454197,1,0.198339783865587,0.238668352719858,0.192829243621737,0.174289867183677,0.197557863833066,0.165423823482657,0.226786388642618,0.211020508263649,0.148493314527463,0.186971720802565,0.155764823679073,0.206723598365731,0.218308278381095,0.18884317530464,0.133886900371594,0.27099993661954,0.168687285190187,0.18656878372467,0.261680724903029,0.172680054338434,0.188338026431085,0.215052972363564,0.232279662739889,0.173606445898025,0.10632921415651,0.157685489547315,0.177005097254618,0.195970564155199,0.223670832683709,0.170424067076072,0.233267168097121,0.198533979950874,0.183763120030193,0.186075463889751,0.195593736243556,0.120292111446179,0.221614799097896,0.208188254922667,0.233660014420077,0.225257832868804,0.206169293915529,0.19216919055751,0.149982553253971,0.215125009632876,0.199328481017177,0.204634748794932,0.161417529255973,0.135261144348232,0.181885998415845,0.169408653290015,0.203629562777876,0.177699772151816,0.189090200753903,0.214359579405496,0.207625914044621,0.18104948782931,0.179621484709326,0.223385476074432,0.195496937071512,0.202761184689172,0.222139747183692,0.198327662715871,0.195714099518007,0.234586123632555,0.188790032009124,0.222370482177081,0.167793025194201,0.246258358098977,0.230608403586704,0.154259687723468,0.224534845125203,0.166014890208868,0.242915626231102,0.243035205332024,0.142373184789552,0.146723383430015,0.171244964949954,0.18640952684357,0.178360455808616,0.243034811685082,0.147665098185435,0.171808740696084,0.0967191696606358,0.143875484336185,0.221923119019947,0.434487131716549,0.204470273333685,0.229641658215983,0.176325314252817,0.170636750781085,0.106911943684842,0.211651994194857,0.203158165075475,0.118642369584365,0.146839772758202,0.234164030258976
"acuminata",0.150307859048547,0.198339783865587,1,0.304706457709011,0.209723728650511,0.233902095350484,0.2716227509155,0.178139629089386,0.32981753743172,0.259954242491649,0.181947035076889,0.24875247987224,0.217196357044097,0.530292233865932,0.262610545684951,0.203016912133376,0.183712260277693,0.332777182665269,0.199234823074806,0.559965770390654,0.288069760777318,0.258673561652361,0.210814662452882,0.286394587507888,0.210847352322497,0.397905545015617,0.0807148183971126,0.24505534844365,0.203863761728186,0.160653350402557,0.22132069167664,0.230876321726584,0.389043082374552,0.347879609339574,0.211951126751076,0.318295619479105,0.243520553325681,0.16629777395411,0.245432448257832,0.492049208736158,0.227968327135269,0.2956834407029,0.253068743182199,0.300946090624315,0.293778046855094,0.254002823462835,0.199982981327582,0.242291154887878,0.249228952270421,0.142077047346173,0.23819559247168,0.299154255738131,0.223309691432208,0.175463702368551,0.197025514160771,0.219639171448352,0.31819168633247,0.191755322927517,0.174247368203161,0.249708799722198,0.301034294005042,0.256217843899735,0.344510396275262,0.299154971305944,0.208095508632507,0.301223556020136,0.188906239246238,0.22378793591209,0.20756079635519,0.358659602667809,0.282214291322119,0.108774884098852,0.272576160569917,0.257932019436185,0.259675494638294,0.334558081333607,0.176216867035769,0.252641049551292,0.211231097186217,0.292259542039742,0.269283621123891,0.311651470141239,0.19512787050158,0.413837653210642,0.0673277142058849,0.124506704115876,0.325133518097317,0.197322180973341,0.171330946152152,0.193147770035885,0.202845570185982,0.215186437610447,0.142061587276406,0.308030278000157,0.399329482133373,0.136062094673986,0.433937673760716,0.392453428434546
"alata",0.188611438348772,0.238668352719858,0.304706457709011,1,0.248052744825256,0.308975017631544,0.297342619490742,0.220189052380748,0.313592987861939,0.267800852331312,0.29461492281191,0.522711382623321,0.15858127645658,0.470925215108856,0.292759337878671,0.25598627046472,0.200424498826886,0.283766500932827,0.206160237072524,0.31211665238803,0.498166712372298,0.26051917397321,0.243659643943558,0.295684886334359,0.188158231870309,0.299229744942013,0.0837547461912876,0.252111871744301,0.158301815200869,0.1621647078736,0.316979727604779,0.240706752897539,0.407411202909434,0.297271862359937,0.235989720699753,0.321060548148564,0.198221419684337,0.133799578918737,0.359309866631571,0.294405984236045,0.327425389689827,0.307456718940432,0.273197551028585,0.214893487437573,0.191600051492403,0.475102504000632,0.22850272154462,0.21243852332059,0.289717102483768,0.159175829135125,0.380089067171481,0.23337026658101,0.255376386975055,0.162259715211654,0.209427957335084,0.273325483651821,0.254573210654051,0.199955093212774,0.176229251031414,0.491730237742147,0.28464855039706,0.406476504248085,0.466025205163082,0.311256111380874,0.215446709767298,0.404530937326321,0.252562214886447,0.295910345724882,0.216498906141427,0.35477073648476,0.265381073766961,0.11957262236161,0.291456716413028,0.324610288480936,0.247112501690913,0.343343708845192,0.343940788786523,0.194350598753007,0.219581786393373,0.303209933635558,0.296990264361611,0.315855982353229,0.155618558692614,0.330899619370575,0.0807579176916825,0.131651532933411,0.285597931123765,0.207542147626395,0.178739840537877,0.210141448370177,0.214862165345251,0.285309178597126,0.119556807450007,0.495702025662778,0.56375984601525,0.13654342133246,0.219928086264397,0.362254261498717
"alba",0.33761490002828,0.192829243621737,0.209723728650511,0.248052744825256,1,0.182811999655658,0.382231172946621,0.184349002477924,0.230099232593123,0.246159358034073,0.178397091147854,0.171735063686831,0.159717621293079,0.20689124919619,0.278919491580823,0.189653667818386,0.326909056766968,0.342374548386657,0.179748694739201,0.184588152385184,0.276907937146518,0.228956855155032,0.216059488095464,0.295422131209501,0.179877251640375,0.21851934667862,0.106200868675461,0.199356598339068,0.209607331965645,0.181760426584448,0.237886172007326,0.215396525735957,0.297242881584496,0.207049345909356,0.194562642166406,0.159601027271826,0.173020264346758,0.172676951035801,0.168191829511514,0.224984083533702,0.236969433245518,0.226064044238558,0.174536287512644,0.212534451004044,0.194464071251192,0.181401745022295,0.217602623063498,0.209881267444415,0.202298427112842,0.350424443018724,0.171133253865967,0.200147601061688,0.260210854460832,0.180693778787573,0.180295148289767,0.225519178035509,0.199898111588509,0.181665408832655,0.184296529842306,0.184601734115694,0.225880280156729,0.259011380528867,0.189171356896165,0.20973147367509,0.245315136489217,0.261225974270726,0.198033167993522,0.288105403424488,0.188236898374225,0.276468190356415,0.238694228374136,0.122785068755177,0.236076254928249,0.193019799010857,0.216230772243016,0.25203760162212,0.241681182088213,0.176230483429708,0.1947541412676,0.281892307556964,0.212732335426826,0.260017258548498,0.187055413015528,0.230267780814646,0.145778654780376,0.133054726544498,0.246059006811666,0.176067435973837,0.143595981359912,0.239933450925347,0.185538002344121,0.262700029040511,0.102637397086402,0.188575351135541,0.213734604767295,0.134585204988772,0.155808808862894,0.279238147783311
"aria",0.231724945131014,0.174289867183677,0.233902095350484,0.308975017631544,0.182811999655658,1,0.226417238189151,0.315827400295379,0.330252779583742,0.234711493459047,0.242156009424239,0.32589842588388,0.140626423269607,0.298567731371412,0.271238874827455,0.268071101791886,0.127130660939237,0.252314552259765,0.221357307319432,0.24988526915018,0.292788109181971,0.183372309888079,0.295041772863406,0.17601129294042,0.162103236505963,0.194778348765226,0.0727277603637077,0.19021460157943,0.15942391640611,0.18199469009304,0.248468814895088,0.187426316888948,0.249691849526828,0.203523017245787,0.179104685564885,0.297646994580735,0.193470975840853,0.137304920020536,0.267228478074452,0.23729199890461,0.266794576163693,0.205701402919666,0.296447145117217,0.202419352877511,0.172690219754267,0.3138208190507,0.271047523633896,0.204170788581684,0.204586197113299,0.182268217378372,0.286244696963881,0.179090170628152,0.267747651455541,0.152185219201845,0.174718375584453,0.214873327813885,0.178349469148082,0.144264683312341,0.170948131269856,0.338732969113236,0.226029903298586,0.220996838411246,0.264325708088484,0.232199693186077,0.184351920815277,0.343906859084218,0.196064929340491,0.217312369005725,0.216735332989013,0.402784921290322,0.228320901206993,0.125575144252147,0.246543078988496,0.279786785452235,0.226234362996924,0.22493761766895,0.171327146625335,0.177122457915829,0.164279278094624,0.22728617339414,0.250284105924609,0.248268314015914,0.115107657158136,0.238438309038886,0.0729028920567079,0.160020924481163,0.260879381080681,0.177778702958572,0.181639223266188,0.193155031909713,0.206720416848361,0.198420549884158,0.146067348490674,0.271048516451495,0.32298503804561,0.113685033051675,0.178981102613248,0.255097085034606
"auristellae",0.330843183255189,0.197557863833066,0.2716227509155,0.297342619490742,0.382231172946621,0.226417238189151,1,0.219520610481113,0.291940674248119,0.242136629824352,0.237114384178129,0.245640676003123,0.196636728948019,0.30674923736327,0.269386851575139,0.208318076348683,0.304693362635604,0.337358778384235,0.208153060355293,0.247755384133638,0.283628928970723,0.218088462005667,0.24855500414303,0.272569977859797,0.284213714980054,0.244738203295126,0.0920685727096034,0.23648689541277,0.195706000946199,0.165971031686863,0.282568043245173,0.228737307406883,0.41170170408537,0.30010666851792,0.265992735426587,0.202351221320161,0.196552497943471,0.16418582669798,0.220461438496625,0.288745011416922,0.249265069839864,0.241376078665486,0.209260089989006,0.258871187508098,0.230639449534711,0.223095876226936,0.211681180242579,0.256486066565412,0.225658966327464,0.280839393653766,0.24158066327215,0.23472941921325,0.248900867088414,0.184431887339108,0.198346079404048,0.237014281528566,0.286053083774287,0.205956440307663,0.245660578589991,0.224699482637554,0.264698668723702,0.300637818057635,0.267201231981531,0.271447983754117,0.219814050521954,0.310015562378015,0.223085646690517,0.291803215613342,0.287973905262572,0.37175230712491,0.328306048914937,0.132076612947874,0.344915229626095,0.242073112699506,0.216022507180303,0.339820356270568,0.179021897895423,0.218671945783521,0.221068209523084,0.265685780453092,0.284855883637382,0.297076323640468,0.219267865004893,0.285479796065361,0.0797785751512979,0.148034323386812,0.299518407133296,0.164332189577304,0.15837322965173,0.237461398387866,0.227154036445297,0.271047142865359,0.111070239364037,0.26143148502615,0.267603750283769,0.173710545800745,0.216681303511494,0.309511131278909
"bourgonii",0.230144800808302,0.165423823482657,0.178139629089386,0.220189052380748,0.184349002477924,0.315827400295379,0.219520610481113,1,0.251899757625151,0.189360663462457,0.210095749814109,0.228388703283012,0.150643001268564,0.208917870052335,0.239503778711815,0.228042520722946,0.127520468688754,0.236985761651834,0.18440144598141,0.176332835987743,0.257060851579015,0.171386178566655,0.240924072533772,0.191522934982383,0.176462442534215,0.165000376639785,0.0761310828864922,0.162569368550954,0.214038216805037,0.168129632369267,0.191733414890914,0.187178855269725,0.229821576430488,0.204709798029428,0.16105987106855,0.199204432722745,0.182925806265061,0.124705846790334,0.212454009027016,0.157315389487231,0.233526625397164,0.187983896513402,0.176503862109908,0.210108512435314,0.167588270476782,0.223944170389823,0.297912649990823,0.193299353834735,0.164671060609968,0.205707967754575,0.206232691382791,0.164849745891755,0.298492514332452,0.195029411548964,0.179815022934618,0.195300980702404,0.166220540523899,0.215381662304924,0.196084218336222,0.224455421778808,0.188484089950089,0.195006058912963,0.235034367644638,0.17638541758409,0.182565210932505,0.246764200831495,0.177348001327737,0.251068317194842,0.235149633132257,0.301477641289902,0.207861801875975,0.0922901186239493,0.265066138781741,0.193374650511105,0.177786932644697,0.200223814854596,0.170220347103992,0.186560779335615,0.145480840549145,0.207872696402385,0.231585911758228,0.224908132569082,0.149784709669345,0.172127478951579,0.0702247884493171,0.157174452432071,0.214508838843326,0.120780210378616,0.144018590161614,0.229686850972421,0.166128949882364,0.192591458144267,0.117031048840338,0.203836736621025,0.239422402975466,0.157391872446987,0.151847218631428,0.268354055625193
"brachyrhachis.aff",0.226814664558583,0.226786388642618,0.32981753743172,0.313592987861939,0.230099232593123,0.330252779583742,0.291940674248119,0.251899757625151,1,0.354663621438815,0.22828878721302,0.233311541819757,0.19437189759749,0.377891831736203,0.425569299671299,0.340089156533806,0.169322773492593,0.277725405305698,0.338095991375179,0.239667051724871,0.342462373679761,0.210122890490593,0.30810184348519,0.287552933069884,0.228588836452817,0.230175930012786,0.101118902552217,0.198929734991934,0.173923351359418,0.236917629060325,0.275132566518132,0.230973240400827,0.292821503069574,0.240053497419801,0.211093590558577,0.283581547685367,0.229690171551293,0.250689037507709,0.255209326045862,0.267808592282585,0.277158620818056,0.252763676123185,0.237572023447448,0.22915008602809,0.178701560462922,0.292520711856218,0.271526315170764,0.273980025483787,0.275067411116591,0.206325845935173,0.260365052008009,0.250781610683585,0.327006426612862,0.189272008944105,0.234946152601634,0.277273517260063,0.213678399791142,0.202001815928937,0.206568148160228,0.301577736584848,0.33486508330349,0.32803324460317,0.273637953161391,0.273536923469266,0.229286965177867,0.36400462801953,0.246410127225771,0.309509387812006,0.242338813975092,0.358848370449802,0.237897321166046,0.14244685328791,0.289277333348425,0.249301160731951,0.260534703442251,0.338123824645331,0.198715232457371,0.200327251107026,0.232824004995258,0.240836806356733,0.301934124969755,0.27712348430206,0.205111769230713,0.30418125395215,0.0823780347177556,0.153665301608173,0.306217618284668,0.169920640228015,0.230809879403483,0.253848421192165,0.240781499034537,0.235614179717197,0.127445767961777,0.318087225199536,0.296977738718941,0.153105500033245,0.179314895540761,0.315891110795669
"brachystachys",0.149659837586239,0.211020508263649,0.259954242491649,0.267800852331312,0.246159358034073,0.234711493459047,0.242136629824352,0.189360663462457,0.354663621438815,1,0.207301357950848,0.239490952217566,0.170745969630496,0.305538759369879,0.264482706304603,0.198511483658414,0.186999855909914,0.239960601769427,0.431139815167956,0.234965780587905,0.263737269752187,0.186348514186836,0.186246707165996,0.208470992309711,0.185165549245672,0.231730283239525,0.0737451658035734,0.199922267675477,0.187438013001665,0.153871565946151,0.258042799179547,0.25725714369214,0.272035639380702,0.237360250856958,0.171227705150947,0.179678835742881,0.196518004943434,0.176420031763554,0.228249962086945,0.253804237698881,0.193745186205797,0.23398117554318,0.214889754312199,0.179140848929823,0.182865628529778,0.215326443627824,0.201627459288466,0.197083931556908,0.169508338616123,0.164799724682112,0.195330505383574,0.205273140451263,0.249650857921326,0.18364406198152,0.200920302341654,0.241474031474977,0.228566119288047,0.16677494215794,0.285184336361131,0.200220860899694,0.270471608297992,0.255368534315538,0.203397817032011,0.229316047832777,0.185361499747813,0.239869045057794,0.254931942878338,0.22206142752293,0.177038984067223,0.267674325567592,0.286897155460438,0.120254505819786,0.218126511557853,0.239211426109069,0.223984931483569,0.224898150408975,0.142664418674768,0.20522179654088,0.205419907874541,0.267608792349006,0.261242311644078,0.337536602461595,0.148906993494203,0.250134763206728,0.0720397793938408,0.13928984627031,0.262591096850725,0.192055179042018,0.165727521794503,0.228982125074198,0.205626942013321,0.205731186487593,0.114777889259001,0.216915392715084,0.248057653162575,0.122654934472391,0.190019036818643,0.241870628793772
