"","acreana","acrocephala","acuminata","alata","alba","aria","auristellae","bourgonii","brachyrhachis.aff","brachystachys","brachystachys.aff","brevialata","brevipes","capitata12","capitata33","capitata35","cayennensis","chartacea","cinnamomea","cocleensis","cordatoalata","coruscans","cylindrica","edulis","fastuosa","flagelliformis","fosteriana","glomeriflora","goldmanii","gracilifolia","grandiflora","heterophylla","huberi","ingoides","jenmanii","kursarii","LA17","LA41","LA48","lateriflora","laurina","leiocalycina","leiocalycina.aff","lomatophylla","longiflora","longipedunculata","loubryana","M18","M25","M27","M30","M71","marginata","melinonis","microcoma","multinervis","nobilis","nouragensis","obidensis","oerstediana","paraensis","pezizifera","pezizifera.aff","pitmanii","poeppigiana","punctata","retinocarpa","rubiginosa","ruiziana","sapindoides","sertulifera","setosa","spectabilis","splendens","stipularis","striata","suaveolens","subcapitata","T18","T21","T29","T50","T51","T82","T85","tenuistipula","thibaudiana","tomentosa","ulei","umbellifera","umbellifera.aff","umbratica","velutina","venusta","vera","virgultosa","vismiifolia","Zygia.mediana"
"acreana",1,0.399172904700189,0.0919047721842535,0.184794525419816,0.214183277790552,0.126398437506849,0.225572212155752,0.138229765320643,0.30415181518645,0.135528966127998,0.191571621093245,0.17400295821884,0.0958431358488847,0.158334900016211,0.431671474974997,0.170807437700916,0.167847417853461,0.407836707263216,0.152832648613355,0.135001224432371,0.147461537870956,0.150763063714306,0.179801396060696,0.189139530212908,0.132310490410027,0.141091562756689,0.159872549386559,0.146860069387506,0.149329591995383,0.158566441537681,0.171162438847923,0.142909332511269,0.251771134274228,0.125320954421111,0.139838021370783,0.161713747719265,0.189187058671534,0.249393598131022,0.147763351606582,0.154657380963274,0.146735482613901,0.20236568508091,0.106778025410507,0.164099173182753,0.386357104836581,0.155612370406235,0.150475397858354,0.160125216215979,0.0792834671476521,0.148328724878045,0.114150896025616,0.0833315998322679,0.1724672286192,0.165574157837803,0.0971808525986177,0.171619426331434,0.174638488342659,0.269223862660531,0.16033556040313,0.140356995514492,0.158377721013385,0.239064299231237,0.153007641811619,0.370208826863732,0.169708882177683,0.186531831833361,0.36588342070225,0.201784240431278,0.164454106862156,0.190291319700581,0.18657994167317,0.106754092487273,0.125659649043405,0.129709494477214,0.233602097568926,0.259459779862574,0.11175893840364,0.165047836683824,0.167928037047291,0.236980074941443,0.171597086915183,0.17395944132615,0.101636125112941,0.191466966637894,0.122904082743432,0.107612538065766,0.180449319590799,0.178121970457017,0.151106860310158,0.187514145798917,0.367587760958964,0.155141647902852,0.0781547177082016,0.15836290850581,0.150817692819895,0.0726404420012523,0.114987480756373,0.228601485795372
"acrocephala",0.399172904700189,1,0.0870992432860014,0.188156500235777,0.207284243366798,0.11455251550544,0.247283035050862,0.125498396022204,0.275821591601158,0.161688786656048,0.159035924446772,0.175767318907886,0.078856664931727,0.169592417320268,0.428271371160472,0.184247220417825,0.185038915444216,0.47645968461887,0.151545809915548,0.136141259651751,0.145389915936925,0.159732408624976,0.152178638939109,0.227417369836222,0.1271152050149,0.149628609378336,0.156374360022617,0.118218534941862,0.147672340946285,0.1792616633765,0.157889253279311,0.159402390307404,0.249962708567824,0.107068718590331,0.130986534639907,0.152822781277153,0.195558556596308,0.198907776233008,0.141913848802296,0.169038666054223,0.143954749919325,0.191790158651336,0.101987367852254,0.169092983186478,0.423607835838928,0.13874943306061,0.177094207566537,0.15972233545515,0.0829245769568755,0.110754078726149,0.115081793695159,0.120034130747463,0.191784157516971,0.174007366494943,0.0884393448656673,0.164680259192241,0.196162540444248,0.309836413316572,0.183556780186762,0.153591434805942,0.1703657417054,0.219269590547784,0.160223926819933,0.389945806894976,0.181061695575921,0.163472136957395,0.419204546720395,0.232459535540487,0.191551032056725,0.186687266346852,0.201093647734055,0.0999354626264046,0.124181414516537,0.135830934178732,0.217765266466768,0.172161370624434,0.112698223320944,0.175447144509364,0.161608528492702,0.209030095797062,0.172130304066118,0.176056257824432,0.0869872706533652,0.147988666235131,0.112727918724916,0.120084036473601,0.20238698514666,0.192801063399387,0.17134545763112,0.188793392997247,0.408779049941581,0.171234132421299,0.0755567178987314,0.127136051216074,0.16592799809591,0.100226024390342,0.117933582446895,0.186410092723813
"acuminata",0.0919047721842535,0.0870992432860014,1,0.0960315090427381,0.100964773761209,0.0782200603861887,0.222948066143046,0.0630238076045041,0.0743592414486341,0.0644780920438112,0.0749251155077133,0.0576280490362093,0.0597258283368858,0.101168158672159,0.0813482941840959,0.0788202601727444,0.0967662175959548,0.088456037209683,0.093712197118977,0.0776469934405833,0.0706777923524469,0.0860049703595671,0.107239226224431,0.099322664785249,0.0865026185837624,0.0710926560828412,0.103016735082136,0.0842249330937107,0.0729871776051901,0.0753444523465263,0.101330086031709,0.058691597105571,0.0789649524221112,0.0756687735004556,0.0828934088546343,0.0753283409510517,0.0831263193713973,0.0917138185338219,0.0919569359369033,0.0841176059678414,0.0762359723419121,0.0849730785102299,0.0526852997060462,0.0836002291864197,0.119014699406699,0.0764096275380385,0.0758034137928111,0.0914658392075505,0.0740698889626079,0.0704898892122261,0.0870673543303118,0.0824199429967311,0.0937243024624714,0.0731542541902654,0.0651227261552232,0.100547844849863,0.0759561321905446,0.0765925492951315,0.0639153911552696,0.0459269091798868,0.0714049518564472,0.11158571156198,0.0891273828119917,0.0686145330626586,0.0892695774070626,0.0850797374855395,0.0557394295452144,0.098920200592202,0.0912833956770015,0.0948985047111244,0.073636061501314,0.0672911288457718,0.0787316679285808,0.0568646916234829,0.0762207954138065,0.0991619942472566,0.0698041484292774,0.103046344332145,0.112622611297707,0.103993056369833,0.0978572729800188,0.107989888705606,0.0747412812618297,0.103255285883137,0.0866933187492881,0.0757748167407988,0.0805451448149625,0.124086718245183,0.0747302893542901,0.07819618025451,0.063311126942329,0.0921971939883565,0.0737226992283131,0.0863659576404607,0.084319831708469,0.0425993218394723,0.0857716747075298,0.0840436081341282
"alata",0.184794525419816,0.188156500235777,0.0960315090427381,1,0.221710827271388,0.155659638577459,0.249062126230554,0.204951983026144,0.23427718249641,0.134033173499904,0.171858149276189,0.20299177814221,0.0984382842759218,0.282089340104646,0.192678569903711,0.223799350398392,0.217447077789554,0.207011075749417,0.163137951003522,0.1967975905379,0.211163588922026,0.215166295993392,0.216237090292133,0.274378650868438,0.16317238888909,0.149893472319476,0.170016397650327,0.193691769222934,0.186584875319119,0.174765937106218,0.185079352075643,0.171881997322534,0.223063414636317,0.230360698482286,0.163564354505528,0.22515856395463,0.206608664850314,0.174074101757366,0.200574092328318,0.179670030332473,0.16992154097707,0.221386415752123,0.137723651452665,0.189257793048741,0.166842258520373,0.179171780799223,0.10245828215329,0.238164816777302,0.0884739690221824,0.201769805615858,0.12501178119292,0.178324431789071,0.193719041620167,0.156169801134555,0.156779965545426,0.324299136244482,0.209081345073739,0.222473031340889,0.18744737971963,0.090458414081046,0.187948191966014,0.338171675869661,0.291091591819876,0.130291552329066,0.257572989592915,0.226618371839192,0.119760542952004,0.289157791320667,0.263913995734653,0.227758078039552,0.174545498694257,0.147447169527381,0.197237273797552,0.141996808922421,0.186723692957835,0.250756174139273,0.160871541184513,0.195383108926168,0.224208764337008,0.247436147902986,0.252858187251727,0.26363556211182,0.0885032313733964,0.217769480981269,0.239132401336643,0.170447382194707,0.207551710693221,0.215673556847182,0.209551819348383,0.22362508969606,0.12970435403757,0.213606268426949,0.0891578281369781,0.199173181239522,0.18428867013922,0.0890166743757851,0.223147893877869,0.255433288370844
"alba",0.214183277790552,0.207284243366798,0.100964773761209,0.221710827271388,1,0.141530592436829,0.239593190055238,0.155994627629724,0.235218117098522,0.268286281030156,0.316635825140546,0.238024673632916,0.227204045449264,0.224460131753142,0.257669132860298,0.227784185353991,0.199444657599292,0.280761781221323,0.197178743762114,0.14538570063558,0.179558059317857,0.171386124153412,0.224446453316531,0.245622993966492,0.150188136716174,0.296299210040663,0.249927836240446,0.175238550915949,0.195487665617416,0.21006772303256,0.221252096786062,0.278501414999386,0.271198829100311,0.130598082956526,0.288886909811661,0.225528680192608,0.209453344021351,0.258534605417907,0.161150933291353,0.231812729102157,0.284798732384771,0.230050842101426,0.0971324595910493,0.246446752165488,0.139873446104269,0.237958950229692,0.192411529284658,0.18228728688969,0.194284395440863,0.30797597697152,0.132209658900736,0.113473916991346,0.280381959696474,0.206042309794895,0.129491038072708,0.20109213700706,0.307404600528012,0.260646159587109,0.288482266847737,0.0928230901889334,0.22333799327409,0.304650503109139,0.235737682528094,0.118813307801523,0.254902034742637,0.224588800234279,0.160980223862934,0.225669940219766,0.240018811690454,0.298983802974615,0.292506600265786,0.133181731924751,0.176990448881731,0.119853447278039,0.16387248801584,0.208978529879211,0.148899717423464,0.212242928172736,0.199020746580501,0.183934981436222,0.201681293885278,0.253391026122322,0.127614159884843,0.252027151234212,0.143041105297194,0.18946289322923,0.175685764094163,0.256415463473758,0.251945359457522,0.401039201539513,0.118624746421156,0.32613357486812,0.107560231117337,0.222232577597705,0.266518883195557,0.185440676115733,0.147963022933752,0.278371432306112
"aria",0.126398437506849,0.11455251550544,0.0782200603861887,0.155659638577459,0.141530592436829,1,0.137334266338331,0.114667865997675,0.137673471407622,0.0941085679220562,0.126161766631182,0.107654602666506,0.0650705549613657,0.128648432559438,0.141850380119994,0.152265065922616,0.103846800689144,0.139000828075053,0.0923438575887315,0.191041539821399,0.111692131500018,0.130763532146608,0.124120142573595,0.152380831216916,0.109930632901732,0.0946866537622852,0.116741992885574,0.119727472706345,0.108367734858421,0.130252713001843,0.112949443507946,0.10018024747394,0.139527445081827,0.105309521922594,0.149141943219631,0.117003368074414,0.155227336467472,0.125218216538009,0.118665857323995,0.104653770931278,0.134969344552008,0.130365314325332,0.125039664053855,0.113999074035022,0.110258496711022,0.110839280030065,0.0748343008866148,0.134733567065219,0.0665221628869694,0.10711434819876,0.143055886757078,0.0961095391093291,0.117474984034846,0.110160106285611,0.0904699147538739,0.123447121481781,0.120150963713791,0.156260527532419,0.141312588208092,0.0616947865046395,0.121762784762892,0.133224957004501,0.125157105790681,0.0939222969663133,0.131493490929398,0.115317306255455,0.0939843818636991,0.13596774027382,0.128310964314988,0.126564142611653,0.121633793500129,0.0884575294120458,0.105166432979628,0.0834393117572527,0.137850854100343,0.133222650069563,0.0989308688883046,0.141225849850033,0.139648742587215,0.130712287047316,0.140269981502175,0.157893109757716,0.0693104687306834,0.137768095667859,0.137114882503615,0.0943896961461586,0.151652658246054,0.119570580007085,0.135593763106417,0.118866401278122,0.0976402319889545,0.11535868961924,0.0806227847204915,0.132754537779127,0.120220870921487,0.0695915926961212,0.0963375104874163,0.138866295848273
"auristellae",0.225572212155752,0.247283035050862,0.222948066143046,0.249062126230554,0.239593190055238,0.137334266338331,1,0.157858041917401,0.222962759532855,0.145338530963268,0.15001148158724,0.165507206320867,0.109397997450792,0.241185857283801,0.225507488057972,0.20442881370343,0.20721511284305,0.249993481096205,0.186027222249957,0.181853651685884,0.207313899393604,0.177645472821361,0.191113041090911,0.290352876141105,0.214945226534778,0.167649371947158,0.170821706433151,0.169289602810138,0.233171721003676,0.176239895781116,0.172453523167751,0.147668465195644,0.249600525186303,0.143667170799991,0.150554275038138,0.159771191333164,0.222552312386317,0.188749072336712,0.17997631376239,0.175078345972546,0.158763546105383,0.23200802989127,0.118668160820679,0.192491274036813,0.199577394231221,0.164799288196861,0.142187242999893,0.189588287960101,0.109886733380129,0.184309344580476,0.162351677139557,0.121682232984288,0.240143212298606,0.153247254155777,0.163188296479817,0.206093373331983,0.216705773658914,0.260918136411599,0.180257127731705,0.124919718723491,0.190055996642847,0.280527680794978,0.193001648411464,0.168991285158292,0.236405554574577,0.245208188477751,0.167553341494022,0.263248258130648,0.215250532144656,0.224289224117862,0.181839128570727,0.157243704146904,0.16348780415432,0.114763761654195,0.183828681185688,0.236231256345208,0.137313888232358,0.189288534300357,0.219599101806613,0.233370113255281,0.211719959437684,0.254473578804961,0.128140525172096,0.209669441439708,0.151782631379667,0.192083436492912,0.207589437308142,0.213421886610824,0.178899777438229,0.19646339100226,0.147903364706719,0.205525005409195,0.13844136420268,0.170286435851274,0.17811165065944,0.0765998635406155,0.147877089164234,0.246095011968613
"bourgonii",0.138229765320643,0.125498396022204,0.0630238076045041,0.204951983026144,0.155994627629724,0.114667865997675,0.157858041917401,1,0.158641783652049,0.105078759311886,0.151327939911103,0.132258841144432,0.0819792661320918,0.159884931385657,0.139847126966161,0.173105893275187,0.116890065578063,0.169492309319484,0.114230412446101,0.145627670856614,0.292075608857809,0.216218215536863,0.167844105633368,0.189252024843906,0.115017649664163,0.114326268739175,0.15023153508909,0.15698467397632,0.151037914154989,0.138825902265566,0.137823018877774,0.142594526917434,0.162342593910746,0.120674658550905,0.140301553847678,0.134024779522007,0.150221583592,0.13194848764332,0.129527751091073,0.126172570981385,0.124294042259476,0.175711951210245,0.139400734180223,0.135264857669751,0.112002950970371,0.153447914984504,0.0891599259092428,0.178915923787314,0.0737593845586569,0.235814291501105,0.101347920027938,0.101261310320917,0.159545975645772,0.1287533633649,0.0901746113625464,0.147067294102888,0.190795901747899,0.148565875385373,0.257992078522907,0.0603672581564041,0.157601456210316,0.172930674956388,0.15718192068955,0.0917274303845316,0.170253976092872,0.19010604008353,0.0867493478817763,0.169905622636009,0.175568225140465,0.162671918975956,0.139447298561497,0.127316491696933,0.12782870926671,0.0904504457452241,0.124509879945753,0.165255817320755,0.142499679549323,0.154320690717205,0.143894015853168,0.196147967471841,0.193429813423671,0.25350173300233,0.143541808242201,0.241678826189275,0.138697095553263,0.100257934407357,0.213677913083331,0.17476808592638,0.146874057885628,0.168166603622772,0.0840592311039641,0.246892325658711,0.0696646209031554,0.156276857843571,0.130489427567153,0.0837241978427475,0.115164849148454,0.179737177846062
"brachyrhachis.aff",0.30415181518645,0.275821591601158,0.0743592414486341,0.23427718249641,0.235218117098522,0.137673471407622,0.222962759532855,0.158641783652049,1,0.164200024193652,0.193277543554615,0.188710462927872,0.101433611279694,0.185632472746785,0.53433097153795,0.207190259583985,0.151305277688683,0.285943259257691,0.186023715400895,0.145701134449177,0.171268716713188,0.168606749653995,0.17698710419978,0.231097969525573,0.142086164898767,0.145659076396061,0.145848568326356,0.138677728876041,0.172858149184391,0.189765313996986,0.197920420680512,0.195159604394653,0.278068140606119,0.0953325326887787,0.163950462045413,0.199271097673953,0.227280890414548,0.167841994792881,0.135866329549578,0.24006156781666,0.170594826698259,0.27460038464837,0.114124393406034,0.206148429174544,0.251995190313532,0.218635382849331,0.149768831443582,0.162317328160714,0.0889109328665139,0.173215920724551,0.146492260990976,0.119102565514296,0.21880413383974,0.193048584161861,0.118956511027821,0.163560370316439,0.2201985547912,0.280813873640816,0.175660989590435,0.133371716136827,0.214648469452326,0.255791165705833,0.200674629120593,0.257803904919125,0.209214746535185,0.246040409637201,0.264989199969048,0.22422391373898,0.185558263229517,0.241126503071491,0.189889362199839,0.102548820799113,0.14505938643587,0.158735291587856,0.202993939252006,0.197869198118045,0.123248986947175,0.186678821861543,0.167602911019243,0.234061460802256,0.214513225247647,0.202974679583819,0.134217802694425,0.229808106159073,0.133936665738382,0.107301525498575,0.171421141019472,0.187492432837868,0.164815413300192,0.18733570393103,0.192530504349287,0.201637698946094,0.0743380832014325,0.189083584076043,0.202195759907447,0.111120641117491,0.11880203888791,0.269237647695066
"brachystachys",0.135528966127998,0.161688786656048,0.0644780920438112,0.134033173499904,0.268286281030156,0.0941085679220562,0.145338530963268,0.105078759311886,0.164200024193652,1,0.322786125387282,0.311988154079248,0.188048206879498,0.110580343566278,0.170353585985184,0.144009470434999,0.12229375956774,0.171282688695313,0.100915303089732,0.092974020787494,0.107951770848295,0.137816284041703,0.115784282988664,0.144262338634748,0.12062035287642,0.300413965982259,0.116847326470386,0.108812676364887,0.121165345137085,0.119946477852104,0.114553157967876,0.357252879472651,0.152512531951691,0.0857031468755089,0.2997086986114,0.107975523437036,0.127305448826576,0.15941022371005,0.111038369845272,0.102385043960532,0.312150538321457,0.125561088892074,0.0925975674384626,0.139608574050786,0.170470218538789,0.109351008227673,0.341280149233147,0.119408665690422,0.231855728156884,0.257191078879604,0.099003256645621,0.109039812789269,0.119609581267636,0.110895148298795,0.0810568820092933,0.130371739817242,0.121758518007814,0.170733785440136,0.364635304512948,0.0838117856702101,0.123178976978749,0.131784123617969,0.165756185299536,0.113042583617511,0.117156726276772,0.130734711204364,0.107911828355421,0.133379632566389,0.124397003803776,0.133351835989943,0.31631879255008,0.0714458755350969,0.0881782113629054,0.0939315114136764,0.115059066422789,0.117119984642479,0.095319836151314,0.129983162462174,0.136575178087312,0.153222691258436,0.139444827926353,0.155829965373124,0.0769123588432491,0.136379933538749,0.127103504990842,0.0839584364130871,0.125726591878911,0.138462714994858,0.137808273366705,0.250907967344115,0.101394027101067,0.305600184092164,0.0895883279067759,0.112980241861964,0.126960137247465,0.323571488244932,0.0869282045175098,0.128816354793178
