,acreana,acrocephala,acuminata,alata,alba,aria,auristellae,bourgonii,brachyrhachis.aff,brachystachys,brachystachys.aff,brevialata,brevipes,capitata12,capitata33,capitata35,cayennensis,chartacea,cinnamomea,cocleensis,cordatoalata,coruscans,cylindrica,edulis,fastuosa,flagelliformis,fosteriana,glomeriflora,goldmanii,gracilifolia,grandiflora,heterophylla,huberi,ingoides,jenmanii,kursarii,LA17,LA41,LA48,lateriflora,laurina,leiocalycina,leiocalycina.aff,lomatophylla,longiflora,longipedunculata,loubryana,M18,M25,M27,M30,M71,marginata,melinonis,microcoma,multinervis,nobilis,nouragensis,obidensis,oerstediana,paraensis,pezizifera,pezizifera.aff,pitmanii,poeppigiana,punctata,retinocarpa,rubiginosa,ruiziana,sapindoides,sertulifera,setosa,spectabilis,splendens,stipularis,striata,suaveolens,subcapitata,T18,T21,T29,T50,T51,T82,T85,tenuistipula,thibaudiana,tomentosa,ulei,umbellifera,umbellifera.aff,umbratica,velutina,venusta,vera,virgultosa,vismiifolia,Zygia_mediana
acreana,1,0.251395518,0.050858726,0.090400695,0.071066778,0.056842187,0.338018172,0.096787423,0.043920798,0.049569264,0.058807752,0.066261362,0.05313031,0.046342425,0.046258252,0.044205355,0.061164934,0.296311605,0.071979177,0.055731527,0.049628778,0.087322213,0.111560687,0.074138613,0.081417771,0.05263897,0.04511288,0.050989584,0.068288236,0.054572644,0.071019063,0.043682234,0.045580883,0.066549556,0.070213158,0.038303404,0.042716668,0.049068291,0.056024188,0.054943781,0.058325531,0.087299539,0.064387716,0.067279454,0.057384395,0.057657147,0.048349966,0.105711437,0.05553411,0.069386212,0.059144125,0.075648539,0.173706299,0.249813587,0.06326418,0.232712217,0.072309871,0.102800569,0.04835061,0.073750477,0.069689551,0.071945819,0.088018872,0.306166147,0.082262792,0.074007206,0.058442212,0.070076246,0.072130668,0.063242827,0.062238484,0.056012601,0.057858975,0.057416066,0.071207823,0.095266155,0.0701154,0.028038944,0.171988615,0.052078663,0.104172833,0.059555283,0.069194009,0.065743013,0.03936919,0.050154798,0.075613145,0.287089037,0.037820005,0.064926216,0.053674104,0.061609854,0.035454898,0.072803441,0.060357985,0.042932046,0.060372082,0.079296417
acrocephala,0.251395518,1,0.024574734,0.06788719,0.041730265,0.034777289,0.308384241,0.101671395,0.034055243,0.028585186,0.028491618,0.036126892,0.031457778,0.026158191,0.033713161,0.028324971,0.02235723,0.500554849,0.046340305,0.026761065,0.037405093,0.046419247,0.057178595,0.092122578,0.048242645,0.046307229,0.044170593,0.028556518,0.082411109,0.02774073,0.048122953,0.021644911,0.03441215,0.03824653,0.042237009,0.019868382,0.024183217,0.027613154,0.042122495,0.019104411,0.03299588,0.081616221,0.033440157,0.027864279,0.048730917,0.034464066,0.032397333,0.063581663,0.028244322,0.037457332,0.024943777,0.046936715,0.12289546,0.369742505,0.04909968,0.42229001,0.041051021,0.062770801,0.028216508,0.033181752,0.038549131,0.034685304,0.049858701,0.211221083,0.045326444,0.052256376,0.036607446,0.045507447,0.038902008,0.04772904,0.038536894,0.021849057,0.033349603,0.040430136,0.040470257,0.059042808,0.026128799,0.01080307,0.2432745,0.037342829,0.05719934,0.050745901,0.044648415,0.045276257,0.014269929,0.053869741,0.044542628,0.198157585,0.020330285,0.043853509,0.053849743,0.030477392,0.023283874,0.035011714,0.033302797,0.033682852,0.055952247,0.044703672
acuminata,0.050858726,0.024574734,1,0.10167775,0.083555278,0.495525616,0.075865054,0.179645893,0.152500855,0.2225919,0.280193031,0.233641217,0.324093764,0.264173632,0.17405935,0.251991375,0.28807056,0.055699735,0.150002603,0.58562955,0.088778547,0.350135618,0.295054424,0.147396259,0.169876048,0.114135314,0.144444994,0.125802648,0.183147976,0.305457216,0.373427058,0.237064926,0.075306205,0.261982942,0.329138053,0.317043564,0.132933917,0.25707604,0.185782521,0.285111655,0.266063717,0.120463856,0.131629418,0.216409711,0.181868535,0.493915857,0.079767613,0.188035131,0.102589397,0.320975914,0.246527456,0.212239044,0.120467503,0.036753132,0.176410434,0.041235456,0.134156547,0.141743318,0.278144201,0.440509973,0.396212645,0.158918009,0.245568719,0.060777136,0.440229785,0.151415147,0.453001119,0.176663586,0.435409877,0.033888197,0.287624917,0.402710383,0.341100776,0.490675219,0.111445826,0.054009172,0.19271411,0.17025983,0.032524364,0.074108272,0.236113851,0.114497037,0.119216344,0.089790085,0.098443416,0.132333777,0.158414286,0.088096926,0.366430442,0.123813764,0.368837653,0.17283794,0.142081866,0.44281837,0.479748507,0.187904963,0.185787148,0.332683652
alata,0.090400695,0.06788719,0.10167775,1,0.134695731,0.155065667,0.160876275,0.102624661,0.305647234,0.169251747,0.102245368,0.104039171,0.063530245,0.180338827,0.295244378,0.259486255,0.078129206,0.112936792,0.064033291,0.112206205,0.136809396,0.121958543,0.145140872,0.20383279,0.090901778,0.063942548,0.045801545,0.104434104,0.110244703,0.109290137,0.159890101,0.142314143,0.138590046,0.100765999,0.172374675,0.085177265,0.092355943,0.073048561,0.056621148,0.074062357,0.18643113,0.108410033,0.094305137,0.084941587,0.216174419,0.143429999,0.179773476,0.098417611,0.115098899,0.192265051,0.066715692,0.073408407,0.173316548,0.050882969,0.057435238,0.050521556,0.064024181,0.108035602,0.147654013,0.125395807,0.174835336,0.153008098,0.302333497,0.075307829,0.167580108,0.165280786,0.160686799,0.177358068,0.149234341,0.050599169,0.154041146,0.096744108,0.229188361,0.165251046,0.114883705,0.10805291,0.061334659,0.05328692,0.037567475,0.142075231,0.088868225,0.226340875,0.081089076,0.140091462,0.035225305,0.057493759,0.194740131,0.069636812,0.088318356,0.131076273,0.065696698,0.1018353,0.027317724,0.156760312,0.150373192,0.183324523,0.062771595,0.223984502
alba,0.071066778,0.041730265,0.083555278,0.134695731,1,0.094985511,0.131211102,0.103449,0.074994975,0.204945205,0.206895924,0.198426733,0.17768915,0.072410593,0.076764566,0.074447826,0.092381243,0.069778275,0.068806858,0.088156114,0.135283553,0.081029326,0.119895017,0.157646351,0.105768916,0.186158866,0.04462559,0.105900913,0.089290238,0.072396037,0.107912169,0.200552006,0.165788828,0.127685448,0.225379638,0.058819356,0.086495243,0.068028602,0.064338368,0.091932866,0.210151843,0.144617138,0.070278753,0.123307551,0.143022648,0.106712557,0.199699152,0.090230826,0.237171927,0.243545793,0.086218283,0.109816929,0.24226092,0.030373215,0.071262037,0.032332237,0.08440107,0.076119217,0.199645333,0.10022416,0.105140631,0.082778137,0.090210438,0.048947604,0.147886831,0.226331371,0.094353996,0.193086134,0.084513461,0.202923484,0.213826541,0.069602875,0.103547294,0.099675239,0.11269008,0.198372238,0.069865038,0.037617512,0.028678995,0.122566608,0.069398542,0.141070205,0.064228653,0.143790901,0.03271482,0.058271589,0.197140291,0.049186604,0.068659617,0.200926125,0.06964413,0.218520445,0.032785338,0.103480467,0.092458857,0.181203383,0.064434877,0.153064324
aria,0.056842187,0.034777289,0.495525616,0.155065667,0.094985511,1,0.100469464,0.250928725,0.216856681,0.293801503,0.293281262,0.227399098,0.296706577,0.319615541,0.238534564,0.320744664,0.317536777,0.069463027,0.167819707,0.637495013,0.120198862,0.387440707,0.322177149,0.208648831,0.196856013,0.110703705,0.144662744,0.160505841,0.246570326,0.331857839,0.469262391,0.27424453,0.104270887,0.36815157,0.407517266,0.351970553,0.148718628,0.318086589,0.151256035,0.292029137,0.34649166,0.150802718,0.212616166,0.241078637,0.246058458,0.598719203,0.11831767,0.214628776,0.129818448,0.369351223,0.28411909,0.164649322,0.134733826,0.046341907,0.152536381,0.050951498,0.127841284,0.171562972,0.419721656,0.531875778,0.47900711,0.185125505,0.27387996,0.073243404,0.442884476,0.17045451,0.667615541,0.205727048,0.564134349,0.036207087,0.384422319,0.462907292,0.413545834,0.584550829,0.181154622,0.065284256,0.1888906,0.171983015,0.052415231,0.116816174,0.245246402,0.180633318,0.148890843,0.136604109,0.172948025,0.127235296,0.204951478,0.079459242,0.580328895,0.164550626,0.195236373,0.202826302,0.133784547,0.540066299,0.697740339,0.23622653,0.168689686,0.426969957
auristellae,0.338018172,0.308384241,0.075865054,0.160876275,0.131211102,0.100469464,1,0.114175195,0.095906211,0.083091706,0.076864419,0.08541092,0.057459637,0.07976953,0.098114515,0.083712175,0.067498635,0.307350071,0.075025153,0.078701932,0.111800818,0.089517004,0.117487613,0.175773299,0.085573939,0.062672379,0.053970107,0.077229992,0.093106822,0.075606461,0.116243697,0.066990691,0.097015805,0.068681319,0.12709686,0.064832935,0.065620933,0.061502302,0.058956464,0.051283637,0.093894899,0.141953998,0.06926791,0.059949228,0.194068753,0.108624076,0.101469487,0.100626152,0.071661666,0.106133178,0.066222603,0.089409684,0.246910513,0.284156021,0.065896305,0.242653196,0.060851357,0.094521223,0.083005106,0.092444633,0.106004978,0.084758366,0.094608606,0.283829255,0.14394085,0.174557309,0.111671501,0.180574934,0.103556707,0.110822111,0.10467654,0.066446104,0.097687922,0.105555984,0.084901121,0.121767397,0.05261398,0.037995691,0.186656188,0.087758624,0.109287602,0.127485671,0.065384661,0.113838371,0.028371383,0.062736758,0.216128225,0.248694692,0.063592405,0.085667942,0.069292143,0.089048886,0.029854761,0.113238967,0.099602509,0.079519456,0.065203299,0.142228502
bourgonii,0.096787423,0.101671395,0.179645893,0.102624661,0.103449,0.250928725,0.114175195,1,0.097663818,0.143942728,0.17724296,0.236800105,0.273621283,0.094417741,0.097141094,0.093823651,0.213720136,0.16342666,0.315349198,0.223428451,0.107735495,0.268024512,0.298170843,0.278590168,0.339975743,0.280181133,0.256736267,0.116252423,0.443355426,0.118953734,0.296166051,0.098951815,0.091711651,0.182653084,0.227892112,0.099277544,0.103911732,0.21987528,0.282359345,0.157363403,0.124066577,0.25528308,0.304072368,0.198815372,0.134389083,0.207433783,0.077921994,0.223510894,0.108634106,0.210402611,0.267537422,0.252700528,0.172465943,0.112636403,0.416262176,0.132345991,0.259758687,0.211049939,0.17529593,0.288340503,0.220108584,0.146013331,0.158594111,0.181059787,0.215001607,0.211101438,0.207013491,0.153895883,0.243960242,0.045505611,0.170107593,0.203892977,0.171689907,0.196722413,0.196638014,0.111121411,0.270887657,0.063446397,0.11992888,0.105358735,0.192356847,0.146269913,0.275439667,0.149932512,0.175325089,0.312959576,0.149446653,0.173633577,0.150840579,0.198812205,0.391808089,0.244408139,0.210002167,0.209540297,0.181116782,0.109562442,0.312843602,0.199999631
brachyrhachis.aff,0.043920798,0.034055243,0.152500855,0.305647234,0.074994975,0.216856681,0.095906211,0.097663818,1,0.180401064,0.111184723,0.128034984,0.079290155,0.31352911,0.849181254,0.458950394,0.105774947,0.071332698,0.077241116,0.161410878,0.164645938,0.145523345,0.139176175,0.226549683,0.079736087,0.065785643,0.068062168,0.148756925,0.131088115,0.178120028,0.201488716,0.156807495,0.148220181,0.070042034,0.178767646,0.135306471,0.141721068,0.106988518,0.062034143,0.097825812,0.205381032,0.123453946,0.118215564,0.11096805,0.276030431,0.19116936,0.179195624,0.096763341,0.084609795,0.198189204,0.060589712,0.081153556,0.092602878,0.017561246,0.040353587,0.021110423,0.072376699,0.073745699,0.180817826,0.172626517,0.241396439,0.152826017,0.104401,0.04159461,0.210766941,0.148251174,0.227065001,0.173572478,0.229034712,0.027004236,0.171523609,0.142143749,0.357020789,0.231886957,0.125591827,0.058499208,0.064556924,0.089587934,0.01311325,0.175444747,0.097123228,0.249667592,0.06208379,0.16292206,0.030275944,0.085257992,0.172124002,0.022704488,0.137067871,0.142163088,0.086530685,0.104966683,0.026978073,0.213778863,0.216908511,0.226296991,0.080448906,0.263764408
brachystachys,0.049569264,0.028585186,0.2225919,0.169251747,0.204945205,0.293801503,0.083091706,0.143942728,0.180401064,1,0.459160136,0.41954359,0.457809806,0.30300133,0.194032957,0.290987691,0.175729585,0.058823407,0.138141059,0.272216667,0.092802856,0.237569624,0.245659862,0.133599866,0.188368103,0.267645513,0.055201412,0.123300486,0.139665755,0.186013518,0.354049524,0.779386909,0.094895744,0.244101275,0.620046492,0.207106626,0.122709619,0.135488931,0.106364307,0.357832854,0.665462871,0.08915478,0.148723643,0.271143943,0.142946142,0.270135989,0.488591307,0.216907164,0.332440671,0.527974185,0.255278176,0.114472289,0.116947876,0.040581617,0.236127721,0.042271649,0.102048794,0.1296862,0.738382328,0.331030202,0.376800821,0.14670038,0.313196547,0.055913421,0.225183197,0.131002107,0.329480031,0.122521499,0.321548718,0.031619907,0.635013097,0.205192386,0.332770951,0.327219295,0.117218549,0.075272537,0.064412687,0.090764919,0.043362702,0.095292434,0.154203704,0.162443712,0.113562001,0.094743225,0.032168678,0.066377882,0.134870292,0.024288458,0.25199345,0.2596214,0.122150886,0.375305358,0.052941372,0.26583519,0.304462807,0.629130379,0.11038666,0.347516611
