"feature_id","TIC","norm_TIC","actual_mz","actual_rt","sample_name"
"0_0",48129.9914093018,225769.586239971,72.0103988647461,1.40163333333333,"M15_DN1688_polar"
"0_3",70033.9109649658,328517.1394872,73.0055465698242,7.41283333333333,"M15_DN1688_polar"
"100_0",2638.54986572266,12376.987695506,131.036270141602,1.13835,"M15_DN1688_polar"
"1008_0",4632.43347167969,21729.9558458511,325.094299316406,1.25105,"M15_DN1688_polar"
"102_2",7051.86260986328,33079.0855562518,132.029663085938,7.73471666666667,"M15_DN1688_polar"
"1040_1",11849.3134765625,55583.1098759393,331.068023681641,3.39315,"M15_DN1688_polar"
"105_0",2700.14120483398,12665.9021694122,133.014801025391,2.1291,"M15_DN1688_polar"
"105_1",210022.353881836,985179.065040994,133.01350402832,4.06016666666667,"M15_DN1688_polar"
"105_2",37313.2228851318,175029.968744768,133.007278442383,5.28501666666667,"M15_DN1688_polar"
"1056_1",1113.53756713867,5223.41493181683,333.063720703125,9.14558333333333,"M15_DN1688_polar"
"106_0",4486.18200683594,21043.9151519318,133.046676635742,2.19343333333333,"M15_DN1688_polar"
"107_1",3121.18421936035,14640.9431863628,134.01335144043,4.07088333333333,"M15_DN1688_polar"
"108_0",90290.8908996582,423539.179683182,134.046493530273,1.53886666666667,"M15_DN1688_polar"
"1104_1",183248.219726562,859586.165205127,341.107482910156,6.16298333333333,"M15_DN1688_polar"
"1104_2",2417.04174804688,11337.9308701854,341.111083984375,7.93676666666667,"M15_DN1688_polar"
"1109_1",5743.11743164062,26939.9849927769,342.113189697266,6.17371666666667,"M15_DN1688_polar"
"1116_0",2313.39477539062,10851.740587444,344.041046142578,6.3043,"M15_DN1688_polar"
"112_0",9415.26171875,44165.3879491949,135.028549194336,5.45848333333333,"M15_DN1688_polar"
"112_1",2780.34413146973,13042.1204281648,135.016143798828,7.3914,"M15_DN1688_polar"
"113_0",1526.94604492188,7162.64363816503,135.040298461914,1.53886666666667,"M15_DN1688_polar"
"1139_0",135757.600585938,636815.765300447,349.057373046875,1.58723333333333,"M15_DN1688_polar"
"114_0",5415.98634338379,25405.4688152464,136.006072998047,7.39496666666667,"M15_DN1688_polar"
"1145_0",4449.84161376953,20873.4485620539,350.066253662109,1.63013333333333,"M15_DN1688_polar"
"1168_0",2747.0126953125,12885.7683422896,355.062438964844,6.53136666666667,"M15_DN1688_polar"
"119_0",24334.6961669922,114149.912020044,137.035446166992,1.36541666666667,"M15_DN1688_polar"
"12_0",3928.59780883789,18428.3827159207,96.042366027832,7.05168333333333,"M15_DN1688_polar"
"1201_0",38416.9473876953,180207.352263239,364.068237304688,2.79233333333333,"M15_DN1688_polar"
"1227_0",43444.9566040039,203792.886503691,369.081176757812,5.69266666666667,"M15_DN1688_polar"
"1277_0",8766.41986083984,41121.781384843,380.842529296875,3.61663333333333,"M15_DN1688_polar"
"1316_1",2502.93060302734,11740.8208496716,387.11181640625,6.16656666666667,"M15_DN1688_polar"
"1318_0",2748.42718505859,12892.4034725975,387.161010742188,2.1291,"M15_DN1688_polar"
"1327_0",1129.58148193359,5298.67420153319,389.111724853516,2.54028333333333,"M15_DN1688_polar"
"1329_0",5565.63940429688,26107.4658165458,389.174224853516,2.15411666666667,"M15_DN1688_polar"
"136_1",1142.43005371094,5358.94466178066,142.049911499023,4.028,"M15_DN1688_polar"
"136_2",4293.99296569824,20142.3891173951,142.050521850586,7.05168333333333,"M15_DN1688_polar"
"1384_0",2975.49172973633,13957.5245499254,401.142486572266,1.86086666666667,"M15_DN1688_polar"
"1415_1",93484.8549804688,438521.520794727,407.139556884766,7.08028333333333,"M15_DN1688_polar"
"142_2",508667.477050781,2386072.43560177,144.065826416016,5.92161666666667,"M15_DN1688_polar"
"1434_0",5143.88491821289,24129.0874077844,411.140838623047,1.4388,"M15_DN1688_polar"
"1449_1",2221.09948730469,10418.7991221972,415.151000976562,7.72756666666667,"M15_DN1688_polar"
"145_2",513478.8046875,2408641.55348441,145.061294555664,5.89828333333333,"M15_DN1688_polar"
"1474_0",58589.625,274833.944633712,421.113128662109,1.22601666666667,"M15_DN1688_polar"
"1478_0",1550.43017578125,7272.80369330066,422.113189697266,1.22601666666667,"M15_DN1688_polar"
"148_0",9330.41412353516,43767.3823417929,146.066314697266,5.92161666666667,"M15_DN1688_polar"
"1489_0",7608.61254882812,35690.7046253325,425.086944580078,2.73873333333333,"M15_DN1688_polar"
"149_0",1155.04234313965,5418.10676180357,146.083084106445,1.43521666666667,"M15_DN1688_polar"
"150_0",48677.7826843262,228339.181743457,147.032577514648,2.0879,"M15_DN1688_polar"
"1562_0",2156.19897460938,10114.3618790368,439.069885253906,1.18123333333333,"M15_DN1688_polar"
"1568_0",226865.724121094,1064188.44398447,440.070983886719,2.8245,"M15_DN1688_polar"
"1569_0",893.846923828125,4192.88356896623,440.085662841797,2.97291666666667,"M15_DN1688_polar"
"157_0",244533.678207397,1147065.8052092,149.008422851562,4.92741666666667,"M15_DN1688_polar"
"157_1",73490.74609375,344732.563880037,149.008972167969,7.25728333333333,"M15_DN1688_polar"
"1572_0",75456.9045410156,353955.478036543,440.574462890625,2.8245,"M15_DN1688_polar"
