sample,compound_number,TIC,norm_TIC,Cosine_Shared,Nshared,Nshared_Major,Percent_Shared
IngA_DN1619_polar,5,399606,3421736,0.973,6,2,0.667
IngA_DN1619_polar,13,364468,3120852,0.531,5,4,0.571
IngA_DN1619_polar,14,3876389,33192577,0.787,26,3,1
IngA_DN1619_polar,18,604172,5173382,0.89,10,2,1
IngA_DN1619_polar,26,55053,471413,0.941,3,2,0.5
IngA_DN1619_polar,48,628837,5384582,0.588,17,3,0.75
IngA_DN1619_polar,76,1336020,11440017,0.994,4,1,1
IngA_DN1619_polar,119,6404935,54843903,0.972,7,2,1
IngA_DN1619_polar,128,419175,3589300,0.812,7,2,0.667
IngA_DN1619_polar,134,288646,2471607,0.652,5,5,0.385
IngA_DN1619_polar,138,3639900,31167580,0.795,14,3,1
IngA_DN1619_polar,148,77898,667028,0.996,3,3,1
IngA_DN1619_polar,149,1724760,14768702,0.513,3,1,0.333
IngA_DN1619_polar,194,12400,106185,0.894,2,2,0.5
IngA_DN1619_polar,198,10366,88761,0.996,1,1,0.5
IngA_DN1619_polar,251,202326,1732469,0.938,3,2,0.5
IngA_DN1619_polar,283,168290,1441028,0.808,4,3,0.429
IngA_DN1619_polar,287,10366,88761,0.977,1,1,0.333
IngA_DN1619_polar,347,74577,638585,0.503,2,2,0.5
IngA_DN1619_polar,367,16960,145226,0.968,2,1,1
IngA_DN1619_polar,402,68623,587610,0.584,2,2,0.5
IngA_DN1619_polar,418,11864,101596,0.97,1,1,0.333
IngA_DN1619_polar,419,83472,714755,0.769,3,2,0.5
IngA_DN1619_polar,433,1569134,13436113,0.996,6,1,1
IngA_DN1619_polar,437,26926,230567,0.855,2,2,0.5
IngA_DN1619_polar,458,13205,113075,0.853,2,1,1
IngA_DN1619_polar,459,485737,4159251,0.98,2,2,1
IngA_DN1619_polar,464,17154,146889,1,1,1,1
IngA_DN1619_polar,484,48517,415440,0.588,1,1,0.333
IngA_DN1619_polar,485,12400,106185,0.8,2,2,0.4
IngA_DN1619_polar,561,12400,106185,0.551,2,2,0.667
IngA_DN1619_polar,565,16222,138909,0.508,2,2,1
IngA_DN1619_polar,585,689421,5903346,1,4,2,1
IngA_DN1619_polar,596,42566,364489,0.988,1,1,0.333
IngA_DN1619_polar,645,49249,421712,0.531,3,2,1
IngA_DN1619_polar,680,212728,1821538,0.574,3,1,0.333
IngA_DN1619_polar,694,516680,4424212,1,2,2,1
IngA_DN1619_polar,704,48517,415440,0.988,1,1,0.5
IngA_DN1619_polar,736,26402,226075,0.99,2,2,0.5
IngA_DN1619_polar,765,10110,86570,0.986,1,1,0.5
IngA_DN1619_polar,790,5940,50871,1,1,1,1
IngA_DN1619_polar,822,28277,242134,0.934,2,2,1
IngA_DN1619_polar,828,3540,30313,1,1,1,1
IngA_DN1619_polar,852,241503,2067937,0.515,4,1,1
IngA_DN1619_polar,880,132197,1131975,0.897,1,1,0.333
IngA_DN1619_polar,887,34406,294613,0.851,1,1,0.333
IngA_DN1619_polar,896,5723,49009,0.999,1,1,1
IngA_DN1619_polar,904,10217,87490,0.903,1,1,0.5
IngA_DN1619_polar,912,7670,65682,0.997,1,1,0.5
IngA_DN1619_polar,920,27324,233974,0.679,2,2,0.5
IngA_DN1619_polar,950,81541,698216,0.996,1,1,0.5
IngA_DN1619_polar,1026,3628,31070,0.999,1,1,1
IngA_DN1619_polar,1057,17843,152786,0.917,2,1,1
IngA_DN1619_polar,1058,7174,61436,0.984,1,1,0.333
IngA_DN1619_polar,1062,170351,1458680,1,3,2,1
IngA_DN1619_polar,1083,21903,187553,0.811,2,1,1
IngA_DN1619_polar,1095,16288,139474,1,1,1,1
IngA_DN1619_polar,1110,51205,438458,0.631,2,1,1
IngA_DN1619_polar,1119,6813,58342,0.999,1,1,1
IngA_DN1619_polar,1181,4977,42622,0.995,1,1,0.5
IngA_DN1619_polar,1193,10661,91293,0.999,1,1,1
IngA_DN1619_polar,1203,4882,41810,1,1,1,1
IngA_DN1619_polar,1209,53972,462149,1,1,1,1
IngA_DN1619_polar,1213,7415,63493,0.965,1,1,0.5
IngA_DN1619_polar,1219,8089,69267,0.998,1,1,0.5
IngA_DN1619_polar,1244,32604,279182,1,1,1,1
IngA_DN1619_polar,1279,4468,38259,0.978,1,1,0.5
IngA_DN1619_polar,1332,3724,31894,0.998,1,1,0.5
IngA_DN1619_polar,1374,4350,37252,1,1,1,1
IngA_DN1619_polar,1397,14354,122912,0.58,1,1,0.5
IngA_DN1619_polar,1411,9521,81531,1,1,1,1
IngA_DN1619_polar,1414,42593,364714,1,1,1,1
IngA_DN1619_polar,1417,35138,300883,1,1,1,1
IngA_DN1619_polar,1453,4601,39405,1,1,1,1
IngA_DN1619_polar,1461,4600,39390,0.998,1,1,0.5
IngA_DN1619_polar,1496,11841,101392,0.84,2,2,0.5
IngA_DN1619_polar,1534,42696,365601,0.908,2,2,1
IngA_DN1619_polar,1535,7912,67750,1,1,1,1
IngA_DN1619_polar,1542,44464,380736,0.506,1,1,0.5
IngA_DN1619_polar,1555,7675,65724,0.966,1,1,0.5
IngA_DN1619_polar,1557,8017,68649,1,1,1,1
IngA_DN1619_polar,1573,14589,124923,1,1,1,1
IngA_DN1619_polar,1599,5971,51131,0.987,1,1,0.5
IngA_DN1619_polar,1853,4601,39405,0.726,1,1,0.5
IngA_DN1619_polar,1894,7278,62322,1,1,1,1
IngA_DN1619_polar,1919,5894,50471,1,1,1,1
IngA_DN1619_polar,1994,85387,731155,0.502,1,1,0.5
IngA_DN1619_polar,1999,4411,37776,0.98,1,1,0.5
IngA_DN1619_polar,2004,562665,4817965,1,1,1,1
IngA_DN1619_polar,2065,16030,137261,0.941,2,2,1
IngA_DN1619_polar,2113,91594,784298,0.833,1,1,0.5
IngA_DN1619_polar,2292,169622,1452434,1,1,1,1
IngA_DN1619_polar,2426,53440,457596,1,1,1,1
IngA_DN1619_polar,2436,16129,138117,1,1,1,1
IngA_DN1619_polar,2513,30619,262187,1,1,1,1
IngA_DN1620_polar,5,599209,5130889,0.883,8,2,0.667
IngA_DN1620_polar,13,552836,4733805,0.748,6,4,0.571
IngA_DN1620_polar,14,3841126,32890634,0.878,26,3,1
IngA_DN1620_polar,18,525307,4498077,0.649,12,2,1
IngA_DN1620_polar,26,21499,184096,0.785,3,2,0.5
IngA_DN1620_polar,76,1162163,9951321,0.995,5,1,1
IngA_DN1620_polar,119,5062379,43347927,0.971,7,2,1
IngA_DN1620_polar,128,258122,2210239,0.895,7,2,0.667
IngA_DN1620_polar,134,232256,1988758,0.715,4,4,0.308
IngA_DN1620_polar,138,3596958,30799878,0.7,15,3,1
IngA_DN1620_polar,148,63955,547631,0.992,3,3,1
IngA_DN1620_polar,149,1978287,16939594,0.514,3,1,0.333
IngA_DN1620_polar,183,6281,53785,0.868,1,1,0.5
IngA_DN1620_polar,198,23278,199326,0.996,1,1,0.5
IngA_DN1620_polar,283,63460,543393,0.84,4,3,0.429
IngA_DN1620_polar,287,23278,199326,0.977,1,1,0.333
IngA_DN1620_polar,367,15256,130637,0.931,2,1,1
IngA_DN1620_polar,397,225605,1931808,0.765,6,1,0.5
IngA_DN1620_polar,402,102208,875185,0.514,3,2,0.5
IngA_DN1620_polar,419,208052,1781506,0.91,3,2,0.5
IngA_DN1620_polar,433,1964138,16818443,0.992,5,1,1
IngA_DN1620_polar,437,27290,233683,0.903,2,2,0.5
IngA_DN1620_polar,444,107497,920473,0.753,5,1,1
IngA_DN1620_polar,459,495021,4238744,0.977,3,2,1
IngA_DN1620_polar,464,11046,94585,1,1,1,1
IngA_DN1620_polar,484,74405,637120,0.588,1,1,0.333
IngA_DN1620_polar,573,17239,147619,0.999,1,1,1
IngA_DN1620_polar,585,337035,2885953,0.995,3,2,1
IngA_DN1620_polar,596,14170,121335,0.595,2,1,0.333
