compound_number,feature_number,TIC,rel_abundance,mz,rt
1,356_1,2520818.460000,0.128863,193.014770,2.711493
1,973_1,1531112.000000,0.078270,319.044775,2.711493
1,1712_0,1529612.180000,0.078193,471.055805,1.304031
1,872_1,943456.000000,0.048229,301.034330,2.862293
1,1944_0,940185.000000,0.048062,511.052405,2.510427
1,291_1,885920.000000,0.045288,178.999195,3.364958
1,2582_0,490445.350000,0.025071,637.082410,2.359628
1,2478_1,442897.000000,0.022641,619.071965,2.711493
1,2658_0,397958.000000,0.020343,651.059665,2.761760
1,1302_0,366631.000000,0.018742,385.022400,2.711493
1,1722_1,364134.000000,0.018614,472.061708,2.812026
1,244_1,331544.410000,0.016948,169.012020,2.761760
1,77_1,323474.000000,0.016536,125.025340,2.661227
1,983_1,251799.000000,0.012872,320.050678,2.962826
1,1833_0,247934.000000,0.012674,493.041960,2.711493
1,2490_1,245698.000000,0.012560,623.066835,2.560694
1,1754_1,245512.300000,0.012550,477.100800,2.761760
1,1950_1,238899.000000,0.012212,512.053518,2.711493
1,368_1,238067.000000,0.012170,194.015883,2.912559
1,965_0,197695.800000,0.010106,317.037760,3.767090
1,2346_0,193206.140000,0.009877,595.074005,2.812026
1,2405_0,166966.200000,0.008535,605.056390,2.812026
1,2738_1,165408.500000,0.008456,669.074900,2.812026
1,209_1,161114.500000,0.008236,160.840260,2.812026
1,2482_0,157183.100000,0.008035,621.055030,2.812026
1,2111_0,156571.000000,0.008004,549.065940,2.812026
1,881_1,150723.600000,0.007705,302.040233,2.862293
1,219_1,149075.800000,0.007621,162.837695,2.812026
1,272_1,148796.300000,0.007606,175.004325,2.812026
1,2119_0,145878.300000,0.007457,551.082535,2.812026
1,2254_1,137295.400000,0.007018,579.080155,2.560694
1,2481_0,133521.000000,0.006826,620.077868,2.711493
1,2553_0,127031.700000,0.006494,633.049220,2.962826
1,615_1,121706.000000,0.006222,245.010350,2.812026
1,1293_0,118032.300000,0.006034,383.048915,2.812026
1,2663_0,116077.100000,0.005934,652.065568,2.812026
1,2043_0,115223.900000,0.005890,533.072090,2.812026
1,164_1,112509.800000,0.005751,151.001575,2.862293
1,2571_2,107019.100000,0.005471,635.065815,2.862293
1,302_1,106489.400000,0.005444,181.011000,2.812026
1,675_1,103143.500000,0.005273,257.042860,2.862293
1,1560_0,100154.300000,0.005120,439.029785,2.812026
1,886_1,89670.600000,0.004584,303.050925,2.862293
1,1488_0,88492.900000,0.004524,425.047740,2.812026
1,294_1,86345.800000,0.004414,180.000308,2.962826
1,1763_0,86096.260000,0.004401,479.083865,2.711493
1,2666_1,83263.200000,0.004256,653.076260,3.415224
1,793_0,82273.400000,0.004206,285.002160,2.812026
1,1931_0,77502.800000,0.003962,509.035810,2.962826
1,385_0,77043.900000,0.003938,197.804782,2.812026
1,110_0,76334.800000,0.003902,134.892765,2.812026
1,1729_1,75413.000000,0.003855,473.072400,2.610960
1,1641_1,73458.900000,0.003755,455.061955,3.013092
1,2303_0,71269.300000,0.003643,587.045945,2.812026
1,468_1,66888.100000,0.003419,215.034455,2.812026
1,1703_1,66801.600000,0.003415,469.048790,2.812026
1,949_0,66424.000000,0.003396,315.011585,2.862293
1,871_1,66207.900000,0.003385,300.996010,2.862293
1,2504_1,65350.600000,0.003341,625.083430,2.962826
1,2499_1,63779.700000,0.003260,624.072738,2.812026
1,2468_0,61946.900000,0.003167,617.055370,2.962826
1,2238_1,61718.500000,0.003155,577.063560,2.812026
1,1310_0,61139.800000,0.003125,386.023513,2.711493
1,1419_1,59211.100000,0.003027,409.053890,2.962826
1,1611_0,57820.100000,0.002956,449.055280,2.761760
1,1411_0,57811.000000,0.002955,407.042085,2.962826
1,1092_0,57760.200000,0.002953,339.052655,2.460161
1,2385_1,56671.500000,0.002897,601.119000,2.862293
1,1139_0,55996.750000,0.002863,349.058990,1.605630
1,1842_0,55196.600000,0.002822,494.043073,2.711493
1,1954_0,54574.800000,0.002790,513.054630,2.711493
1,1758_1,52880.760000,0.002703,478.106703,2.761760
1,2351_0,51146.800000,0.002615,596.075118,2.862293
1,171_1,50267.400000,0.002570,153.018170,2.912559
1,1167_0,48500.400000,0.002479,355.046505,2.812026
1,2562_0,44379.200000,0.002269,634.059913,2.962826
1,2410_0,44218.500000,0.002260,606.071873,2.812026
1,1634_1,44098.800000,0.002254,453.045360,2.812026
1,2742_1,43987.300000,0.002249,670.076013,2.812026
1,374_1,43914.700000,0.002245,195.021785,2.812026
1,345_1,42738.000000,0.002185,191.017335,4.118955
1,2155_0,42096.500000,0.002152,561.064920,2.812026
1,624_1,40668.000000,0.002079,247.036525,2.912559
1,803_0,40538.300000,0.002072,287.018755,2.812026
1,952_1,40139.800000,0.002052,315.073855,2.812026
1,1686_0,38908.300000,0.001989,465.044340,2.610960
1,794_1,38308.800000,0.001958,285.040480,2.862293
1,2126_0,37663.800000,0.001925,552.083648,2.812026
1,420_1,37383.700000,0.001911,203.021105,2.812026
1,1964_0,36865.400000,0.001885,515.061645,2.812026
1,2427_0,35945.000000,0.001837,609.089580,2.058029
1,396_0,35467.300000,0.001813,199.802217,2.812026
1,815_1,35255.300000,0.001802,289.035350,2.862293
1,1160_0,34971.400000,0.001788,353.063440,2.812026
1,2313_1,34822.100000,0.001780,589.062540,2.962826
1,109_1,34262.000000,0.001751,134.864025,2.812026
