"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngA",1,"244_1",5,18449.056,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"IngA",2,"244_0",14,136681.41,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngA",3,"898_0",18,63168.77,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngA",4,"1318_0",59,62742.12,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngA",5,"1651_0",138,162530.8125,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngA",6,"90_0",148,12321.17,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngA",7,"1674_0",217,15283.835,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngA",8,"952_0",251,19885.61,315.0738552,1.706163107,"Polar",0,0,0,"no_spec"
"IngA",9,"720_3",282,8884.046,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"IngA",10,"221_0",287,3655.814,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngA",11,"607_0",397,13802.6366666667,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngA",12,"558_3",418,2757.23,233.0640602,5.325351456,"Polar",0,0,0,"no_spec"
"IngA",13,"303_2",444,5318.4025,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngA",14,"196_1",464,7072.046,158.0428926,4.872952913,"Polar",0,0,0,"no_spec"
"IngA",15,"1161_0",485,4473.09,353.0873902,3.214158252,"Polar",0,0,0,"no_spec"
"IngA",16,"108_0",663,12929.312,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngA",17,"1143_0",686,2473.79,349.1883205,1.505097087,"Polar",0,0,0,"no_spec"
"IngA",18,"211_0",729,3802.4525,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngA",19,"1227_0",783,8014.54,369.0812402,5.626950485,"Polar",0,0,0,"no_spec"
"IngA",20,"230_3",852,20233.766,165.0411001,6.129615534,"Polar",0,0,0,"no_spec"
"IngA",21,"1031_0",920,1693.32,329.0894302,1.404564078,"Polar",0,0,0,"no_spec"
"IngA",22,"1304_0",958,4585.29,385.0750902,6.330681553,"Polar",0,0,0,"no_spec"
"IngA",23,"275_0",1009,2730.33,175.0618052,3.163891748,"Polar",0,0,0,"no_spec"
"IngA",24,"347_0",1119,1448.64,191.0748152,1.203498058,"Polar",0,0,0,"no_spec"
"IngA",25,"672_1",1332,4817.22,256.98059,6.029082524,"Polar",0,0,0,"no_spec"
"IngA",26,"1374_0",2092,3523.69,399.0954552,5.425884466,"Polar",0,0,0,"no_spec"
"IngA",27,"1824_0",55,3800.096,491.1403254,4.872952913,"Polar",1,1,1,"matched"
"IngA",28,"142_2",119,1241291.6,144.0656377,5.928549515,"Polar",1,1,1,"matched"
"IngA",29,"145_2",119,45930.88,145.0619602,5.978816019,"Polar",0,0,1,"no_spec"
"IngA",30,"345_2",250,3658.7075,191.017335,6.330681553,"Polar",1,1,1,"no_spec"
"IngA",31,"1168_0",250,2834.0375,355.0656652,6.330681553,"Polar",0,0,1,"no_spec"
"IngA",32,"346_2",250,1723.59666666667,191.0556551,5.727483495,"Polar",0,0,1,"no_spec"
"IngA",33,"573_0",456,2650.92,236.0769777,6.531747573,"Polar",1,1,1,"no_spec"
"IngA",34,"467_0",456,1377.15,214.9673949,6.431214563,"Polar",0,0,1,"no_spec"
"IngA",35,"654_1",459,24297.96,253.0336201,9.246138835,"Polar",1,1,1,"matched"
"IngA",36,"799_1",585,194742.3,286.0032725,8.039742718,"Polar",1,1,2,"matched"
"IngA",37,"170_3",585,42742.688,152.98464,8.140275728,"Polar",1,1,2,"no_spec"
"IngA",38,"808_0",585,26560.8,288.0007075,8.039742718,"Polar",0,0,2,"no_spec"
"IngA",39,"386_0",585,18091.235,197.9868025,8.090009223,"Polar",0,0,2,"no_spec"
"IngA",40,"243_0",694,93752.14,168.9784899,7.084679126,"Polar",1,1,1,"no_spec"
"IngA",41,"163_0",694,11121.318,150.9680449,6.984146117,"Polar",0,0,1,"no_spec"
"IngA",42,"318_1",1244,32640.936,184.9579699,5.87828301,"Polar",1,1,1,"no_spec"
"IngA",43,"658_0",1599,92469.3233333333,254.0107825,7.33601165,"Polar",1,1,1,"matched"
"IngA",44,"69_1",1599,45670.3,120.99694,7.43654466,"Polar",0,0,1,"no_spec"
