"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngC",1,"1898_0",3,6479.168,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"IngC",2,"244_1",5,44918.78,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"IngC",3,"244_0",14,261196.8,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngC",4,"898_0",18,56403.852,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngC",5,"1613_0",44,49353.15,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"IngC",6,"447_1",48,45443.12,209.0277801,6.330681553,"Polar",0,0,0,"no_spec"
"IngC",7,"1318_0",59,24874.91,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngC",8,"221_0",71,13562.056,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngC",9,"142_2",119,147454.64,144.0656377,5.928549515,"Polar",0,0,0,"no_spec"
"IngC",10,"1651_0",138,383419.82,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngC",11,"90_0",148,12932.94,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngC",12,"1688_0",166,17784.515,465.1018203,1.706163107,"Polar",0,0,0,"no_spec"
"IngC",13,"1674_0",217,61964.458,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngC",14,"1168_0",250,14189.736,355.0656652,6.330681553,"Polar",0,0,0,"no_spec"
"IngC",15,"221_0",287,12716.4075,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngC",16,"2465_1",358,4763.46,615.0962552,2.912559223,"Polar",0,0,0,"no_spec"
"IngC",17,"607_0",397,7849.994,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngC",18,"303_2",444,5692.13,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngC",19,"1655_0",723,25035.438,458.0796627,1.505097087,"Polar",0,0,0,"no_spec"
"IngC",20,"211_0",729,1613.98666666667,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngC",21,"795_1",747,28245.0866666667,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngC",22,"434_0",930,23746.14,206.0819227,2.962825728,"Polar",0,0,0,"no_spec"
"IngC",23,"275_0",1009,4458.35222222222,175.0618052,3.163891748,"Polar",0,0,0,"no_spec"
"IngC",24,"207_1",6,217684.2,160.0594876,6.732813592,"Polar",1,1,1,"matched"
"IngC",25,"1104_1",9,62879.2333333333,341.1075703,6.129615534,"Polar",1,1,1,"no_spec"
"IngC",26,"3061_1",26,20037.666,761.1341403,4.671886893,"Polar",1,1,1,"matched"
"IngC",27,"515_1",225,47026.54,223.0433551,7.084679126,"Polar",1,1,1,"no_spec"
"IngC",28,"420_2",403,13352.624,203.0211051,7.788410194,"Polar",1,1,1,"no_spec"
"IngC",29,"439_1",525,433681.8,207.0830352,4.169221845,"Polar",1,1,1,"no_spec"
"IngC",30,"443_0",525,21169.594,208.0793577,4.11895534,"Polar",0,0,1,"no_spec"
"IngC",31,"145_2",665,271350,145.0619602,5.978816019,"Polar",1,1,1,"matched"
"IngC",32,"27_2",665,27696,103.0487651,5.87828301,"Polar",0,0,1,"no_spec"
