"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngF",1,"244_0",14,1044661.25,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngF",2,"898_0",18,188000.283,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngF",3,"584_0",51,41872.24,239.0563651,1.404564078,"Polar",0,0,0,"no_spec"
"IngF",4,"1728_0",78,12799.884,473.0340801,2.962825728,"Polar",0,0,0,"no_spec"
"IngF",5,"1651_0",138,380769.5,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngF",6,"1754_1",139,11943.6,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"IngF",7,"90_0",148,5252.958,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngF",8,"988_0",149,261781.6,321.0230501,2.46016068,"Polar",0,0,0,"no_spec"
"IngF",9,"2465_0",207,187987.99,615.0962552,1.856962621,"Polar",0,0,0,"no_spec"
"IngF",10,"1674_0",217,118584.02,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngF",11,"515_1",225,23981.42,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"IngF",12,"2572_0",263,13976.3033333333,635.0897652,3.566023786,"Polar",0,0,0,"no_spec"
"IngF",13,"77_1",360,13591.596,125.0253401,2.661226699,"Polar",0,0,0,"no_spec"
"IngF",14,"607_0",397,46448.72,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngF",15,"890_0",398,13529.5775,304.0376676,2.711493204,"Polar",0,0,0,"no_spec"
"IngF",16,"420_2",403,7624.59,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"IngF",17,"449_2",443,4624.76333333333,209.0661002,5.425884466,"Polar",0,0,0,"no_spec"
"IngF",18,"303_2",444,15562.492,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngF",19,"422_1",458,10226.072,203.0833752,3.91788932,"Polar",0,0,0,"no_spec"
"IngF",20,"263_1",495,7123.49666666667,173.0452101,3.666556796,"Polar",0,0,0,"no_spec"
"IngF",21,"705_0",663,48901.5,263.0207951,1.555363592,"Polar",0,0,0,"no_spec"
"IngF",22,"70_0",667,3178.29666666667,121.0304701,1.605630097,"Polar",0,0,0,"no_spec"
"IngF",23,"4376_1",693,28726.985,969.1835205,5.124285437,"Polar",0,0,0,"no_spec"
"IngF",24,"242_0",1218,4241.43,168.9641199,2.711493204,"Polar",0,0,0,"no_spec"
"IngF",25,"1430_2",1335,3090.9875,411.0225851,5.124285437,"Polar",0,0,0,"no_spec"
"IngF",26,"2466_0",1374,115330.3,616.1021578,1.806696117,"Polar",0,0,0,"no_spec"
