"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngG",1,"196_1",55,6335.48,158.0428926,4.872952913,"Polar",0,0,0,"no_spec"
"IngG",2,"1318_0",59,11343.495,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngG",3,"2239_0",83,803235.133333333,577.1354103,2.661226699,"Polar",0,0,0,"no_spec"
"IngG",4,"90_0",148,12230.078,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngG",5,"2359_0",189,1978.09,597.1816105,4.269754854,"Polar",0,0,0,"no_spec"
"IngG",6,"1530_0",216,360332.04,433.0758002,1.304031068,"Polar",0,0,0,"no_spec"
"IngG",7,"1674_0",217,72816.04,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngG",8,"221_1",226,7815.28,163.0388751,4.923219417,"Polar",0,0,0,"no_spec"
"IngG",9,"1599_0",256,407618.55,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"IngG",10,"221_0",287,2033.695,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngG",11,"607_0",397,13083.986,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngG",12,"345_2",406,9677.08,191.017335,6.330681553,"Polar",0,0,0,"no_spec"
"IngG",13,"150_0",427,1848.655,147.0306551,2.912559223,"Polar",0,0,0,"no_spec"
"IngG",14,"573_0",456,4614.995,236.0769777,6.531747573,"Polar",0,0,0,"no_spec"
"IngG",15,"196_1",464,3036.79,158.0428926,4.872952913,"Polar",0,0,0,"no_spec"
"IngG",16,"375_1",547,12675.852,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"IngG",17,"59_0",600,5086.262,117.01644,1.354297573,"Polar",0,0,0,"no_spec"
"IngG",18,"2939_0",618,5943.085,729.1464404,3.013092233,"Polar",0,0,0,"no_spec"
"IngG",19,"108_0",663,15252.616,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngG",20,"1143_0",686,8507.19,349.1883205,1.505097087,"Polar",0,0,0,"no_spec"
"IngG",21,"2247_0",733,51287.32,578.1365228,2.661226699,"Polar",0,0,0,"no_spec"
"IngG",22,"795_1",747,20863.16,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngG",23,"2256_1",787,79411.84,579.1376353,2.661226699,"Polar",0,0,0,"no_spec"
"IngG",24,"230_3",852,13136.206,165.0411001,6.129615534,"Polar",0,0,0,"no_spec"
