"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngM",1,"244_0",14,282078,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngM",2,"898_0",18,91622.3,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngM",3,"447_1",48,11194.516,209.0277801,6.330681553,"Polar",0,0,0,"no_spec"
"IngM",4,"1318_0",59,13609.058,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngM",5,"1651_0",138,299497.4,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngM",6,"4373_0",140,266831.8,968.5224988,3.214158252,"Polar",0,0,0,"no_spec"
"IngM",7,"3467_0",156,179069.9,836.4810287,2.711493204,"Polar",0,0,0,"no_spec"
"IngM",8,"515_1",225,10383.448,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"IngM",9,"3272_0",267,251607.6,806.4668137,2.409894175,"Polar",0,0,0,"no_spec"
"IngM",10,"4174_0",273,47310.92,938.5082838,3.465490777,"Polar",0,0,0,"no_spec"
"IngM",11,"77_1",360,2111.845,125.0253401,2.661226699,"Polar",0,0,0,"no_spec"
"IngM",12,"112_0",367,2762.264,135.0268851,5.375617961,"Polar",0,0,0,"no_spec"
"IngM",13,"1701_0",390,2063.474,468.7518094,3.465490777,"Polar",0,0,0,"no_spec"
"IngM",14,"607_0",397,27067.86,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngM",15,"375_1",547,8252.478,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"IngM",16,"108_0",663,21840.836,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngM",17,"1143_0",686,3393.7475,349.1883205,1.505097087,"Polar",0,0,0,"no_spec"
"IngM",18,"211_0",729,8471.408,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngM",19,"5104_0",741,2063.048,1105.540791,4.973485922,"Polar",0,0,0,"no_spec"
"IngM",20,"795_1",747,3557.54666666667,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngM",21,"781_0",845,1349.67,281.0887202,6.481481068,"Polar",0,0,0,"no_spec"
"IngM",22,"230_3",852,9366.324,165.0411001,6.129615534,"Polar",0,0,0,"no_spec"
"IngM",23,"1631_0",1058,4855.4825,452.2789582,2.35962767,"Polar",0,0,0,"no_spec"
