"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngMu",1,"244_1",5,38669.82,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"IngMu",2,"1104_1",9,11422.585,341.1075703,6.129615534,"Polar",0,0,0,"no_spec"
"IngMu",3,"244_0",14,248129.8,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngMu",4,"898_0",18,75880.84,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngMu",5,"1613_0",44,132876.05,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"IngMu",6,"1318_0",59,46733.42,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngMu",7,"1651_0",138,413734.6,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngMu",8,"1688_0",166,28440.4,465.1018203,1.706163107,"Polar",0,0,0,"no_spec"
"IngMu",9,"2359_0",189,1417.68,597.1816105,4.269754854,"Polar",0,0,0,"no_spec"
"IngMu",10,"1674_0",217,92748.332,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngMu",11,"1168_0",250,17764.795,355.0656652,6.330681553,"Polar",0,0,0,"no_spec"
"IngMu",12,"221_0",287,7225.766,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngMu",13,"345_2",406,10251.635,191.017335,6.330681553,"Polar",0,0,0,"no_spec"
"IngMu",14,"795_1",747,9191.072,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngMu",15,"1200_0",776,21282.885,363.0745652,1.454830583,"Polar",0,0,0,"no_spec"
"IngMu",16,"698_2",947,6171.316,261.0856302,5.526417476,"Polar",0,0,0,"no_spec"
"IngMu",17,"643_0",1246,4654.2925,250.0733927,1.706163107,"Polar",0,0,0,"no_spec"
"IngMu",18,"114_0",1379,11673.52,136.0088375,7.888943204,"Polar",0,0,0,"no_spec"
"IngMu",19,"1430_0",1388,3994.566,411.0225851,3.063358738,"Polar",0,0,0,"no_spec"
"IngMu",20,"1681_0",1453,7166.875,464.0911277,1.756429612,"Polar",0,0,0,"no_spec"
"IngMu",21,"533_0",2344,6357.98,227.1052853,1.304031068,"Polar",0,0,0,"no_spec"
"IngMu",22,"207_1",6,137300.22,160.0594876,6.732813592,"Polar",1,1,1,"matched"
"IngMu",23,"3061_1",26,26703.28,761.1341403,4.671886893,"Polar",1,1,1,"matched"
"IngMu",24,"447_1",48,52662.4,209.0277801,6.330681553,"Polar",1,1,1,"no_spec"
"IngMu",25,"345_2",48,11515.145,191.017335,6.330681553,"Polar",0,0,1,"no_spec"
"IngMu",26,"145_2",119,321634.6,145.0619602,5.978816019,"Polar",1,1,1,"matched"
"IngMu",27,"142_2",119,154330.76,144.0656377,5.928549515,"Polar",0,0,1,"no_spec"
"IngMu",28,"27_2",119,28802.892,103.0487651,5.87828301,"Polar",0,0,1,"no_spec"
"IngMu",29,"90_0",148,11901.82,128.9579399,3.566023786,"Polar",1,1,1,"no_spec"
"IngMu",30,"515_1",225,55300.4,223.0433551,7.084679126,"Polar",1,1,1,"no_spec"
"IngMu",31,"145_3",321,7711.6725,145.0619602,8.240808738,"Polar",1,1,1,"no_spec"
"IngMu",32,"212_2",363,49735.62,161.0653902,8.743473786,"Polar",1,1,1,"no_spec"
"IngMu",33,"303_2",444,4696.438,181.0684802,4.068688835,"Polar",1,1,1,"no_spec"
"IngMu",34,"573_0",456,14329.614,236.0769777,6.531747573,"Polar",1,1,1,"no_spec"
"IngMu",35,"439_1",525,56442.4,207.0830352,4.169221845,"Polar",1,1,1,"no_spec"
