"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngO",1,"244_1",5,16547.995,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"IngO",2,"244_0",14,193658.25,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngO",3,"898_0",18,977641.666666667,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngO",4,"2531_1",30,1013.05,629.1118303,2.862292718,"Polar",0,0,0,"no_spec"
"IngO",5,"1613_0",44,80289.4433333333,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"IngO",6,"447_1",48,12016.105,209.0277801,6.330681553,"Polar",0,0,0,"no_spec"
"IngO",7,"1318_0",59,109431.475,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngO",8,"221_0",71,10473.475,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngO",9,"53_0",98,47204.98,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"IngO",10,"1651_0",138,452970.075,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngO",11,"90_0",148,12846.1575,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngO",12,"1875_0",166,49959.2,501.1945605,1.605630097,"Polar",0,0,0,"no_spec"
"IngO",13,"2359_0",189,2005.46,597.1816105,4.269754854,"Polar",0,0,0,"no_spec"
"IngO",14,"1674_0",217,192434,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngO",15,"3036_0",325,7093.24,755.1609954,3.264424757,"Polar",0,0,0,"no_spec"
"IngO",16,"420_2",403,20073.23,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"IngO",17,"345_2",406,5451.51,191.017335,6.330681553,"Polar",0,0,0,"no_spec"
"IngO",18,"1083_0",429,8122.675,337.0935402,2.108295146,"Polar",0,0,0,"no_spec"
"IngO",19,"303_2",444,19234.4075,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngO",20,"136_1",510,4919.07,142.0490426,3.314691262,"Polar",0,0,0,"no_spec"
"IngO",21,"615_1",543,1932.68,245.01035,2.812026214,"Polar",0,0,0,"no_spec"
"IngO",22,"375_1",547,18069.575,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"IngO",23,"1612_0",723,64195.0375,449.0744402,1.505097087,"Polar",0,0,0,"no_spec"
"IngO",24,"795_1",747,22348.3766666667,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngO",25,"781_0",845,3183.86666666667,281.0887202,6.481481068,"Polar",0,0,0,"no_spec"
"IngO",26,"2384_0",864,52128.7716666667,601.0854702,1.856962621,"Polar",0,0,0,"no_spec"
"IngO",27,"1763_0",870,20151.1,479.0838652,2.711493204,"Polar",0,0,0,"no_spec"
"IngO",28,"275_0",1009,1948.865,175.0618052,3.163891748,"Polar",0,0,0,"no_spec"
"IngO",29,"1612_0",1015,75916.4,449.0744402,1.505097087,"Polar",0,0,0,"no_spec"
"IngO",30,"768_1",1236,10456.115,277.0842702,6.280415049,"Polar",0,0,0,"no_spec"
"IngO",31,"136_2",1477,2442.47,142.0490426,5.87828301,"Polar",0,0,0,"no_spec"
"IngO",32,"2169_0",2355,1288.37,563.1821055,2.711493204,"Polar",0,0,0,"no_spec"
"IngO",33,"207_1",6,103158.925,160.0594876,6.732813592,"Polar",1,1,1,"matched"
"IngO",34,"1104_1",9,224082.266666667,341.1075703,6.129615534,"Polar",1,1,2,"matched"
"IngO",35,"1109_1",9,38880.7,342.1134728,6.129615534,"Polar",1,1,2,"no_spec"
"IngO",36,"230_3",9,12869.205,165.0411001,6.129615534,"Polar",0,0,2,"no_spec"
"IngO",37,"2795_0",9,7107.33,683.2245956,6.129615534,"Polar",0,0,2,"no_spec"
"IngO",38,"1316_1",9,3425.13,387.1108453,6.129615534,"Polar",0,0,2,"no_spec"
"IngO",39,"3061_1",26,45903.2666666667,761.1341403,4.671886893,"Polar",1,1,1,"matched"
"IngO",40,"3064_0",26,9049.63666666667,762.1400429,4.621620388,"Polar",0,0,1,"no_spec"
"IngO",41,"2428_2",41,52316.3,609.1231103,4.521087379,"Polar",1,1,1,"matched"
"IngO",42,"346_2",54,178654.866666667,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"IngO",43,"354_1",54,2661.52,192.0567676,5.67721699,"Polar",0,0,1,"no_spec"
"IngO",44,"142_2",119,214854.5,144.0656377,5.928549515,"Polar",1,1,2,"no_spec"
"IngO",45,"145_2",119,111464.775,145.0619602,5.978816019,"Polar",1,1,2,"no_spec"
"IngO",46,"27_2",119,18725.9325,103.0487651,5.87828301,"Polar",0,0,2,"no_spec"
"IngO",47,"515_1",225,37625.75,223.0433551,7.084679126,"Polar",1,1,1,"no_spec"
"IngO",48,"439_1",525,28976,207.0830352,4.169221845,"Polar",1,1,1,"no_spec"
"IngO",49,"145_2",665,8009.145,145.0619602,5.978816019,"Polar",1,1,1,"no_spec"
"IngO",50,"698_2",947,15394.465,261.0856302,5.526417476,"Polar",1,1,1,"no_spec"
