"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngP",1,"1674_0",13,130765.8,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngP",2,"244_0",14,265630,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngP",3,"898_0",18,21049.304,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngP",4,"1318_0",59,68398.2,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngP",5,"53_0",98,154484.34,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"IngP",6,"1651_0",138,131997.38,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngP",7,"90_0",148,17639.9,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngP",8,"105_0",174,119943.16,133.01508,1.907229126,"Polar",0,0,0,"no_spec"
"IngP",9,"221_0",198,192575.4,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngP",10,"1674_0",217,343412.6,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngP",11,"1599_0",256,7172.92,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"IngP",12,"720_3",282,26253.5,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"IngP",13,"2531_1",287,28548.5,629.1118303,2.862292718,"Polar",0,0,0,"no_spec"
"IngP",14,"607_0",397,10625.422,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngP",15,"420_2",403,12352.698,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"IngP",16,"449_2",443,3732.694,209.0661002,5.425884466,"Polar",0,0,0,"no_spec"
"IngP",17,"358_0",486,4661.57333333333,193.0530901,1.856962621,"Polar",0,0,0,"no_spec"
"IngP",18,"105_1",530,14424.096,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"IngP",19,"108_0",663,19188.82,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngP",20,"1143_0",686,2219.965,349.1883205,1.505097087,"Polar",0,0,0,"no_spec"
"IngP",21,"211_0",729,7880.76,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngP",22,"112_1",790,5446.3475,135.0268851,7.33601165,"Polar",0,0,0,"no_spec"
"IngP",23,"781_0",845,8743.33,281.0887202,6.481481068,"Polar",0,0,0,"no_spec"
"IngP",24,"434_0",930,24802.4066666667,206.0819227,2.962825728,"Polar",0,0,0,"no_spec"
"IngP",25,"275_0",1009,11719.92,175.0618052,3.163891748,"Polar",0,0,0,"no_spec"
"IngP",26,"167_0",1092,4363.464,151.0590551,2.35962767,"Polar",0,0,0,"no_spec"
"IngP",27,"213_0",1295,1945.145,161.0797602,1.203498058,"Polar",0,0,0,"no_spec"
"IngP",28,"106_0",1411,4550.99,133.0486101,2.108295146,"Polar",0,0,0,"no_spec"
"IngP",29,"470_0",1618,3249.58,215.0919352,1.203498058,"Polar",0,0,0,"no_spec"
"IngP",30,"151_0",2706,3336.89,147.0450251,1.454830583,"Polar",0,0,0,"no_spec"
"IngP",31,"207_1",6,578641.6,160.0594876,6.732813592,"Polar",1,1,1,"matched"
"IngP",32,"1104_1",9,27170.276,341.1075703,6.129615534,"Polar",1,1,1,"no_spec"
"IngP",33,"230_3",9,13867.418,165.0411001,6.129615534,"Polar",0,0,1,"no_spec"
"IngP",34,"3061_1",26,3134.458,761.1341403,4.671886893,"Polar",1,1,1,"no_spec"
"IngP",35,"346_2",54,233744.86,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"IngP",36,"354_1",54,4877.502,192.0567676,5.67721699,"Polar",0,0,1,"no_spec"
"IngP",37,"1110_0",86,5824.605,343.0666852,4.822686408,"Polar",1,1,2,"no_spec"
"IngP",38,"1056_0",86,4472.35,333.0603502,4.923219417,"Polar",0,0,2,"no_spec"
"IngP",39,"320_0",86,2420.8875,185.00587,4.973485922,"Polar",0,0,2,"no_spec"
"IngP",40,"346_2",86,2330.2325,191.0556551,5.727483495,"Polar",1,1,2,"matched"
"IngP",41,"618_1",106,28123.168,245.0917802,4.11895534,"Polar",1,1,1,"no_spec"
"IngP",42,"293_3",106,18308.158,179.0566751,4.521087379,"Polar",0,0,1,"no_spec"
"IngP",43,"293_4",405,564451.4,179.0566751,5.425884466,"Polar",1,1,1,"matched"
"IngP",44,"296_1",405,11150.48,180.0673677,4.923219417,"Polar",0,0,1,"no_spec"
"IngP",45,"303_2",444,17488.73,181.0684802,4.068688835,"Polar",1,1,1,"no_spec"
"IngP",46,"422_1",458,19410.64,203.0833752,3.91788932,"Polar",1,1,1,"no_spec"
"IngP",47,"217_0",635,54407.46,162.0760827,6.280415049,"Polar",1,1,1,"matched"
"IngP",48,"142_2",635,17328.866,144.0656377,5.928549515,"Polar",0,0,1,"no_spec"
"IngP",49,"698_2",947,1878.595,261.0856302,5.526417476,"Polar",1,1,1,"no_spec"
"IngP",50,"618_1",1253,6580.37,245.0917802,4.11895534,"Polar",1,1,1,"no_spec"
