"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngPu",1,"209_1",2,255727.5,160.8402596,2.812026214,"Polar",0,0,0,"no_spec"
"IngPu",2,"1898_0",3,882368.008,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"IngPu",3,"926_4",9,32174.6,311.1699954,6.230148544,"Polar",0,0,0,"no_spec"
"IngPu",4,"1674_0",13,62067.05,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngPu",5,"898_0",18,1697182.2,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngPu",6,"3061_1",26,4683.475,761.1341403,4.671886893,"Polar",0,0,0,"no_spec"
"IngPu",7,"1613_0",44,242642.96,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"IngPu",8,"2721_0",45,48474.0825,665.2141505,9.748803883,"Polar",0,0,0,"no_spec"
"IngPu",9,"1318_0",59,112864.1,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngPu",10,"1600_0",67,760333,447.1153253,1.102965049,"Polar",0,0,0,"no_spec"
"IngPu",11,"2239_0",83,36620,577.1354103,2.661226699,"Polar",0,0,0,"no_spec"
"IngPu",12,"77_0",103,184073.52,125.0253401,1.354297573,"Polar",0,0,0,"no_spec"
"IngPu",13,"1754_1",139,15164.45,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"IngPu",14,"105_1",147,21663.7,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"IngPu",15,"90_0",148,18099.12,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngPu",16,"1688_0",166,107076.2,465.1018203,1.706163107,"Polar",0,0,0,"no_spec"
"IngPu",17,"2067_1",185,193794.5,539.1362453,8.291075243,"Polar",0,0,0,"no_spec"
"IngPu",18,"2359_0",189,1310.99,597.1816105,4.269754854,"Polar",0,0,0,"no_spec"
"IngPu",19,"1613_0",193,21058.35,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
