"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngQ",1,"1613_0",44,11303.605,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"IngQ",2,"1318_0",59,10984.598,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngQ",3,"2239_0",83,348078.132,577.1354103,2.661226699,"Polar",0,0,0,"no_spec"
"IngQ",4,"1545_0",84,8744.86,435.0923952,1.304031068,"Polar",0,0,0,"no_spec"
"IngQ",5,"816_0",199,353201.2,289.0736702,1.203498058,"Polar",0,0,0,"no_spec"
"IngQ",6,"1040_1",232,14047.2,331.0677052,3.364957767,"Polar",0,0,0,"no_spec"
"IngQ",7,"1599_0",256,115527,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"IngQ",8,"221_0",287,5750.785,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"IngQ",9,"607_0",397,50078.32,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngQ",10,"2157_0",404,178011.03,561.1415604,1.756429612,"Polar",0,0,0,"no_spec"
"IngQ",11,"150_0",427,20396.392,147.0306551,2.912559223,"Polar",0,0,0,"no_spec"
"IngQ",12,"303_2",444,7554.99,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngQ",13,"2339_0",597,34302.87,593.1532104,2.711493204,"Polar",0,0,0,"no_spec"
"IngQ",14,"108_0",663,36902.22,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngQ",15,"2247_0",733,15030.79,578.1365228,2.661226699,"Polar",0,0,0,"no_spec"
"IngQ",16,"1103_0",950,3241.12333333333,341.0884102,1.505097087,"Polar",0,0,0,"no_spec"
"IngQ",17,"211_1",1050,21299.9,161.0462301,3.364957767,"Polar",0,0,0,"no_spec"
"IngQ",18,"3551_0",1800,6410.64,850.204413,4.11895534,"Polar",0,0,0,"no_spec"
"IngQ",19,"1871_0",1949,1791.60333333333,500.600599,5.77775,"Polar",0,0,0,"no_spec"
"IngQ",20,"1104_1",9,15945.192,341.1075703,6.129615534,"Polar",1,1,1,"matched"
"IngQ",21,"142_2",119,706633.6,144.0656377,5.928549515,"Polar",1,1,1,"no_spec"
"IngQ",22,"145_2",119,18912.04,145.0619602,5.978816019,"Polar",0,0,1,"no_spec"
"IngQ",23,"157_1",172,387015.52,149.00893,7.134945631,"Polar",1,1,1,"matched"
"IngQ",24,"161_1",172,17267.08,150.0100425,7.034412621,"Polar",0,0,1,"no_spec"
"IngQ",25,"3653_1",439,49768.1925,865.1971505,4.420554369,"Polar",1,1,1,"matched"
"IngQ",26,"3660_0",439,20609.4933333333,866.203053,4.470820874,"Polar",0,0,1,"no_spec"
