"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngR",1,"244_1",5,61102.84,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"IngR",2,"1651_0",14,1313289.4,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngR",3,"898_0",18,858649.6,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngR",4,"584_0",51,197090.83,239.0563651,1.404564078,"Polar",0,0,0,"no_spec"
"IngR",5,"1318_0",59,22876.565,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngR",6,"604_0",71,185418,242.993755,1.505097087,"Polar",0,0,0,"no_spec"
"IngR",7,"1110_0",86,4897.236,343.0666852,4.822686408,"Polar",0,0,0,"no_spec"
"IngR",8,"1574_0",136,8718.67,441.0799102,1.153231553,"Polar",0,0,0,"no_spec"
"IngR",9,"1651_0",138,460189.933333333,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngR",10,"90_0",148,10257.778,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngR",11,"515_1",225,12076.302,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"IngR",12,"1040_1",232,21926.082,331.0677052,3.364957767,"Polar",0,0,0,"no_spec"
"IngR",13,"100_1",270,6942.23,131.0463851,6.682547087,"Polar",0,0,0,"no_spec"
"IngR",14,"607_0",397,10347.364,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngR",15,"584_1",400,148706.14,239.0563651,2.761759709,"Polar",0,0,0,"no_spec"
"IngR",16,"420_2",403,12985.258,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"IngR",17,"150_0",427,2622.89,147.0306551,2.912559223,"Polar",0,0,0,"no_spec"
"IngR",18,"303_2",444,12192.684,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngR",19,"666_0",499,2775.1325,255.1220653,1.203498058,"Polar",0,0,0,"no_spec"
"IngR",20,"108_0",663,4729.152,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngR",21,"795_1",747,5644.16666666667,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngR",22,"230_3",852,6054.458,165.0411001,6.129615534,"Polar",0,0,0,"no_spec"
"IngR",23,"2839_0",862,27221.34,697.1395803,1.404564078,"Polar",0,0,0,"no_spec"
"IngR",24,"275_0",1009,4553.222,175.0618052,3.163891748,"Polar",0,0,0,"no_spec"
"IngR",25,"160_1",1386,21696.368,149.0616202,2.812026214,"Polar",0,0,0,"no_spec"
"IngR",26,"516_0",1603,7744.2625,223.0720952,1.153231553,"Polar",0,0,0,"no_spec"
"IngR",27,"119_1",1620,4903.4125,137.0243201,2.661226699,"Polar",0,0,0,"no_spec"
"IngR",28,"3069_0",1958,2342.49,763.1411554,1.253764563,"Polar",0,0,0,"no_spec"
"IngR",29,"292_1",2036,35016.4,179.0327251,3.113625243,"Polar",0,0,0,"no_spec"
"IngR",30,"1104_1",9,374786.46,341.1075703,6.129615534,"Polar",1,1,2,"matched"
"IngR",31,"1109_1",9,85785.5,342.1134728,6.129615534,"Polar",1,1,2,"matched"
"IngR",32,"2795_0",9,32327.33,683.2245956,6.129615534,"Polar",0,0,2,"no_spec"
"IngR",33,"1316_1",9,20049.87,387.1108453,6.129615534,"Polar",0,0,2,"no_spec"
"IngR",34,"3061_1",26,41335.892,761.1341403,4.671886893,"Polar",1,1,1,"matched"
"IngR",35,"230_2",26,9190.214,165.0411001,5.275084951,"Polar",0,0,1,"no_spec"
"IngR",36,"1847_0",29,24536.886,495.0777152,4.822686408,"Polar",1,1,1,"matched"
"IngR",37,"1850_0",29,2129.28666666667,496.0788277,4.772419903,"Polar",0,0,1,"no_spec"
"IngR",38,"2428_2",41,34256.975,609.1231103,4.521087379,"Polar",1,1,1,"no_spec"
"IngR",39,"346_2",54,73153.7,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"IngR",40,"447_2",76,26785.16,209.0277801,8.240808738,"Polar",1,1,1,"no_spec"
"IngR",41,"142_2",119,170399.2,144.0656377,5.928549515,"Polar",1,1,1,"no_spec"
"IngR",42,"145_2",119,129756.86,145.0619602,5.978816019,"Polar",0,0,1,"no_spec"
"IngR",43,"27_2",119,12974.88,103.0487651,5.87828301,"Polar",0,0,1,"no_spec"
"IngR",44,"439_1",525,27872.766,207.0830352,4.169221845,"Polar",1,1,1,"no_spec"
"IngR",45,"664_1",825,90105.945,255.0502151,4.169221845,"Polar",1,1,1,"matched"
"IngR",46,"230_2",825,12283.418,165.0411001,5.275084951,"Polar",0,0,1,"no_spec"
"IngR",47,"2799_0",1181,14713.85,684.1155378,8.190542233,"Polar",1,1,1,"matched"
"IngR",48,"1810_1",1205,44349.3,487.1789854,6.129615534,"Polar",1,1,1,"matched"
"IngR",49,"1803_0",1205,37428.685,486.182663,6.129615534,"Polar",0,0,1,"no_spec"
"IngR",50,"1812_0",1205,2765.68,488.184888,6.029082524,"Polar",0,0,1,"no_spec"
"IngR",51,"3064_0",1557,11628.47,762.1400429,4.621620388,"Polar",1,1,1,"matched"
