"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngS",1,"244_0",14,1651.73,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngS",2,"1318_0",59,18385.682,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngS",3,"53_0",98,46539.48,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"IngS",4,"105_1",147,3841.1925,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"IngS",5,"90_0",148,15287.264,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngS",6,"639_1",212,2690.275,249.0866502,5.727483495,"Polar",0,0,0,"no_spec"
"IngS",7,"100_1",270,14329.8,131.0463851,6.682547087,"Polar",0,0,0,"no_spec"
"IngS",8,"1196_1",357,26651.9825,361.1489804,3.013092233,"Polar",0,0,0,"no_spec"
"IngS",9,"1234_0",396,4510.87666666667,371.0978352,4.872952913,"Polar",0,0,0,"no_spec"
"IngS",10,"607_0",397,98113.28,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngS",11,"420_2",403,15095.914,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"IngS",12,"106_1",436,1198.88,133.0486101,5.576683981,"Polar",0,0,0,"no_spec"
"IngS",13,"422_1",458,6910.984,203.0833752,3.91788932,"Polar",0,0,0,"no_spec"
"IngS",14,"136_1",510,10135.605,142.0490426,3.314691262,"Polar",0,0,0,"no_spec"
"IngS",15,"59_0",600,6374.538,117.01644,1.354297573,"Polar",0,0,0,"no_spec"
"IngS",16,"108_0",663,118026.74,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngS",17,"1143_0",686,16603.05,349.1883205,1.505097087,"Polar",0,0,0,"no_spec"
"IngS",18,"211_0",729,4699.615,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngS",19,"795_1",747,8155.815,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"IngS",20,"1124_0",752,19845.4,345.1551304,1.605630097,"Polar",0,0,0,"no_spec"
"IngS",21,"781_0",845,5372.304,281.0887202,6.481481068,"Polar",0,0,0,"no_spec"
"IngS",22,"230_3",852,16119.012,165.0411001,6.129615534,"Polar",0,0,0,"no_spec"
"IngS",23,"275_0",1009,10676.635,175.0618052,3.163891748,"Polar",0,0,0,"no_spec"
"IngS",24,"1124_1",1055,12528.9,345.1551304,3.716823301,"Polar",0,0,0,"no_spec"
"IngS",25,"1202_0",1061,2241.91,364.1618979,2.812026214,"Polar",0,0,0,"no_spec"
"IngS",26,"347_0",1119,1865.92333333333,191.0748152,1.203498058,"Polar",0,0,0,"no_spec"
"IngS",27,"1339_0",1147,5782.502,391.1967255,3.616290291,"Polar",0,0,0,"no_spec"
"IngS",28,"600_0",1431,4913.55,242.0788627,3.163891748,"Polar",0,0,0,"no_spec"
"IngS",29,"904_0",1610,52337.2,306.1644329,2.25909466,"Polar",0,0,0,"no_spec"
"IngS",30,"376_0",1748,36966.1,195.1367453,5.275084951,"Polar",0,0,0,"no_spec"
"IngS",31,"1591_0",2003,8390.29,443.1923055,2.661226699,"Polar",0,0,0,"no_spec"
"IngS",32,"1374_0",2092,4329.75,399.0954552,5.425884466,"Polar",0,0,0,"no_spec"
"IngS",33,"1238_0",2141,4700.48,371.1696854,1.153231553,"Polar",0,0,0,"no_spec"
"IngS",34,"493_1",2314,1376.59,219.0820152,5.425884466,"Polar",0,0,0,"no_spec"
"IngS",35,"1520_0",2555,9248.97,431.1166853,2.761759709,"Polar",0,0,0,"no_spec"
"IngS",36,"1196_2",2612,6003.69,361.1489804,4.923219417,"Polar",0,0,0,"no_spec"
"IngS",37,"207_1",6,129713.33,160.0594876,6.732813592,"Polar",1,1,2,"matched"
"IngS",38,"4834_0",6,30897.82,1052.462669,6.933879612,"Polar",1,1,2,"matched"
"IngS",39,"1104_1",9,117711.92,341.1075703,6.129615534,"Polar",1,1,1,"matched"
"IngS",40,"1109_1",9,4354.154,342.1134728,6.129615534,"Polar",0,0,1,"no_spec"
"IngS",41,"447_1",48,56972.82625,209.0277801,6.330681553,"Polar",1,1,2,"no_spec"
"IngS",42,"1168_0",48,29246.425,355.0656652,6.330681553,"Polar",0,0,2,"no_spec"
"IngS",43,"345_2",48,26412.8,191.017335,6.330681553,"Polar",0,0,2,"no_spec"
"IngS",44,"515_0",48,2167.73,223.0433551,5.576683981,"Polar",1,1,2,"no_spec"
"IngS",45,"434_1",66,404549.15,206.0819227,4.21948835,"Polar",1,1,4,"matched"
"IngS",46,"227_0",66,77793.37,164.0735177,3.817356311,"Polar",1,1,4,"matched"
"IngS",47,"439_1",66,23114.414,207.0830352,4.169221845,"Polar",1,1,4,"matched"
"IngS",48,"618_1",66,20556.715,245.0917802,4.11895534,"Polar",1,1,4,"matched"
"IngS",49,"618_1",106,99546.275,245.0917802,4.11895534,"Polar",1,1,1,"matched"
"IngS",50,"623_1",106,4472.155,246.0976827,4.068688835,"Polar",0,0,1,"no_spec"
"IngS",51,"145_2",119,366227.8,145.0619602,5.978816019,"Polar",1,1,1,"no_spec"
"IngS",52,"142_2",119,112430.04,144.0656377,5.928549515,"Polar",0,0,1,"no_spec"
"IngS",53,"27_2",119,36647.48,103.0487651,5.87828301,"Polar",0,0,1,"no_spec"
"IngS",54,"157_0",135,63781.125,149.00893,5.375617961,"Polar",0,0,1,"no_spec"
"IngS",55,"221_1",135,50020.5,163.0388751,4.923219417,"Polar",1,1,1,"no_spec"
"IngS",56,"844_1",135,21438.6,295.0468151,4.923219417,"Polar",0,0,1,"no_spec"
"IngS",57,"4834_0",155,25866.2,1052.462669,6.933879612,"Polar",1,1,1,"matched"
"IngS",58,"515_1",225,27663.938,223.0433551,7.084679126,"Polar",1,1,1,"no_spec"
"IngS",59,"430_3",225,7405.67,205.0329101,7.084679126,"Polar",0,0,1,"no_spec"
"IngS",60,"221_1",226,58538.035,163.0388751,4.923219417,"Polar",1,1,1,"no_spec"
"IngS",61,"844_1",226,28590.3,295.0468151,4.923219417,"Polar",0,0,1,"no_spec"
"IngS",62,"293_4",405,181079.62,179.0566751,5.425884466,"Polar",1,1,1,"matched"
"IngS",63,"4942_0",417,24931.575,1072.96871,6.280415049,"Polar",1,1,2,"matched"
"IngS",64,"4943_0",417,23192.992,1073.471661,6.280415049,"Polar",1,1,2,"matched"
"IngS",65,"303_2",444,17027.9325,181.0684802,4.068688835,"Polar",1,1,1,"no_spec"
"IngS",66,"616_1",456,12525.61,245.0438801,6.531747573,"Polar",0,0,2,"no_spec"
"IngS",67,"353_0",456,12069.305,192.0328176,6.531747573,"Polar",1,1,2,"no_spec"
"IngS",68,"67_0",456,12001.325,120.0101975,6.481481068,"Polar",0,0,2,"no_spec"
"IngS",69,"573_0",456,11917.955,236.0769777,6.531747573,"Polar",1,1,2,"no_spec"
"IngS",70,"56_2",456,5088.565,116.0344876,6.531747573,"Polar",0,0,2,"no_spec"
"IngS",71,"1056_1",518,6136.6175,333.0603502,9.145605825,"Polar",1,1,1,"matched"
"IngS",72,"439_1",525,247697.12,207.0830352,4.169221845,"Polar",1,1,1,"matched"
"IngS",73,"443_0",525,8998.358,208.0793577,4.11895534,"Polar",0,0,1,"no_spec"
"IngS",74,"68_0",525,4166.45333333333,120.0485176,4.11895534,"Polar",0,0,1,"no_spec"
"IngS",75,"698_2",947,25143.4642857143,261.0856302,5.526417476,"Polar",1,1,1,"matched"
"IngS",76,"703_1",947,2076,262.0915327,5.526417476,"Polar",0,0,1,"no_spec"
"IngS",77,"786_0",1156,17757.005,282.0850427,3.767089806,"Polar",1,1,1,"no_spec"
