"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngSp",1,"244_0",14,130312,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngSp",2,"1318_0",59,1665,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngSp",3,"1651_0",138,77655.6,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngSp",4,"1754_1",139,1761.855,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"IngSp",5,"2465_0",207,10003.6,615.0962552,1.856962621,"Polar",0,0,0,"no_spec"
"IngSp",6,"1530_0",216,14351,433.0758002,1.304031068,"Polar",0,0,0,"no_spec"
"IngSp",7,"1674_0",217,45364.4,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngSp",8,"515_1",225,2252.22,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"IngSp",9,"2372_0",256,8208.48,599.1024053,1.404564078,"Polar",0,0,0,"no_spec"
"IngSp",10,"2465_1",358,18369.7,615.0962552,2.912559223,"Polar",0,0,0,"no_spec"
"IngSp",11,"607_0",397,2150.97,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngSp",12,"303_2",444,1445,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngSp",13,"2939_0",618,1728,729.1464404,3.013092233,"Polar",0,0,0,"no_spec"
"IngSp",14,"2372_0",659,8647.55,599.1024053,1.404564078,"Polar",0,0,0,"no_spec"
"IngSp",15,"2068_0",711,2751.67,539.1745654,2.46016068,"Polar",0,0,0,"no_spec"
"IngSp",16,"211_0",729,1385.93,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngSp",17,"1635_0",746,35378.6,453.1028403,1.605630097,"Polar",0,0,0,"no_spec"
"IngSp",18,"1763_0",870,5667.38,479.0838652,2.711493204,"Polar",0,0,0,"no_spec"
"IngSp",19,"2469_1",2377,6959.23,617.1128503,2.812026214,"Polar",0,0,0,"no_spec"
"IngSp",20,"2555_0",2579,1380.26,633.1067003,3.566023786,"Polar",0,0,0,"no_spec"
"IngSp",21,"207_1",6,26488.2,160.0594876,6.732813592,"Polar",1,1,1,"matched"
"IngSp",22,"346_2",54,89064.2,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"IngSp",23,"1110_0",86,5972.25,343.0666852,4.822686408,"Polar",1,1,1,"no_spec"
