"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngU",1,"447_1",48,9681.35,209.0277801,6.330681553,"Polar",0,0,0,"no_spec"
"IngU",2,"1318_0",59,13997.948,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngU",3,"2269_0",97,856171.642857143,581.1638104,1.253764563,"Polar",0,0,0,"no_spec"
"IngU",4,"1627_1",181,304324.92,451.1245653,3.013092233,"Polar",0,0,0,"no_spec"
"IngU",5,"1674_0",217,3105.72333333333,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngU",6,"607_1",219,18677.948,243.0608152,5.576683981,"Polar",0,0,0,"no_spec"
"IngU",7,"171_0",327,5730.46,153.01817,1.253764563,"Polar",0,0,0,"no_spec"
"IngU",8,"607_0",397,36931.18,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"IngU",9,"2358_0",473,183986.573,597.1576604,1.505097087,"Polar",0,0,0,"no_spec"
"IngU",10,"615_1",543,13653,245.01035,2.812026214,"Polar",0,0,0,"no_spec"
"IngU",11,"375_1",547,5908.97,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"IngU",12,"3690_0",568,40079.419,869.2303406,3.163891748,"Polar",0,0,0,"no_spec"
"IngU",13,"59_0",600,8189.912,117.01644,1.354297573,"Polar",0,0,0,"no_spec"
"IngU",14,"5376_0",603,16543.97,1163.341866,1.253764563,"Polar",0,0,0,"no_spec"
"IngU",15,"108_0",663,21081.82,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"IngU",16,"1020_0",687,3280.44,327.1063653,3.968155825,"Polar",0,0,0,"no_spec"
"IngU",17,"699_1",724,14890.06,261.1095803,6.883613107,"Polar",0,0,0,"no_spec"
"IngU",18,"211_0",729,4778.768,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngU",19,"2456_1",761,9867.606,613.1563004,2.15856165,"Polar",0,0,0,"no_spec"
"IngU",20,"781_0",845,2845.17,281.0887202,6.481481068,"Polar",0,0,0,"no_spec"
"IngU",21,"2906_0",905,10962.224,722.1673929,5.626950485,"Polar",0,0,0,"no_spec"
"IngU",22,"2358_1",943,4615.56,597.1576604,3.163891748,"Polar",0,0,0,"no_spec"
"IngU",23,"2263_0",1017,2749.736,580.1531179,3.113625243,"Polar",0,0,0,"no_spec"
"IngU",24,"267_0",1121,55645.36,174.0750627,1.454830583,"Polar",0,0,0,"no_spec"
"IngU",25,"466_0",1257,34140.026,214.1099828,1.102965049,"Polar",0,0,0,"no_spec"
"IngU",26,"3271_0",1339,26079.088,806.212943,5.727483495,"Polar",0,0,0,"no_spec"
"IngU",27,"403_0",1340,8468.3075,200.0944077,1.253764563,"Polar",0,0,0,"no_spec"
"IngU",28,"3216_0",1404,4941.166,796.2832482,1.102965049,"Polar",0,0,0,"no_spec"
"IngU",29,"1474_1",1440,18722.85,421.1151403,1.957495631,"Polar",0,0,0,"no_spec"
"IngU",30,"2921_0",1504,16614.9128571429,724.6869392,5.124285437,"Polar",0,0,0,"no_spec"
"IngU",31,"1093_1",1705,5304.6725,339.0718152,6.481481068,"Polar",0,0,0,"no_spec"
"IngU",32,"3920_1",1709,5365.1475,901.2372006,6.984146117,"Polar",0,0,0,"no_spec"
"IngU",33,"2470_0",1795,2655.58,617.1559604,1.253764563,"Polar",0,0,0,"no_spec"
"IngU",34,"3157_0",1916,2524.07,782.2676732,1.203498058,"Polar",0,0,0,"no_spec"
"IngU",35,"2338_0",2280,2913.105,593.1292603,1.153231553,"Polar",0,0,0,"no_spec"
"IngU",36,"2924_0",2684,3723.69,725.2042605,1.253764563,"Polar",0,0,0,"no_spec"
"IngU",37,"949_0",2734,2203.14,315.011585,2.862292718,"Polar",0,0,0,"no_spec"
"IngU",38,"1104_1",9,5881.924,341.1075703,6.129615534,"Polar",1,1,1,"matched"
"IngU",39,"472_0",61,1036712,215.1398353,3.515757282,"Polar",1,1,1,"matched"
"IngU",40,"479_0",61,59042.12,216.1409479,3.515757282,"Polar",0,0,1,"no_spec"
"IngU",41,"383_0",61,34250.16,197.1293903,3.566023786,"Polar",0,0,1,"no_spec"
"IngU",42,"863_0",61,27408.46,299.0991652,3.566023786,"Polar",0,0,1,"no_spec"
"IngU",43,"1707_0",61,18740.62,469.2451806,3.515757282,"Polar",0,0,1,"no_spec"
"IngU",44,"296_1",89,568569,180.0673677,4.923219417,"Polar",1,1,1,"matched"
"IngU",45,"303_3",89,21076.06,181.0684802,4.822686408,"Polar",0,0,1,"no_spec"
"IngU",46,"221_1",89,11690.654,163.0388751,4.923219417,"Polar",0,0,1,"no_spec"
"IngU",47,"5370_0",142,531832.4,1162.331173,3.364957767,"Polar",0,0,1,"no_spec"
"IngU",48,"5365_0",142,466454.151111111,1161.330061,3.415224272,"Polar",1,1,1,"matched"
