"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngV",1,"244_1",5,21919.9466666667,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"IngV",2,"1104_1",9,6839.2625,341.1075703,6.129615534,"Polar",0,0,0,"no_spec"
"IngV",3,"244_0",14,192483.103,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"IngV",4,"898_0",18,61055.1,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"IngV",5,"1613_0",44,361331,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"IngV",6,"447_1",48,6280.4125,209.0277801,6.330681553,"Polar",0,0,0,"no_spec"
"IngV",7,"1318_0",59,26270.562,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"IngV",8,"53_0",98,9607.745,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"IngV",9,"1651_0",138,754748.533333333,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"IngV",10,"1754_1",139,5475.28,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"IngV",11,"90_0",148,11028.86,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"IngV",12,"2469_0",158,28128.12,617.1128503,1.706163107,"Polar",0,0,0,"no_spec"
"IngV",13,"1688_0",166,345155.8,465.1018203,1.706163107,"Polar",0,0,0,"no_spec"
"IngV",14,"2385_0",204,62193,601.1190003,1.354297573,"Polar",0,0,0,"no_spec"
"IngV",15,"2465_0",207,80626.1,615.0962552,1.856962621,"Polar",0,0,0,"no_spec"
"IngV",16,"1674_0",217,70037.85,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"IngV",17,"1040_1",232,84530.232,331.0677052,3.364957767,"Polar",0,0,0,"no_spec"
"IngV",18,"2572_0",263,4202.86,635.0897652,3.566023786,"Polar",0,0,0,"no_spec"
"IngV",19,"261_1",347,5022.51,173.00689,5.77775,"Polar",0,0,0,"no_spec"
"IngV",20,"2465_1",358,56775.75,615.0962552,2.912559223,"Polar",0,0,0,"no_spec"
"IngV",21,"303_2",444,2298.09333333333,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"IngV",22,"211_0",729,2357.28,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"IngV",23,"4073_0",812,49970.7,923.1898255,1.605630097,"Polar",0,0,0,"no_spec"
"IngV",24,"1763_0",870,5152.745,479.0838652,2.711493204,"Polar",0,0,0,"no_spec"
"IngV",25,"698_2",947,4870.58333333333,261.0856302,5.526417476,"Polar",0,0,0,"no_spec"
"IngV",26,"618_1",1253,13214.22,245.0917802,4.11895534,"Polar",0,0,0,"no_spec"
"IngV",27,"1272_0",1256,2957.2775,380.0599476,4.269754854,"Polar",0,0,0,"no_spec"
"IngV",28,"538_0",2669,4060.79,228.0872377,1.555363592,"Polar",0,0,0,"no_spec"
"IngV",29,"207_1",6,97418.4,160.0594876,6.732813592,"Polar",1,1,1,"no_spec"
"IngV",30,"3061_1",26,58041.92,761.1341403,4.671886893,"Polar",1,1,1,"matched"
"IngV",31,"3064_0",26,12829.08,762.1400429,4.621620388,"Polar",0,0,1,"no_spec"
"IngV",32,"346_2",54,92647.517,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"IngV",33,"434_1",66,29371.1,206.0819227,4.21948835,"Polar",1,1,1,"no_spec"
"IngV",34,"1110_0",86,5036.09333333333,343.0666852,4.822686408,"Polar",1,1,1,"no_spec"
"IngV",35,"145_2",119,507814.3,145.0619602,5.978816019,"Polar",1,1,1,"no_spec"
"IngV",36,"142_2",119,201604.6,144.0656377,5.928549515,"Polar",0,0,1,"no_spec"
"IngV",37,"27_2",119,66931.76,103.0487651,5.87828301,"Polar",0,0,1,"no_spec"
"IngV",38,"515_1",225,29375.42,223.0433551,7.084679126,"Polar",1,1,1,"no_spec"
"IngV",39,"430_3",225,4012.548,205.0329101,7.084679126,"Polar",0,0,1,"no_spec"
"IngV",40,"145_3",321,15245.9555555556,145.0619602,8.240808738,"Polar",1,1,1,"no_spec"
"IngV",41,"4017_0",322,9321.506,913.1451704,4.822686408,"Polar",1,1,1,"matched"
"IngV",42,"439_1",525,97660.64,207.0830352,4.169221845,"Polar",1,1,1,"no_spec"
"IngV",43,"781_0",845,6982.948,281.0887202,6.481481068,"Polar",1,1,1,"no_spec"
"IngV",44,"2832_1",1324,3794.556,693.2213506,8.240808738,"Polar",1,1,1,"no_spec"
