"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"LA20a",1,"1318_0",59,22827.734,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"LA20a",2,"2239_0",83,109226.78,577.1354103,2.661226699,"Polar",0,0,0,"no_spec"
"LA20a",3,"1898_0",184,5379.172,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"LA20a",4,"515_1",225,7182.812,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"LA20a",5,"221_1",226,3934,163.0388751,4.923219417,"Polar",0,0,0,"no_spec"
"LA20a",6,"1599_0",256,65690.975,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"LA20a",7,"720_3",282,6345.86333333333,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"LA20a",8,"221_0",287,37332.64,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"LA20a",9,"2912_0",302,965088.373333333,723.1732954,1.706163107,"Polar",0,0,0,"no_spec"
"LA20a",10,"607_0",397,32451.6,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"LA20a",11,"420_2",403,3461.7275,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"LA20a",12,"150_0",427,11884.6642857143,147.0306551,2.912559223,"Polar",0,0,0,"no_spec"
"LA20a",13,"59_0",600,9210.3325,117.01644,1.354297573,"Polar",0,0,0,"no_spec"
"LA20a",14,"108_0",663,48687.38,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"LA20a",15,"1008_0",699,179661.866666667,325.0897702,1.203498058,"Polar",0,0,0,"no_spec"
"LA20a",16,"2862_0",710,8782.43,707.1794454,1.404564078,"Polar",0,0,0,"no_spec"
"LA20a",17,"1104_2",739,4089.02,341.1075703,7.989476214,"Polar",0,0,0,"no_spec"
"LA20a",18,"2977_0",902,33800.75,739.1671454,2.610960194,"Polar",0,0,0,"no_spec"
"LA20a",19,"1103_0",950,124395.36,341.0884102,1.505097087,"Polar",0,0,0,"no_spec"
"LA20a",20,"339_0",972,1283.76,189.00074,6.531747573,"Polar",0,0,0,"no_spec"
"LA20a",21,"490_0",1110,1560.2175,218.1048528,1.354297573,"Polar",0,0,0,"no_spec"
"LA20a",22,"4609_0",1418,15557.37,1011.230246,3.314691262,"Polar",0,0,0,"no_spec"
"LA20a",23,"2922_0",1474,41795.14,725.1803105,1.806696117,"Polar",0,0,0,"no_spec"
"LA20a",24,"1152_0",1560,1089.73,351.1282753,4.01842233,"Polar",0,0,0,"no_spec"
"LA20a",25,"862_0",1578,1842.25,299.0752152,1.304031068,"Polar",0,0,0,"no_spec"
"LA20a",26,"273_0",1752,7078.725,175.0234851,1.404564078,"Polar",0,0,0,"no_spec"
"LA20a",27,"388_0",1866,4741.43333333333,198.0394926,3.063358738,"Polar",0,0,0,"no_spec"
"LA20a",28,"1104_1",9,216619,341.1075703,6.129615534,"Polar",1,1,1,"matched"
"LA20a",29,"1109_1",9,10211,342.1134728,6.129615534,"Polar",0,0,1,"no_spec"
"LA20a",30,"105_2",9,6298.96,133.01508,6.079349029,"Polar",0,0,1,"no_spec"
"LA20a",31,"230_3",9,6296.658,165.0411001,6.129615534,"Polar",0,0,1,"no_spec"
"LA20a",32,"1803_0",9,5169.58,486.182663,6.129615534,"Polar",0,0,1,"no_spec"
"LA20a",33,"142_2",119,742402.4,144.0656377,5.928549515,"Polar",1,1,1,"no_spec"
"LA20a",34,"145_2",119,19221,145.0619602,5.978816019,"Polar",0,0,1,"no_spec"
"LA20a",35,"105_1",147,39957.2842857143,133.01508,4.068688835,"Polar",1,1,2,"no_spec"
"LA20a",36,"53_1",147,11859.45,115.004635,4.01842233,"Polar",0,0,2,"no_spec"
"LA20a",37,"303_2",147,3775.855,181.0684802,4.068688835,"Polar",0,0,2,"no_spec"
"LA20a",38,"96_1",147,2544.72,130.0883827,3.867622816,"Polar",1,1,2,"no_spec"
"LA20a",39,"88_1",147,1631.38,128.0334676,4.068688835,"Polar",0,0,2,"no_spec"
"LA20a",40,"157_1",172,1077688.92857143,149.00893,7.134945631,"Polar",1,1,1,"matched"
"LA20a",41,"161_1",172,34219.8,150.0100425,7.034412621,"Polar",0,0,1,"no_spec"
"LA20a",42,"2_4",172,10070.566,87.00701502,6.933879612,"Polar",0,0,1,"no_spec"
"LA20a",43,"345_2",406,10918.836,191.017335,6.330681553,"Polar",1,1,1,"no_spec"
"LA20a",44,"3653_1",439,6470.532,865.1971505,4.420554369,"Polar",1,1,1,"matched"
"LA20a",45,"3660_0",439,2505.39,866.203053,4.470820874,"Polar",0,0,1,"no_spec"
"LA20a",46,"661_0",509,4286.2775,254.9304648,3.616290291,"Polar",1,1,1,"no_spec"
"LA20a",47,"90_0",509,2265.42,128.9579399,3.566023786,"Polar",0,0,1,"no_spec"
"LA20a",48,"2650_0",550,5697.926,649.1436604,4.872952913,"Polar",1,1,1,"no_spec"
"LA20a",49,"2653_0",550,5422.018,649.6418216,4.872952913,"Polar",0,0,1,"no_spec"
"LA20a",50,"53_1",550,4974.764,115.004635,4.01842233,"Polar",0,0,1,"no_spec"
"LA20a",51,"2653_1",550,2583.362,649.6418216,5.074018932,"Polar",0,0,1,"no_spec"
"LA20a",52,"3190_0",1429,5651.47,793.1697404,5.626950485,"Polar",1,1,1,"no_spec"
