"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"LA20b",1,"2239_0",83,143725.696,577.1354103,2.661226699,"Polar",0,0,0,"no_spec"
"LA20b",2,"105_1",147,2947.39,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"LA20b",3,"90_0",148,13246.634,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"LA20b",4,"1674_0",217,91923.85,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"LA20b",5,"1599_0",256,163310,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"LA20b",6,"221_0",287,8426.09,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"LA20b",7,"88_1",296,1890.11,128.0334676,4.068688835,"Polar",0,0,0,"no_spec"
"LA20b",8,"293_3",307,1641.315,179.0566751,4.521087379,"Polar",0,0,0,"no_spec"
"LA20b",9,"112_0",367,7408.2,135.0268851,5.375617961,"Polar",0,0,0,"no_spec"
"LA20b",10,"607_0",397,8750.016,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"LA20b",11,"2157_0",404,47549.8,561.1415604,1.756429612,"Polar",0,0,0,"no_spec"
"LA20b",12,"1083_0",429,67461.33,337.0935402,2.108295146,"Polar",0,0,0,"no_spec"
"LA20b",13,"449_2",443,6410.10333333333,209.0661002,5.425884466,"Polar",0,0,0,"no_spec"
"LA20b",14,"422_1",458,1688.145,203.0833752,3.91788932,"Polar",0,0,0,"no_spec"
"LA20b",15,"1161_0",485,518647.3,353.0873902,3.214158252,"Polar",0,0,0,"no_spec"
"LA20b",16,"375_1",547,20135.992,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"LA20b",17,"2339_0",597,55750.9,593.1532104,2.711493204,"Polar",0,0,0,"no_spec"
"LA20b",18,"59_0",600,8421.764,117.01644,1.354297573,"Polar",0,0,0,"no_spec"
"LA20b",19,"108_0",663,35810.544,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"LA20b",20,"1111_0",722,9979.55333333333,343.1145853,1.203498058,"Polar",0,0,0,"no_spec"
"LA20b",21,"795_1",747,1673.93,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"LA20b",22,"259_1",846,3258.55,172.0967877,4.01842233,"Polar",0,0,0,"no_spec"
"LA20b",23,"211_1",1050,12144.2,161.0462301,3.364957767,"Polar",0,0,0,"no_spec"
"LA20b",24,"618_1",1253,3946.07,245.0917802,4.11895534,"Polar",0,0,0,"no_spec"
"LA20b",25,"330_0",1279,4853.955,187.0416251,1.655896602,"Polar",0,0,0,"no_spec"
"LA20b",26,"1571_0",1488,6814.63,440.193758,2.208828155,"Polar",0,0,0,"no_spec"
"LA20b",27,"113_3",1686,7693.92,135.0460451,6.632280583,"Polar",0,0,0,"no_spec"
"LA20b",28,"1335_0",1765,6362.21,391.0434451,3.415224272,"Polar",0,0,0,"no_spec"
"LA20b",29,"161_1",1953,10701.2733333333,150.0100425,7.034412621,"Polar",0,0,0,"no_spec"
"LA20b",30,"237_1",2021,3130.71,167.0337451,2.862292718,"Polar",0,0,0,"no_spec"
"LA20b",31,"601_0",2223,5840.445,242.1028128,2.007762136,"Polar",0,0,0,"no_spec"
"LA20b",32,"334_0",2413,7830.16,188.0571076,3.415224272,"Polar",0,0,0,"no_spec"
"LA20b",33,"207_1",6,36819.2,160.0594876,6.732813592,"Polar",1,1,1,"no_spec"
"LA20b",34,"1104_1",9,158664.713333333,341.1075703,6.129615534,"Polar",1,1,2,"matched"
"LA20b",35,"150_2",9,21059.6,147.0306551,6.330681553,"Polar",0,0,2,"no_spec"
"LA20b",36,"230_3",9,20399.198,165.0411001,6.129615534,"Polar",1,1,2,"no_spec"
"LA20b",37,"1109_1",9,11987.325,342.1134728,6.129615534,"Polar",0,0,2,"no_spec"
"LA20b",38,"2795_0",9,4047.45,683.2245956,6.129615534,"Polar",0,0,2,"no_spec"
"LA20b",39,"346_2",54,366709,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"LA20b",40,"354_1",54,9459.64,192.0567676,5.67721699,"Polar",0,0,1,"no_spec"
"LA20b",41,"447_2",76,36073.25,209.0277801,8.240808738,"Polar",1,1,1,"no_spec"
"LA20b",42,"142_2",119,212801.25,144.0656377,5.928549515,"Polar",1,1,1,"no_spec"
"LA20b",43,"145_2",119,4333.07333333333,145.0619602,5.978816019,"Polar",0,0,1,"no_spec"
"LA20b",44,"3203_0",122,45714.1,794.4726237,4.370287864,"Polar",1,1,1,"matched"
"LA20b",45,"3212_0",122,13760.7,795.4737362,4.370287864,"Polar",0,0,1,"no_spec"
"LA20b",46,"157_0",135,63931.0333333333,149.00893,5.375617961,"Polar",1,1,2,"no_spec"
"LA20b",47,"3653_1",135,9011.47,865.1971505,4.420554369,"Polar",1,1,2,"matched"
"LA20b",48,"2234_1",153,3120.56,576.1247178,5.77775,"Polar",1,1,1,"no_spec"
