"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"LA33",1,"244_1",5,74629.94,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"LA33",2,"244_0",14,1970028,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"LA33",3,"1337_2",107,4626.638,391.1057153,4.068688835,"Polar",0,0,0,"no_spec"
"LA33",4,"90_0",148,4687.33,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"LA33",5,"988_0",149,1969074,321.0230501,2.46016068,"Polar",0,0,0,"no_spec"
"LA33",6,"2113_0",184,8621.525,549.1665304,8.291075243,"Polar",0,0,0,"no_spec"
"LA33",7,"1909_0",191,125441.8,505.0984202,3.515757282,"Polar",0,0,0,"no_spec"
"LA33",8,"2600_0",237,144760.12,641.1156003,3.163891748,"Polar",0,0,0,"no_spec"
"LA33",9,"1599_0",256,16165.56,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"LA33",10,"1817_0",258,112720.242,489.1045703,2.610960194,"Polar",0,0,0,"no_spec"
"LA33",11,"100_1",270,1089.90333333333,131.0463851,6.682547087,"Polar",0,0,0,"no_spec"
"LA33",12,"720_3",282,3132.204,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"LA33",13,"88_1",296,4586.86,128.0334676,4.068688835,"Polar",0,0,0,"no_spec"
"LA33",14,"261_1",347,2429.58,173.00689,5.77775,"Polar",0,0,0,"no_spec"
"LA33",15,"2747_0",364,19891.01,671.1250253,3.013092233,"Polar",0,0,0,"no_spec"
"LA33",16,"1180_0",397,14110.624,357.1445304,1.404564078,"Polar",0,0,0,"no_spec"
"LA33",17,"420_2",403,7030.35,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"LA33",18,"293_4",405,26369.78,179.0566751,5.425884466,"Polar",0,0,0,"no_spec"
"LA33",19,"1083_0",429,14143.9966666667,337.0935402,2.108295146,"Polar",0,0,0,"no_spec"
"LA33",20,"303_2",444,3707.31,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"LA33",21,"573_0",456,6735.735,236.0769777,6.531747573,"Polar",0,0,0,"no_spec"
"LA33",22,"1023_0",482,2744.09,328.0499976,4.068688835,"Polar",0,0,0,"no_spec"
"LA33",23,"3172_0",500,1517.49,787.1007953,4.068688835,"Polar",0,0,0,"no_spec"
"LA33",24,"2709_0",505,14149.608,661.1761704,2.862292718,"Polar",0,0,0,"no_spec"
"LA33",25,"482_0",528,179364.82,217.0366801,1.756429612,"Polar",0,0,0,"no_spec"
"LA33",26,"1249_0",561,6975.248,373.1479604,3.214158252,"Polar",0,0,0,"no_spec"
"LA33",27,"1219_0",564,2688.12,367.1029653,2.007762136,"Polar",0,0,0,"no_spec"
"LA33",28,"227_0",565,9322.3575,164.0735177,3.817356311,"Polar",0,0,0,"no_spec"
"LA33",29,"1445_0",608,5492.09,415.0318251,3.616290291,"Polar",0,0,0,"no_spec"
