"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M16",1,"207_1",6,15803.48,160.0594876,6.732813592,"Polar",0,0,0,"no_spec"
"M16",2,"244_0",14,190608,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"M16",3,"898_0",18,1936.13666666667,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"M16",4,"1613_0",44,236245.66,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"M16",5,"1318_0",59,114465.56,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"M16",6,"27_4",96,9559.738,103.0487651,8.441874757,"Polar",0,0,0,"no_spec"
"M16",7,"1651_0",138,105054.37,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"M16",8,"105_1",147,51150.8,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"M16",9,"90_0",148,15833.538,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"M16",10,"1688_0",166,107049.11,465.1018203,1.706163107,"Polar",0,0,0,"no_spec"
"M16",11,"1898_0",184,12402.11,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"M16",12,"1674_0",217,17267.35,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"M16",13,"2798_0",223,1081.39,684.1011678,6.431214563,"Polar",0,0,0,"no_spec"
"M16",14,"1168_0",250,21181.79,355.0656652,6.330681553,"Polar",0,0,0,"no_spec"
"M16",15,"720_3",282,9681.35,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"M16",16,"221_0",287,5264.55333333333,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"M16",17,"2465_1",358,3403.54,615.0962552,2.912559223,"Polar",0,0,0,"no_spec"
"M16",18,"439_1",525,11406.5466666667,207.0830352,4.169221845,"Polar",0,0,0,"no_spec"
"M16",19,"375_1",547,5136.942,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"M16",20,"966_3",629,1405.42,317.0521301,7.185212136,"Polar",0,0,0,"no_spec"
"M16",21,"2036_1",645,2974.38666666667,532.0901377,6.380948058,"Polar",0,0,0,"no_spec"
"M16",22,"1008_0",699,4621.61666666667,325.0897702,1.203498058,"Polar",0,0,0,"no_spec"
"M16",23,"795_1",747,4083.2725,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"M16",24,"1200_0",776,28949.96375,363.0745652,1.454830583,"Polar",0,0,0,"no_spec"
"M16",25,"230_2",777,1917.365,165.0411001,5.275084951,"Polar",0,0,0,"no_spec"
"M16",26,"371_0",828,2073.99,194.1021028,2.208828155,"Polar",0,0,0,"no_spec"
"M16",27,"781_0",845,4787.168,281.0887202,6.481481068,"Polar",0,0,0,"no_spec"
"M16",28,"643_0",1246,8324.41333333333,250.0733927,1.706163107,"Polar",0,0,0,"no_spec"
"M16",29,"618_1",1253,36319.255,245.0917802,4.11895534,"Polar",0,0,0,"no_spec"
"M16",30,"3052_2",1573,1908.73333333333,760.1234478,7.838676699,"Polar",0,0,0,"no_spec"
"M16",31,"1104_1",9,59697.26,341.1075703,6.129615534,"Polar",1,1,1,"no_spec"
"M16",32,"1109_1",9,2701.23,342.1134728,6.129615534,"Polar",0,0,1,"no_spec"
"M16",33,"3061_1",26,3641.714,761.1341403,4.671886893,"Polar",1,1,1,"no_spec"
"M16",34,"353_0",90,282539.32,192.0328176,6.531747573,"Polar",1,1,1,"no_spec"
"M16",35,"67_0",90,147487.98,120.0101975,6.481481068,"Polar",0,0,1,"no_spec"
"M16",36,"30_0",90,12998.28,104.9983,6.582014078,"Polar",0,0,1,"no_spec"
"M16",37,"1304_0",90,9414.2975,385.0750902,6.330681553,"Polar",0,0,1,"no_spec"
"M16",38,"357_1",90,8272.2875,193.0339301,6.481481068,"Polar",0,0,1,"no_spec"
"M16",39,"142_2",119,230338.6,144.0656377,5.928549515,"Polar",1,1,1,"matched"
"M16",40,"515_1",225,11855.934,223.0433551,7.084679126,"Polar",1,1,1,"matched"
"M16",41,"430_3",225,1897.65,205.0329101,7.084679126,"Polar",0,0,1,"no_spec"
"M16",42,"433_1",378,17044.9125,206.0483926,6.029082524,"Polar",1,1,1,"no_spec"
"M16",43,"67_0",378,4240.87333333333,120.0101975,6.481481068,"Polar",0,0,1,"no_spec"
"M16",44,"64_0",378,1923.27,119.013875,5.978816019,"Polar",0,0,1,"no_spec"
"M16",45,"422_1",458,12990.545,203.0833752,3.91788932,"Polar",1,1,1,"no_spec"
"M16",46,"441_1",501,2794.5625,208.0266676,7.939209709,"Polar",1,1,1,"no_spec"
"M16",47,"114_0",501,2295.4025,136.0088375,7.888943204,"Polar",0,0,1,"no_spec"
"M16",48,"145_2",665,79376.24,145.0619602,5.978816019,"Polar",1,1,1,"no_spec"
"M16",49,"27_2",665,3274.024,103.0487651,5.87828301,"Polar",0,0,1,"no_spec"
"M16",50,"515_0",676,5233.95333333333,223.0433551,5.576683981,"Polar",1,1,1,"no_spec"
"M16",51,"1227_0",783,8758.25,369.0812402,5.626950485,"Polar",1,1,1,"no_spec"
"M16",52,"197_1",873,11010.3075,158.0812127,4.671886893,"Polar",1,1,1,"no_spec"
"M16",53,"698_2",947,34720.22,261.0856302,5.526417476,"Polar",1,1,1,"no_spec"
"M16",54,"703_1",947,1264.65666666667,262.0915327,5.526417476,"Polar",0,0,1,"no_spec"
"M16",55,"768_1",1236,10752.34,277.0842702,6.280415049,"Polar",1,1,1,"no_spec"
