"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M27b",1,"244_0",14,208867.06,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"M27b",2,"1613_0",44,46747.925,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"M27b",3,"447_2",76,7719.868,209.0277801,8.240808738,"Polar",0,0,0,"no_spec"
"M27b",4,"618_1",106,26442.92,245.0917802,4.11895534,"Polar",0,0,0,"no_spec"
"M27b",5,"1651_0",138,31033.862,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"M27b",6,"1754_1",139,9845.26857142857,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"M27b",7,"90_0",148,9058.366,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"M27b",8,"988_0",149,9546.68,321.0230501,2.46016068,"Polar",0,0,0,"no_spec"
"M27b",9,"2469_0",158,44413.315,617.1128503,1.706163107,"Polar",0,0,0,"no_spec"
"M27b",10,"1688_0",166,321265.125,465.1018203,1.706163107,"Polar",0,0,0,"no_spec"
"M27b",11,"1898_0",184,25730.892,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"M27b",12,"2385_0",204,4303.89333333333,601.1190003,1.354297573,"Polar",0,0,0,"no_spec"
"M27b",13,"898_0",207,56273.8,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"M27b",14,"1674_0",217,62685.001,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"M27b",15,"1040_1",232,7732.48,331.0677052,3.364957767,"Polar",0,0,0,"no_spec"
"M27b",16,"1168_0",250,3324.0375,355.0656652,6.330681553,"Polar",0,0,0,"no_spec"
"M27b",17,"720_3",282,8296.986,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"M27b",18,"221_0",287,2664.24333333333,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"M27b",19,"88_1",296,3130.53,128.0334676,4.068688835,"Polar",0,0,0,"no_spec"
"M27b",20,"112_0",367,2017.69,135.0268851,5.375617961,"Polar",0,0,0,"no_spec"
"M27b",21,"2427_0",394,33908.8,609.0895802,2.058028641,"Polar",0,0,0,"no_spec"
"M27b",22,"890_0",398,6082.1,304.0376676,2.711493204,"Polar",0,0,0,"no_spec"
"M27b",23,"136_1",510,1800.035,142.0490426,3.314691262,"Polar",0,0,0,"no_spec"
"M27b",24,"515_0",676,3591.76,223.0433551,5.576683981,"Polar",0,0,0,"no_spec"
"M27b",25,"1104_2",739,1988.415,341.1075703,7.989476214,"Polar",0,0,0,"no_spec"
"M27b",26,"230_2",777,2584.865,165.0411001,5.275084951,"Polar",0,0,0,"no_spec"
"M27b",27,"515_0",783,3190.2875,223.0433551,5.576683981,"Polar",0,0,0,"no_spec"
"M27b",28,"1626_0",806,11015.084,451.0862452,2.15856165,"Polar",0,0,0,"no_spec"
"M27b",29,"2136_0",828,8740.854,554.186463,2.25909466,"Polar",0,0,0,"no_spec"
