"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M40a",1,"244_1",5,4811.682,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"M40a",2,"244_0",14,264050.841333333,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"M40a",3,"898_0",18,7243.46285714286,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"M40a",4,"2721_0",45,5786.64,665.2141505,9.748803883,"Polar",0,0,0,"no_spec"
"M40a",5,"221_0",71,23104.122,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"M40a",6,"53_0",98,55752.06,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"M40a",7,"3590_1",102,3762.25,856.8864797,7.134945631,"Polar",0,0,0,"no_spec"
"M40a",8,"1646_1",116,1944.854,456.0678577,4.269754854,"Polar",0,0,0,"no_spec"
"M40a",9,"4739_0",131,7042.6,1034.437854,6.230148544,"Polar",0,0,0,"no_spec"
"M40a",10,"1574_0",136,1023.58,441.0799102,1.153231553,"Polar",0,0,0,"no_spec"
"M40a",11,"1651_0",138,141870.98,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"M40a",12,"1754_1",139,3867.2325,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"M40a",13,"105_1",147,88362.3,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"M40a",14,"90_0",148,13129.94,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"M40a",15,"1898_0",184,14704.14,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"M40a",16,"4374_0",206,1858.936,968.9152798,7.386278155,"Polar",0,0,0,"no_spec"
"M40a",17,"2465_0",207,68287.601,615.0962552,1.856962621,"Polar",0,0,0,"no_spec"
"M40a",18,"1674_0",217,276016.94,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"M40a",19,"2798_0",223,3292.0725,684.1011678,6.431214563,"Polar",0,0,0,"no_spec"
"M40a",20,"1040_1",232,3114.61,331.0677052,3.364957767,"Polar",0,0,0,"no_spec"
"M40a",21,"4485_0",239,5023.872,989.4261111,6.230148544,"Polar",0,0,0,"no_spec"
"M40a",22,"1599_0",256,4485.72333333333,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"M40a",23,"1817_0",258,27038.044,489.1045703,2.610960194,"Polar",0,0,0,"no_spec"
"M40a",24,"2572_0",263,7677.414,635.0897652,3.566023786,"Polar",0,0,0,"no_spec"
"M40a",25,"1356_0",278,30396.266,395.1915955,1.404564078,"Polar",0,0,0,"no_spec"
"M40a",26,"3460_0",281,5521.75,835.8774872,7.63761068,"Polar",0,0,0,"no_spec"
"M40a",27,"221_0",287,6499.2675,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"M40a",28,"4017_0",322,2974.9675,913.1451704,4.822686408,"Polar",0,0,0,"no_spec"
"M40a",29,"3520_0",343,4030.188,843.8720172,8.190542233,"Polar",0,0,0,"no_spec"
"M40a",30,"607_0",397,1624.8225,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"M40a",31,"293_4",405,9670.888,179.0566751,5.425884466,"Polar",0,0,0,"no_spec"
"M40a",32,"4033_1",431,2377.05,915.9042173,6.682547087,"Polar",0,0,0,"no_spec"
"M40a",33,"1056_1",518,3299.44,333.0603502,9.145605825,"Polar",0,0,0,"no_spec"
"M40a",34,"375_1",547,1489.525,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"M40a",35,"2891_0",604,4698.26333333333,718.196473,2.208828155,"Polar",0,0,0,"no_spec"
"M40a",36,"145_2",665,4901.7575,145.0619602,5.978816019,"Polar",0,0,0,"no_spec"
"M40a",37,"2531_0",766,6413.134,629.1118303,1.454830583,"Polar",0,0,0,"no_spec"
"M40a",38,"709_0",782,25048.822,263.1405454,2.761759709,"Polar",0,0,0,"no_spec"
