"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"M40d",1,"2067_0",87,1886221.835,539.1362453,1.706163107,"Polar",0,0,0,"no_spec"
"M40d",2,"3975_0",114,12471.8,908.8964297,7.034412621,"Polar",0,0,0,"no_spec"
"M40d",3,"142_2",119,2552.378,144.0656377,5.928549515,"Polar",0,0,0,"no_spec"
"M40d",4,"1754_1",139,3172.82,477.1008003,2.761759709,"Polar",0,0,0,"no_spec"
"M40d",5,"105_1",147,26439.856,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"M40d",6,"90_0",148,8611.488,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"M40d",7,"2011_0",205,412490.4,525.1206703,1.555363592,"Polar",0,0,0,"no_spec"
"M40d",8,"1674_0",217,22763.01,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"M40d",9,"1317_0",252,1740047.505,387.1300053,1.253764563,"Polar",0,0,0,"no_spec"
"M40d",10,"1248_0",254,335406.2,373.1048503,1.404564078,"Polar",0,0,0,"no_spec"
"M40d",11,"965_0",263,25238.5725,317.0377601,3.767089806,"Polar",0,0,0,"no_spec"
"M40d",12,"100_1",270,1936.35,131.0463851,6.682547087,"Polar",0,0,0,"no_spec"
"M40d",13,"221_0",287,5283.565,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"M40d",14,"88_1",296,2376.55,128.0334676,4.068688835,"Polar",0,0,0,"no_spec"
"M40d",15,"624_0",313,114877.65,247.0365251,1.102965049,"Polar",0,0,0,"no_spec"
"M40d",16,"2465_1",358,17574.334,615.0962552,2.912559223,"Polar",0,0,0,"no_spec"
"M40d",17,"573_0",456,1245.53,236.0769777,6.531747573,"Polar",0,0,0,"no_spec"
"M40d",18,"1001_0",487,1556.56333333333,323.0971252,6.682547087,"Polar",0,0,0,"no_spec"
"M40d",19,"1056_1",518,2693.428,333.0603502,9.145605825,"Polar",0,0,0,"no_spec"
"M40d",20,"3117_0",537,313725.92,775.2646757,1.253764563,"Polar",0,0,0,"no_spec"
"M40d",21,"227_0",565,2661.21,164.0735177,3.817356311,"Polar",0,0,0,"no_spec"
"M40d",22,"1122_1",579,32290.06,345.0737002,2.108295146,"Polar",0,0,0,"no_spec"
"M40d",23,"1933_0",593,311015.68,509.1268203,1.454830583,"Polar",0,0,0,"no_spec"
"M40d",24,"871_0",613,33307.294,300.99601,1.253764563,"Polar",0,0,0,"no_spec"
"M40d",25,"2372_0",659,81158.482,599.1024053,1.404564078,"Polar",0,0,0,"no_spec"
"M40d",26,"145_2",665,3104.875,145.0619602,5.978816019,"Polar",0,0,0,"no_spec"
"M40d",27,"1104_2",739,3059.58,341.1075703,7.989476214,"Polar",0,0,0,"no_spec"
"M40d",28,"1122_0",758,16905.304,345.0737002,1.354297573,"Polar",0,0,0,"no_spec"
"M40d",29,"371_0",828,2646.96,194.1021028,2.208828155,"Polar",0,0,0,"no_spec"
"M40d",30,"230_3",852,1979.535,165.0411001,6.129615534,"Polar",0,0,0,"no_spec"
"M40d",31,"782_0",937,11761.47,281.1222503,1.102965049,"Polar",0,0,0,"no_spec"
"M40d",32,"4823_0",1049,14802.785,1049.282101,1.505097087,"Polar",0,0,0,"no_spec"
"M40d",33,"3062_0",1074,14018.426,761.2395206,1.304031068,"Polar",0,0,0,"no_spec"
"M40d",34,"1449_1",1083,2576.35333333333,415.1467854,7.687877184,"Polar",0,0,0,"no_spec"
"M40d",35,"728_0",1258,20578.928,269.5687414,1.354297573,"Polar",0,0,0,"no_spec"
"M40d",36,"1252_0",1277,35832.6,374.1155428,1.304031068,"Polar",0,0,0,"no_spec"
"M40d",37,"824_0",1313,13819.564,291.013625,1.354297573,"Polar",0,0,0,"no_spec"
"M40d",38,"1607_0",1393,6586.87,448.0972777,1.203498058,"Polar",0,0,0,"no_spec"
"M40d",39,"1366_0",1536,4661.488,397.1698704,2.862292718,"Polar",0,0,0,"no_spec"
"M40d",40,"2776_0",1601,6074.99,677.1364903,1.655896602,"Polar",0,0,0,"no_spec"
"M40d",41,"570_1",1812,3311.41,235.1189753,2.912559223,"Polar",0,0,0,"no_spec"
"M40d",42,"1254_0",1851,6938.63666666667,375.0543851,2.15856165,"Polar",0,0,0,"no_spec"
"M40d",43,"207_1",6,252238.8,160.0594876,6.732813592,"Polar",1,1,1,"matched"
"M40d",44,"212_1",6,3965.826,161.0653902,6.732813592,"Polar",0,0,1,"no_spec"
"M40d",45,"1104_1",9,224743.666666667,341.1075703,6.129615534,"Polar",1,1,1,"matched"
"M40d",46,"2795_0",9,14762.43,683.2245956,6.129615534,"Polar",0,0,1,"no_spec"
"M40d",47,"1109_1",9,13759.3833333333,342.1134728,6.129615534,"Polar",0,0,1,"no_spec"
"M40d",48,"1316_1",9,11122.415,387.1108453,6.129615534,"Polar",0,0,1,"no_spec"
"M40d",49,"1105_1",9,1423.47,341.1458904,6.179882039,"Polar",0,0,1,"no_spec"
"M40d",50,"1783_0",50,242107.64,483.0787352,3.264424757,"Polar",1,1,1,"matched"
"M40d",51,"1790_0",50,46425.2633333333,484.0846377,3.314691262,"Polar",0,0,1,"no_spec"
"M40d",52,"591_1",50,30131.83,241.0346401,3.415224272,"Polar",0,0,1,"no_spec"
"M40d",53,"4363_0",50,12291.9,967.1621354,3.163891748,"Polar",0,0,1,"no_spec"
"M40d",54,"1797_0",50,7148.98,485.0857502,3.264424757,"Polar",0,0,1,"no_spec"
"M40d",55,"346_2",54,428411,191.0556551,5.727483495,"Polar",1,1,1,"matched"
"M40d",56,"354_1",54,9971.66,192.0567676,5.67721699,"Polar",0,0,1,"no_spec"
"M40d",57,"4078_0",154,10554.9,923.9035373,6.682547087,"Polar",1,1,1,"no_spec"
"M40d",58,"4080_0",154,9126.89,924.4064885,6.984146117,"Polar",0,0,1,"no_spec"
"M40d",59,"4087_0",154,4410.4,924.9046498,6.783080097,"Polar",0,0,1,"no_spec"
"M40d",60,"4095_0",154,1491.03,925.407601,6.933879612,"Polar",0,0,1,"no_spec"
"M40d",61,"1898_0",184,14794.52,504.1643679,8.291075243,"Polar",0,0,1,"no_spec"
"M40d",62,"2113_0",184,8309.16,549.1665304,8.291075243,"Polar",0,0,1,"no_spec"
