"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"N22",1,"244_0",14,67796.8,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"N22",2,"898_0",18,19696.8366666667,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"N22",3,"3384_0",24,2989.188,824.4820487,3.616290291,"Polar",0,0,0,"no_spec"
"N22",4,"2428_2",41,10792.795,609.1231103,4.521087379,"Polar",0,0,0,"no_spec"
"N22",5,"1613_0",44,3645.21,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"N22",6,"346_2",54,25343.242,191.0556551,5.727483495,"Polar",0,0,0,"no_spec"
"N22",7,"1318_0",59,28283.44,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"N22",8,"447_2",76,7485.408,209.0277801,8.240808738,"Polar",0,0,0,"no_spec"
"N22",9,"815_0",77,5454.85,289.0353501,1.454830583,"Polar",0,0,0,"no_spec"
"N22",10,"296_1",89,3395.6375,180.0673677,4.923219417,"Polar",0,0,0,"no_spec"
"N22",11,"53_0",98,441845.8,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"N22",12,"105_1",147,114423.6,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"N22",13,"90_0",148,31085.2,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"N22",14,"3283_0",157,167558.72,808.4834087,2.560693689,"Polar",0,0,0,"no_spec"
"N22",15,"329_0",159,6270.1175,187.0224651,2.46016068,"Polar",0,0,0,"no_spec"
"N22",16,"2302_0",169,3789.9325,586.7920745,4.822686408,"Polar",0,0,0,"no_spec"
"N22",17,"2113_0",184,20474.496,549.1665304,8.291075243,"Polar",0,0,0,"no_spec"
"N22",18,"3036_0",190,72572.76,755.1609954,3.264424757,"Polar",0,0,0,"no_spec"
"N22",19,"515_1",225,26066.4,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"N22",20,"100_1",270,4888.40333333333,131.0463851,6.682547087,"Polar",0,0,0,"no_spec"
"N22",21,"720_3",282,38857.22,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"N22",22,"221_0",287,17769.706,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"N22",23,"3036_0",325,75422.64,755.1609954,3.264424757,"Polar",0,0,0,"no_spec"
"N22",24,"2790_1",385,3152.8,681.1313603,6.079349029,"Polar",0,0,0,"no_spec"
"N22",25,"607_0",397,12694.172,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"N22",26,"5857_0",410,24010.54,1387.298876,4.420554369,"Polar",0,0,0,"no_spec"
"N22",27,"449_2",443,5190.886,209.0661002,5.425884466,"Polar",0,0,0,"no_spec"
"N22",28,"1001_0",487,13844.166,323.0971252,6.682547087,"Polar",0,0,0,"no_spec"
"N22",29,"2440_0",491,2025.99666666667,610.7900345,4.722153398,"Polar",0,0,0,"no_spec"
"N22",30,"263_1",495,242193.3,173.0452101,3.666556796,"Polar",0,0,0,"no_spec"
"N22",31,"4018_0",498,1343.66,913.1834905,6.481481068,"Polar",0,0,0,"no_spec"
"N22",32,"560_0",524,228346.99,233.1311203,2.812026214,"Polar",0,0,0,"no_spec"
"N22",33,"4863_0",546,3225.81333333333,1059.221376,5.023752427,"Polar",0,0,0,"no_spec"
"N22",34,"375_1",547,17674.368,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"N22",35,"287_0",553,12306.6875,177.0544501,1.304031068,"Polar",0,0,0,"no_spec"
"N22",36,"59_0",600,2742.734,117.01644,1.354297573,"Polar",0,0,0,"no_spec"
"N22",37,"2501_0",605,3392.794,624.3074483,6.029082524,"Polar",0,0,0,"no_spec"
"N22",38,"108_0",663,19933.82,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"N22",39,"145_2",665,5517.37333333333,145.0619602,5.978816019,"Polar",0,0,0,"no_spec"
"N22",40,"211_0",729,7390.7225,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"N22",41,"1104_2",739,3392.4925,341.1075703,7.989476214,"Polar",0,0,0,"no_spec"
"N22",42,"795_1",747,2032.76,285.0596401,3.163891748,"Polar",0,0,0,"no_spec"
"N22",43,"2168_0",754,15670.4,563.1389953,1.907229126,"Polar",0,0,0,"no_spec"
"N22",44,"230_2",777,4477.015,165.0411001,5.275084951,"Polar",0,0,0,"no_spec"
"N22",45,"709_0",782,42256.14,263.1405454,2.761759709,"Polar",0,0,0,"no_spec"
"N22",46,"371_0",828,5402.502,194.1021028,2.208828155,"Polar",0,0,0,"no_spec"
"N22",47,"701_2",912,2102.0275,262.0580026,7.084679126,"Polar",0,0,0,"no_spec"
"N22",48,"4765_0",945,4079.526,1038.528524,4.370287864,"Polar",0,0,0,"no_spec"
"N22",49,"211_1",1050,9880.0925,161.0462301,3.364957767,"Polar",0,0,0,"no_spec"
"N22",50,"975_1",1056,15506.534,319.1309953,2.610960194,"Polar",0,0,0,"no_spec"
"N22",51,"167_0",1092,1452.6,151.0590551,2.35962767,"Polar",0,0,0,"no_spec"
"N22",52,"1449_1",1101,4873.89,415.1467854,7.687877184,"Polar",0,0,0,"no_spec"
"N22",53,"200_0",1228,2348.77666666667,159.010475,1.153231553,"Polar",0,0,0,"no_spec"
"N22",54,"1195_0",1234,8253.002,361.0962902,1.153231553,"Polar",0,0,0,"no_spec"
"N22",55,"3189_0",1322,2836.92,793.1266303,3.566023786,"Polar",0,0,0,"no_spec"
"N22",56,"3041_0",1334,16765.466,756.1668979,2.912559223,"Polar",0,0,0,"no_spec"
"N22",57,"1103_1",1432,2296.614,341.0884102,3.163891748,"Polar",0,0,0,"no_spec"
"N22",58,"27_0",1467,5553.414,103.0487651,2.812026214,"Polar",0,0,0,"no_spec"
"N22",59,"4625_0",1583,2341.42,1013.558191,2.962825728,"Polar",0,0,0,"no_spec"
"N22",60,"42_1",1693,2151.645,111.0432951,4.01842233,"Polar",0,0,0,"no_spec"
