"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"T67a",1,"244_1",5,13073.28,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"T67a",2,"244_0",14,426639,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"T67a",3,"898_0",18,92623.23,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"T67a",4,"1318_0",59,73580.096,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"T67a",5,"447_2",76,43566.15,209.0277801,8.240808738,"Polar",0,0,0,"no_spec"
"T67a",6,"53_0",98,189116.4,115.004635,2.912559223,"Polar",0,0,0,"no_spec"
"T67a",7,"1651_0",138,473699.38,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"T67a",8,"105_1",147,7325.6,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"T67a",9,"90_0",148,20104.686,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"T67a",10,"2465_0",207,22173.81,615.0962552,1.856962621,"Polar",0,0,0,"no_spec"
"T67a",11,"1674_0",217,450148.584,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"T67a",12,"1040_1",232,15809.6633333333,331.0677052,3.364957767,"Polar",0,0,0,"no_spec"
"T67a",13,"720_3",282,5464.8,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"T67a",14,"221_0",287,2402.81,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"T67a",15,"88_1",296,2837.15,128.0334676,4.068688835,"Polar",0,0,0,"no_spec"
"T67a",16,"293_3",307,5539.364,179.0566751,4.521087379,"Polar",0,0,0,"no_spec"
"T67a",17,"4017_0",322,3352.17666666667,913.1451704,4.822686408,"Polar",0,0,0,"no_spec"
"T67a",18,"112_0",367,18003.34,135.0268851,5.375617961,"Polar",0,0,0,"no_spec"
"T67a",19,"607_0",397,13273.192,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"T67a",20,"420_2",403,23216.12,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"T67a",21,"303_2",444,5515.192,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"T67a",22,"439_1",525,2406.81666666667,207.0830352,4.169221845,"Polar",0,0,0,"no_spec"
"T67a",23,"375_1",547,22960.36,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"T67a",24,"159_1",573,6219.01,149.0472501,4.11895534,"Polar",0,0,0,"no_spec"
"T67a",25,"108_0",663,5130.802,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
