"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"T67b",1,"244_1",5,4220.61,169.01202,2.761759709,"Polar",0,0,0,"no_spec"
"T67b",2,"244_0",14,65708.32,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"T67b",3,"1318_0",59,119835.48,387.1635354,2.058028641,"Polar",0,0,0,"no_spec"
"T67b",4,"447_2",76,13053.864,209.0277801,8.240808738,"Polar",0,0,0,"no_spec"
"T67b",5,"2239_0",83,278235.631578947,577.1354103,2.661226699,"Polar",0,0,0,"no_spec"
"T67b",6,"150_0",98,58383.18,147.0306551,2.912559223,"Polar",0,0,0,"no_spec"
"T67b",7,"1574_0",136,238723.82,441.0799102,1.153231553,"Polar",0,0,0,"no_spec"
"T67b",8,"1651_0",138,53548.2,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"T67b",9,"105_1",147,13597.245,133.01508,4.068688835,"Polar",0,0,0,"no_spec"
"T67b",10,"90_0",148,10758.29,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"T67b",11,"1530_0",216,44087.772,433.0758002,1.304031068,"Polar",0,0,0,"no_spec"
"T67b",12,"1674_0",217,467429.4,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"T67b",13,"515_1",225,21856.09,223.0433551,7.084679126,"Polar",0,0,0,"no_spec"
"T67b",14,"1599_0",256,146172.84,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"T67b",15,"720_3",282,8747.804,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"T67b",16,"221_0",287,4245.865,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"T67b",17,"293_3",307,7369.335,179.0566751,4.521087379,"Polar",0,0,0,"no_spec"
"T67b",18,"112_0",367,6485.40666666667,135.0268851,5.375617961,"Polar",0,0,0,"no_spec"
"T67b",19,"1124_0",397,50732.74,345.1551304,1.605630097,"Polar",0,0,0,"no_spec"
"T67b",20,"420_2",403,37523.142,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"T67b",21,"345_2",406,8956.05,191.017335,6.330681553,"Polar",0,0,0,"no_spec"
"T67b",22,"303_2",444,2726.92,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"T67b",23,"375_1",547,12390.414,195.0505251,6.833346602,"Polar",0,0,0,"no_spec"
"T67b",24,"2939_0",618,83278.82,729.1464404,3.013092233,"Polar",0,0,0,"no_spec"
"T67b",25,"108_0",663,21334.958,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
