"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"T76",1,"1898_0",3,2765.032,504.1643679,8.291075243,"Polar",0,0,0,"no_spec"
"T76",2,"244_0",14,700551.6,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"T76",3,"898_0",18,18986.37,305.0675202,1.253764563,"Polar",0,0,0,"no_spec"
"T76",4,"1613_0",44,131279.773333333,449.1079703,1.253764563,"Polar",0,0,0,"no_spec"
"T76",5,"1783_0",50,153469.322,483.0787352,3.264424757,"Polar",0,0,0,"no_spec"
"T76",6,"447_2",76,15814.928,209.0277801,8.240808738,"Polar",0,0,0,"no_spec"
"T76",7,"988_0",78,91988.7,321.0230501,2.46016068,"Polar",0,0,0,"no_spec"
"T76",8,"1545_0",84,485075.5,435.0923952,1.304031068,"Polar",0,0,0,"no_spec"
"T76",9,"1343_1",113,6479.705,393.0456701,4.068688835,"Polar",0,0,0,"no_spec"
"T76",10,"1651_0",138,98247.4444444444,457.0785502,1.505097087,"Polar",0,0,0,"no_spec"
"T76",11,"90_0",148,22806.52,128.9579399,3.566023786,"Polar",0,0,0,"no_spec"
"T76",12,"244_0",149,259539.1,169.01202,1.505097087,"Polar",0,0,0,"no_spec"
"T76",13,"2339_2",184,5329.1625,593.1532104,8.291075243,"Polar",0,0,0,"no_spec"
"T76",14,"2359_0",189,1317.92,597.1816105,4.269754854,"Polar",0,0,0,"no_spec"
"T76",15,"1674_0",217,535597.74,463.0852252,1.756429612,"Polar",0,0,0,"no_spec"
"T76",16,"2304_0",218,56332.4,587.1034253,1.555363592,"Polar",0,0,0,"no_spec"
"T76",17,"1599_0",256,239688.1,447.0913752,1.203498058,"Polar",0,0,0,"no_spec"
"T76",18,"720_3",282,6307.368,267.0731452,7.386278155,"Polar",0,0,0,"no_spec"
"T76",19,"221_0",287,1214.85,163.0388751,2.912559223,"Polar",0,0,0,"no_spec"
"T76",20,"4016_0",288,97006.002,913.1116403,3.214158252,"Polar",0,0,0,"no_spec"
"T76",21,"88_1",296,33439.68,128.0334676,4.068688835,"Polar",0,0,0,"no_spec"
"T76",22,"261_1",347,6285.32333333333,173.00689,5.77775,"Polar",0,0,0,"no_spec"
"T76",23,"3060_0",359,397624.32,761.1006103,2.711493204,"Polar",0,0,0,"no_spec"
"T76",24,"27_3",375,54747.54,103.0487651,6.933879612,"Polar",0,0,0,"no_spec"
"T76",25,"2427_0",394,34488.182,609.0895802,2.058028641,"Polar",0,0,0,"no_spec"
"T76",26,"607_0",397,51974.322,243.0608152,1.655896602,"Polar",0,0,0,"no_spec"
"T76",27,"890_0",398,72451.54,304.0376676,2.711493204,"Polar",0,0,0,"no_spec"
"T76",28,"420_2",403,28083.98,203.0211051,7.788410194,"Polar",0,0,0,"no_spec"
"T76",29,"293_4",405,14412.098,179.0566751,5.425884466,"Polar",0,0,0,"no_spec"
"T76",30,"1083_0",429,41563.562,337.0935402,2.108295146,"Polar",0,0,0,"no_spec"
"T76",31,"106_1",436,2970.705,133.0486101,5.576683981,"Polar",0,0,0,"no_spec"
"T76",32,"303_2",444,11353.43,181.0684802,4.068688835,"Polar",0,0,0,"no_spec"
"T76",33,"230_1",452,7398.325,165.0411001,3.264424757,"Polar",0,0,0,"no_spec"
"T76",34,"422_1",458,9653.314,203.0833752,3.91788932,"Polar",0,0,0,"no_spec"
"T76",35,"965_0",466,8246.37,317.0377601,3.767089806,"Polar",0,0,0,"no_spec"
"T76",36,"1001_0",487,4785.46333333333,323.0971252,6.682547087,"Polar",0,0,0,"no_spec"
"T76",37,"2504_1",493,31275.6375,625.0834302,2.962825728,"Polar",0,0,0,"no_spec"
"T76",38,"136_1",510,5590.9,142.0490426,3.314691262,"Polar",0,0,0,"no_spec"
"T76",39,"227_0",565,29741.458,164.0735177,3.817356311,"Polar",0,0,0,"no_spec"
"T76",40,"2372_0",659,25082.9625,599.1024053,1.404564078,"Polar",0,0,0,"no_spec"
"T76",41,"108_0",663,46243.06,134.0449326,1.555363592,"Polar",0,0,0,"no_spec"
"T76",42,"266_2",701,18003.604,174.0511126,6.632280583,"Polar",0,0,0,"no_spec"
"T76",43,"1612_0",723,18020.59,449.0744402,1.505097087,"Polar",0,0,0,"no_spec"
"T76",44,"211_0",729,10783.102,161.0462301,2.058028641,"Polar",0,0,0,"no_spec"
"T76",45,"4062_0",752,11860.115,921.1732304,1.605630097,"Polar",0,0,0,"no_spec"
"T76",46,"230_2",777,12464.666,165.0411001,5.275084951,"Polar",0,0,0,"no_spec"
"T76",47,"1803_0",852,35751.4,486.182663,6.129615534,"Polar",0,0,0,"no_spec"
"T76",48,"591_1",1033,13467.5,241.0346401,3.415224272,"Polar",0,0,0,"no_spec"
