"","species_code","percent_extracted","Extraction_Number","sample_name"
"1","IngA",22.9,1885,"IngA_acuminata"
"2","IngA",20.7,1708,"IngA_acuminata"
"3","IngA",29.9,1884,"IngA_acuminata"
"4","IngA",27.9,1620,"IngA_acuminata"
"5","IngA",27.5,1619,"IngA_acuminata"
"6","IngA",22.9,1677,"IngA_acuminata"
"7","IngA",27,1682,"IngA_acuminata"
"8","IngC",22.3,1625,"IngC_cocleensis"
"9","IngC",25.1,1678,"IngC_cocleensis"
"10","IngC",32.5,1626,"IngC_cocleensis"
"11","IngC",23.8,1681,"IngC_cocleensis"
"12","IngC",30.2,1679,"IngC_cocleensis"
"13","IngF",42.3,1887,"IngF_laurina"
"14","IngF",32.3,1683,"IngF_laurina"
"15","IngF",42.6,1594,"IngF_laurina"
"16","IngF",29.1,2223,"IngF_laurina"
"17","IngF",34.1,1593,"IngF_laurina"
"18","IngF",42.9,1886,"IngF_laurina"
"19","IngF",30.9,1595,"IngF_laurina"
"20","IngF",40.7,1598,"IngF_laurina"
"21","IngG",47.9,1707,"IngG_goldmanii"
"22","IngG",45.5,1623,"IngG_goldmanii"
"23","IngG",40.1,1680,"IngG_goldmanii"
"24","IngG",45.8,1592,"IngG_goldmanii"
"25","IngG",46,1624,"IngG_goldmanii"
"26","IngM",27.6,1562,"IngM_marginata"
"27","IngM",29.2,1616,"IngM_marginata"
"28","IngM",35.8,1606,"IngM_marginata"
"29","IngM",32.8,1563,"IngM_marginata"
"30","IngM",35.2,1609,"IngM_marginata"
"31","IngM",NA,807,"IngM_marginata"
"32","IngMu",37.3,1586,"IngMu_thibaudiana"
"33","IngMu",37.3,1607,"IngMu_thibaudiana"
"34","IngMu",32.9,1561,"IngMu_thibaudiana"
"35","IngMu",36.3,1608,"IngMu_thibaudiana"
"36","IngMu",40.9,1605,"IngMu_thibaudiana"
"37","IngO",32.4,1589,"IngO_oerstediana"
"38","IngO",38.8,1584,"IngO_oerstediana"
"39","IngO",25.6,2212,"IngO_oerstediana"
"40","IngO",34.7,1587,"IngO_oerstediana"
"41","IngO",31.3,1568,"IngO_oerstediana"
"42","IngP",23.4,879,"IngP_pezizifera.aff"
"43","IngP",NA,812,"IngP_pezizifera.aff"
"44","IngP",39.1,1610,"IngP_pezizifera.aff"
"45","IngP",47.5,1603,"IngP_pezizifera.aff"
"46","IngP",34.8,1570,"IngP_pezizifera.aff"
"47","IngP",38,1604,"IngP_pezizifera.aff"
"48","IngP",37.7,1569,"IngP_pezizifera.aff"
"49","IngPu",27.4,1583,"IngPu_punctata"
"50","IngPu",34.6,1585,"IngPu_punctata"
"51","IngPu",27.7,1582,"IngPu_punctata"
"52","IngQ",42,1566,"IngQ_nobilis"
"53","IngQ",NA,809,"IngQ_nobilis"
"54","IngQ",35.3,1565,"IngQ_nobilis"
"55","IngQ",37.7,1567,"IngQ_nobilis"
"56","IngQ",36.9,1615,"IngQ_nobilis"
"57","IngQ",32,1571,"IngQ_nobilis"
"58","IngR",49.4,1618,"IngR_ruiziana"
"59","IngR",37,1711,"IngR_ruiziana"
"60","IngR",42.4,1617,"IngR_ruiziana"
"61","IngR",38.2,1710,"IngR_ruiziana"
"62","IngR",NA,808,"IngR_ruiziana"
"63","IngR",36.5,1709,"IngR_ruiziana"
"64","IngS",39.3,1694,"IngS_sapindoides"
"65","IngS",48.9,1596,"IngS_sapindoides"
"66","IngS",43,1676,"IngS_sapindoides"
"67","IngS",37.6,2162,"IngS_sapindoides"
"68","IngS",39.4,1597,"IngS_sapindoides"
"69","IngS",17.3,1938,"IngS_sapindoides"
"70","IngSp",20.6,1937,"IngSp_spectabilis"
"71","IngSp",37.1,1935,"IngSp_spectabilis"
"72","IngU",NA,811,"IngU_umbellifera"
"73","IngU",43.8,1406,"IngU_umbellifera"
"74","IngU",46,1402,"IngU_umbellifera"
"75","IngU",16.7,1940,"IngU_umbellifera"
"76","IngU",44.9,1404,"IngU_umbellifera"
"77","IngU",20.1,1943,"IngU_umbellifera"
"78","IngU",16.4,1942,"IngU_umbellifera"
"79","IngU",32.5,1932,"IngU_umbellifera"
"80","IngU",53.2,1933,"IngU_umbellifera"
"81","IngU",45.2,1405,"IngU_umbellifera"
"82","IngU",47.8,1407,"IngU_umbellifera"
"83","IngU",16.2,1941,"IngU_umbellifera"
"84","IngU",43.6,1934,"IngU_umbellifera"
"85","IngU",41.8,1928,"IngU_umbellifera"
"86","IngU",20.5,1931,"IngU_umbellifera"
"87","IngU",50,1930,"IngU_umbellifera"
"88","IngU",45.2,1401,"IngU_umbellifera"
"89","IngV",35.4,1622,"IngV_vera"
"90","IngV",NA,810,"IngV_vera"
"91","IngV",34.8,1705,"IngV_vera"
"92","IngV",31.3,1581,"IngV_vera"
"93","IngV",37.3,1706,"IngV_vera"
"94","IngV",31.5,1929,"IngV_vera"
"95","IngV",15.8,1939,"IngV_vera"
"96","IngV",32.1,1621,"IngV_vera"
"97","LA1",41.7,690,"LA1_edulis"
"98","LA1",36.9,689,"LA1_edulis"
"99","LA1",44.1,708,"LA1_edulis"
"100","LA1",39.2,1059,"LA1_edulis"
"101","LA1",32.5,1060,"LA1_edulis"
"102","LA10",48,641,"LA10_umbellifera"
"103","LA10",45.8,1399,"LA10_umbellifera"
"104","LA10",48.7,1408,"LA10_umbellifera"
"105","LA10",45.2,642,"LA10_umbellifera"
"106","LA10",43.2,1400,"LA10_umbellifera"
"107","LA10",46.5,643,"LA10_umbellifera"
"108","LA12",57.9,1055,"LA12_capitata12"
"109","LA12",36.3,631,"LA12_capitata12"
"110","LA12",43.1,634,"LA12_capitata12"
"111","LA12",50.5,632,"LA12_capitata12"
"112","LA12",59.4,1056,"LA12_capitata12"
"113","LA13",33.4,2168,"LA13_cylindrica"
"114","LA13",44,1394,"LA13_cylindrica"
"115","LA13",37,1397,"LA13_cylindrica"
"116","LA13",40.6,693,"LA13_cylindrica"
"117","LA13",33.4,694,"LA13_cylindrica"
"118","LA13",37.2,711,"LA13_cylindrica"
"119","LA13",34.7,1396,"LA13_cylindrica"
"120","LA17",39.6,712,"LA17_LA17"
"121","LA17",62.7,1393,"LA17_LA17"
"122","LA17",54.8,705,"LA17_LA17"
"123","LA17",56.7,713,"LA17_LA17"
"124","LA17",42.2,1380,"LA17_LA17"
"125","LA17",56,1382,"LA17_LA17"
"126","LA18",47.5,672,"LA18_pitmanii"
"127","LA18",39.4,1538,"LA18_pitmanii"
"128","LA18",49.3,671,"LA18_pitmanii"
"129","LA18",NA,1635,"LA18_pitmanii"
"130","LA18",34.5,1527,"LA18_pitmanii"
"131","LA18",33.6,673,"LA18_pitmanii"
"132","LA19",30.4,1890,"LA19_pitmanii"
"133","LA19",45,680,"LA19_pitmanii"
"134","LA19",43.4,681,"LA19_pitmanii"
"135","LA19",31,1896,"LA19_pitmanii"
"136","LA19",45.4,682,"LA19_pitmanii"
"137","LA19",38.3,1523,"LA19_pitmanii"
"138","LA19",30.2,1881,"LA19_pitmanii"
"139","LA19",33,1880,"LA19_pitmanii"
"140","LA19",40.4,1415,"LA19_pitmanii"
"141","LA19",16,1889,"LA19_pitmanii"
"142","LA2",32.5,2139,"LA2_heterophylla"
"143","LA2",35,627,"LA2_heterophylla"
"144","LA2",25.3,1441,"LA2_heterophylla"
"145","LA2",38.9,1442,"LA2_heterophylla"
"146","LA2",35.6,628,"LA2_heterophylla"
"147","LA2",45.6,633,"LA2_heterophylla"
"148","LA20a",37.7,1738,"LA20a_nobilis"
"149","LA20a",23.5,714,"LA20a_nobilis"
"150","LA20a",33.1,1510,"LA20a_nobilis"
"151","LA20a",45.3,1731,"LA20a_nobilis"
"152","LA20a",32.1,1729,"LA20a_nobilis"
"153","LA20a",22.6,1733,"LA20a_nobilis"
"154","LA20a",23.3,1555,"LA20a_nobilis"
"155","LA20b",17,1730,"LA20b_nobilis"
"156","LA20b",21.2,702,"LA20b_nobilis"
"157","LA20b",22.8,1745,"LA20b_nobilis"
"158","LA20b",36.4,1728,"LA20b_nobilis"
"159","LA20b",21.7,1732,"LA20b_nobilis"
"160","LA20b",20.3,1748,"LA20b_nobilis"
"161","LA20b",31.1,701,"LA20b_nobilis"
