samp_1,samp_2,samp_1,samp_2,type
gracilifolia,kursarii,N18,T55,Sister_Species
kursarii,gracilifolia,T55,N18,Sister_Species
glomeriflora,LA17,M26,LA17,Sister_Species
LA17,glomeriflora,LA17,M26,Sister_Species
nobilis,vismiifolia,T07,T11,Sister_Species
vismiifolia,nobilis,T11,T07,Sister_Species
goldmanii,vera,IngG,IngV,Sister_Species
vera,goldmanii,IngV,IngG,Sister_Species
brachyrhachis.aff,capitata33,T35,T33,Sister_Species
capitata33,brachyrhachis.aff,T33,T35,Sister_Species
capitata35,capitata12,LA35,LA12,Sister_Species
capitata12,capitata35,LA12,LA35,Sister_Species
fastuosa,velutina,N15,T12,Sister_Species
velutina,fastuosa,T12,N15,Sister_Species
venusta,longipedunculata,T09,N29,Sister_Species
longipedunculata,venusta,N29,T09,Sister_Species
marginata,bourgonii,LA43,T60,Sister_Species
bourgonii,marginata,T60,LA43,Sister_Species
paraensis,M25,M28,M25,Sister_Species
M25,paraensis,M25,M28,Sister_Species
sertulifera,jenmanii,T23,N21,Sister_Species
jenmanii,sertulifera,N21,T23,Sister_Species
grandiflora,longiflora,M15,N28,Sister_Species
longiflora,grandiflora,N28,M15,Sister_Species
alata,pezizifera.aff,N4,IngP,Sister_Species
pezizifera.aff,alata,IngP,N4,Sister_Species
alba,M27,LA3,M27b,Sister_Species
M27,alba,M27b,LA3,Sister_Species
brachystachys,obidensis,N8,M4,Sister_Species
obidensis,brachystachys,M4,N8,Sister_Species
umbellifera,T50,N65,T50,Sister_Species
T50,umbellifera,T50,N65,Sister_Species
sapindoides,striata,T05,N1,Sister_Species
striata,sapindoides,N1,T05,Sister_Species
subcapitata,acuminata,T63,IngA,Sister_Species
acuminata,subcapitata,IngA,T63,Sister_Species
T18,pitmanii,T18,LA19,Sister_Species
pitmanii,T18,LA19,T18,Sister_Species
M18,nouragensis,M18,N34,Sister_Species
nouragensis,M18,N34,M18,Sister_Species
heterophylla,virgultosa,LA2,N46,Sister_Species
virgultosa,heterophylla,N46,LA2,Sister_Species
brachystachys.aff,umbratica,LA32,T74,Sister_Species
umbratica,brachystachys.aff,T74,LA32,Sister_Species
umbellifera.aff,M71,N66,M71,Sister_Species
M71,umbellifera.aff,M71,N66,Sister_Species
fosteriana,setosa,LA42,LA26,Sister_Species
setosa,fosteriana,LA26,LA42,Sister_Species
rubiginosa,cayennensis,N39,N11,Sister_Species
cayennensis,rubiginosa,N11,N39,Sister_Species
leiocalycina,leiocalycina.aff,N26,T65,Sister_Species
leiocalycina.aff,leiocalycina,T65,N26,Sister_Species
spectabilis,splendens,LA31,N40,Sister_Species
splendens,spectabilis,N40,LA31,Sister_Species
suaveolens,T85,LA44,T85,Sister_Species
T85,suaveolens,T85,LA44,Sister_Species
cylindrica,coruscans,T19,LA59,Sister_Species
coruscans,cylindrica,LA59,T19,Sister_Species
edulis,oerstediana,T67a,IngO,Sister_Species
oerstediana,edulis,IngO,T67a,Sister_Species
thibaudiana,aria,IngMu,T62,Sister_Species
aria,thibaudiana,T62,IngMu,Sister_Species
chartacea,acrocephala,LA52,N3,Sister_Species
acrocephala,chartacea,N3,LA52,Sister_Species
