Species_Code,Species,Overal_Keep,Site
IngA,acuminata,Keep,Panama
IngC,cocleensis,Keep,Panama
IngF,laurina,Keep,Panama
IngG,goldmanii,Keep,Panama
IngM,marginata,remove,Panama
IngMu,thibaudiana,Keep,Panama
IngO,oerstediana,Keep,Panama
IngP,pezizifera.aff,Keep,Panama
IngPu,punctata,remove,Panama
IngQ,nobilis,remove,Panama
IngR,ruiziana,Keep,Panama
IngS,sapindoides,remove,Panama
IngSp,spectabilis,remove,Panama
IngU,umbellifera,remove,Panama
IngV,vera,Keep,Panama
LA1,edulis,remove,LA
LA10,umbellifera,remove,LA
LA12,capitata12,Keep,LA
LA13,cylindrica,remove,LA
LA17,LA17,Keep,LA
LA18,pitmanii,remove,LA
LA19,pitmanii,Keep,LA
LA2,heterophylla,Keep,LA
LA20a,nobilis,remove,LA
LA20b,nobilis,remove,LA
LA22,bourgonii,remove,LA
LA23,alata,remove,LA
LA25,acreana,remove,LA
LA26,setosa,Keep,LA
LA28,venusta,remove,LA
LA3,alba,Keep,LA
LA31,spectabilis,Keep,LA
LA32,brachystachys.aff,Keep,LA
LA33,capitata33,remove,LA
LA34,tenuistipula,Keep,LA
LA35,capitata35,Keep,LA
LA36,lateriflora,remove,LA
LA37,no phylogney,Remove,LA
LA4,thibaudiana,remove,LA
LA41,LA41,Keep,LA
LA42,fosteriana,Keep,LA
LA43,marginata,Keep,LA
LA44,suaveolens,Keep,LA
LA45,sapindoides,remove,LA
LA46,tomentosa,Keep,LA
LA47,no phylogney,Remove,LA
LA48,LA48,Keep,LA
LA49,ruiziana,remove,LA
LA52,chartacea,Keep,LA
LA55,edulis,remove,LA
LA59,coruscans,Keep,LA
LA6,punctata,Keep,LA
LA60,laurina,remove,LA
LA61,ingoides,Keep,LA
LA62,no phylogney,Remove,LA
LA7,leiocalycina,remove,LA
LA8,auristellae,Keep,LA
LA9,poeppigiana,Keep,LA
M14,leiocalycina,remove,M
M15,grandiflora,Keep,M
M16,rubiginosa,remove,M
M18,M18,Keep,M
M24,cayennensis,remove,M
M25,M25,Keep,M
M26,glomeriflora,Keep,M
M27b,M27,Keep,M
M28,paraensis,Keep,M
M29,alba,remove,M
M31,venusta,remove,M
M32,thibaudiana,remove,M
M36,auristellae,remove,M
M39b,gracilifolia,remove,M
M4,obidensis,Keep,M
M40a,pezizifera,Keep,M
M40b,no phylogney,Remove,M
M40c,no phylogney,Remove,M
M40d,pezizifera,remove,M
M41,ulei,Keep,M
M5,lateriflora,Keep,M
M51,pezizifera,remove,M
M52,no phylogney,Remove,M
M57,capitata12,Keep,M
M59,lomatophylla,remove,M
M60,M18,remove,M
M61,brevialata,Keep,M
M63,umbellifera,remove,M
M65,capitata12,,M
M68,heterophylla,remove,M
M69,splendens,remove,M
M70,cordatoalata,remove,M
M71,M71,Keep,M
M8,M30,Keep,M
M9,stipularis,Keep,M
N1,striata,Keep,FG
N10,capitata35,remove,FG
N11,cayennensis,Keep,FG
N12,cinnamomea,Keep,FG
N13,cylindrica,remove,FG
N14,edulis,remove,FG
N15,fastuosa,Keep,FG
N16,flagelliformis,Keep,FG
N18,gracilifolia,Keep,FG
N19,grandiflora,remove,FG
N20,huberi,Keep,FG
N21,jenmanii,Keep,FG
N22,acreana,remove,FG
N23,capitata12,remove,FG
N24,lateriflora,remove,FG
N25,laurina,remove,FG
N26,leiocalycina,Keep,FG
N27,lomatophylla,Keep,FG
N28,longiflora,Keep,FG
N29,longipedunculata,Keep,FG
N3,acrocephala,Keep,FG
N30,loubryana,Keep,FG
N31,marginata,remove,FG
N32,melinonis,Keep,FG
N34,nouragensis,Keep,FG
N35,paraensis,remove,FG
N36,pezizifera,remove,FG
N37,poeppigiana,remove,FG
N38,retinocarpa,Keep,FG
N39,rubiginosa,Keep,FG
N4,alata,Keep,FG
N40,splendens,Keep,FG
N41,stipularis,remove,FG
N42,thibaudiana,remove,FG
N46,virgultosa,Keep,FG
N5,alba,remove,FG
N50,Zygia_mediana,Keep,FG
N53,sapindoides,remove,FG
N54,pezizifera,remove,FG
N6,auristellae,remove,FG
N65,umbellifera,Keep,FG
N66,umbellifera.aff,Keep,FG
N67,umbellifera,remove,FG
N7,bourgonii,remove,FG
N8,brachystachys,Keep,FG
N9,brevipes,Keep,FG
T05,sapindoides,Keep,Ec
T07,nobilis,Keep,Ec
T09,venusta,Keep,Ec
T11,vismiifolia,Keep,Ec
T12,velutina,Keep,Ec
T13,no phylogney,Remove,Ec
T18,T18,Keep,Ec
T19,cylindrica,Keep,Ec
T20,laurina,remove,Ec
T21a,T21,Keep,Ec
T22,tenuistipula,remove,Ec
T23,sertulifera,Keep,Ec
T25,multinervis,Keep,Ec
T29,T29,Keep,Ec
T33,capitata33,Keep,Ec
T35,brachyrhachis.aff,Keep,Ec
T49,no phylogney,Remove,Ec
T50,T50,Keep,Ec
T51,T51,Keep,Ec
T55,kursarii,Keep,Ec
T56,acreana,Keep,Ec
T57,alata,remove,Ec
T58,alba,remove,Ec
T59,auristellae,remove,Ec
T60,bourgonii,Keep,Ec
T62,aria,Keep,Ec
T63,subcapitata,Keep,Ec
T64,cordatoalata,Keep,Ec
T65,leiocalycina.aff,Keep,Ec
T67a,edulis,Keep,Ec
T67b,edulis,remove,Ec
T68,punctata,remove,Ec
T69,ruiziana,remove,Ec
T70,spectabilis,remove,Ec
T71,thibaudiana,remove,Ec
T72,microcoma,Keep,Ec
T73,umbellifera,remove,Ec
T74,umbratica,Keep,Ec
T75,no phylogney,Remove,Ec
T76,Zygia_mediana,remove,Ec
T78,no phylogney,Remove,Ec
T82,T82,Keep,Ec
T83,no phylogney,Remove,Ec
T84,cinnamomea,remove,Ec
T85,T85,Keep,Ec
T86,leiocalycina,remove,Ec
T87,no phylogney,Remove,Ec
T88,T88,Remove,Ec
