"","IngA_acuminata","IngC_cocleensis","IngF_laurina","IngG_goldmanii","IngM_marginata","IngMu_thibaudiana","IngO_oerstediana","IngP_pezizifera.aff","IngPu_punctata","IngQ_nobilis","IngR_ruiziana","IngS_sapindoides","IngU_umbellifera","IngV_vera","LA1_edulis","LA10_umbellifera","LA12_capitata12","LA13_cylindrica","LA17_LA17","LA18_pitmanii","LA19_pitmanii","LA2_heterophylla","LA20a_nobilis","LA20b_nobilis","LA22_bourgonii","LA23_alata","LA25_acreana","LA26_setosa","LA28_venusta","LA3_alba","LA31_spectabilis","LA32_brachystachys.aff","LA33_capitata33","LA34_tenuistipula","LA35_capitata35","LA36_lateriflora","LA4_thibaudiana","LA41_LA41","LA42_fosteriana","LA43_marginata","LA44_suaveolens","LA45_sapindoides","LA46_tomentosa","LA48_LA48","LA49_ruiziana","LA55_edulis","LA59_coruscans","LA6_punctata","LA60_laurina","LA61_ingoides","LA7_leiocalycina","LA8_auristellae","LA9_poeppigiana","M14_leiocalycina","M15_grandiflora","M16_rubiginosa","M18_M18","M24_cayennensis","M25_M25","M26_glomeriflora","M27b_M27b","M28_paraensis","M29_alba","M31_venusta","M32_thibaudiana","M36_auristellae","M39b_gracilifolia","M4_obidensis","M40a_pezizifera","M40d_pezizifera","M5_lateriflora","M51_pezizifera","M57_capitata12","M59_lomatophylla","M60_M18","M61_brevialata","M63_umbellifera","M68_heterophylla","M69_splendens","M70_cordatoalata","M71_M71","M8_M30","M9_stipularis","N1_striata","N10_capitata35","N11_cayennensis","N12_cinnamomea","N13_cylindrica","N14_edulis","N15_fastuosa","N16_flagelliformis","N18_gracilifolia","N19_grandiflora","N20_huberi","N21_jenmanii","N22_acreana","N23_capitata12","N24_lateriflora","N25_laurina","N26_leiocalycina","N27_lomatophylla","N28_longiflora","N29_longipedunculata","N3_acrocephala","N30_loubryana","N31_marginata","N32_melinonis","N34_nouragensis","N35_paraensis","N36_pezizifera","N37_poeppigiana","N38_retinocarpa","N39_rubiginosa","N4_alata","N40_splendens","N41_stipularis","N42_thibaudiana","N46_virgultosa","N5_alba","N50_Zygia mediana","N53_sapindoides","N54_pezizifera","N6_auristellae","N65_umbellifera","N66_umbellifera.aff","N67_umbellifera","N7_bourgonii","N8_brachystachys","N9_brevipes","T05_sapindoides","T07_nobilis","T09_venusta","T11_vismiifolia","T12_velutina","T18_T18","T19_cylindrica","T20_laurina","T21a_T21","T22_tenuistipula","T23_sertulifera","T25_multinervis","T29_T29","T33_capitata33","T35_brachyrhachis.aff","T50_T50","T51_T51","T55_kursarii","T56_acreana","T57_alata","T58_alba","T59_auristellae","T60_bourgonii","T62_aria","T63_subcapitata","T64_cordatoalata","T65_leiocalycina.aff","T67a_edulis","T67b_edulis","T68_punctata","T69_ruiziana","T70_spectabilis","T71_thibaudiana","T72_microcoma","T73_umbellifera","T74_umbratica","T76_Zygia mediana","T82_T82","T84_cinnamomea","T85_T85","T86_leiocalycina"
"IngA_acuminata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IngC_cocleensis",0,1,0,0,0,0,0,0,0.434161553512828,0,0,0.000971490964747972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313432153973424,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000705208931851833,0,0,0,0,0,0,0,0,0,0,0.0999529492501774,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0252742696772548,0,0,0,0,0,0,0,0,0,0.0566652479495704,1,0,0,0.000384325602051249,0,1,0,0,0,1,0,0,0.676019346412733,0.000121041700858444,0,0.000134370312517917,0,0,0,0,0.00116163783887373,0,0,0,0,0.000538999104544292,0,0,0.00141101440359982,0,0,0,0.0566282169769356,0,0,0,0,0,0.00259188682724879,0,0,0,0.000134664869371206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110972882949491,0,0,0,0,0,0.00851416094055081,0,0,0,0,0,0,1,0,0,0,0.00310165509732174,0.193274539659965,0,0,1
"IngF_laurina",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IngG_goldmanii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IngM_marginata",0,0,0,0,1,0,0,0.0712659192998537,0,0,0,0.0653640250152667,0,0,0.148396883986488,0,0,0.102700948153226,0.0577998116242708,0.16112646797063,0.157521174047123,0,0,0.158446709915758,0.155621637844339,0.0728678503694621,0.156714114119977,0,0,0.0514927503343101,0,0,0.0374655709865529,0,0,0,0,0,0,0.413896456462642,0,0.0641239024358142,0.16021447231366,0,0,0.141403839081034,0.127385551793442,0,0.120263072456398,0.0624754502772371,0,0.151145797237624,0.00967848976578922,0,0,0,0.194317880717146,0,0.520524150601161,0.022051827881978,0,0.136169949152743,0.0612973017445676,0,0,0.17047704846758,0,0,0.0697501646062425,0.0649829572194395,0,0.0690539650674095,0,0,0.432219431151091,0,0,0,0,0.0940460440754758,0,0,0,0.0477821961441747,0.0493020436318564,0,0,0.119996987012582,0.201558583706639,0,0,0,0,0.0396539314238186,0,0.15935901199766,0,0,0,0,0.0593517340413918,0,0,0.195462326343308,0,0.552338463282419,0.183098573879801,0.111948343004836,0.125462174921508,0.0679230527080895,0,0,0,0.0730217332334484,0,0.0682100848375009,0,0,0.0267654621340741,0,0.043952937109441,0.0639622096463263,0.220483894819717,0,0,0,0.182344738833417,0,0,0.0627341667496687,0,0,0,0,0.13394360769966,0.0844135321883433,0,0.0666644106483405,0,0,0.17368710766975,0.191867535029783,0.110469850596781,0.0128051130561576,0,0.105193050164484,0,0.201244185701574,0.0724318384771307,0.0567074848866305,0.150941078260877,0.248048082061152,0,0,0.125689973940794,0,0.169572099100824,0.0738193068963881,0,0,0,0,0.437631595408958,0,0,0.0536520790939212,0.0682100848375009,0,0,0
"IngMu_thibaudiana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IngO_oerstediana",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IngP_pezizifera.aff",0,0,0,0,0.0712659192998537,0,0,1,0,0,0,0.073505038392756,0,0,0.123147401214005,0,0,0.123149399973822,0.210363818461252,0.104072763229718,0.0558632004314136,0,0,0.077250313464293,0.0716392876848448,0.623892833206573,0.133032700871155,0,0,0.0462089278213928,0,0,0.0364018351217275,0,0,0,0,0,0,0.102781654068849,0,0.0760861662143265,0.12948060279248,0,0,0.088445012509743,0.123406233507715,0,0.119306351844243,0.0789558101709706,0,0.0786954966109553,0.0077791904987367,0,0,0,0.0814894299795981,0,0.0914088284521157,0.019826670694478,0,0.120192312265991,0.0584741477803513,0,0,0.0743232382881657,0,0,0.307624662420795,0.187230519028937,0,0.248341408402583,0,0,0.0945880953563809,0,0,0,0,0.0651580598605586,0,0,0,0.059089922824369,0.0444928694839881,0,0,0.119773812872437,0.0800540013377992,0,0,0,0,0.0479228873747639,0,0.132330020404302,0,0,0,0,0.0509360455350831,0,0,0.0980080988864595,0,0.0976935581453165,0.0963272533497896,0.113474280430266,0.101687883558043,0.254339283679324,0,0,0,0.602056777198789,0,0.0604169620502735,0,0,0.0269135824364385,0,0.0309949516011224,0.212240148781694,0.123962807476166,0,0,0,0.0763033395495729,0,0,0.0803324108799577,0,0,0,0,0.0585751398120413,0.102239193971838,0,0.0907989216287669,0,0,0.0819061086149133,0.0676398139893916,0.0536885942802098,0.0124690943041453,0,0.0984284395746294,0,0.117707876708413,0.668090908448518,0.0506105859051487,0.0716102946227743,0.0725540640446058,0,0,0.0782496694275774,0,0.111773175883994,0.082405678650186,0,0,0,0,0.0687800719768169,0,0,0.0447856337634982,0.0604169620502735,0,0,0
"IngPu_punctata",0,0.434161553512828,0,0,0,0,0,0,1,0,0,0.000971490964747972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000313432153973424,0.434161553512828,0,0,0,0,0,0,0,0,0,0,0,0,0.434161553512828,0.000705208931851833,0,0,0,0,0,0,0,0,0,0.000460981032895163,0.222342087545589,0,0,0.434161553512828,0,0.434161553512828,0,0,0,0,0,0,0,0.00138530521081954,0,0,0,0.0252742696772548,0,0,0,0,0,0,0,0,0,0.0566652479495704,0.434161553512828,0,0,0.000384325602051249,0,0.434161553512828,0,0,0,0.434161553512828,0,0,0.434161553512828,0.000329286525179233,0,0.000134370312517917,0,0,0,0,0.00116163783887373,0,0,0,0,0.000538999104544292,0,0,0.00141101440359982,0,0,0,0.256160896772212,0,0,0,0,0,0.00259188682724879,0,0,0,0.00716137827409538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110972882949491,0,0,0,0,0,0.00851416094055081,0,0,0,0,0,0,0.434161553512828,0,0,0,0.00310165509732174,0.193274539659965,0,0,0.434161553512828
"IngQ_nobilis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
