"","acreana","acrocephala","acuminata","alata","alba","aria","auristellae","bourgonii","brachyrhachis.aff","brachystachys","brachystachys.aff","brevialata","brevipes","capitata12","capitata33","capitata35","cayennensis","chartacea","cinnamomea","cocleensis","cordatoalata","coruscans","cylindrica","edulis","fastuosa","flagelliformis","fosteriana","glomeriflora","goldmanii","gracilifolia","grandiflora","heterophylla","huberi","ingoides","jenmanii","kursarii","LA17","LA41","LA48","lateriflora","laurina","leiocalycina","leiocalycina.aff","lomatophylla","longiflora","longipedunculata","loubryana","M18","M25","M27b","M30","M71","marginata","melinonis","microcoma","multinervis","no phylogney","nobilis","nouragensis","obidensis","oerstediana","paraensis","pezizifera","pezizifera.aff","pitmanii","poeppigiana","punctata","retinocarpa","rubiginosa","ruiziana","sapindoides","sertulifera","setosa","spectabilis","splendens","stipularis","striata","suaveolens","subcapitata","T18","T21","T29","T50","T51","T82","T85","T88","tenuistipula","thibaudiana","tomentosa","ulei","umbellifera","umbellifera.aff","umbratica","velutina","venusta","vera","virgultosa","vismiifolia","Zygia mediana"
"acreana",1,0.25404163710763,0.10042799780777,0.111648165270583,0.12757264348991,0.112243216389944,0.20285809578543,0.151324260020668,0.0865953341877371,0.0978817660720294,0.116124512931745,0.130842756536727,0.104913571711891,0.091509900583512,0.0910351359896663,0.0872565246937594,0.120779080784613,0.210087743650055,0.142133417972939,0.110050030232903,0.0920239111812333,0.138926238333454,0.175535506509237,0.14358507020311,0.160771285206866,0.103943349649025,0.089081983368905,0.100032369217385,0.134845115165584,0.107761672709047,0.140237503194543,0.0862569643432434,0.0791705131016867,0.101284309224702,0.138646155583049,0.0756356756363886,0.084324387787096,0.096892521513753,0.110627958324118,0.108494535742326,0.113690680454127,0.172385672471511,0.12714296825971,0.125530936088592,0.113313886545406,0.113852474521109,0.0954740837362761,0.134642662242045,0.0861419543063881,0.137013229369255,0.116788729569689,0.149378843110813,0.197588053432204,0.163748851895189,0.0945823658418643,0.181629450466007,0.0952191740182085,0.142364064097341,0.125561658178696,0.0954753553581804,0.145631110104017,0.124998567151666,0.136675715289712,0.112693143833233,0.155008970400337,0.162412777686463,0.146137792978196,0.115402700187323,0.13837517454438,0.142432559344911,0.103520600894174,0.12289899525809,0.110605049210691,0.114251013520461,0.113376424784728,0.13825439159721,0.154975065293102,0.138453069928785,0.055366998431799,0.103254790005106,0.0974464864414596,0.128680794770774,0.117600621248322,0.0957961214602762,0.129775486479251,0.0777402278492532,0.0482962311903445,0.0990379886608861,0.149309194951207,0.111829581408006,0.0746811342631767,0.128206314677768,0.105987373046969,0.121657672807724,0.0700108846382215,0.143761048064126,0.119185673474829,0.0847756074556033,0.119213510429058,0.155535984610717
"acrocephala",0.25404163710763,1,0.0993399609110873,0.155863855709244,0.139543449224946,0.140582377527557,0.316903634334765,0.299218547494277,0.137310179966969,0.115551657400291,0.115173423581871,0.146037959352111,0.127163714382021,0.105740674314987,0.135613090412584,0.114423073015109,0.0903760079524576,0.539543778885102,0.187324268034896,0.10817789992242,0.138826961490359,0.122681422436707,0.142639202021029,0.366217762285956,0.195014213252732,0.187190563228542,0.17855351003357,0.113896120727861,0.333135499169753,0.112138060484362,0.194530376322212,0.0874965577881567,0.114984850703482,0.0855890915132064,0.17073726321433,0.0803151859615406,0.0977107815014456,0.111622353918423,0.170274357168042,0.07722693869521,0.130654026666715,0.329922273928442,0.135177205121165,0.0965362730703462,0.196987987075108,0.139316214884126,0.130961733124373,0.0984898279932813,0.0661251877632133,0.151416079018382,0.100831765612081,0.189735173466296,0.206219620113487,0.224497184163827,0.121758429061515,0.281199893418594,0.133493382858441,0.16497539701468,0.102096502110659,0.114061328205207,0.134132640222601,0.129510860068875,0.129768654061689,0.0970501973628368,0.232846596137188,0.183140561833401,0.211239167154784,0.147980532761996,0.183957556213279,0.157255981973713,0.105071629576913,0.155780060959932,0.0883217889925344,0.134811153570966,0.163433229272679,0.159651694570866,0.164834203648955,0.105622051854429,0.0436699170232973,0.121138524445347,0.139684079194022,0.0988563342777886,0.20513328206451,0.0960978332835618,0.182949860455051,0.0576842126613931,0.0429520378743352,0.217760970740575,0.180057406045689,0.133407757906581,0.0821823639474266,0.177271740126504,0.21768013013981,0.123200638579873,0.0941218362559155,0.141530008594372,0.134621945929808,0.136158265006012,0.226179211870357,0.178400020846204
"acuminata",0.10042799780777,0.0993399609110873,1,0.144149137436341,0.129073354249522,0.496771832737567,0.162072832795301,0.198996371778494,0.153289815415112,0.292057443425417,0.351771755318129,0.275765837033596,0.359040555474093,0.264180220684405,0.174426259261294,0.252071519757853,0.288159426066332,0.10918319139046,0.150002603391648,0.585767911448156,0.0910923463301094,0.387732329405534,0.347988883246216,0.1491673300138,0.169904655431063,0.135272460978164,0.14444499431895,0.127709357274454,0.183153916112213,0.305457216258368,0.373528268248928,0.312127538663379,0.0878096536986301,0.344765329779906,0.404447122082211,0.317043564017194,0.132955290948374,0.257076039788028,0.185782520909659,0.28511165473507,0.335491664482413,0.120512608341792,0.131629418469877,0.230945204084951,0.181868534805731,0.49391585700152,0.125141382980558,0.220054248680926,0.128929533258925,0.376943181702549,0.246527456311909,0.212766477532234,0.169041848736598,0.115705277592599,0.194929361926474,0.124024128951015,0.137877111953904,0.134329735957305,0.194457463523078,0.315474634959272,0.440509973412992,0.413378526713806,0.163553553983611,0.33354342995165,0.116415265317878,0.440927269479745,0.151788549628431,0.453001119227071,0.177698901456827,0.4354098765544,0.0764348137253281,0.352052808103661,0.402812939401045,0.341100776159144,0.490675219424923,0.112708411857416,0.0828150501698084,0.19280029217326,0.170259829743325,0.0679020311575297,0.0771414439224793,0.285315999671448,0.117861215110262,0.142234463997856,0.0898087437492688,0.0984434162570454,0.255803260345179,0.132333777152595,0.158450148213163,0.150860867630467,0.366430441622743,0.141744476102566,0.368837653180656,0.208190125899037,0.14208186645575,0.443503450842154,0.479748506985992,0.261742665049472,0.18578714833788,0.336106172114324
"alata",0.111648165270583,0.155863855709244,0.144149137436341,1,0.195148658828104,0.219837497557313,0.270567166222665,0.135056801856947,0.433215408926474,0.239949186067016,0.144953852191154,0.147496938150222,0.0900671971525727,0.25566740324462,0.418389508804347,0.367853500666255,0.110764173019729,0.157971886811842,0.090780368701964,0.159075344987057,0.191090531864026,0.155010692373096,0.17765821696876,0.287714854973623,0.128871948379266,0.090651722506411,0.064933116939514,0.147596259858492,0.156294556308723,0.154941262224246,0.226677075810676,0.201759587603896,0.185366736645838,0.106732376864514,0.244376579559995,0.120756303400174,0.13089191554447,0.103561370269011,0.0802721302348352,0.104998634634768,0.263462568768073,0.153693459504782,0.133696941577399,0.115332959929372,0.306471731128636,0.203341544089999,0.282033027392453,0.11970254770466,0.155207336542373,0.272575280371427,0.0945832240996927,0.104071065637917,0.204941631814922,0.0708399254393642,0.0721030541983982,0.0785088423129211,0.056504722386038,0.0906208757889305,0.107319546934858,0.20932995332692,0.177774365124525,0.24112130101051,0.205028277533749,0.196621176959417,0.0932075327613294,0.237559529303689,0.234319075023191,0.227806608472843,0.251433440069453,0.211570392408438,0.0879908144389917,0.218385028141337,0.137154636871151,0.324921671411791,0.234277368831626,0.161864309753378,0.135654798278396,0.0869544192519591,0.0755451763537887,0.0415424182520061,0.194977854950983,0.109001892870946,0.320884774280868,0.090773062930515,0.198589907727412,0.0499391198538065,0.0512973829030543,0.0815092365594069,0.276084174091636,0.0546287731983008,0.125209447485311,0.185827594014902,0.0931385906973478,0.144372497544826,0.0387284959086788,0.222240005546501,0.213184948999022,0.259900242270716,0.088991654500627,0.316859952909135
"alba",0.12757264348991,0.139543449224946,0.129073354249522,0.195148658828104,1,0.146730389451315,0.26519577839336,0.155227487751528,0.114478799549511,0.157212502449162,0.160225907806592,0.147142988643857,0.124130168750751,0.111857422720081,0.118175210787141,0.114955340181644,0.142705804289206,0.122780215765509,0.10629049558707,0.136179342931789,0.207644915527114,0.120056190079787,0.177309378288032,0.242787325242585,0.16338735312287,0.128192004462092,0.0689360942634852,0.161345197324968,0.137932525267717,0.111834937849414,0.166697625904605,0.150426038428297,0.193985548198958,0.140014896873623,0.18877892100585,0.0908621422434181,0.133609888929617,0.105088271714088,0.0993877237208006,0.142014767186725,0.165024682983885,0.223397540756307,0.108564228439451,0.168600647653045,0.220936526066978,0.164845931356261,0.151430821987348,0.133266024809687,0.204618699969771,0.216841379247076,0.133187073061751,0.169628599958353,0.363428999673531,0.07498760137981,0.106275312229609,0.0769522222562722,0.0667535159266719,0.130323662773147,0.104966541826302,0.149025440433837,0.15482287534084,0.16032244853019,0.125991271665258,0.128711984055843,0.0808836417233758,0.228401406134779,0.349616248239975,0.145754845908029,0.298242673716635,0.130553522702623,0.309602927550524,0.170932089069211,0.107518835430579,0.159956340520461,0.153974921625018,0.173825224706219,0.262275612464031,0.107922817252891,0.0581102544937674,0.0460560274008566,0.173959501839057,0.100686715309532,0.173827341278421,0.0890977445855285,0.222117497366489,0.0505367416368828,0.0586931937060174,0.0900159695507996,0.304534447818017,0.0726540006223479,0.106063043237493,0.151003965363041,0.107583885583042,0.178183071820909,0.0506456760892882,0.159853107914461,0.142827299978632,0.120536943826736,0.0995368085287694,0.233081042029026
"aria",0.112243216389944,0.140582377527557,0.496771832737567,0.219837497557313,0.146730389451315,1,0.214635985713768,0.277957401739662,0.217978584614223,0.385489839509733,0.368203533598352,0.268398287313415,0.328700228616347,0.320419354828207,0.239134464185592,0.32155131724013,0.318335362731534,0.136162135716945,0.168241763439458,0.639098274450544,0.123331555476303,0.429043148041438,0.379977581164941,0.211155895255492,0.197351094089773,0.131205340104825,0.145026562226843,0.162938524515427,0.247190435042662,0.332692441074265,0.47044255731175,0.36107943736346,0.121583480086357,0.484481533596862,0.500760042822376,0.352855737716912,0.149092646448917,0.318886557986764,0.151636435297043,0.292763573126764,0.436906861441192,0.151181978182525,0.213150882742994,0.257271057379911,0.246677280042779,0.60022494561452,0.185619655523398,0.2511763300532,0.163149724364458,0.433753496652779,0.284833632295367,0.165063404701457,0.189056551377859,0.145887879380176,0.168549096718659,0.15324712642953,0.164388707922804,0.128162797015656,0.235367006782785,0.476053556531894,0.533213413753919,0.499760056183991,0.190525508170642,0.371997140315775,0.14029371662085,0.443998304203596,0.170883193235289,0.669294553965331,0.206932686967497,0.565553112808552,0.0816650704458551,0.470532796763346,0.464071476400435,0.414585877127924,0.586020939262665,0.183206949230054,0.100103717968287,0.189365648625086,0.172415541700765,0.109426903125812,0.121597333821804,0.296351620416805,0.185940727392948,0.17763847267281,0.136947660442048,0.173382978693548,0.338518879161652,0.127555284946814,0.205466918987767,0.136063997448808,0.581788387051963,0.188380850762625,0.195727380657987,0.244312292771228,0.134121007585438,0.541424532937061,0.699495113936501,0.329052306747277,0.169113930058494,0.431362457774697
"auristellae",0.20285809578543,0.316903634334765,0.162072832795301,0.270567166222665,0.26519577839336,0.214635985713768,1,0.201771230010623,0.204742711385709,0.177511350785945,0.164207807874073,0.182465958375835,0.122752777946269,0.170414085284974,0.209275729671003,0.178801502296506,0.144199250229623,0.257416439184277,0.16027852724653,0.16813322975062,0.231595730952189,0.157226299679199,0.203998458118612,0.372411326745964,0.182814140714467,0.133888918581242,0.115297988811622,0.16428647331414,0.198906949021654,0.161520392525111,0.24833483317281,0.143114259098334,0.194959352806771,0.114159059655963,0.271520904821072,0.138504580183986,0.140159517390131,0.131389247884435,0.12595049589705,0.109558799915708,0.199120972639519,0.303260471515233,0.147979152700192,0.120198259366789,0.41459500646021,0.232056931996161,0.216772365605249,0.137734125213008,0.129641121303004,0.226735551836472,0.141473369214441,0.191007468731304,0.375730764601227,0.14981349442167,0.106633098453166,0.168065116328664,0.100795541241539,0.129621538977998,0.123087404603113,0.177326344035336,0.197492293170781,0.212328789936667,0.175069392904595,0.137882633219307,0.176436433115784,0.307472816203896,0.372891788171548,0.238567239624654,0.385719614746112,0.221231357947981,0.203864840188541,0.223623690543334,0.141950722297598,0.208693691669299,0.225502473231213,0.179262629201137,0.221662306916814,0.112400642655657,0.081171356185531,0.0915305228020251,0.181410908098444,0.12501484207239,0.27235153408236,0.0980736672878594,0.243157081188426,0.0606106524674283,0.0639831517531146,0.134026452532705,0.461721223804986,0.109544250028196,0.135854398297666,0.18301504290584,0.148030922685436,0.190237856346613,0.0637796381802626,0.241914352262516,0.212783883762835,0.169879843900902,0.139295800326348,0.302728062308088
"bourgonii",0.151324260020668,0.299218547494277,0.198996371778494,0.135056801856947,0.155227487751528,0.277957401739662,0.201771230010623,1,0.108092861318625,0.188863769112455,0.222521833285232,0.279494260800306,0.303125665037952,0.104587905927105,0.107423249580048,0.103906978409692,0.236740906911212,0.270647796833564,0.349316898279789,0.247494948407406,0.116628048205914,0.283838110549859,0.339013295342932,0.306412373122381,0.376596080951877,0.332068928720869,0.284390501511395,0.128323987144306,0.491111260795795,0.131766783639931,0.32806744679646,0.130283238629879,0.101822641285869,0.230274344059045,0.280035407350663,0.109971180606284,0.115094125415173,0.243559048785551,0.312773557944341,0.174313732343837,0.155790547058522,0.282780784892598,0.336825389010889,0.215635088072079,0.148864744369504,0.229777421814623,0.122245931367588,0.227255240296972,0.117974464530818,0.247089660721309,0.296355097434664,0.279920054044732,0.209120829342667,0.288295215768163,0.41632976676899,0.329296323254413,0.291134313657087,0.287026479137661,0.274883164681417,0.198822837893108,0.319398972993253,0.237754400732639,0.159265627139386,0.205577451446715,0.308788154435514,0.238136305247898,0.233840137048808,0.229311857723023,0.170472710769536,0.270238312384318,0.0938770644274297,0.208211640041952,0.225855219662633,0.190183410282196,0.217912280692473,0.216832413803163,0.16249562743055,0.300066201959293,0.0702804981805721,0.210594047933579,0.113391636427278,0.216347656043398,0.162025312658272,0.315610180878346,0.166064133221546,0.194210154183385,0.121997049405628,0.346669879358051,0.165544233462695,0.261125596282122,0.167088305639672,0.227604192202615,0.434011525034827,0.294399258098293,0.232622457743255,0.232110838136733,0.200625696047257,0.152615265110761,0.346541413128896,0.220855366963503
"brachyrhachis.aff",0.0865953341877371,0.137310179966969,0.153289815415112,0.433215408926474,0.114478799549511,0.217978584614223,0.204742711385709,0.108092861318625,1,0.236699868624313,0.139588215652074,0.151119203257346,0.0878399539015899,0.315144590952219,0.852948750817144,0.461253972132101,0.106322171439534,0.139661717505517,0.0776407210585882,0.162245934084963,0.168854047380611,0.161043789893875,0.164033481173767,0.229152145499337,0.0801486004470818,0.0779687332383761,0.0684142861413596,0.150809213396892,0.131766296827996,0.179041528984775,0.202531113788323,0.206457944215665,0.171922038208704,0.0918609409828984,0.219670923432926,0.136006476933974,0.142452607180363,0.107542021151348,0.0623550756974443,0.0983319118114482,0.258869877038594,0.124092632643419,0.118827149833258,0.11807066462532,0.277458469412121,0.19215837098253,0.281126479733808,0.113156390244366,0.106249977088254,0.232746650827523,0.0609031713207119,0.0815734022451136,0.129848754989659,0.055076021766666,0.0445155638194696,0.0632850428930856,0.0460582399981674,0.0727308724808111,0.101044487373787,0.205085842013754,0.173519597337313,0.251771035641035,0.157192893875192,0.141715370829449,0.0795402114198533,0.211834118390047,0.149018148864723,0.228239717065488,0.174527130714917,0.230219618431811,0.0604891365167443,0.209944842764174,0.142879126592686,0.358867829684125,0.23308661994166,0.126975147723585,0.0893940719551146,0.0648909083218259,0.0900514153823871,0.0272315112919091,0.181308071031966,0.117284017787938,0.257003382309012,0.0739319934170388,0.163763348666461,0.030432575795245,0.0610238594988938,0.0856990724073398,0.173014481786965,0.0387629471520421,0.137776988770873,0.162751149266014,0.0869783497699986,0.126436516144223,0.027117643809816,0.214884844245107,0.218030683069739,0.315220932691475,0.0808651066708888,0.266225480851306
"brachystachys",0.0978817660720294,0.115551657400291,0.292057443425417,0.239949186067016,0.157212502449162,0.385489839509733,0.177511350785945,0.188863769112455,0.236699868624313,1,0.335470944262007,0.350046804680158,0.472971802725542,0.397560709727722,0.254585945386594,0.381797904444322,0.230570533777056,0.115306243906055,0.181251539148154,0.357168898884634,0.121764381352884,0.311709353087667,0.322324357389195,0.175293150337914,0.247153227603796,0.14615135272709,0.0724284369091687,0.161779582165266,0.183252055940914,0.244063833566012,0.464539810025033,0.713006881835053,0.124510407812922,0.321233344814558,0.569343269093026,0.271739590337556,0.161004319864052,0.177771746616652,0.139558032352237,0.46950382489101,0.607734293992468,0.116977829046803,0.195136692290891,0.355761403980127,0.187556172825343,0.354438891924786,0.393370813092767,0.284598639349368,0.24529887820934,0.497929505840862,0.334944314968322,0.150196319300859,0.164103055026985,0.127758018177567,0.309817466003623,0.127140691186764,0.0609679925163066,0.133895752604666,0.177916319922472,0.81355431726469,0.434336714880254,0.494391236235842,0.192482017544509,0.42539884983155,0.107099087128981,0.295457420936845,0.171884693797011,0.432302772767978,0.160757493294942,0.421896288580068,0.0713186869619922,0.593136192677381,0.269227962936724,0.436620708573665,0.429336515438105,0.153799620216882,0.11541926476793,0.0845143271307479,0.11909045246858,0.090529532876491,0.125030896428579,0.202326946804288,0.175687152216776,0.149001952041226,0.124310292534864,0.0422077435739087,0.229640228703486,0.0870928120062594,0.176960044599,0.0415925737323147,0.33063450515026,0.174718685454089,0.160271220807027,0.269629134182972,0.0694630921132371,0.348795916890742,0.399478278809788,0.545036459753361,0.144835663946223,0.45596813212129
